Column1,Block,NR/2025/26861/A/83728,NR/2025/26085/A/83314,NR/2025/27782/A/83730,NR/2025/28774/A/83272,NR/2025/29954/C,NR/2025/29954/C/Alternate/1,NR/2025/29955/C,NR/2025/29987/C,NR/2025/29988/C,NR/2025/29989/C,NR/2025/27100/A/83355,NR/2025/27281/A/83834,NR/2025/27242/A/83378,NR/2025/27157/A/83354,NR/2025/26562/A/83672,NR/2025/29816/A/83665,NR/2025/28719/A/83364,NR/2025/27500/A/83277,NR/2025/26889/A/83755,NR/2025/29947/C,NR/2025/26571/A/83675,NR/2025/27167/A/83394,NR/2025/29824/C,NR/2025/27088/A/83762,NR/2025/26975/A/83740,NR/2025/27499/A/83754,NR/2025/29837/C,NR/2025/26785/A/83278,NR/2025/29905/C,NR/2025/26860/A/83636,NR/2025/29906/C,NR/2025/27506/A/83276,NR/2025/27727/A/83731,NR/2025/29909/C,NR/2025/26952/A/83238,NR/2025/27168/A/83397,NR/2025/26777/A/83347,NR/2025/29904/C,NR/2025/26445/A/83765,NR/2025/27176/A/83739,NR/2025/27728/A/83732,NR/2025/27726/A/83733,NR/2025/27187/A/83737,NR/2025/26566/A/83674,NR/2025/27185/A/83738,NR/2025/27725/A/83734,NR/2025/26572/A/83677,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/4444,NR/30092023/26122029/SH-06,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/26/5163,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,NR/2025/27356/A/83708,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/5280,NR/2025/29957/C,NR/2025/29979/C,NR/2025/26565/A/83673,NR/2025/29981/C,NR/2025/29983/C,NR/2025/29984/C,NR/2025/29451/A/83705,NR/2025/29918/C,NR/2025/30002/C,NR/2025/29974/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNARE/NR/2024/12/20/3668,Total
34,08:15-08:30,0,0.97,7.73,5.49,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,0.97,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,0,0,19.33,14.64,0,20.54,164.29,26.93,19.33,0,26.93,20.54,32,20.54,15.54,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,42.53,1892.2999999999997

35,08:30-08:45,0,0.97,7.73,5.8,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,0,0,19.33,14.64,0,20.54,164.29,26.93,19.33,0,26.93,20.54,46,20.54,15.54,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,48.88,1913.9199999999998

36,08:45-09:00,0,0.97,7.73,5.8,164.53,0,28.03,0,0,0,0,24.88,41.07,0,144.96,1.93,10.63,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,0,0,19.33,14.64,0,20.54,164.29,26.93,19.33,0,26.93,20.54,53,20.54,15.54,11.92,0,0,0,0,0,0,0,0,0,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,54.99,1927.0299999999997

37,09:00-09:15,0,0.97,0,7.85,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,10.63,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,77,20.54,15.44,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,60.76,1980.3599999999994

38,09:15-09:30,0,0.97,0,8.55,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0.97,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,88,20.54,15.44,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,66.14,1997.4499999999996

39,09:30-09:45,0,0.97,0,2.77,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,74,20.54,15.44,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,71.11,1983.5999999999995

40,09:45-10:00,0,0.97,0,2.63,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,81,20.54,15.44,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,75.67,1995.0199999999995

41,10:00-10:15,0,0.97,0,3.04,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,98,20.54,15.36,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,71.83,2008.5099999999993

42,10:15-10:30,0,0.97,0,3.3,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,105,20.54,15.36,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,75.18,2019.1199999999994

43,10:30-10:45,0,0.97,0,3.73,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,105,20.54,15.36,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,78.1,2022.4699999999991

44,10:45-11:00,0,0.97,0,3.79,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,109,20.54,15.36,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,80.53,2028.9599999999994

45,11:00-11:15,0,0.97,0,3.91,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,112,20.54,15.26,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,82.39,2033.8399999999995

46,11:15-11:30,0,0.97,0,4.16,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,112,20.54,15.26,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,83.67,2035.3699999999994

47,11:30-11:45,0,0.97,0,4.48,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,112,20.54,15.26,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,84.45,2036.4699999999993

48,11:45-12:00,0,0.97,0,4.86,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.95,19.33,0,26.95,20.54,112,20.54,15.26,11.92,164.29,19.33,0,76.94,11.6,34.79,0,0,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,84.83,2037.2299999999993

49,12:00-12:15,0,0.97,0,5.22,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,112,20.54,15.17,11.92,164.29,19.33,0,76.94,11.6,34.79,0,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,84.96,2172.9699999999993

50,12:15-12:30,0,0.97,0,5.53,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,112,20.54,15.17,11.92,164.29,19.33,0,76.94,11.6,34.79,0,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,84.96,2173.2799999999997

51,12:30-12:45,0,0.97,0,5.83,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,133,20.54,15.17,11.92,164.29,19.33,0,76.94,11.6,34.79,0,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,84.93,2194.5499999999993

52,12:45-13:00,0,0.97,0,6.09,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,133,20.54,15.17,11.92,164.29,19.33,0,76.94,11.6,34.79,0,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,84.88,2194.7599999999998

53,13:00-13:15,0,0.97,0,6.25,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,1.93,11.6,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,116,20.54,15.17,11.92,164.29,19.33,0,76.94,11.6,34.79,0,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,84.74,2177.7799999999993

54,13:15-13:30,0,0.97,0,6.21,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0.97,12.56,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,112,20.54,15.17,11.92,164.29,19.33,0,76.94,11.6,34.79,0,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,84.43,2173.4299999999994

55,13:30-13:45,0,0.97,0,5.99,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0.97,12.56,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,95,20.54,15.17,11.92,164.29,19.33,0,76.94,11.6,34.79,0,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,83.87,2155.649999999999

56,13:45-14:00,0,0.97,0,5.7,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0.97,12.56,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,0,0,129.13,1.93,0,90.36,0,20.54,0,0,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,95,20.54,15.17,11.92,164.29,19.33,0,76.94,11.6,34.79,0,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,82.99,2154.479999999999

57,14:00-14:15,0,0.97,0,7.16,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0.97,12.56,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,144.96,0,129.13,1.93,0,90.36,0,20.54,0,144.96,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,91,20.54,15.36,11.92,164.29,19.33,0,76.94,11.6,34.79,96.64,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,82.27,2537.9700000000003

58,14:15-14:30,0,0.97,0,6.91,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0.97,12.56,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,144.96,0,129.13,1.93,0,90.36,0,20.54,0,144.96,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,91,20.54,15.36,11.92,164.29,19.33,0,76.94,11.6,34.79,96.64,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,79.95,2535.4

59,14:30-14:45,0,0.97,0,6.7,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0.97,12.56,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,144.96,0,129.13,1.93,0,90.36,0,20.54,0,144.96,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,77,20.54,15.36,11.92,164.29,19.33,0,76.94,11.6,34.79,96.64,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,73.37,2514.61

60,14:45-15:00,0,0.97,0,6.49,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0.97,12.56,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,144.96,0,129.13,1.93,0,90.36,0,20.54,0,144.96,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,77,20.54,15.36,11.92,164.29,19.33,0,76.94,11.6,34.79,96.64,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,70.54,2511.57

61,15:00-15:15,0,0.97,0,5.94,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0,13.53,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,144.96,0,129.13,1.93,0,90.36,0,20.54,0,144.96,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,77,20.54,15.54,11.92,164.29,19.33,0,76.94,11.6,34.79,96.64,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,67.17,2507.8300000000004

62,15:15-15:30,0,0.97,0,5.52,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0,13.53,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,144.96,0,129.13,1.93,0,90.36,0,20.54,0,144.96,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,77,20.54,15.54,11.92,164.29,19.33,0,76.94,11.6,34.79,96.64,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,63.33,2503.57

63,15:30-15:45,0,0.97,0,0.41,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0,13.53,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,144.96,0,129.13,1.93,0,90.36,0,20.54,0,144.96,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,56,20.54,15.54,11.92,164.29,19.33,0,76.94,11.6,34.79,96.64,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,64.87,2479

64,15:45-16:00,0,0.97,0,0.42,164.53,0,28.03,34.79,7.73,34.79,0,0,41.07,0,15.83,0,13.53,0,0,164.29,0,20.54,24.88,0,0,0,53.15,0,144.96,0,129.13,1.93,0,90.36,0,20.54,0,144.96,96.64,0,0,0,0,0,0,0,0,20.54,164.29,26.97,19.33,0,26.97,20.54,53,20.54,15.54,11.92,164.29,19.33,0,76.94,11.6,34.79,96.64,135.3,0,5.8,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,60.16,2471.3

65,16:00-16:15,0,0.87,7.73,0.41,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,0,0,0,20.54,0,164.29,5.8,0,0,53.15,0,90.36,0,1.93,43.92,0,135.3,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,26.97,19.33,0,26.97,20.54,35,20.54,16,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,55.56,2725.1999999999994

66,16:15-16:30,0,0.87,7.73,0.58,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,0,0,0,20.54,0,164.29,5.8,0,0,53.15,0,90.36,0,1.93,43.92,0,135.3,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,26.97,19.33,0,26.97,20.54,35,20.54,16,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,51.29,2721.0999999999995

67,16:30-16:45,0,0.87,7.73,0.82,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,0,0,0,20.54,0,164.29,5.8,0,0,53.15,0,90.36,0,1.93,43.92,0,135.3,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,26.97,19.33,0,26.97,20.54,35,20.54,16,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,47.34,2717.3899999999994

68,16:45-17:00,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,0,0,0,20.54,0,164.29,5.8,0,0,53.15,0,90.36,0,1.93,43.92,0,135.3,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,26.97,19.33,0,26.97,20.54,35,20.54,16,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,43.49,2712.7199999999993

69,17:00-17:15,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,43.92,0,135.3,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,26.97,19.33,0,26.97,20.54,32,20.54,16.65,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,39.37,2653.0999999999995

70,17:15-17:30,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,43.92,0,135.3,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,26.97,19.33,0,26.97,20.54,28,20.54,16.65,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,34.49,2644.2199999999993

71,17:30-17:45,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,43.92,0,135.3,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,26.97,19.33,0,26.97,20.54,21,20.54,16.65,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,29.48,2632.2099999999996

72,17:45-18:00,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,0,0,0,20.54,0,164.29,5.8,0,0,0,0,90.36,0,1.93,43.92,0,135.3,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,26.97,19.33,0,26.97,20.54,18,20.54,16.65,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,15.32,53.39,41.07,11.91,41.07,29.06,24.14,2623.8699999999994

73,18:00-18:15,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,5.8,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,29,0,0,26.56,20.54,14,20.54,17.2,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,19.13,2461.58

74,18:15-18:30,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,5.8,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,0,144.96,19.33,14.64,144.96,20.54,164.29,29,0,0,26.56,20.54,7,20.54,17.2,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,13.79,2449.24

75,18:30-18:45,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,5.8,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,164.29,26.95,0,0,26.95,20.54,4,20.54,17.2,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,9.08,2459.2

76,18:45-19:00,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,5.8,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,164.29,26.95,0,0,26.95,20.54,0,20.54,17.2,11.92,0,0,0,0,0,0,96.64,0,1.93,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,2.28,2448.4

77,19:00-19:15,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,5.8,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,164.29,29,0,0,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,1.72,2450.66

78,19:15-19:30,0,0.87,7.73,0,164.53,0,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,5.8,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,164.29,29,0,0,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,1.16,2450.1

79,19:30-19:45,0,0.87,7.73,0,111.21,53.32,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,5.8,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,164.29,29,0,0,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0.59,2449.53

80,19:45-20:00,0,0.87,7.73,0,107.76,56.77,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,5.8,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,164.29,29,0,0,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2448.94

81,20:00-20:15,164.29,0.92,7.73,0,0,164.53,28.03,0,0,0,25.2,24.88,41.07,217.44,144.96,0,13.53,7.73,5.8,0,0,20.54,0,164.29,27.06,8.7,0,0,0,90.36,0,1.93,43.92,0,0,20.54,164.29,0,96.64,76.94,37.34,43.92,19.33,144.96,19.33,14.64,144.96,20.54,0,29,0,0,29,20.54,0,20.54,17.85,11.92,0,0,0,0,0,0,96.64,0,0,0,41.07,20.85,0,53.39,41.07,11.91,41.07,29.06,0,2470.25

