Time,Block,NR/2023/12813/F,NR/2023/11447/A,NR/2023/12923/F,NR/2023/12917/F,NR/2023/12906/F,NR/2023/12872/F,NR/2023/12814/F,NR/2023/10432/A,NR/2023/12922/F,NR/2023/10947/A,NR/2023/13115/C,NR/2023/12915/F,NR/2023/10651/A,NR/2023/12921/F,NR/2023/12916/F,NR/2023/11266/A,SR/2023/5873/C,SR/2023/5870/C,NR/2023/13084/D,NR/2023/12661/A,ER/2023/7999/C,NR/2023/10435/A,NR/2023/13126/C,NR/2023/12924/F,NR/2023/12919/F,NR/2023/11712/A,NR/2023/10956/A,NR/2023/11709/A,NR/2023/13106/D,NR/2023/13110/C,NR/2023/10460/A,NR/2023/12169/A,NR/2023/12956/F,NR/2023/10436/A,NR/2023/13127/C,NR/2023/10561/A,NR/2023/10720/A,NR/2023/10959/A,NR/2023/12706/A,NR/2023/10786/A,NR/2023/13103/D,ER/2023/7996/C,NR/2023/13108/D,NR/2023/11953/A,NR/2023/10488/A,NR/2023/11507/A,ER/2023/7990/C,NR/2023/12920/F,NR/2023/13125/C,NR/2023/13101/D,Total
43,10:30-10:45,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.530000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,175,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,75,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,4.73,1549.2

44,10:45-11:00,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.530000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,29.220000,0.660000,0.000000,5.17,1564.64

45,11:00-11:15,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.440000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,29.220000,0.660000,10.000000,5.51,1613.39

46,11:15-11:30,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.440000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,29.220000,0.660000,10.000000,6.39,1614.27

47,11:30-11:45,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.440000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,29.220000,0.660000,10.000000,6.39,1614.27

48,11:45-12:00,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.440000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,29.220000,0.660000,10.000000,6.48,1614.36

49,12:00-12:15,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.350000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,6.39,1618.31

50,12:15-12:30,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.350000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,6.39,1618.31

51,12:30-12:45,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.350000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,6.77,1618.69

52,12:45-13:00,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.350000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,7.26,1619.18

53,13:00-13:15,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.250000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,7.74,1619.56

54,13:15-13:30,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.250000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,8.71,1620.53

55,13:30-13:45,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.250000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,185.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,79.5,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,9.2,1621.02

56,13:45-14:00,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.250000,0.360000,63.130000,0.660000,0.350000,0.000000,0.00,0.00,59.840000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,0.000000,184.1,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,90.940000,20.050000,0.000000,78.9,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,8.8,1618.62

57,14:00-14:15,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.170000,0.360000,63.130000,0.660000,0.350000,17.200000,0.00,0.00,42.640000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,23.160000,182,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,0.000000,78,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,8.51,1653.89

58,14:15-14:30,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.170000,0.360000,63.130000,0.660000,0.350000,17.200000,0.00,0.00,42.640000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,23.160000,182,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,100.000000,78,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,8.22,1753.6

59,14:30-14:45,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.170000,0.360000,63.130000,0.660000,0.350000,17.200000,0.00,0.00,42.640000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,23.160000,171.5,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,100.000000,73.5,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,7.74,1738.12

60,14:45-15:00,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.170000,0.360000,63.130000,0.660000,0.350000,17.200000,0.00,0.00,42.640000,62.890000,0.000000,24.190000,8.500000,0.420000,0.560000,64.340000,100.140000,23.160000,161.7,28.530000,23.220000,0.000000,4.840000,24.190000,30.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,100.000000,69.3,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,7.55,1723.93

61,15:00-15:15,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.250000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,153.3,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,100.000000,65.7,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,7.26,1673.22

62,15:15-15:30,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.250000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,147,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,100.000000,63,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,6.39,1663.35

63,15:30-15:45,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.250000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,135.1,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,100.000000,57.9,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,6.43,1646.39

64,15:45-16:00,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.250000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,120.4,28.530000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,100.000000,51.6,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,5.51,1624.47

65,16:00-16:15,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.350000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,109.9,32.610000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,50.000000,47.1,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,4.64,1562.78

66,16:15-16:30,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.350000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,100.8,32.610000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,50.000000,43.2,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,4.74,1549.88

67,16:30-16:45,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.350000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,91,32.610000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,50.000000,39,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,4.31,1535.45

68,16:45-17:00,62.890000,14.960000,0.420000,0.710000,24.190000,0.970000,78.370000,43.540000,0.690000,0.000000,16.350000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,78.4,32.610000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,106.420000,20.050000,50.000000,33.6,0.000000,48.380000,300.400000,33.350000,0.660000,10.000000,3.96,1517.1

69,17:00-17:15,62.890000,14.960000,0.420000,0.710000,0.000000,0.680000,78.370000,43.540000,0.690000,0.000000,16.530000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,63,32.610000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,20.050000,50.000000,27,0.000000,48.380000,300.400000,33.350000,0.660000,0.000000,3.78,1379.42

70,17:15-17:30,62.890000,14.960000,0.420000,0.710000,0.000000,0.680000,78.370000,43.540000,0.690000,0.000000,16.530000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,44.1,32.610000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,20.050000,50.000000,18.9,0.000000,48.380000,300.400000,33.350000,0.660000,0.000000,2.9,1351.54

71,17:30-17:45,62.890000,14.960000,0.420000,0.710000,0.000000,0.680000,78.370000,43.540000,0.690000,0.000000,16.530000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,35.7,32.610000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,65.130000,50.000000,15.3,0.000000,48.380000,300.400000,33.350000,0.660000,0.000000,1.94,1383.66

72,17:45-18:00,62.890000,14.960000,0.420000,0.710000,0.000000,0.680000,78.370000,43.540000,0.690000,0.000000,16.530000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,30.8,32.610000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,110.220000,50.000000,13.2,0.000000,48.380000,300.400000,33.350000,0.660000,0.000000,1.26,1421.07

73,18:00-18:15,62.890000,14.960000,0.420000,0.710000,0.000000,0.680000,78.370000,43.540000,0.690000,0.000000,16.720000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,23.8,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,10.2,36.500000,48.380000,300.400000,0.000000,0.660000,0.000000,0,1392.22

74,18:15-18:30,62.890000,14.960000,0.420000,0.710000,0.000000,0.680000,78.370000,43.540000,0.690000,0.000000,16.720000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,14,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,6,36.500000,48.380000,300.400000,0.000000,0.660000,0.000000,0,1378.22

75,18:30-18:45,62.890000,14.960000,0.420000,0.710000,0.000000,0.680000,78.370000,43.540000,0.690000,0.000000,16.720000,0.360000,63.130000,0.660000,0.350000,36.710000,0.00,0.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,7,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,3,36.500000,48.380000,300.400000,0.000000,0.660000,0.000000,0,1368.22

76,18:45-19:00,62.890000,14.960000,0.420000,0.710000,0.000000,0.680000,78.370000,43.540000,0.690000,0.000000,16.720000,0.360000,63.130000,0.660000,0.350000,59.840000,0.00,0.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,3.5,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,1.5,36.500000,48.380000,300.400000,0.000000,0.660000,0.000000,0,1363.22

77,19:00-19:15,62.890000,14.960000,0.420000,0.710000,0.000000,0.730000,78.370000,43.540000,0.690000,0.000000,16.810000,0.360000,63.130000,0.660000,0.350000,59.840000,150.00,0.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.660000,0.000000,0,1508.36

78,19:15-19:30,62.890000,14.960000,0.420000,0.710000,0.000000,0.730000,78.370000,43.540000,0.690000,0.000000,16.810000,0.360000,63.130000,0.660000,0.350000,59.840000,150.00,0.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.660000,0.000000,0,1508.36

79,19:30-19:45,62.890000,14.960000,0.420000,0.710000,0.000000,0.730000,78.370000,43.540000,0.690000,0.000000,16.810000,0.360000,63.130000,0.660000,0.350000,59.840000,150.00,0.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.660000,0.000000,0,1508.36

80,19:45-20:00,62.890000,14.960000,0.420000,0.710000,0.000000,0.730000,78.370000,43.540000,0.690000,0.000000,16.810000,0.360000,63.130000,0.660000,0.350000,59.840000,150.00,0.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.660000,0.000000,0,1508.36

81,20:00-20:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.770000,78.370000,43.540000,0.700000,0.000000,16.900000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,0.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1508.49

82,20:15-20:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.770000,78.370000,43.540000,0.700000,0.000000,16.900000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,0.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1508.49

83,20:30-20:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.770000,78.370000,43.540000,0.700000,0.000000,16.900000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,0.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,142.340000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1508.49

84,20:45-21:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.770000,78.370000,43.540000,0.700000,0.000000,16.900000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,0.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,48.380000,141.960000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1508.11

85,21:00-21:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.770000,78.370000,43.540000,0.700000,0.000000,17.000000,0.360000,63.130000,0.640000,0.370000,36.710000,150.00,80.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,110.220000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1600

86,21:15-21:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.770000,78.370000,43.540000,0.700000,0.000000,17.000000,0.360000,63.130000,0.640000,0.370000,36.710000,150.00,80.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,65.130000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1554.91

87,21:30-21:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.770000,78.370000,43.540000,0.700000,0.000000,17.000000,0.360000,63.130000,0.640000,0.370000,36.710000,150.00,80.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,65.130000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1554.91

88,21:45-22:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.770000,78.370000,43.540000,0.700000,0.000000,17.000000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,80.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,0.000000,0,29.560000,23.220000,0.000000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,20.050000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1509.83

89,22:00-22:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.730000,78.370000,43.540000,0.700000,27.860000,17.000000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,80.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,20.050000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1625.83

90,22:15-22:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.730000,78.370000,43.540000,0.700000,27.860000,17.000000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,80.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,20.050000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1625.83

91,22:30-22:45,62.890000,14.960000,0.420000,0.720000,0.000000,0.730000,78.370000,43.540000,0.700000,27.860000,17.000000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,80.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,20.050000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1625.83

92,22:45-23:00,62.890000,14.960000,0.420000,0.720000,0.000000,0.730000,78.370000,43.540000,0.700000,27.860000,17.000000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,80.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,20.050000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1625.83

93,23:00-23:15,62.890000,14.960000,0.420000,0.720000,0.000000,0.630000,78.370000,43.540000,0.700000,27.860000,17.090000,0.360000,63.130000,0.640000,0.370000,59.840000,150.00,80.00,0.000000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,20.050000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1625.82

94,23:15-23:30,62.890000,14.960000,0.420000,0.720000,0.000000,0.630000,78.370000,43.540000,0.700000,27.860000,17.090000,0.360000,63.130000,0.640000,0.370000,36.710000,150.00,80.00,23.130000,62.890000,0.000000,24.190000,0.000000,0.420000,0.560000,64.340000,100.140000,23.160000,0,29.560000,23.220000,65.020000,4.840000,24.190000,0.000000,48.380000,23.700000,25.040000,6.770000,91.910000,20.050000,0.000000,0,36.500000,48.380000,300.400000,0.000000,0.640000,0.000000,0,1625.82

