Time,Block,NR/2023/11738/C,NR/2023/11343/F,NR/2023/10197/A,NR/2023/11104/F,NR/2023/11099/F,NR/2023/11694/D,NR/2023/11711/C,NR/2023/11154/F,NR/2023/11732/C,NR/2023/10486/A,NR/2023/10433/A,NR/2023/11096/F,NR/2023/10181/A,NR/2023/11221/F,NR/2023/11730/C,NR/2023/11097/F,NR/2023/11367/F,NR/2023/11733/C,NR/2023/11102/F,NR/2023/11720/C,NR/2023/11369/F,NR/2023/11718/C,NR/2023/11368/F,NR/2023/11726/C,NR/2023/11729/C,NR/2023/11100/F,NR/2023/10182/A,NR/2023/11341/F,NR/2023/11166/F,NR/2023/11731/C,NR/2023/11095/F,NR/2023/11704/D,NR/2023/11707/D,NR/2023/11736/C,NR/2023/11705/D,Total
66,16:15-16:30,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,31.590000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,44.1,102.9,33.7,3.36,725.93

67,16:30-16:45,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,31.590000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,39,91,38.52,2.4,712.79

68,16:45-17:00,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,31.590000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,24.070000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,33,77,48.15,1.17,701.19

69,17:00-17:15,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,32.610000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,27,63,48.15,0.88,657.85

70,17:15-17:30,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,32.610000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,21,49,57.77,0.6,647.19

71,17:30-17:45,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,32.610000,9.630000,0.000000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,15,35,48.15,0.31,617.28

72,17:45-18:00,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,32.610000,9.630000,72.220000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,10.5,24.5,29.85,0.21,656.1

73,18:00-18:15,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,33.630000,9.630000,88.590000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,9,21,15.41,0,653.84

74,18:15-18:30,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,33.630000,9.630000,101.100000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,8.640000,0.300000,0.000000,0.000000,0.560000,49.830000,115.550000,14.440000,0.000000,2.890000,3,7,5.78,0,636.72

75,18:30-18:45,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,33.630000,9.630000,57.770000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,8.640000,0.300000,0.000000,5.780000,0.560000,49.830000,115.550000,14.440000,27.920000,2.890000,1.5,3.5,0,0,616.31

76,18:45-19:00,2.310000,48.140000,49.830000,0.440000,0.350000,19.260000,33.630000,9.630000,28.890000,20.560000,24.070000,0.560000,99.660000,17.330000,0.000000,0.350000,0.310000,0.000000,0.590000,0.000000,0.610000,8.640000,0.300000,0.000000,14.440000,0.560000,49.830000,115.550000,14.440000,27.920000,2.890000,0,0,0,0,591.09

77,19:00-19:15,2.310000,48.140000,49.830000,0.520000,0.410000,19.260000,33.630000,9.630000,19.260000,20.560000,24.070000,0.660000,99.660000,17.330000,0.000000,0.410000,0.340000,0.000000,0.690000,0.000000,0.720000,8.640000,0.360000,0.000000,21.180000,0.660000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,592.76

78,19:15-19:30,2.310000,48.140000,49.830000,0.520000,0.410000,19.260000,33.630000,9.630000,9.630000,20.560000,24.070000,0.660000,99.660000,17.330000,0.000000,0.410000,0.340000,0.000000,0.690000,0.000000,0.720000,8.640000,0.360000,0.000000,26.960000,0.660000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,588.91

79,19:30-19:45,2.310000,48.140000,49.830000,0.520000,0.410000,19.260000,33.630000,9.630000,0.000000,20.560000,24.070000,0.660000,99.660000,17.330000,0.000000,0.410000,0.340000,0.000000,0.690000,0.000000,0.720000,8.640000,0.360000,0.000000,26.960000,0.660000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,579.28

80,19:45-20:00,2.310000,48.140000,49.830000,0.520000,0.410000,19.260000,33.630000,9.630000,0.000000,20.560000,24.070000,0.660000,99.660000,17.330000,0.000000,0.410000,0.340000,0.000000,0.690000,0.000000,0.720000,8.640000,0.360000,0.000000,26.960000,0.660000,49.830000,115.550000,14.440000,21.180000,2.890000,0,0,0,0,568.68

81,20:00-20:15,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,33.630000,9.630000,0.000000,20.560000,24.070000,0.620000,99.660000,17.330000,0.000000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,0.000000,26.960000,0.620000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,547.51

82,20:15-20:30,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,33.630000,9.630000,4.810000,20.560000,24.070000,0.620000,99.660000,17.330000,0.000000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,0.000000,26.960000,0.620000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,552.32

83,20:30-20:45,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,33.630000,9.630000,0.000000,20.560000,24.070000,0.620000,99.660000,17.330000,0.000000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,0.000000,26.960000,0.620000,49.830000,115.550000,14.440000,0.000000,2.890000,0,0,0,0,547.51

84,20:45-21:00,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,33.630000,9.630000,0.000000,20.560000,24.070000,0.620000,99.660000,17.330000,0.000000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,0.000000,26.960000,0.620000,49.830000,115.550000,14.440000,21.180000,2.890000,0,0,0,0,568.69

85,21:00-21:15,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,33.630000,9.630000,4.810000,20.560000,24.070000,0.620000,99.660000,17.330000,0.000000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,0.000000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,584.1

86,21:15-21:30,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,33.630000,9.630000,19.260000,20.560000,24.070000,0.620000,99.660000,17.330000,0.000000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,0.000000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,598.55

87,21:30-21:45,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,33.630000,9.630000,38.520000,20.560000,24.070000,0.620000,99.660000,17.330000,0.000000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,0.000000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,617.81

88,21:45-22:00,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,33.630000,9.630000,48.140000,20.560000,24.070000,0.620000,99.660000,17.330000,0.000000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,0.000000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,627.43

89,22:00-22:15,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,31.590000,9.630000,33.700000,20.560000,24.070000,0.620000,99.660000,17.330000,28.890000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,0.000000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,639.84

90,22:15-22:30,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,31.590000,9.630000,52.960000,20.560000,24.070000,0.620000,99.660000,17.330000,28.890000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,27.920000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,687.02

91,22:30-22:45,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,31.590000,9.630000,0.000000,20.560000,24.070000,0.620000,99.660000,17.330000,28.890000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,67.400000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,673.54

92,22:45-23:00,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,31.590000,9.630000,0.000000,20.560000,24.070000,0.620000,99.660000,17.330000,28.890000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,83.770000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,689.91

93,23:00-23:15,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,31.590000,9.630000,81.850000,20.560000,24.070000,0.620000,99.660000,17.330000,28.890000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,94.360000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,782.35

94,23:15-23:30,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,31.590000,9.630000,86.660000,20.560000,24.070000,0.620000,99.660000,17.330000,28.890000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,100.140000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,792.94

95,23:30-23:45,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,31.590000,9.630000,86.660000,20.560000,24.070000,0.620000,99.660000,17.330000,28.890000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,80.880000,26.960000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,773.68

96,23:45-24:00,2.310000,48.140000,49.830000,0.530000,0.420000,19.260000,31.590000,9.630000,0.000000,20.560000,24.070000,0.620000,99.660000,17.330000,28.890000,0.420000,0.340000,0.000000,0.710000,0.000000,0.720000,8.640000,0.400000,59.700000,14.440000,0.620000,49.830000,115.550000,14.440000,31.780000,2.890000,0,0,0,0,653.32

