Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/03/01/2563,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/6891,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/SR/2025/03/01/7500,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/5143,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36
76,18:45-19:00,1.77,0,86.52,0,100,23.02,5.83,7.33,0,30.61,0,0,0,0,11,0,0.36,5.83,0.19,0,17.51,0,11,0,114.72,32,99.93,259.56,100,23.02,1.39,23.02,271.21,0.03,5.76,17.27,0,4.86,6.71,32,50,1.39,0,0.03,29.27,1.38,0.03

77,19:00-19:15,0,0,86.52,0,100,23.02,5.83,7.33,0,22.81,0,0,0,0,10.33,0,0,5.83,0.19,0,17.51,0,10.34,0,114.72,32,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,0,5.05,6.71,32,50,1.54,0,0,29.27,1.45,0

78,19:15-19:30,0,0,86.52,0,100,23.02,5.67,6.67,0,23.01,0,0,0,0,9.67,0,0,5.67,0.19,0,16.99,0,9.66,0,114.72,32,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,0,5.05,6.71,32,50,1.54,0,0,29.77,1.45,0

79,19:30-19:45,0,0,86.52,0,100,23.02,6.33,6.67,0,20.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,114.72,32,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,0,5.05,6.71,32,50,1.54,0,0,29.77,1.6,0

80,19:45-20:00,0,0,86.52,0,100,23.02,6.33,6.67,0,19.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,114.72,32,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,0,5.05,6.71,32,50,1.54,0,0,29.77,1.6,0

81,20:00-20:15,0,0,86.52,0,100,23.02,6.33,6.67,0,21.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,114.72,32,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,0,5.14,6.71,32,50,1.54,0,0,29.77,1.6,0

82,20:15-20:30,0,0,86.52,0,100,23.02,6.33,6.67,0,20.61,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,32,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,0,5.14,6.71,32,50,1.54,0,0,29.77,1.6,0

83,20:30-20:45,0,0,86.52,0,100,23.02,6.33,6.67,0,26.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,0,5.14,6.71,26.99,50,1.54,0,0,29.27,1.6,0

84,20:45-21:00,0,0,86.52,0,100,23.02,6.33,6.67,0,25.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,0,5.14,6.71,26.99,50,1.54,0,0,28.77,1.6,0

85,21:00-21:15,0,0,86.52,0,100,23.02,6.33,6.67,0,27.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,100,23.02,1.35,23.02,271.21,0,5.76,17.27,0,5.24,6.71,26.99,50,1.54,0,0,28.26,1.53,0

86,21:15-21:30,0,0,86.52,0,100,23.02,6.33,6.67,0,25.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,100,23.02,1.35,23.02,271.21,0,5.76,17.27,0,5.24,6.71,26.99,50,1.54,0,0,28.26,1.53,0

87,21:30-21:45,0,0,86.52,0,100,23.02,6.33,6.67,0,27.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,100,23.02,0,23.02,271.21,0,5.76,17.27,0,5.24,6.71,26.99,50,1.54,0,0,27.76,1.53,0

88,21:45-22:00,0,0,86.52,0,100,23.02,6.33,6.67,0,25.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,100,23.02,0,23.02,271.21,0,5.76,17.27,0,5.24,6.71,26.99,50,1.54,0,0,27.76,1.53,0

89,22:00-22:15,0,0,86.52,0,100,23.02,6.33,6.67,0,24.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,100,23.02,0,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,50,1.77,166.48,0,27.76,1.53,0

90,22:15-22:30,0,0,86.52,0,100,23.02,6.33,6.67,0,23.61,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,100,23.02,0,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,50,1.77,166.48,0,27.25,1.53,0

91,22:30-22:45,0,0,86.52,0,100,23.02,6.33,6.67,0,27.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,69.95,26.99,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,50,1.77,166.48,0,27.25,1.53,0

92,22:45-23:00,0,0,86.52,0,100,23.02,6.33,6.67,0,26.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,69.95,26.99,99.93,259.56,100,23.02,1.39,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,50,1.77,166.48,0,27.25,1.53,0

93,23:00-23:15,0,0,86.52,0,100,23.02,6.33,6.67,0,25.61,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,0,23.02,1.35,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,50,1.77,166.48,0,27.25,1.38,0

94,23:15-23:30,0,0,86.52,0,100,23.02,6.33,6.67,0,25.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,65.82,26.99,99.93,259.56,0,23.02,1.35,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,50,1.77,166.48,0,27.25,1.38,0

95,23:30-23:45,0,0,86.52,0,100,23.02,6.33,6.67,0,33.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,67.14,26.99,99.93,259.56,0,23.02,1.35,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,50,1.77,166.48,0,27.25,1.38,0

96,23:45-24:00,0,0,86.52,0,100,23.02,6.33,6.67,0,32.01,0,0,0,0,11.67,0,0,6.33,0,0,19.01,0,11.66,0,67.14,26.99,99.93,259.56,0,23.02,1.35,23.02,271.21,0,5.76,17.27,55.49,5.24,6.71,26.99,50,1.77,166.48,0,27.25,1.38,0

