Column1,Block,NR/2025/27356/A/81935,GNARE/NR/2024/12/20/3668,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,NR/2025/27281/A/82119,NR/2025/29371/C,NR/2025/29395/C,NR/2025/26785/A/81528,NR/2025/29423/C,NR/2025/26777/A/81610,NR/2025/29425/C,NR/2025/26860/A/81906,NR/2025/29426/C,NR/2025/27727/A/81940,NR/2025/26565/A/82095,NR/2025/27168/A/81794,NR/2025/27185/A/81947,NR/2025/26566/A/82094,NR/2025/26952/A/81555,NR/30092023/31122025/SH-07,NR/2025/29420/C,NR/2025/27176/A/81948,NR/2025/27167/A/81791,NR/2025/27506/A/81524,NR/2025/29404/C,NR/2025/27157/A/81617,NR/2025/27725/A/81943,NR/2025/27728/A/81941,NR/2025/27726/A/81942,NR/2025/27088/A/82138,NR/2025/26572/A/82092,NR/2025/27162/A/81949,NR/2025/26571/A/82093,NR/2025/29445/C,NR/2025/29286/C,NR/2025/29446/C,NR/2025/26975/A/81950,NR/2025/29431/C,SR/2025/17651/C,NR/2025/29297/C,NR/2025/28774/A/81517,NR/2025/29356/C,NR/2025/29432/C,NR/2025/27499/A/82017,NR/2025/26861/A/82091,NR/2025/27500/A/81526,NR/2025/27187/A/81946,NR/2025/26085/A/81578,NR/2025/26445/A/82147,NR/2025/27242/A/81692,NR/2025/28719/A/81628,NR/2025/26889/A/82016,NR/2025/29162/A/81882,NR/2025/27782/A/81939,NR/2025/29447/C,NR/2025/26562/A/82096,NR/2025/27100/A/81899,NR/2025/29448/C,NR/2025/29421/C,NR/2025/29444/C,Total
37,09:00-09:15,98,59.79,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.09,26.96,20.56,41.11,11.92,17.41,0,90.45,0,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.66,0,77.02,0,0,0,0,0.97,70.11,41.11,10.64,0,1.93,0,7.74,0,0,29.02,164.7,7.74,1853

38,09:15-09:30,112,65.6,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.09,26.96,20.56,41.11,11.92,17.41,0,90.45,40.63,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.32,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,0.97,0,7.74,0,0,29.02,164.7,7.74,1914.1099999999994

39,09:30-09:45,119,59.38,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.09,26.96,20.56,41.11,11.92,17.41,0,90.45,40.63,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.71,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,1916.2399999999996

40,09:45-10:00,126,65.14,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.09,26.96,20.56,41.11,11.92,17.41,0,90.45,40.63,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.71,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,1928.9999999999998

41,10:00-10:15,137,79.98,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.91,26.96,20.56,41.11,11.92,17.41,0,90.45,40.63,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,9.92,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,1955.8699999999997

42,10:15-10:30,147,83.68,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.91,26.96,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,10.12,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2008.4699999999996

43,10:30-10:45,133,87.12,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.91,26.96,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.6,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,1996.3899999999996

44,10:45-11:00,140,89.59,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.91,26.96,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.6,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2005.8599999999997

45,11:00-11:15,147,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.81,26.96,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.6,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2023.1699999999996

46,11:15-11:30,154,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.81,26.96,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.6,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2030.1699999999996

47,11:30-11:45,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.81,26.96,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.6,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2065.169999999999

48,11:45-12:00,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.81,26.96,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.96,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.6,0,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2065.169999999999

49,12:00-12:15,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.72,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.5,135.44,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2199.4399999999996

50,12:15-12:30,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.72,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.5,135.44,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2199.4399999999996

51,12:30-12:45,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.72,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.5,135.44,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2199.4399999999996

52,12:45-13:00,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.72,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.5,135.44,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2199.4399999999996

53,13:00-13:15,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.63,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.5,135.44,77.02,0,0,0,0,0.97,70.11,41.11,11.61,0,1.93,0,7.74,0,0,29.02,164.7,7.74,2199.3499999999995

54,13:15-13:30,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.63,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.5,135.44,77.02,0,0,0,0,0.97,70.11,41.11,12.58,0,0.97,0,7.74,0,0,29.02,164.7,7.74,2199.3599999999997

55,13:30-13:45,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.63,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.5,135.44,77.02,0,0,0,0,0.97,70.11,41.11,12.58,0,0.97,0,7.74,0,0,29.02,164.7,7.74,2199.3599999999997

56,13:45-14:00,189,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.63,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.5,135.44,77.02,0,0,0,0,0.97,70.11,41.11,12.58,0,0.97,0,7.74,0,0,29.02,164.7,7.74,2199.3599999999997

57,14:00-14:15,175,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.81,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.5,135.44,77.02,0,0,0,0,0.97,70.11,41.11,12.58,0,0.97,0,7.74,0,0,29.02,164.7,7.74,2185.5399999999995

58,14:15-14:30,165,100,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.81,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.2,135.44,77.02,0,0,0,0,0.97,70.11,41.11,12.58,0,0.97,0,7.74,0,0,29.02,164.7,7.74,2176.2399999999993

59,14:30-14:45,161,87.66,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.81,26.97,20.56,41.11,11.92,17.41,0,90.45,79.33,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,9.26,135.44,77.02,0,0,0,0,0.97,70.11,41.11,12.58,0,0.97,0,7.74,0,0,29.02,164.7,7.74,2160.9599999999996

60,14:45-15:00,158,83.27,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.81,26.97,20.56,41.11,11.92,17.41,0,90.45,0,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,9.17,135.44,77.02,0,0,0,0,0.97,70.11,41.11,12.58,0,0.97,0,7.74,0,0,29.02,164.7,7.74,2074.149999999999

61,15:00-15:15,151,78.88,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.09,26.97,20.56,41.11,11.92,17.41,0,90.45,0,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.33,135.44,77.02,0,0,0,0,0.97,70.11,41.11,13.54,0,0,0,7.74,0,0,29.02,164.7,7.74,2062.189999999999

62,15:15-15:30,144,74.07,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.09,26.97,20.56,41.11,11.92,17.41,0,90.45,0,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,8.31,135.44,77.02,0,0,0,0,0.97,96.74,41.11,13.54,0,0,0,7.74,0,0,29.02,164.7,7.74,2076.9899999999993

63,15:30-15:45,137,69.26,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.09,26.97,20.56,41.11,11.92,17.41,0,90.45,0,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.88,135.44,77.02,0,0,0,0,0.97,96.74,41.11,13.54,0,0,0,7.74,0,0,29.02,164.7,7.74,2064.7499999999995

64,15:45-16:00,123,64.45,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.09,26.97,20.56,41.11,11.92,17.41,0,90.45,0,0,28.05,0,56.05,0,164.46,0,0,20.56,0,0,0,26.97,5.8,0,20.56,1.93,164.46,0,0,0,0,0,0,0,0,29.02,24.91,29.02,0,19.35,0,53.21,7.28,135.44,77.02,0,0,0,0,0.97,96.74,41.11,13.54,0,0,0,7.74,0,0,29.02,164.7,7.74,2045.3399999999997

65,16:00-16:15,112,59.64,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.74,26.97,20.56,41.11,11.92,17.41,24.91,0,0,53.21,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,135.44,26.97,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,5.49,0,0,0,0,7.74,0,0.87,96.74,41.11,13.54,0,0,14.66,0,0,25.23,0,164.7,0,2331.0199999999995

66,16:15-16:30,98,54.15,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.74,26.97,20.56,41.11,11.92,17.41,24.91,0,0,53.21,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,135.44,26.97,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,5.48,0,0,0,0,7.74,0,0.87,96.74,41.11,13.54,0,0,14.66,0,0,25.23,0,164.7,0,2311.5199999999995

67,16:30-16:45,84,48.66,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.74,26.97,20.56,41.11,11.92,17.41,24.91,0,0,53.21,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,135.44,26.97,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,3.48,0,0,0,0,7.74,0,0.87,96.74,41.11,13.54,0,0,14.66,0,0,25.23,0,164.7,0,2290.0299999999997

68,16:45-17:00,70,43.17,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,15.74,26.97,20.56,41.11,11.92,17.41,24.91,0,0,53.21,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,135.44,26.97,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,3.42,0,0,0,0,7.74,0,0.87,96.74,41.11,13.54,0,0,14.66,0,0,25.23,0,164.7,0,2270.4799999999996

69,17:00-17:15,56,37.68,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.48,26.97,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,135.44,26.97,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.87,96.74,41.11,13.54,0,0,14.66,0,0,25.23,0,164.7,0,2195.1

70,17:15-17:30,46,31.78,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.48,26.97,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,135.44,26.97,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.87,96.74,41.11,13.54,0,0,14.66,0,0,25.23,0,164.7,0,2179.2

71,17:30-17:45,28,24.92,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.48,26.97,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,135.44,26.97,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.87,96.74,41.11,13.54,0,0,14.66,0,0,25.23,0,164.7,0,2154.34

72,17:45-18:00,21,23.43,19.35,164.46,15.33,20.56,41.11,11.93,53.45,20.87,41.11,20.56,16.48,26.97,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,135.44,26.97,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,0,0,7.74,0,0.87,96.74,41.11,13.54,0,0,14.66,0,0,25.23,0,164.7,0,2145.85

73,18:00-18:15,18,16.81,0,164.46,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.22,29,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,8.71,0,7.74,0,0.87,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,1983.15

74,18:15-18:30,14,7.69,0,164.46,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.22,29,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,8.71,0,7.74,0,0.87,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,1970.0300000000002

75,18:30-18:45,11,0.31,0,164.46,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.22,29,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,8.71,0,7.74,19.35,0.87,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,1979.0000000000002

76,18:45-19:00,7,0.31,0,164.46,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.22,29,20.56,41.11,11.92,17.41,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,0,0,0,0,0,8.71,0,7.74,19.35,0.87,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,1975.0000000000002

77,19:00-19:15,5,0.31,0,164.46,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.87,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,206.06,0,0,0,0,8.71,0,7.74,19.35,0.87,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,2191.5

78,19:15-19:30,1,0.31,0,164.46,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.87,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,193.48,0,0,0,0,8.71,0,7.74,19.35,0.87,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,2174.92

79,19:30-19:45,0,0,0,164.46,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.87,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,193.48,0,0,0,0,8.71,0,7.74,19.35,0.87,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,2173.61

80,19:45-20:00,0,0,0,164.46,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.87,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,5.8,0,193.48,0,0,0,0,8.71,0,7.74,19.35,0.87,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,2173.61

81,20:00-20:15,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.87,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,91.9,0,0,0,0,8.71,164.46,7.74,19.35,0.92,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,2093.3700000000003

82,20:15-20:30,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.87,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,91.9,0,0,0,0,8.71,164.46,7.74,19.35,0.92,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,2093.3700000000003

83,20:30-20:45,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.87,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,91.9,0,0,0,0,8.71,164.46,7.74,19.35,0.92,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,2093.3700000000003

84,20:45-21:00,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,17.87,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,26.73,0,77.02,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,193.48,0,0,0,0,8.71,164.46,7.74,19.35,0.92,96.74,41.11,13.54,5.8,0,14.66,0,0,25.23,0,164.7,0,2194.9500000000003

85,21:00-21:15,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.16,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,193.48,0,0,0,0,8.71,164.46,7.74,19.35,0.92,96.74,41.11,12.58,5.8,0.97,14.66,0,0,25.23,0,109.8,0,2164.75

86,21:15-21:30,0,0,0,0,0,20.56,41.11,11.93,53.45,20.87,41.11,20.56,14.16,29,20.56,41.11,11.92,29.2,24.91,0,0,0,28.05,164.46,0,90.45,0,43.97,0,20.56,19.35,0,0,25.74,0,106.41,20.56,1.93,0,217.66,14.66,37.38,43.97,164.46,0,56.05,0,0,0,0,27.09,0,193.48,0,0,0,0,8.71,164.46,7.74,19.35,0.92,96.74,41.11,12.58,5.8,0.97,14.66,0,0,25.23,0,109.8,0,2164.75

