Time,Block,NR/2023/12661/A,NR/2023/12169/A,NR/2023/10705/A,NR/2023/12872/F,NR/2023/10947/A,NR/2023/12916/F,NR/2023/12923/F,NR/2023/14132/D,NR/2023/14137/D,NR/2023/14131/D,NR/2023/14155/C,NR/2023/11507/A,NR/2023/12706/A,NR/2023/12917/F,NR/2023/12915/F,NR/2023/11266/A,NR/2023/13985/F,NR/2023/14148/C,NR/2023/10786/A,NR/2023/13679/F,NR/2023/10460/A,NR/2023/14150/C,NR/2023/14130/D,NR/2023/10720/A,NR/2023/12814/F,NR/2023/12919/F,NR/2023/14128/D,NR/2023/11068/A,NR/2023/10488/A,NR/2023/11712/A,NR/2023/10436/A,NR/2023/10651/A,NR/2023/14129/D,NR/2023/11709/A,NR/2023/10432/A,NR/2023/11953/A,NR/2023/12813/F,NR/2023/10561/A,NR/2023/12920/F,NR/2023/10650/A,NR/2023/13369/F,NR/2023/12921/F,NR/2023/10956/A,NR/2023/10435/A,NR/2023/12924/F,NR/2023/12922/F,NR/2023/10959/A,Total
46,11:15-11:30,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,171.5,73.5,5.71,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1677.72

47,11:30-11:45,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,171.5,73.5,5.9,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1677.91

48,11:45-12:00,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,171.5,73.5,6,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,16.730000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1678.01

49,12:00-12:15,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,171.5,73.5,6.29,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,19.040000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1680.61

50,12:15-12:30,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,171.5,73.5,6.68,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,19.040000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1681

51,12:30-12:45,62.920000,0.000000,15.810000,0.970000,0.000000,0.000000,0.000000,171.5,73.5,6.87,30.000000,255.460000,6.780000,0.000000,0.000000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,19.040000,90.360000,23.720000,85.670000,0.000000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.000000,7.740000,24.200000,0.000000,85.150000,24.200000,0.000000,0.000000,21.280000,1681.19

52,12:45-13:00,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,171.5,73.5,7.55,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,19.040000,90.360000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1688.85

53,13:00-13:15,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,171.5,73.5,7.55,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1723.82

54,13:15-13:30,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,161,69,9.49,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1710.76

55,13:30-13:45,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,154,66,7.55,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1698.82

56,13:45-14:00,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,150.5,64.5,7.16,30.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,90.990000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1693.43

57,14:00-14:15,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,147,63,6.39,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,106.480000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1696.32

58,14:15-14:30,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,148.4,63.6,6,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,106.480000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1697.93

59,14:30-14:45,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,147,63,5.61,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,106.480000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1695.54

60,14:45-15:00,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,141.4,60.6,5.42,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,106.480000,4.840000,23.230000,19.040000,125.330000,23.720000,85.670000,0.970000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1687.35

61,15:00-15:15,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,133,57,5.03,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,106.480000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1713.86

62,15:15-15:30,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,129.5,55.5,4.84,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,106.480000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1708.67

63,15:30-15:45,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,121.8,52.2,3.97,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,106.480000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1696.8

64,15:45-16:00,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,112,48,3.39,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,36.690000,106.480000,4.840000,23.230000,19.220000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1682.22

65,16:00-16:15,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,105,45,2.66,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,38.730000,106.480000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1673.72

66,16:15-16:30,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,92.4,39.6,2.22,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,38.730000,106.480000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1655.28

67,16:30-16:45,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,77,33,1.69,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,38.730000,106.480000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1632.75

68,16:45-17:00,62.920000,0.000000,15.810000,0.970000,0.000000,0.520000,0.610000,70,30,1.22,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,38.730000,106.480000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,29.040000,23.170000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,24.200000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1622.28

69,17:00-17:15,62.920000,0.000000,15.810000,0.680000,0.000000,0.520000,0.610000,63,27,0.83,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,38.730000,48.400000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1496.47

70,17:15-17:30,62.920000,0.000000,15.810000,0.680000,0.000000,0.520000,0.610000,52.5,22.5,0.44,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,38.730000,48.400000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1481.08

71,17:30-17:45,62.920000,0.000000,15.810000,0.680000,0.000000,0.520000,0.610000,35,15,0.23,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,38.730000,48.400000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1455.87

72,17:45-18:00,62.920000,0.000000,15.810000,0.680000,0.000000,0.520000,0.610000,31.5,13.5,0.1,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,38.730000,48.400000,4.840000,23.230000,19.410000,125.330000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,0.000000,62.920000,48.400000,0.980000,7.740000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1450.74

73,18:00-18:15,62.920000,0.000000,15.830000,0.680000,0.000000,0.520000,0.610000,31.5,13.5,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,37.700000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.980000,14.280000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1515.42

74,18:15-18:30,62.920000,0.000000,15.830000,0.680000,0.000000,0.520000,0.610000,24.5,10.5,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,37.700000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.980000,14.280000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1505.42

75,18:30-18:45,62.920000,0.000000,15.830000,0.680000,0.000000,0.520000,0.610000,21,9,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,37.700000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.980000,14.280000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1500.42

76,18:45-19:00,62.920000,0.000000,15.830000,0.680000,0.000000,0.520000,0.610000,14,6,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,37.700000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.980000,14.280000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1490.42

77,19:00-19:15,62.920000,0.000000,15.830000,0.730000,0.000000,0.520000,0.610000,7,3,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,37.700000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.980000,14.280000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1480.47

78,19:15-19:30,62.920000,0.000000,15.830000,0.730000,0.000000,0.520000,0.610000,4.2,1.8,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,37.700000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.980000,14.280000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1476.47

79,19:30-19:45,62.920000,0.000000,15.830000,0.730000,0.000000,0.520000,0.610000,1.4,0.6,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,37.700000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.980000,14.280000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1472.47

80,19:45-20:00,62.920000,0.000000,15.830000,0.730000,0.000000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,37.700000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.970000,38.720000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.980000,14.280000,0.000000,0.980000,85.150000,24.200000,0.610000,1.020000,21.280000,1470.47

81,20:00-20:15,62.920000,0.000000,15.830000,0.770000,0.000000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,35.670000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.930000,14.280000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1429.61

82,20:15-20:30,62.920000,0.000000,15.830000,0.770000,0.000000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,35.670000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.930000,14.280000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1429.61

83,20:30-20:45,62.920000,0.000000,15.830000,0.770000,0.000000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,35.670000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.930000,14.280000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1429.61

84,20:45-21:00,62.920000,0.000000,15.830000,0.770000,0.000000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,35.670000,48.400000,4.840000,23.230000,19.590000,147.880000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.930000,14.280000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1429.61

85,21:00-21:15,62.920000,0.000000,15.830000,0.770000,0.000000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,35.670000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.930000,14.280000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1450.62

86,21:15-21:30,62.920000,0.000000,15.830000,0.770000,0.000000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,35.670000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.930000,14.280000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1450.62

87,21:30-21:45,62.920000,0.000000,15.830000,0.770000,0.000000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,35.670000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.930000,14.280000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1450.62

88,21:45-22:00,62.920000,0.000000,15.870000,0.770000,0.000000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,35.670000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,0.000000,43.560000,36.520000,62.920000,48.400000,0.930000,14.280000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1450.66

89,22:00-22:15,62.920000,54.210000,232.430000,0.730000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1835.74

90,22:15-22:30,62.920000,54.210000,232.430000,0.730000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1835.74

91,22:30-22:45,62.920000,54.210000,232.430000,0.730000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1835.74

92,22:45-23:00,62.920000,54.210000,232.430000,0.730000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1835.74

93,23:00-23:15,62.920000,54.210000,232.430000,0.630000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1835.64

94,23:15-23:30,62.920000,54.210000,232.430000,0.630000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1835.64

95,23:30-23:45,62.920000,54.210000,232.430000,0.630000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1835.64

96,23:45-24:00,62.920000,54.210000,232.430000,0.630000,23.230000,0.520000,0.610000,0,0,0,0.000000,255.460000,6.780000,0.920000,0.370000,63.620000,24.200000,34.650000,91.960000,4.840000,23.230000,19.590000,125.330000,23.720000,85.670000,0.920000,0.000000,48.400000,48.400000,64.370000,24.200000,63.160000,19.360000,23.170000,43.560000,36.520000,62.920000,48.400000,0.930000,83.250000,0.000000,0.930000,85.150000,24.200000,0.610000,1.020000,21.280000,1835.64

