Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/89543,NR/2025/31828/C,NR/2025/31420/A/89590,NR/2025/31136/A/89892,NR/2025/31137/A/89895,NR/2025/31137/A/89896,NR/2025/31136/A/89890,NR/2025/31138/A/89906,NR/2025/31419/A/89591,NR/2025/31138/A/89907,NR/2025/31347/A/89432,NR/2025/30082/A/89930,NR/2025/29628/A/89862,NR/2025/27975/A/89917,NR/2025/30083/A/89855,NR/2025/27973/A/89916,NR/2025/30105/A/89852,NR/2025/30067/A/89991,NR/2025/31126/A/89497,NR/2025/31821/C,NR/2025/27978/A/89953,NR/2025/29353/A/89678,NR/2025/27965/A/89914,NR/2025/30086/A/89853,NR/2025/27966/A/89915,NR/2025/28728/A/89904,NR/2025/30084/A/89854,NR/2025/31782/C,NR/2025/31815/C,NR/2025/30121/A/89424,NR/2025/29352/A/89680,NR/2025/31816/C,NR/2025/29167/A/89458,NR/2025/31819/C,NR/2025/29992/A/89526,NR/2025/29439/A/89527,NR/2025/31826/C,NR/2025/29440/A/89448,NR/2025/31339/A/89542,NR/2025/31786/C,NR/2025/31822/C,NR/2025/30191/A/89429,NR/2025/29910/A/89860,NR/2025/31823/C,NR/2025/29915/A/89457,NR/2025/31823/C/Alternate/1,NR/2025/31824/C,NR/2025/30217/A/89851,NR/2025/31807/C,NR/2025/31809/C,NR/2025/31762/C,NR/2025/30101/A/89935,NR/2025/31722/C,NR/2025/31725/C,NR/2025/31775/C,NR/2025/31817/C,NR/2025/31781/C,NR/2025/31770/C,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/16/5917,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,Total
40,09:45-10:00,61.04,98,2.04,1.63,0.38,0.19,0.58,0.67,0.19,0,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,26.22,0,0,26.22,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,17.11,20.74,15.24,0,1576.5000000000002

41,10:00-10:15,59.26,88,2.1,1.63,0.38,0.19,0.47,0.62,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,26.22,0,0,26.22,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,17.03,20.74,15.24,0,1565.8900000000003

42,10:15-10:30,62.27,95,2.42,1.63,0.38,0.19,0.51,0.68,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,26.22,0,0,26.22,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,17.03,20.74,15.24,0,1576.3200000000004

43,10:30-10:45,64.51,119,2.75,1.63,0.38,0.19,0.55,0.73,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,26.22,0,0,26.22,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,17.03,20.74,15.24,0,1602.9800000000002

44,10:45-11:00,65.97,130,3.06,1.63,0.38,0.29,0.67,0.77,0.19,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,26.22,0,0,26.22,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,17.03,20.74,15.24,0,1616.1000000000004

45,11:00-11:15,59.74,105,3.36,1.63,0.38,0.29,0.67,0.77,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,26.22,0,0,26.22,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,16.93,20.74,15.24,0,1584.9800000000005

46,11:15-11:30,60.32,105,3.33,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,16.93,20.74,15.24,0,1573.6600000000003

47,11:30-11:45,56.05,91,3.3,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.34,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,16.93,20.74,15.24,0,1555.2200000000003

48,11:45-12:00,54.7,91,3.25,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.34,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.75,81.72,26.75,134.84,19.23,16.93,20.74,15.24,0,1553.8200000000004

49,12:00-12:15,57.91,91,3.18,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.35,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,16.83,20.74,15.24,0,1556.97

50,12:15-12:30,59.38,91,3.36,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.18,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,16.83,20.74,15.24,0,1558.45

51,12:30-12:45,70,95,3.54,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.19,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,16.83,20.74,15.24,0,1573.26

52,12:45-13:00,68.33,95,3.71,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.23,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,16.83,20.74,15.24,0,1571.8000000000002

53,13:00-13:15,66.67,102,3.18,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.44,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,16.83,20.74,15.24,0,1576.8200000000002

54,13:15-13:30,65.62,102,3.18,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,16.83,20.74,15.24,0,1575.8100000000002

55,13:30-13:45,69.73,95,3.18,1.63,0.38,0.29,0.67,0.96,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,16.83,20.74,15.24,0,1572.92

56,13:45-14:00,68,95,3.18,1.63,0.38,0.19,0.58,0.96,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,0,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,0,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,16.83,20.74,15.24,0,1571.0000000000002

57,14:00-14:15,65.93,98,3.18,1.63,0.38,0.19,0.48,0.96,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,96.14,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,96.14,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.03,20.74,15.24,0,1764.3100000000004

58,14:15-14:30,64.34,98,3.18,1.63,0.38,0.19,0.48,0.77,0.1,1.44,0.48,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,96.14,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,96.14,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.03,20.74,15.24,0,1762.5300000000004

59,14:30-14:45,51.23,98,4.07,1.63,0.38,0.19,0.48,0.77,0.1,1.44,0.38,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,96.14,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,96.14,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.03,20.74,15.24,0,1750.2100000000003

60,14:45-15:00,48.72,98,4.67,1.63,0.38,0.19,0.38,0.77,0.1,1.44,0.29,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,96.14,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,96.14,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.03,20.74,15.24,0,1748.1100000000004

61,15:00-15:15,27.73,77,5.34,1.63,0.38,0.19,0.38,0.67,0.1,1.44,0.29,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,96.14,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,96.14,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.3,20.74,15.24,0,1706.9600000000003

62,15:15-15:30,26.25,70,5.21,1.63,0.38,0.19,0.48,0.77,0.1,1.44,0.38,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,96.14,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,96.14,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.3,20.74,15.24,0,1698.64

63,15:30-15:45,25.01,67,5.11,1.63,0.38,0.19,0.33,0.59,0.1,1.44,0.26,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,96.14,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,96.14,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.3,20.74,15.24,0,1693.8500000000001

64,15:45-16:00,23.65,63,5.01,1.63,0.31,0.15,0.23,0.46,0.08,1.44,0.23,9.61,0,0,0,0,0,0,0,13.46,28.84,0,81.72,0,0,0,0,0,96.14,96.14,0,28.6,8.74,0,20.19,0,0,20.19,0,0,0.96,17.48,0,0,162.04,0,0,7.69,0,76.55,16.57,44.22,0,48.07,6.73,81.72,32.13,96.14,48.07,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.3,20.74,15.24,0,1688

65,16:00-16:15,21.54,56,4.96,0,0.25,0.12,0.21,0.42,0.07,0,0.21,9.61,48.07,76.55,96.14,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.22,96.14,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.96,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.76,20.74,15.24,0,1847.7800000000002

66,16:15-16:30,19.96,53,4.32,0,0.32,0.16,0.24,0.48,0.08,0,0.18,9.61,48.07,76.55,96.14,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.22,96.14,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.96,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.76,20.74,15.24,0,1842.74

67,16:30-16:45,14.33,53,3.66,0,0.34,0.16,0.34,0.47,0.09,0,0.2,9.61,48.07,76.55,96.14,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.22,96.14,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.96,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.76,20.74,15.24,0,1836.5900000000001

68,16:45-17:00,13.67,46,3,0,0.36,0.17,0.29,0.51,0.09,0,0.22,9.61,48.07,76.55,96.14,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.22,96.14,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.96,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,32.13,0,0,0,0,0,0,163.44,43.7,26.8,81.72,26.8,134.84,19.23,17.76,20.74,15.24,0,1828.3100000000002

69,17:00-17:15,10,39,2.37,0,0.35,0.17,0.25,0.44,0.09,0,0.25,0,48.07,76.55,96.14,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.22,96.14,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.87,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,26.8,81.72,26.8,134.84,19.23,18.22,20.74,15.24,0,1823.6200000000001

70,17:15-17:30,10,32,2.15,0,0.37,0.19,0.31,0.53,0.1,0,0.23,0,48.07,76.55,96.14,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.22,96.14,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.87,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,26.8,81.72,26.8,134.84,19.23,18.22,20.74,15.24,0,1816.5800000000002

71,17:30-17:45,9,25,1.9,0,0.15,0.04,0.29,0.51,0.04,0,0.22,0,48.07,76.55,96.14,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.16,96.14,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.87,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,26.8,81.72,26.8,134.84,19.23,18.22,20.74,15.24,0,1807.7900000000002

72,17:45-18:00,7.94,18,1.62,0,0.12,0.03,0.25,0.44,0.03,0,0.19,0,48.07,76.55,96.14,8.74,0,17.48,0,13.46,28.84,96.14,81.72,0,26.16,96.14,81.72,26.22,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.87,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,26.8,81.72,26.8,134.84,19.23,18.22,20.74,15.24,0,1799.2600000000002

73,18:00-18:15,5.83,14,1.31,0,0.07,0.03,0.2,0.37,0.02,0,0.15,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,28.84,96.14,81.72,0,26.16,96.14,81.72,30.77,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.87,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,23.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1774.52

74,18:15-18:30,4.49,11,1.07,0,0.04,0.02,0.14,0.25,0.01,0,0.11,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,28.84,96.14,81.72,0,23.97,96.14,81.72,28.19,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.87,134.6,0,0,48.07,16.57,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,23.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1764.9000000000003

75,18:30-18:45,3.45,7,0.85,0,0,0,0.06,0.11,0,0,0.06,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,28.84,96.14,81.72,0,23.97,96.14,81.72,28.19,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.87,134.6,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,23.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1761.9600000000003

76,18:45-19:00,2.5,5,0.63,0,0,0,0.01,0.02,0,0,0.01,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,28.84,96.14,81.72,0,23.97,96.14,81.72,28.19,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.87,134.6,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,23.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1758.6000000000004

77,19:00-19:15,0.33,1,0,0,0,0,0,0,0,0,0,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1760.7900000000002

78,19:15-19:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1759.4600000000003

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1759.4600000000003

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,0,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1759.4600000000003

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1813.5400000000002

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1813.5400000000002

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1813.5400000000002

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,48.07,76.55,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1813.5400000000002

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1842.7400000000002

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1842.7400000000002

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1842.7400000000002

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,13.46,0,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,192.28,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,13.16,20.74,0,0,1842.7400000000002

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,13.46,28.84,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,17.94,20.74,0,0,1846.1200000000001

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,13.46,28.84,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,17.94,20.74,0,0,1846.1200000000001

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,12.5,28.84,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,17.94,20.74,0,0,1845.16

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,12.5,28.84,96.14,81.72,0,24.7,96.14,81.72,29.05,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,17.94,20.74,0,0,1845.16

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,12.5,28.84,96.14,81.72,0,24.04,96.14,81.72,28.27,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,17.76,20.74,0,0,1843.54

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,48.07,105.75,96.14,14.57,0,29.13,0,12.5,28.84,96.14,81.72,0,24.04,96.14,81.72,28.27,0,0,6.73,28.6,0,54.08,0,44.22,25.07,0,0.91,134.6,0,0,48.07,19.23,162.04,0,0,0,7.69,0,0,0,48.07,0,0,0,0,0,0,163.44,43.7,29.5,81.72,29.5,134.84,0,17.76,20.74,0,0,1843.54

