Block,Time,KHSTPP-II,SASAN,TALA,BRBCL,KHSTPP-I,FSTPP I & II,NAPP,RAPPC,AURY_GF,KOLDAM,AURY_LF,DADRI_CRF,JHAJJAR,DADRI_GF,NJPC,TANAKPUR,UNCHAHAR4,SEWA2,ANTA_GF,CHAMERA3,KISHANGANGA,CHAMERA1,URI,ANTA_RF,ANTA_CRF,DULHASTI,ANTA_LF,URI2,KOTESHWR,DADRT2,CHAMERA2,AURY_CRF,SALAL,UNCHAHAR2,TEHRI,DADRI_RF,TANDA2,RIHAND2,SINGRAULI_HYDRO,DHAULIGNGA,RAMPUR,BSIUL,DADRI_LF,RIHAND1,AURY_RF,UNCHAHAR3,RIHAND3,UNCHAHAR1,SINGRAULI,RAPPB,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
23,05:30-05:45,95.437522,324.702788,0.000000,19.305970,42.391439,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,430.523800,46.816884,0.000000,56.083930,42.081385,0.000000,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

24,05:45-06:00,95.437522,324.702788,0.000000,19.305970,42.391439,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,393.021895,46.816884,0.000000,56.083930,42.081385,0.000000,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

25,06:00-06:15,95.437522,324.702788,0.000000,19.305970,42.391439,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,9.768739,2.258802,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,373.715895,46.816884,0.000000,56.083930,33.568597,0.000000,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,20.656262,119.873657,17.122781,134.908011,0.000000,7.364018,0,0,0,0,0

26,06:15-06:30,95.437522,324.702788,0.000000,19.305970,42.391439,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,9.768739,2.258802,11.633484,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,364.062895,46.816884,0.000000,56.083930,34.669039,0.000000,0.000000,3.841220,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,17.687192,119.873657,14.558751,134.908011,0.000000,14.728036,0,0,0,0,0

27,06:30-06:45,95.437522,324.702788,0.000000,19.305970,42.391439,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,9.768739,2.258802,11.633484,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,364.062895,46.816884,0.000000,56.083930,29.025992,0.000000,0.000000,3.841220,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,17.658233,119.873657,14.558751,134.908011,0.000000,56.750067,0,0,0,0,0

28,06:45-07:00,95.437522,324.702788,0.000000,19.305970,42.391439,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.258802,5.816742,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,364.062895,46.816884,0.000000,56.083930,29.025992,0.000000,0.000000,3.841220,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,17.658233,119.873657,14.558751,134.908011,0.000000,56.750067,0,0,0,0,0

29,07:00-07:15,77.654813,324.702788,0.000000,19.305970,34.224036,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.258802,0.000000,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,364.062895,46.816884,0.000000,56.083930,28.939115,0.000000,0.000000,3.841220,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,17.658233,119.873657,14.558751,134.908011,0.000000,56.750067,0,0,0,0,0

30,07:15-07:30,77.654813,324.702788,0.000000,19.305970,34.224036,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.258802,0.000000,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,364.062895,46.816884,0.000000,56.083930,24.335213,0.000000,0.000000,3.841220,113.448813,1.174915,42.025433,6.511447,18.883585,0.000000,87.941822,0.000000,17.658233,118.744352,12.104862,133.698297,0.000000,56.750067,0,0,0,0,0

31,07:30-07:45,77.654813,324.702788,0.000000,19.305970,34.224036,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.258802,0.000000,0.000000,33.622609,5.367487,40.685542,32.503582,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,364.062895,46.816884,0.000000,56.083930,24.335213,0.000000,0.000000,3.831874,109.302174,1.174915,42.025433,6.511447,18.883585,0.000000,84.655459,0.000000,17.658233,114.415465,12.104862,128.859441,0.000000,56.750067,0,0,0,0,0

32,07:45:08:00,77.654813,324.702788,0.000000,19.305970,34.224036,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.229843,0.000000,0.000000,33.622609,5.367487,40.685542,32.503582,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,364.062895,46.816884,0.000000,56.083930,24.470355,0.000000,0.000000,3.906642,105.815221,1.174915,42.025433,6.511447,18.883585,0.000000,82.026464,0.000000,17.725804,110.839414,12.143474,124.716760,0.000000,56.750067,0,0,0,0,0

33,08:00-08:15,77.654813,324.702788,0.000000,19.305970,29.262335,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.200884,0.000000,0.000000,33.622609,5.367487,40.685542,32.503582,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,312.842525,46.816884,0.000000,56.083930,24.460702,0.000000,0.000000,3.878604,112.506391,1.174915,42.025433,6.511447,18.883585,0.000000,87.190626,0.000000,17.716151,117.803281,12.133821,132.523720,0.000000,22.092054,0,0,0,0,0

34,08:15-08:30,72.535538,324.702788,0.000000,19.305970,28.321902,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.152619,0.000000,0.000000,33.622609,5.367487,40.685542,32.503582,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,284.908295,46.816884,0.000000,56.083930,24.422090,0.000000,0.000000,3.785144,112.223654,1.174915,42.025433,6.511447,18.883585,0.000000,86.908951,0.000000,17.754763,117.426911,12.162780,140.740643,0.000000,22.092054,0,0,0,0,0

35,08:30-08:45,72.535538,329.227631,0.000000,19.305970,28.321902,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.229843,0.000000,0.000000,33.622609,5.367487,40.685542,32.503582,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,284.908295,46.816884,0.000000,56.083930,24.508967,0.000000,0.000000,4.099731,117.218503,1.174915,42.025433,6.511447,18.883585,0.000000,91.134166,0.000000,17.754763,122.885103,12.162780,142.257895,0.000000,22.092054,0,0,0,0,0

36,08:45:09:00,65.669359,330.132600,0.000000,19.305970,24.634456,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.200884,0.000000,0.000000,33.622609,5.367487,40.685542,37.299192,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,284.908295,46.816884,0.000000,56.083930,24.516072,0.000000,0.000000,4.099731,117.218503,1.174915,42.025433,6.511447,18.883585,0.000000,91.134166,0.000000,17.754763,122.885103,12.162780,142.257895,0.000000,22.092054,0,0,0,0,0

37,09:00:09:15,65.669359,330.132600,0.000000,19.305970,24.634456,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.249149,0.000000,0.000000,33.622609,5.367487,40.685542,37.299192,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,284.908295,46.816884,0.000000,56.083930,24.591597,0.000000,0.000000,4.099731,114.287288,1.174915,42.025433,6.511447,18.883585,0.000000,88.846098,0.000000,17.754763,119.812188,12.162780,140.591428,0.000000,18.410045,0,0,0,0,0

38,09:15-09:30,65.669359,330.132600,0.000000,19.305970,24.634456,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.307067,0.000000,0.000000,33.622609,5.367487,40.685542,37.299192,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,284.908295,46.816884,0.000000,56.083930,24.591597,0.000000,0.000000,4.099731,113.896263,1.174915,42.025433,6.511447,18.883585,0.000000,88.542118,0.000000,17.754763,119.402259,12.162780,140.213580,0.000000,18.410045,0,0,0,0,0

39,09:30-09:45,70.788634,330.132600,0.000000,19.305970,29.532678,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.307067,0.000000,0.000000,33.622609,5.367487,40.685542,32.503582,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,284.908295,46.816884,0.000000,53.840573,24.229030,0.000000,0.000000,3.925335,111.013970,1.174915,42.025433,6.511447,18.883585,0.000000,86.301445,0.000000,17.754763,116.380631,12.153127,136.528163,0.000000,18.410045,0,0,0,0,0

40,09:45-10:00,70.788634,330.132600,0.000000,19.305970,29.532678,7.999924,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,168.927500,0.000000,173.717757,3.585993,2.307067,0.000000,0.000000,33.622609,5.367487,40.685542,32.503582,0.000000,0.000000,57.122017,0.000000,36.575718,9.458890,284.908295,46.816884,0.000000,53.840573,24.229030,0.000000,0.000000,3.925335,107.972585,1.174915,42.025433,6.511447,18.883585,0.000000,83.937094,0.000000,17.725804,113.192217,12.133821,132.814454,0.000000,18.410045,0,0,0,0,0

