Column1,Block,NR/30092023/26122029/SH-06,NR/2025/29098/C,GNARE/NR/2024/12/20/3668,NR/2025/29104/C,NR/2025/27356/A/81054,NR/2025/28774/A/80955,NR/2025/29158/C,NR/2025/29160/C,NR/2025/26785/A/80961,NR/2025/27726/A/81569,NR/2025/27168/A/81369,NR/2025/26572/A/81354,NR/2025/26566/A/81352,NR/2025/26571/A/81353,NR/2025/26565/A/81351,NR/2025/27187/A/81563,NR/2025/27185/A/81564,NR/2025/27728/A/81558,NR/2025/26952/A/80931,NR/2025/29211/C,NR/2025/27100/A/81099,NR/2025/26861/A/81366,NR/2025/29225/C,NR/2025/29199/C,NR/2025/26085/A/80901,NR/2025/29262/C,NR/2025/29223/C,NR/2025/27782/A/81556,NR/2025/26777/A/81016,NR/2025/29201/C,NR/2025/27088/A/81424,NR/2025/26860/A/81437,NR/2025/29202/C,NR/2025/27725/A/81559,NR/2025/29203/C,NR/2025/29204/C,NR/2025/29179/C,NR/2025/26445/A/81428,NR/2025/27506/A/80959,NR/2025/29166/C,NR/2025/28851/A/81051,NR/2025/27167/A/81368,NR/2025/27499/A/81414,NR/2025/27242/A/81403,NR/2025/27500/A/80960,NR/2025/28849/A/81049,NR/2025/28719/A/81014,NR/2025/29259/C,NR/2025/26562/A/81350,NR/2025/27162/A/81565,NR/2025/29259/C/Alternate/1,NR/2025/29164/C,NR/2025/26889/A/81417,NR/2025/27281/A/81493,NR/2025/29233/C,NR/2025/29246/C,NR/2025/29205/C,NR/2025/29165/C,NR/2025/27727/A/81557,NR/2025/26975/A/81566,NR/2025/27157/A/81030,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7663,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
35,08:30-08:45,26.94,0,48.04,0,84,5.8,0,1.93,0,43.97,24.18,0,0,0,0,0,19.35,37.38,0,0,0,0,0,96.74,0.97,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,0,26.94,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.56,2111.59

36,08:45-09:00,26.94,0,54.02,0,98,5.8,0,1.93,0,43.97,24.18,0,0,0,0,0,19.35,37.38,0,0,0,0,0,96.74,0.97,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,0,24.18,0,48.37,7.74,0,10.64,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,0,26.94,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.56,2131.57

37,09:00-09:15,26.96,24.91,63.49,53.21,116,7.66,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,96.74,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,10.64,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.46,2208.8799999999997

38,09:15-09:30,26.96,24.91,69.13,53.21,126,8.32,0,0.97,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.46,2321.93

39,09:30-09:45,26.96,24.91,74.35,53.21,140,8.71,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.46,2342.4999999999995

40,09:45-10:00,26.96,24.91,79.16,53.21,147,8.71,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.46,2354.3099999999995

41,10:00-10:15,26.96,24.91,83.52,53.21,161,9.92,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.37,2373.789999999999

42,10:15-10:30,26.96,24.91,87.43,53.21,168,10.12,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.37,2384.899999999999

43,10:30-10:45,26.96,24.91,90.8,53.21,175,8.6,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.37,2393.749999999999

44,10:45-11:00,26.96,24.91,93.59,53.21,179,8.6,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.37,2400.539999999999

45,11:00-11:15,26.96,24.91,100,53.21,189,8.6,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.28,2416.8599999999997

46,11:15-11:30,26.96,24.91,100,53.21,189,8.6,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.28,2416.8599999999997

47,11:30-11:45,26.96,24.91,100,53.21,203,8.6,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.28,2430.8599999999997

48,11:45-12:00,26.96,24.91,100,53.21,203,8.6,0,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.96,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.28,2430.8599999999997

49,12:00-12:15,26.97,24.91,100,53.21,203,8.6,135.44,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.19,2566.229999999999

50,12:15-12:30,26.97,24.91,100,53.21,203,8.6,135.44,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.19,2566.229999999999

51,12:30-12:45,26.97,24.91,100,53.21,203,8.6,135.44,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.19,2566.229999999999

52,12:45-13:00,26.97,24.91,100,53.21,203,8.6,135.44,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.19,2566.229999999999

53,13:00-13:15,26.97,24.91,100,53.21,203,8.6,135.44,1.93,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,11.61,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.09,2566.129999999999

54,13:15-13:30,26.97,24.91,100,53.21,203,8.6,135.44,0.97,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,12.58,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.09,2566.1399999999994

55,13:30-13:45,26.97,24.91,72.92,53.21,203,8.6,135.44,0.97,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,12.58,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.09,2539.0599999999995

56,13:45-14:00,26.97,24.91,81.03,53.21,196,8.6,135.44,0.97,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,0,24.18,0,48.37,0,0,12.58,146.4,15.85,0,0,0,0,0,19.35,192.86,39.95,0,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.09,2540.1699999999996

57,14:00-14:15,26.97,24.91,88.67,53.21,182,8.6,135.44,0.97,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,38.7,24.18,0,48.37,0,193.48,12.58,146.4,15.85,0,0,145.11,0,0,19.35,192.86,39.95,145.11,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.09,3056.209999999999

58,14:15-14:30,26.97,24.91,100,53.21,175,8.6,135.44,0.97,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,38.7,24.18,0,48.37,0,193.48,12.58,146.4,15.85,0,0,145.11,0,0,19.35,192.86,39.95,145.11,0,0,0,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.09,3060.5399999999995

59,14:30-14:45,3,24.91,100,53.21,168,9.66,135.44,0.97,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,193.48,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,38.7,24.18,0,48.37,0,193.48,12.58,146.4,15.85,0,0,145.11,0,0,19.35,192.86,39.95,145.11,0,0,0,3,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.09,3006.6599999999994

60,14:45-15:00,3,24.91,100,53.21,154,9.58,135.44,0.97,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,154.78,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,38.7,24.18,0,48.37,0,193.48,12.58,146.4,15.85,0,0,145.11,0,0,19.35,192.86,39.95,145.11,0,0,0,3,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.09,2953.879999999999

61,15:00-15:15,3,24.91,79.48,53.21,147,8.71,135.44,0,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,154.78,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,38.7,24.18,0,48.37,0,193.48,13.54,146.4,15.85,0,0,145.11,0,0,19.35,192.86,39.95,145.11,0,0,0,3,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.28,2925.669999999999

62,15:15-15:30,3,24.91,75.53,53.21,137,8.71,135.44,0,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,154.78,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,38.7,24.18,0,48.37,0,193.48,13.54,146.4,15.85,0,0,145.11,0,0,19.35,192.86,39.95,145.11,0,0,0,3,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.28,2911.719999999999

63,15:30-15:45,3,24.91,71.23,53.21,126,8.28,135.44,0,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,154.78,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,38.7,24.18,0,48.37,0,193.48,13.54,146.4,15.85,0,0,145.11,0,0,19.35,192.86,39.95,145.11,0,0,0,3,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.28,2895.9899999999993

64,15:45-16:00,3,24.91,66.69,53.21,116,7.67,135.44,0,0,0,24.18,0,0,0,0,0,0,0,0,193.48,0,0,56.05,154.78,0.97,29.02,5.8,0,0,14.66,0,0,43.97,0,43.97,14.66,106.41,63.65,1.93,129.26,38.7,24.18,0,48.37,0,193.48,13.54,146.4,15.85,0,0,145.11,0,0,19.35,192.86,39.95,145.11,0,0,0,3,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.28,2880.8399999999992

65,16:00-16:15,3,0,65.18,0,105,5.8,0,0,53.21,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,135.44,0,25.23,0,0,154.78,0.87,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,193.48,13.54,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,217.66,3,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.64,3114.7799999999993

66,16:15-16:30,3,0,59.63,0,98,5.8,0,0,53.21,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,135.44,0,25.23,0,0,0,0.87,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,193.48,13.54,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,217.66,3,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.64,2947.4499999999994

67,16:30-16:45,0,0,53.92,0,88,5.8,0,0,53.21,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,135.44,0,25.23,0,0,0,0.87,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,193.48,13.54,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,217.66,0,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.64,2925.7399999999993

68,16:45-17:00,0,0,49.52,0,77,5.8,0,0,53.21,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,135.44,0,25.23,0,0,0,0.87,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,193.48,13.54,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,217.66,0,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,15.64,2910.3399999999992

69,17:00-17:15,26.97,0,42.76,0,67,0,0,0,0,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,135.44,0,25.23,0,0,0,0.87,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,193.48,13.54,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,217.66,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.02,2888.889999999999

70,17:15-17:30,26.97,0,35.7,0,56,0,0,0,0,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,135.44,0,25.23,0,0,0,0.87,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,193.48,13.54,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,217.66,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.02,2870.829999999999

71,17:30-17:45,26.97,0,28.61,0,46,0,0,0,0,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,135.44,0,25.23,0,0,0,0.87,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,193.48,13.54,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,217.66,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.02,2853.7399999999993

72,17:45-18:00,26.97,0,21.69,0,35,0,0,0,0,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,135.44,0,25.23,0,0,0,0.87,29.02,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,0,48.37,7.74,193.48,13.54,146.4,145.11,56.05,0,0,0,24.91,0,0,0,0,43.97,5.8,217.66,26.97,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.02,2835.8199999999993

73,18:00-18:15,29,0,15.26,0,28,0,0,0,0,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,0,0,25.23,0,0,0,0.87,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,193.48,13.54,163.06,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,5.8,217.66,26.73,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.39,2671.0899999999992

74,18:15-18:30,29,0,9.51,0,21,0,0,0,0,43.97,24.18,145.11,145.11,0,0,0,19.35,37.38,0,0,25.23,0,0,0,0.87,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,193.48,13.54,163.06,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,5.8,217.66,26.73,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.39,2658.3399999999992

75,18:30-18:45,29,0,3.38,0,15,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,0,0,0,0.87,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,193.48,13.54,163.06,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,5.8,217.66,26.73,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.39,2665.5599999999995

76,18:45-19:00,29,0,3.21,0,10,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,0,0,234.11,0.87,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,193.48,13.54,163.06,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,5.8,217.66,26.73,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.39,2894.499999999999

77,19:00-19:15,29,0,1.47,0,5,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,0,0,234.11,0.87,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,193.48,13.54,163.06,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,5.8,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.48,2887.6099999999988

78,19:15-19:30,29,0,1.07,0,1,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,0,0,234.11,0.87,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,193.48,13.54,163.06,145.11,56.05,0,0,5.8,24.91,0,0,0,0,43.97,5.8,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.48,2883.209999999999

79,19:30-19:45,29,0,0.53,0,0,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,0,0,234.11,0.87,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,193.48,13.54,135.87,145.11,56.05,27.18,0,5.8,24.91,0,0,0,0,43.97,5.8,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.48,2881.6599999999994

80,19:45-20:00,29,0,0.17,0,0,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,0,0,234.11,0.87,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,193.48,13.54,127.1,145.11,56.05,35.96,0,5.8,24.91,0,0,0,0,43.97,5.8,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,193.48,24.18,48.37,16.48,2881.309999999999

81,20:00-20:15,29,0,0,0,0,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.92,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,13.54,21.66,145.11,56.05,141.4,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2845.8299999999986

82,20:15-20:30,29,0,0,0,0,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.92,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,13.54,21.46,145.11,56.05,141.6,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2845.829999999999

83,20:30-20:45,29,0,0,0,0,0,0,0,0,43.97,24.18,145.11,145.11,0,0,19.35,19.35,37.38,0,0,25.23,193.48,0,234.11,0.92,14.51,0,14.66,193.48,0,192.86,106.41,0,14.66,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,13.54,22.3,145.11,56.05,140.76,0,5.8,24.91,0,0,0,0,43.97,27.09,217.66,26.49,48.37,0,48.37,11.92,11.93,0,24.18,62.88,17.41,24.18,0,24.18,48.37,17.87,2845.8299999999986

