Column1,Block,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21938/A/31598,NR/2024/22279/A/31526,NR/2024/22492/C,NR/2024/22493/C,NR/2024/22491/C,NR/2024/21909/A/31798,NR/2024/21956/A/31851,NR/2024/22501/C,NR/2024/22010/A/31899,NR/2024/21814/A/31837,NR/2024/22042/A/31533,NR/2024/21943/A/31844,NR/2024/21918/A/31897,NR/2024/21954/A/31848,NR/2024/22398/A/31928,NR/2024/21940/A/31849,NR/2024/22432/A/31655,NR/2024/22014/A/31534,NR/2024/21961/A/31596,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22052/A/31702,NR/2024/22058/A/31700,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21860/A/31925,NR/2024/21968/A/31830,NR/2024/21970/A/31833,NR/2024/21966/A/31584,GNA/SR/2024/08/12/8286,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,GNA/WR/2024/08/12/7836,NR/2024/21658/A/31557,NR/2024/21983/A/31565,NR/30092023/26122029/SH-06,NR/2024/21974/A/31835,NR/2024/21971/A/31834,NR/30092023/31122025/SH-07,GNA/WR/2024/08/12/5862,Total
64,15:45-16:00,0,12.39,11.93,18.18,0,0,4.81,163.73,27.89,5.62,192.34,24.04,12.5,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,19.91,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.96,48.08,26.8708,37.15,37.15,26.8708,0,1381.8316000000002

65,16:00-16:15,0,12.39,11.93,18.18,0,0,4.81,163.73,27.89,5.23,192.34,24.04,10.96,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,19.04,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.82,48.08,26.8708,37.15,37.15,26.8708,0,1378.8916

66,16:15-16:30,0,12.39,11.93,18.18,0,0,4.81,163.73,27.89,3.12,192.34,24.04,9.23,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,17.12,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.82,48.08,26.8708,37.15,37.15,26.8708,0,1373.1316

67,16:30-16:45,0,12.39,11.93,18.18,0,0,4.81,163.73,27.89,4.5,192.34,24.04,7.41,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,14.23,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.82,48.08,26.8708,37.15,37.15,26.8708,0,1369.8015999999998

68,16:45-17:00,0,12.39,11.93,18.18,0,0,4.81,163.73,27.89,2.75,192.34,24.04,5.48,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,10.48,10.58,0,48.08,37.15,12.39,48.08,0,0,0,0,0.82,48.08,26.8708,37.15,37.15,26.8708,0,1362.3716

69,17:00-17:15,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,2.11,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.77,0,26.8708,37.15,37.15,26.8708,0,1335.1416

70,17:15-17:30,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,1.05,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.77,0,26.8708,37.15,37.15,26.8708,0,1334.0816

71,17:30-17:45,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,1.86,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.77,0,26.8708,37.15,37.15,26.8708,0,1334.8916

72,17:45-18:00,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,1.4,0,24.04,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,12.5,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.77,0,26.8708,37.15,37.15,26.8708,0,1334.4316

73,18:00-18:15,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0.83,0,24.04,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.77,0,26.8708,37.15,37.15,26.8708,0,1321.2215999999999

74,18:15-18:30,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0.33,0,24.04,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.77,0,26.8708,37.15,37.15,26.8708,0,1320.7215999999999

75,18:30-18:45,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0.11,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.77,0,24.0835,37.15,37.15,24.0835,0,1334.167

76,18:45-19:00,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,0,0,192.34,0,0.77,0,24.0835,37.15,37.15,24.0835,0,1334.057

77,19:00-19:15,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,18.5536,37.15,37.15,32,0,1408.5636

78,19:15-19:30,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,18.5536,37.15,37.15,32,0,1408.5636

79,19:30-19:45,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,18.5536,37.15,37.15,32,0,1408.5636

80,19:45-20:00,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,18.5536,37.15,37.15,32,0,1408.5636

81,20:00-20:15,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,32,37.15,37.15,32,0,1422.01

82,20:15-20:30,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,32,37.15,37.15,32,0,1422.01

83,20:30-20:45,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,32,37.15,37.15,32,0,1422.01

84,20:45-21:00,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,32,37.15,37.15,32,0,1422.01

85,21:00-21:15,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,32,37.15,37.15,32,0,1422.01

86,21:15-21:30,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,30.5,37.15,37.15,30.5,0,1419.01

87,21:30-21:45,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,30.5,37.15,37.15,30.5,0,1419.01

88,21:45-22:00,48.08,12.39,11.93,18.18,48.08,0,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,11.54,1.92,0,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,30.5,37.15,37.15,30.5,0,1419.01

89,22:00-22:15,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,10.58,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,30.5,37.15,37.15,30.5,0,1569.53

90,22:15-22:30,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,43.28,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,10.58,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,30.5,37.15,37.15,30.5,0,1569.53

91,22:30-22:45,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,9.62,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,30.5,37.15,37.15,30.5,0,1592.6100000000001

92,22:45-23:00,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,9.62,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.77,0,30.5,37.15,37.15,30.5,0,1592.6100000000001

93,23:00-23:15,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,9.62,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.72,0,30.5,37.15,37.15,30.5,0,1592.5600000000002

94,23:15-23:30,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,9.62,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.72,0,30.5,37.15,37.15,30.5,0,1592.5600000000002

95,23:30-23:45,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,9.62,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.72,0,30.5,37.15,37.15,30.5,0,1592.5600000000002

96,23:45-24:00,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,0,48.08,3.85,38.47,90.4,23.97,240.42,83.84,9.62,1.92,113.61,0,0,0,0,0,48.08,37.15,12.39,0,24.04,0,192.34,48.08,0.72,0,30.5,37.15,37.15,30.5,0,1592.5600000000002

