Time,Block,NR/2023/11947/F,NR/2023/10236/A,NR/2023/11862/F,NR/2023/12058/D,NR/2023/12080/C,NR/2023/10344/A,NR/2023/11476/A,NR/2023/11963/F,NR/2023/11962/F,NR/2023/12082/C,NR/2023/11958/F,NR/2023/10229/A,NR/2023/12059/D,NR/2023/11952/F,NR/2023/12062/D,NR/2023/11955/F,NR/2023/12071/C,NR/2023/11941/F,NR/2023/11961/F,NR/2023/11959/F,NR/2023/11960/F,NR/2023/11342/A,NR/2023/11957/F,NR/2023/12060/D,NR/2023/10613/A,NR/2023/11956/F,NR/2023/12064/C,NR/2023/10434/A,NR/2023/10487/A,Total
80,19:45-20:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,11.910000,62.820000,0.690000,0.660000,0.660000,115.980000,0.710000,0,0.000000,0.350000,30.570000,24.160000,41.560000,869.64

81,20:00-20:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,30.570000,24.160000,41.560000,869.82

82,20:15-20:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,30.570000,24.160000,41.560000,869.82

83,20:30-20:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,30.570000,24.160000,41.560000,869.82

84,20:45-21:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,12.090000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,30.570000,24.160000,41.560000,869.82

85,21:00-21:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,193.300000,0.360000,12.270000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,30.570000,24.160000,41.560000,870

86,21:15-21:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,134.150000,0.360000,12.270000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,30.570000,24.160000,41.560000,810.85

87,21:30-21:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,134.150000,0.360000,12.270000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,30.570000,24.160000,41.560000,810.85

88,21:45-22:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,134.150000,0.360000,12.270000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,0.000000,0.370000,30.570000,24.160000,41.560000,810.85

89,22:00-22:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,134.150000,0.360000,12.360000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,28.530000,24.160000,41.560000,821.56

90,22:15-22:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.360000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,28.530000,24.160000,41.560000,760.09

91,22:30-22:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,67.080000,0.360000,12.360000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,28.530000,24.160000,41.560000,754.49

92,22:45-23:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,67.080000,0.360000,12.360000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,28.530000,24.160000,41.560000,754.49

93,23:00-23:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,67.080000,0.360000,12.550000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,28.530000,24.160000,41.560000,754.68

94,23:15-23:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,67.080000,0.360000,12.550000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,28.530000,24.160000,41.560000,754.68

95,23:30-23:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,67.080000,0.360000,12.550000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,28.530000,24.160000,41.560000,754.68

96,23:45-24:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,20.000000,0.560000,42.970000,0,36.470000,67.080000,0.360000,12.550000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,28.530000,24.160000,41.560000,754.68

