Column1,Block,NR/01082024/31082024/SKS-Raigarh,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21933/A/34453,NR/2024/21966/A/34511,NR/2024/21860/A/34687,NR/2024/21961/A/34712,NR/2024/21938/A/34727,NR/2024/22279/A/34418,NR/2024/21968/A/34798,NR/2024/21956/A/34746,NR/2024/21658/A/34412,NR/2024/21970/A/34799,NR/2024/21983/A/34452,NR/2024/21911/A/34696,NR/2024/22852/C,NR/2024/21974/A/34801,NR/2024/22838/C,NR/2024/21814/A/34802,NR/2024/22853/C,NR/2024/22010/A/34785,NR/2024/22498/A/34786,NR/2024/22623/A/34515,NR/2024/22042/A/34421,NR/2024/22014/A/34422,NR/2024/21943/A/34743,NR/2024/21971/A/34800,NR/2024/21918/A/34783,NR/2024/21954/A/34744,NR/2024/21940/A/34745,NR/01082024/31082024/jitpl,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/APL-Raigarh_august,NR/2024/22851/C,NR/2024/22611/A/34514,NR/2024/22610/A/34513,Total
47,11:30-11:45,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,5.51,10.66,42.63,1407.5842000000002

48,11:45-12:00,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,3.34,10.66,42.63,1405.4142000000002

49,12:00-12:15,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,5.21,10.66,42.63,1407.2842000000003

50,12:15-12:30,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,4.59,10.66,42.63,1406.6642000000002

51,12:30-12:45,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,7,10.66,42.63,1409.0742000000002

52,12:45-13:00,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,3.93,10.66,42.63,1406.0042000000003

53,13:00-13:15,12.48,26.9071,26.9071,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,5.75,10.66,42.63,1406.6242000000004

54,13:15-13:30,12.48,26.9071,26.9071,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,6.27,10.66,42.63,1407.1442000000004

55,13:30-13:45,12.48,26.9071,26.9071,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,4.83,10.66,42.63,1405.7042000000004

56,13:45-14:00,12.48,26.9071,26.9071,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,8.28,10.66,42.63,1409.1542000000004

57,14:00-14:15,12.48,26.9071,26.9071,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,7.66,10.66,42.63,1408.5342000000005

58,14:15-14:30,12.48,26.9071,26.9071,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,3.45,10.66,42.63,1404.3242000000005

59,14:30-14:45,12.48,26.9071,26.9071,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,4.31,10.66,42.63,1405.1842000000004

60,14:45-15:00,12.48,26.9071,26.9071,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,3.55,10.66,42.63,1404.4242000000004

61,15:00-15:15,12.48,26.9066,26.9066,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,5.61,10.66,42.63,1406.4832000000001

62,15:15-15:30,12.48,26.9066,26.9066,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,5.35,10.66,42.63,1406.2232000000001

63,15:30-15:45,12.48,26.9066,26.9066,0,0,0,0,0,13.23,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,1.31,10.66,42.63,1402.1832000000002

