Time,Block,NR/2023/11470/A,NR/2023/11739/A,NR/2023/15315/C,NR/2023/11654/A,NR/2023/13858/A,NR/2023/14187/F,NR/2023/15285/C,NR/2023/13983/F,NR/2023/11954/A,NR/2023/15272/D,NR/2023/13284/A,NR/2023/15281/C,NR/2023/15295/C,NR/2023/15282/C,NR/2023/13859/A,NR/2023/15274/D,NR/2023/13983/F/II,ER/2023/9387/C,NR/2023/11315/A,NR/2023/15283/C,NR/2023/11469/A,NR/2023/15271/D,NR/2023/11328/A,NR/2023/12646/A,NR/2023/11203/A,NR/2023/13573/A,NR/2023/15287/C,NR/2023/15275/D,NR/2023/15286/C,NR/2023/11458/A,NR/2023/14688/F,NR/2023/11325/A,NR/2023/15276/C,NR/2023/15268/D,NR/2023/13283/A,NR/2023/11697/A,NR/2023/14688/F/II,Total
60,14:45-15:00,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,2.42,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,8.080000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1223.76

61,15:00-15:15,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,1.93,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,8.080000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1223.27

62,15:15-15:30,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,1.45,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,8.080000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1222.79

63,15:30-15:45,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,1.45,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,8.080000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1222.79

64,15:45-16:00,21.240000,42.490000,0.000000,79.130000,84.520000,0.970000,0.000000,0.970000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,40.000000,22.220000,0.000000,84.990000,1.16,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,8.080000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1222.5

65,16:00-16:15,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.820000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,0.000000,22.220000,0.000000,84.990000,0.97,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,5.040000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1182.01

66,16:15-16:30,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.820000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,0.000000,22.220000,0.000000,84.990000,0.77,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,5.040000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1181.81

67,16:30-16:45,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.820000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,0.000000,22.220000,0.000000,84.990000,0.48,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,5.040000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1181.52

68,16:45-17:00,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.820000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,28.980000,0.000000,0.000000,22.220000,0.000000,84.990000,0.29,48.300000,23.120000,63.030000,62.790000,6.760000,15.940000,5.040000,106.260000,0.000000,24.150000,8.210000,19.320000,24.150000,0.000000,24.150000,1181.33

69,17:00-17:15,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.820000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0.19,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,5.040000,48.300000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1047.02

70,17:15-17:30,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,0.000000,0.820000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0.1,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1045.93

71,17:30-17:45,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,0.000000,0.820000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1051.73

72,17:45-18:00,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,0.000000,0.820000,0.000000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,19.320000,24.150000,0.000000,24.150000,1051.73

73,18:00-18:15,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,0.000000,0.870000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1044.76

74,18:15-18:30,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,0.000000,0.870000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1044.76

75,18:30-18:45,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,0.000000,0.870000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1044.76

76,18:45-19:00,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,0.000000,0.870000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1044.76

77,19:00-19:15,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,0.000000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1044.81

78,19:15-19:30,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,0.000000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1044.81

79,19:30-19:45,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,19.320000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1064.13

80,19:45-20:00,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,96.600000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1141.41

81,20:00-20:15,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,180.640000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1225.45

82,20:15-20:30,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,196.100000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1240.91

83,20:30-20:45,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,207.690000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1252.5

84,20:45-21:00,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,228.940000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,0.000000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,48.300000,0.000000,24.150000,0.000000,0.000000,0.000000,0.000000,24.150000,1273.75

85,21:00-21:15,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,209.620000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,91.770000,3.870000,24.150000,0.000000,0.000000,0.000000,0.000000,20.280000,1320.12

86,21:15-21:30,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,239.570000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,0.000000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,91.770000,3.870000,24.150000,0.000000,0.000000,0.000000,0.000000,20.280000,1350.07

87,21:30-21:45,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,283.040000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,91.770000,3.870000,24.150000,0.000000,0.000000,0.000000,0.000000,20.280000,1432.18

88,21:45-22:00,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,324.580000,0.920000,36.450000,193.200000,0.000000,0.000000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,0.000000,63.030000,62.790000,6.760000,0.000000,4.040000,91.770000,3.870000,24.150000,0.000000,0.000000,0.000000,0.000000,20.280000,1473.72

89,22:00-22:15,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,227.010000,0.920000,36.450000,193.200000,81.820000,67.620000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,4.040000,91.770000,3.860000,24.150000,0.000000,0.000000,0.000000,35.070000,20.290000,1583.78

90,22:15-22:30,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,253.090000,0.920000,36.450000,193.200000,81.820000,67.620000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,4.040000,91.770000,3.860000,24.150000,0.000000,0.000000,0.000000,35.070000,20.290000,1609.86

91,22:30-22:45,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,300.430000,0.920000,36.450000,193.200000,81.820000,67.620000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,91.770000,3.860000,24.150000,0.000000,0.000000,0.000000,35.070000,20.290000,1655.18

92,22:45-23:00,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,317.810000,0.920000,36.450000,193.200000,81.820000,67.620000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,91.770000,3.860000,24.150000,0.000000,0.000000,0.000000,35.070000,20.290000,1672.56

93,23:00-23:15,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,306.220000,0.870000,36.450000,193.200000,81.820000,67.620000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,91.770000,3.860000,24.150000,0.000000,0.000000,0.000000,35.070000,20.290000,1660.92

94,23:15-23:30,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,296.560000,0.870000,36.450000,193.200000,81.820000,67.620000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,91.770000,3.860000,24.150000,0.000000,0.000000,0.000000,35.070000,20.290000,1651.26

95,23:30-23:45,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,282.070000,0.870000,36.450000,193.200000,81.820000,67.620000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,91.770000,3.860000,24.150000,0.000000,0.000000,0.000000,35.070000,20.290000,1636.77

96,23:45-24:00,21.240000,42.490000,5.900000,79.130000,84.520000,3.860000,244.400000,0.870000,36.450000,193.200000,81.820000,67.620000,0.000000,38.640000,188.370000,0.000000,0.000000,0.000000,22.220000,22.220000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,91.770000,3.860000,24.150000,0.000000,0.000000,0.000000,35.070000,20.290000,1599.1

