Time,Block,NR/2023/12661/A,NR/2023/11709/A,NR/2023/10651/A,NR/2023/10436/A,NR/2023/11266/A,NR/2023/10720/A,NR/2023/12814/F,NR/2023/13053/F,NR/2023/10460/A,NR/2023/10947/A,NR/2023/11953/A,NR/2023/10956/A,NR/2023/12924/F,NR/2023/12919/F,NR/2023/10488/A,NR/2023/10705/A,NR/2023/10432/A,NR/2023/10959/A,NR/2023/12706/A,NR/2023/13731/D,NR/2023/13369/F,NR/2023/13733/D,ER/2023/8468/C,NR/2023/13755/C,NR/2023/12917/F,NR/2023/12923/F,NR/2023/12915/F,NR/2023/13732/D,NR/2023/13315/F,NR/2023/12813/F,NR/2023/12169/A,NR/2023/12872/F,NR/2023/12920/F,NR/2023/11507/A,NR/2023/12922/F,NR/2023/13053/F/II,NR/2023/12921/F,NR/2023/10650/A,NR/2023/13754/C,NR/2023/10786/A,NR/2023/11712/A,NR/2023/13749/C,NR/2023/12916/F,NR/2023/10435/A,NR/2023/13741/D,NR/2023/13739/D,NR/2023/13730/D,WR/2023/16349/C,Total
45,11:00-11:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.540000,0.520000,24.190000,175,75,6.97,0.000000,1744.02

46,11:15-11:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.540000,0.520000,24.190000,178.41,76.46,7.84,0.000000,1749.76

47,11:30-11:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.540000,0.520000,24.190000,177.1,75.9,8.9,0.000000,1748.95

48,11:45-12:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.540000,0.520000,24.190000,178.5,76.5,8.9,0.000000,1750.95

49,12:00-12:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.440000,0.520000,24.190000,180.6,77.4,9.19,0.000000,1754.14

50,12:15-12:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.440000,0.520000,24.190000,180.6,77.4,9.29,0.000000,1754.24

51,12:30-12:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.440000,0.520000,24.190000,180.6,77.4,9.39,0.000000,1754.34

52,12:45-13:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,30.570000,90.960000,64.350000,16.440000,0.520000,24.190000,180.6,77.4,9.39,0.000000,1754.34

53,13:00-13:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,90.960000,64.350000,16.350000,0.520000,24.190000,178.5,76.5,9.44,0.000000,1753.34

54,13:15-13:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,90.960000,64.350000,16.350000,0.520000,24.190000,178.5,76.5,9.48,0.000000,1753.38

55,13:30-13:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,90.960000,64.350000,16.350000,0.520000,24.190000,178.5,76.5,9.68,0.000000,1753.58

56,13:45-14:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,32.900000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,90.960000,64.350000,16.350000,0.520000,24.190000,178.41,76.46,9.48,0.000000,1753.25

57,14:00-14:15,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,106.450000,64.350000,16.260000,0.520000,24.190000,175,75,9.48,0.000000,1754.05

58,14:15-14:30,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,106.450000,64.350000,16.260000,0.520000,24.190000,172.2,73.8,9.44,0.000000,1750.01

59,14:30-14:45,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,106.450000,64.350000,16.260000,0.520000,24.190000,169.4,72.6,9.39,0.000000,1745.96

60,14:45-15:00,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,100.000000,30.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,106.450000,64.350000,16.260000,0.520000,24.190000,163.1,69.9,9.19,0.000000,1736.76

61,15:00-15:15,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,53.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,106.450000,64.350000,16.260000,0.520000,24.190000,155.4,66.6,7.84,0.000000,1647.41

62,15:15-15:30,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,106.450000,64.350000,16.260000,0.520000,24.190000,145.6,62.4,6.97,0.000000,1579.54

63,15:30-15:45,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,106.450000,64.350000,16.260000,0.520000,24.190000,137.2,58.8,5.81,0.000000,1566.38

64,15:45-16:00,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,32.610000,106.450000,64.350000,16.260000,0.520000,24.190000,123.2,52.8,5.32,0.000000,1545.89

65,16:00-16:15,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,34.650000,106.450000,64.350000,16.350000,0.520000,24.190000,110.6,47.4,5.23,0.000000,1529.93

66,16:15-16:30,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,34.650000,106.450000,64.350000,16.350000,0.520000,24.190000,102.2,43.8,4.74,0.000000,1517.44

67,16:30-16:45,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,34.650000,106.450000,64.350000,16.350000,0.520000,24.190000,89.6,38.4,4.35,0.000000,1499.05

68,16:45-17:00,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,24.190000,58.060000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.970000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,34.650000,106.450000,64.350000,16.350000,0.520000,24.190000,77,33,2.03,0.000000,1478.73

69,17:00-17:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.680000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,34.650000,48.380000,64.350000,16.540000,0.520000,24.190000,65.8,28.2,1.94,0.000000,1299.05

70,17:15-17:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,0.000000,0.680000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,34.650000,48.380000,64.350000,16.540000,0.520000,24.190000,59.5,25.5,1.45,0.000000,1289.56

71,17:30-17:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.680000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,34.650000,48.380000,64.350000,16.540000,0.520000,24.190000,49,21,1.16,0.000000,1306.4

72,17:45-18:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,0.000000,85.130000,0.610000,0.970000,48.380000,15.800000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.680000,0.980000,255.390000,1.020000,24.190000,0.980000,7.740000,34.650000,48.380000,64.350000,16.540000,0.520000,24.190000,38.5,16.5,0.68,0.000000,1290.92

73,18:00-18:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.970000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.680000,0.980000,255.390000,1.020000,24.190000,0.980000,14.270000,35.670000,48.380000,64.350000,16.630000,0.520000,24.190000,28,12,0.48,0.000000,1319.89

74,18:15-18:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.970000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.680000,0.980000,255.390000,1.020000,24.190000,0.980000,14.270000,35.670000,48.380000,64.350000,16.630000,0.520000,24.190000,21,9,0,0.000000,1309.41

75,18:30-18:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.970000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.680000,0.980000,255.390000,1.020000,24.190000,0.980000,14.270000,35.670000,48.380000,64.350000,16.630000,0.520000,24.190000,17.5,7.5,0,0.000000,1304.41

76,18:45-19:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.970000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.680000,0.980000,255.390000,1.020000,24.190000,0.980000,14.270000,35.670000,48.380000,64.350000,16.630000,0.520000,24.190000,14,6,0,0.000000,1299.41

77,19:00-19:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.970000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.730000,0.980000,255.390000,1.020000,24.190000,0.980000,14.270000,35.670000,48.380000,64.350000,16.810000,0.520000,24.190000,9.34,4,0,50.000000,1342.98

78,19:15-19:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.970000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.730000,0.980000,255.390000,1.020000,24.190000,0.980000,14.270000,35.670000,48.380000,64.350000,16.810000,0.520000,24.190000,4.12,1.77,0,40.000000,1325.53

79,19:30-19:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.970000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.730000,0.980000,255.390000,1.020000,24.190000,0.980000,14.270000,35.670000,48.380000,64.350000,16.810000,0.520000,24.190000,0.97,0.41,0,45.000000,1326.02

80,19:45-20:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.970000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.730000,0.980000,255.390000,1.020000,24.190000,0.980000,14.270000,35.670000,48.380000,64.350000,16.810000,0.520000,24.190000,0,0,0,30.000000,1309.64

81,20:00-20:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.920000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.770000,0.930000,255.390000,1.020000,24.190000,0.930000,14.270000,35.670000,48.380000,64.350000,17.000000,0.520000,24.190000,0,0,0,30.000000,1309.72

82,20:15-20:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.920000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.770000,0.930000,255.390000,1.020000,24.190000,0.930000,14.270000,35.670000,48.380000,64.350000,17.000000,0.520000,24.190000,0,0,0,30.000000,1309.72

83,20:30-20:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.920000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.770000,0.930000,255.390000,1.020000,24.190000,0.930000,14.270000,35.670000,48.380000,64.350000,17.000000,0.520000,24.190000,0,0,0,30.000000,1309.72

84,20:45-21:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.920000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.770000,0.930000,255.390000,1.020000,24.190000,0.930000,14.270000,35.670000,48.380000,64.350000,17.000000,0.520000,24.190000,0,0,0,30.000000,1309.72

85,21:00-21:15,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.920000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.770000,0.930000,255.390000,1.020000,24.190000,0.930000,14.270000,35.670000,91.930000,64.350000,17.190000,0.520000,24.190000,0,0,0,30.000000,1353.46

86,21:15-21:30,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.920000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.770000,0.930000,255.390000,1.020000,24.190000,0.930000,14.270000,35.670000,91.930000,64.350000,17.190000,0.520000,24.190000,0,0,0,40.000000,1363.46

87,21:30-21:45,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.920000,48.380000,15.820000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.770000,0.930000,255.390000,1.020000,24.190000,0.930000,14.270000,35.670000,91.930000,64.350000,17.190000,0.520000,24.190000,0,0,0,50.000000,1373.46

88,21:45-22:00,33.870000,0.000000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,0.000000,36.510000,85.130000,0.610000,0.920000,48.380000,15.860000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,0.000000,0.770000,0.930000,255.390000,1.020000,24.190000,0.930000,14.270000,35.670000,91.930000,64.350000,17.190000,0.520000,24.190000,0,0,0,50.000000,1373.5

89,22:00-22:15,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.920000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,54.190000,0.730000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,36.690000,91.930000,64.350000,17.370000,0.520000,24.190000,0,0,0,50.000000,1760.68

90,22:15-22:30,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.920000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,54.190000,0.730000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,36.690000,91.930000,64.350000,17.370000,0.520000,24.190000,0,0,0,50.000000,1760.68

91,22:30-22:45,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.920000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,146.140000,4.840000,62.900000,54.190000,0.730000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,36.690000,91.930000,64.350000,17.370000,0.520000,24.190000,0,0,0,50.000000,1760.68

92,22:45-23:00,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.920000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,115.700000,4.840000,62.900000,54.190000,0.730000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,36.690000,91.930000,64.350000,17.370000,0.520000,24.190000,0,0,0,50.000000,1730.24

93,23:00-23:15,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.920000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.630000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,36.690000,91.930000,64.350000,17.550000,0.520000,24.190000,0,0,0,50.000000,1728.63

94,23:15-23:30,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.920000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.630000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,36.690000,91.930000,64.350000,17.550000,0.520000,24.190000,0,0,0,50.000000,1728.63

95,23:30-23:45,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.920000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.630000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,36.690000,91.930000,64.350000,17.550000,0.520000,24.190000,0,0,0,50.000000,1728.63

96,23:45-24:00,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.920000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.630000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,36.690000,91.930000,64.350000,17.550000,0.520000,24.190000,0,0,0,50.000000,1728.63

