Column1,Block,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/16/5917,NR/30092023/26122029/SH-06,NR/2025/32697/C,NR/2025/29352/A/93109,NR/2025/31870/A/92992,NR/2025/30101/A/93402,NR/2025/30067/A/93381,NR/2025/32683/C,NR/2025/32657/C,NR/2025/29440/A/92875,NR/2025/27975/A/93362,NR/2025/29353/A/93110,NR/2025/27973/A/93361,NR/2025/28728/A/93360,NR/2025/30082/A/93393,NR/2025/30083/A/93301,NR/2025/27965/A/93363,NR/2025/30217/A/93296,NR/2025/27966/A/93364,NR/2025/32676/C,NR/2025/29915/A/92933,NR/2025/27978/A/93406,NR/2025/32663/C,NR/30092023/31122025/SH-07,NR/2025/32573/C,NR/2025/30121/A/92871,NR/2025/29167/A/92934,NR/2025/29628/A/93307,NR/2025/32570/C,NR/2025/32634/C,NR/2025/31780/A/93046,NR/2025/32648/C,NR/2025/32656/C,NR/2025/29439/A/93005,NR/2025/30191/A/92868,NR/2025/32674/C,NR/2025/32605/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/07/01/8139,NR/2025/32688/C,NR/2025/30086/A/93299,NR/2025/29992/A/93001,NR/2025/32690/C,NR/2025/30084/A/93300,NR/2025/29910/A/93305,NR/2025/32692/C,NR/2025/32694/C,NR/2025/30105/A/93297,NR/2025/32684/C,NR/2025/32685/C,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/7255,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,NR/2025/31138/A/93337,NR/2025/31347/A/92867,NR/2025/31137/A/93336,NR/2025/29985/A/93047,NR/2025/31138/A/93338,NR/2025/31137/A/93335,NR/2025/31136/A/93334,NR/2025/31420/A/93344,NR/2025/31136/A/93333,NR/2025/31419/A/93345,Total
43,10:30-10:45,0,81.92,26.94,11.56,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,57.76,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.04,9.64,0,49,0,0.29,0,1.64,0.09,1.45,1466.1000000000001

44,10:45-11:00,0,81.92,26.94,12.84,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,59.16,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.04,9.64,0,49,0,0.29,0,1.64,0.09,1.45,1468.7800000000002

45,11:00-11:15,0,81.92,26.94,14.11,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,59.31,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.04,9.64,0,49,0,0.29,0,1.64,0.09,1.45,1470.2000000000003

46,11:15-11:30,0,81.92,26.94,15.56,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,59.38,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.04,9.64,0.77,49,0,0.29,0,1.64,0.09,1.45,1472.4900000000002

47,11:30-11:45,0,81.92,26.94,16.93,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,59.19,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.05,9.64,0.77,49,0,0.29,0,1.64,0.13,1.45,1473.7200000000005

48,11:45-12:00,0,81.92,26.94,18.22,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.94,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,58.71,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.06,9.64,0.77,49,0,0.29,0,1.64,0.14,1.45,1474.5500000000004

49,12:00-12:15,0,81.92,26.95,19.4,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,77.95,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.08,9.64,0.77,56,0,0.29,0,1.64,0.18,1.45,1502.0500000000002

50,12:15-12:30,0,81.92,26.95,19.7,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,74.21,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.09,0.51,0.77,60,0,0.29,0,1.64,0.21,1.45,1493.52

51,12:30-12:45,0,81.92,26.95,19.96,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,81.38,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.04,1.11,0.77,60,0,0.29,0,1.64,0.09,1.45,1501.3799999999999

52,12:45-13:00,0,81.92,26.95,20.24,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,77.72,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.04,1.49,0.77,60,0.67,0.29,0,1.64,0.09,1.45,1499.0500000000002

53,13:00-13:15,0,81.92,26.95,8.83,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,86.67,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.17,1.53,0.77,49,0.67,0.29,0,1.64,0.42,1.45,1486.0900000000001

54,13:15-13:30,0,81.92,26.95,8.83,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,85,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.17,1.22,0.77,49,0.67,0.25,0,1.64,0.48,1.45,1484.1300000000003

55,13:30-13:45,0,81.92,26.95,8.83,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,85,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,0.74,0.77,56,0.67,0.29,0.57,1.64,0.48,1.45,1491.2800000000002

56,13:45-14:00,0,81.92,26.95,8.83,28.67,13.49,0,0,48.19,0,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,0,0,0,76.74,44.33,85,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,0.29,0.77,56,0.67,0.29,0.6,1.64,0.48,1.45,1490.8600000000001

57,14:00-14:15,0,81.92,26.95,8.83,28.67,13.49,0,0,48.19,62.65,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,96.38,0,0,76.74,44.33,78.33,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.77,56,0.67,0.29,0.93,1.64,0.48,1.45,1652.9000000000003

58,14:15-14:30,0,81.92,26.95,8.83,28.67,13.49,0,0,48.19,62.65,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,96.38,0,0,76.74,44.33,76.67,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.77,56,0.67,0.29,0.96,1.64,0.48,1.45,1651.2700000000002

59,14:30-14:45,0,81.92,26.95,8.83,28.67,13.49,0,0,48.19,62.65,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,96.38,0,0,76.74,44.33,80.67,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.49,56,0.67,0.29,0.96,1.64,0.48,1.45,1654.9900000000002

60,14:45-15:00,0,81.92,26.95,8.83,28.67,13.49,0,0,48.19,62.65,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,96.38,0,0,76.74,44.33,73.33,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.49,56,0.67,0.29,0.96,1.64,0.48,1.45,1647.6500000000003

61,15:00-15:15,0,81.92,26.95,10.78,28.67,13.49,0,0,48.19,62.65,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,96.38,0,0,76.74,44.33,55,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.36,46,0.67,0.29,0.96,1.64,0.48,1.45,1621.1400000000003

62,15:15-15:30,0,81.92,26.95,10.78,28.67,13.49,0,0,48.19,62.65,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,96.38,0,0,76.74,44.33,51.67,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,9.64,0.4,45,0.67,0.29,0.96,1.64,0.48,1.45,1616.8500000000004

63,15:30-15:45,0,81.92,26.95,10.78,28.67,13.49,0,0,48.19,62.65,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,96.38,0,0,76.74,44.33,56.67,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,0.2,0.45,39,0.67,0.29,0.96,1.64,0.48,1.45,1606.4600000000003

64,15:45-16:00,0,81.92,26.95,10.78,28.67,13.49,0,0,48.19,62.65,0,0,81.92,0,0,0,0,0,0,0,16.62,0,0,0.96,26.95,48.19,0,0,0,6.75,48.19,0,81.92,96.38,0,0,76.74,44.33,50,0,192.76,0,0,29.2,0,0,7.71,30.21,0,14.6,30.21,15.28,19.28,20.79,135.17,163.85,0,43.8,0.19,1.03,0.47,36,0.41,0.29,0.96,1.64,0.48,1.45,1597.3800000000003

65,16:00-16:15,0,81.92,26.95,10.78,28.67,13.49,48.19,0,0,0,0.96,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.95,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,40,0,192.76,37.24,44.33,0,43.8,16.62,0,0,29.2,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.13,2,0.47,39,0.41,0.2,0.96,0,0.48,0,1769.1000000000004

66,16:15-16:30,0,81.92,26.95,10.78,28.67,13.49,48.19,0,0,0,0.96,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.95,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,36.67,0,192.76,37.24,44.33,0,43.8,16.62,0,0,29.2,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0.11,2.87,0.47,36,0.41,0.15,0.96,0,0.26,0,1763.35

67,16:30-16:45,0,81.92,26.95,10.78,28.67,13.49,48.19,0,0,0,0.96,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.95,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,36.67,0,192.76,37.24,44.33,0,43.8,16.62,0,0,29.2,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,3.68,0.2,35,0.17,0,0.96,0,0,0,1762.13

68,16:45-17:00,0,81.92,26.95,8.83,28.67,13.49,48.19,0,0,0,0.96,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.95,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,33,0,192.76,37.24,44.33,0,43.8,16.62,0,0,29.2,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,4.41,0.2,32,0.17,0,0.96,0,0,0,1754.2400000000002

69,17:00-17:15,0,81.92,26.95,8.17,28.67,13.49,48.19,0,0,0,0.87,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.95,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,40.27,0,192.76,37.24,44.33,0,43.8,16.62,0,0,29.2,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0.13,28,0.12,0,0.96,0,0,0,1752.23

70,17:15-17:30,0,81.92,26.95,7.89,28.67,13.49,48.19,0,0,0,0.87,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.95,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,35.01,0,192.76,37.24,44.33,0,43.8,16.62,0,0,29.2,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0.14,25,0.13,0,0.18,0,0,0,1742.9300000000003

71,17:30-17:45,0,81.92,26.95,7.71,28.67,13.49,48.19,0,0,0,0.87,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.95,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,29.4,0,192.76,37.24,44.33,0,43.8,16.62,0,0,29.2,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0.11,21,0.09,0,0.13,0,0,0,1733.02

72,17:45-18:00,0,81.92,26.95,7.71,28.67,13.49,48.19,0,0,0,0.87,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.95,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,24.18,0,192.76,37.24,44.33,0,43.8,16.62,0,0,29.2,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0.05,18,0.04,0,0.07,0,0,0,1724.6299999999997

73,18:00-18:15,0,81.92,29.5,7.71,28.67,13.49,48.19,0,0,0,0.87,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.41,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,17.65,0,192.76,37.24,44.33,0,43.8,16.73,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,14,0,0,0,0,0,0,1681.5

74,18:15-18:30,0,81.92,29.5,4.08,28.67,13.49,48.19,0,0,0,0.87,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.41,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,14.94,0,192.76,37.24,44.33,0,43.8,16.73,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,10,0,0,0,0,0,0,1671.16

75,18:30-18:45,0,81.92,29.5,4.08,28.67,13.49,48.19,0,0,0,0.87,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.41,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,10.75,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0.01,0,0,6,0,0.02,0,0,0.03,0,1665.58

76,18:45-19:00,0,81.92,29.5,2.61,28.67,13.49,48.19,0,0,0,0.87,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.41,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,6.21,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0.01,0,0,4,0,0.01,0,0,0.02,0,1657.55

77,19:00-19:15,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,29.5,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,1.15,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,1,0,0,0,0,0,0,1649.9799999999998

78,19:15-19:30,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,29.5,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1647.83

79,19:30-19:45,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,29.5,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1647.83

80,19:45-20:00,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,29.5,0,6.75,0,76.74,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1647.83

81,20:00-20:15,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,29.5,0,6.75,54.21,76.74,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1702.04

82,20:15-20:30,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,29.5,0,6.75,54.21,76.74,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1702.04

83,20:30-20:45,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,29.5,0,6.75,54.21,76.74,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1702.04

84,20:45-21:00,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,29.5,0,6.75,54.21,76.74,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1702.04

85,21:00-21:15,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,22,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1723.82

86,21:15-21:30,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,22,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1723.82

87,21:30-21:45,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,22,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1723.82

88,21:45-22:00,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,22,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1723.82

89,22:00-22:15,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.4,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1728.22

90,22:15-22:30,0,81.92,29.5,0,28.67,13.49,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.4,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1728.22

91,22:30-22:45,0,81.92,29.5,0,28.67,12.53,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.4,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1727.26

92,22:45-23:00,0,81.92,29.5,0,28.67,12.53,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.4,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1727.26

93,23:00-23:15,0,81.92,29.5,0,28.67,12.53,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.4,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1727.26

94,23:15-23:30,0,81.92,29.5,0,28.67,12.53,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.4,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1727.26

95,23:30-23:45,0,81.92,26.94,0,28.67,12.53,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.94,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1725.24

96,23:45-24:00,0,81.92,26.94,0,28.67,12.53,48.19,0,0,0,0.92,96.38,81.92,0,81.92,48.19,14.6,0,7.71,62.65,0,0,0,0,26.94,0,6.75,54.21,106.02,0,0,134.93,0,0,25.44,48.19,0,0,0,0,192.76,37.24,44.33,0,43.8,19.28,0,0,29.2,0,0,0,0,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1725.24

