Time,Block,NR/2024/20248/C,NR/2024/20090/A/18803,NR/2024/20037/A/18984,NR/2024/20031/A/19097,NR/2024/19588/A/18873,NR/2024/20050/A/19058,NR/2024/20263/C,NR/2024/20033/A/19098,NR/2024/20048/A/19059,NR/2024/20144/A/18869,NR/2024/20269/C,NR/2024/20265/C,NR/2024/19355/A/19248,NR/2024/19637/A/18852,NR/2024/19432/A/19102,NR/2024/19779/A/18790,NR/2024/19918/A/19093,NR/2024/20109/A/19247,NR/2024/20040/A/19091,NR/2024/20267/C,NR/2024/20270/C,NR/2024/20034/A/19096,NR/2024/20041/A/19060,NR/2024/20247/C,NR/2024/20246/C,NR/2024/20052/A/18670,NR/2024/19760/A/18989,NR/2024/19475/A/19044,NR/2024/20142/A/18865,NR/2024/19683/A/18820,NR/2024/20141/A/18867,NR/2024/20082/A/19092,NR/2024/19699/A/19100,NR/2024/19966/A/18853,NR/2024/20130/A/18953,Total
63,15:30-15:45,6.57,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1144.14

64,15:45-16:00,6.04,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,24.140000,24.140000,0.970000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,48.290000,111.360000,19.320000,13.520000,48.290000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,38.630000,0.480000,1143.61

65,16:00-16:15,5.6,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,111.360000,19.320000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,983.67

66,16:15-16:30,5.31,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,111.360000,19.320000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,983.38

67,16:30-16:45,4.49,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,111.360000,19.320000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,982.56

68,16:45-17:00,3.33,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,111.360000,19.320000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,981.4

69,17:00-17:15,2.41,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,111.360000,19.320000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,980.48

70,17:15-17:30,1.84,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,111.360000,19.320000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,979.91

71,17:30-17:45,1.21,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,111.360000,19.320000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,979.28

72,17:45-18:00,0.86,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,111.360000,19.320000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,978.93

73,18:00-18:15,0.53,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,167.080000,0.000000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1015

74,18:15-18:30,0.24,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,167.080000,0.000000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1014.71

75,18:30-18:45,0.1,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,167.080000,0.000000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1014.57

76,18:45-19:00,0,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,183.500000,14.490000,0.000000,0.000000,43.900000,0.000000,167.080000,0.000000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1014.47

77,19:00-19:15,0,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,241.450000,14.490000,0.000000,144.870000,43.900000,0.000000,167.080000,0.000000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1217.29

78,19:15-19:30,0,1.930000,72.440000,43.900000,66.820000,0.000000,0.000000,14.630000,0.000000,0.880000,0.000000,0.000000,96.580000,0.000000,24.140000,0.820000,13.520000,241.450000,14.490000,0.000000,144.870000,43.900000,0.000000,167.080000,0.000000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1217.29

79,19:30-19:45,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,185.430000,96.580000,0.000000,24.140000,0.820000,13.520000,241.450000,14.490000,0.000000,144.870000,43.900000,0.000000,167.080000,0.000000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1489.64

80,19:45-20:00,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,192.190000,96.580000,0.000000,24.140000,0.820000,13.520000,241.450000,14.490000,0.000000,144.870000,43.900000,0.000000,167.080000,0.000000,13.520000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1496.4

81,20:00-20:15,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,211.510000,96.580000,0.000000,24.140000,0.820000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,167.080000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1579.46

82,20:15-20:30,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,227.930000,96.580000,0.000000,24.140000,0.820000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,167.080000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1595.88

83,20:30-20:45,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,236.620000,96.580000,0.000000,24.140000,0.820000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,167.080000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1604.57

84,20:45-21:00,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,241.450000,96.580000,0.000000,24.140000,0.820000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,167.080000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1609.4

85,21:00-21:15,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,238.550000,96.580000,0.000000,24.140000,0.770000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,167.080000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1606.45

86,21:15-21:30,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,220.200000,96.580000,0.000000,24.140000,0.770000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,167.080000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1588.1

87,21:30-21:45,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,215.370000,96.580000,0.000000,24.140000,0.770000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,167.080000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1583.27

88,21:45-22:00,0,1.930000,72.440000,43.900000,66.820000,0.000000,86.920000,14.630000,0.000000,0.880000,0.000000,221.170000,96.580000,0.000000,24.140000,0.770000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,167.080000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1589.07

89,22:00-22:15,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,0.000000,211.510000,96.580000,0.000000,24.140000,0.720000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,111.360000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1740.95

90,22:15-22:30,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,0.000000,214.410000,96.580000,0.000000,24.140000,0.720000,13.520000,241.450000,14.490000,68.570000,144.870000,43.900000,0.000000,111.360000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1743.85

91,22:30-22:45,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,0.000000,207.650000,96.580000,0.000000,24.140000,0.720000,13.520000,241.450000,14.490000,60.850000,144.870000,43.900000,0.000000,111.360000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1729.37

92,22:45-23:00,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,0.000000,212.480000,96.580000,0.000000,24.140000,0.720000,13.520000,241.450000,14.490000,60.850000,144.870000,43.900000,0.000000,111.360000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1734.2

93,23:00-23:15,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,62.780000,208.610000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,60.850000,144.870000,43.900000,0.000000,111.360000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1793.02

94,23:15-23:30,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,62.780000,208.610000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,60.850000,144.870000,43.900000,0.000000,111.360000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1793.02

95,23:30-23:45,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,62.780000,214.410000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,60.850000,144.870000,43.900000,0.000000,111.360000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1798.82

96,23:45-24:00,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,62.780000,239.520000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,60.850000,144.870000,43.900000,0.000000,111.360000,0.000000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1823.93

