Time,Block,NR/2023/13704/A,NR/2023/11328/A,NR/2023/11524/A,NR/2023/14636/D,NR/2023/14119/F,NR/2023/11469/A,NR/2023/11203/A,NR/2023/11739/A,NR/2023/14644/C,NR/2023/14187/F,NR/2023/14630/D,NR/2023/11205/A,NR/2023/14118/F,NR/2023/13858/A,NR/2023/11654/A,SR/2023/6964/C,NR/2023/11521/A,NR/2023/11458/A,NR/2023/14136/F,NR/2023/11697/A,NR/2023/14117/F,NR/2023/13573/A,NR/2023/14113/F,NR/2023/11954/A,NR/2023/14115/F,NR/2023/13859/A,NR/2023/14632/D,NR/2023/13573/A/II,NR/2023/11264/A,NR/2023/13284/A,NR/2023/13283/A,NR/2023/14649/C,NR/2023/14637/D,NR/2023/13983/F,NR/2023/14114/F,NR/2023/14120/F,NR/2023/11892/A,NR/2023/11325/A,NR/2023/11470/A,NR/2023/14643/C,NR/2023/14650/C,NR/2023/14646/C,NR/2023/13704/A/II,NR/2023/14121/F,NR/2023/13983/F/II,NR/2023/11204/A,NR/2023/12646/A,NR/2023/14648/C,NR/2023/14116/F,NR/2023/11315/A,NR/2023/13283/A/II,Total
43,10:30-10:45,6.750000,48.230000,192.920000,140.7,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,3.86,62.700000,0.000000,0.000000,24.120000,0,60.3,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1734.87

44,10:45-11:00,6.750000,48.230000,192.920000,142.1,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,4.02,62.700000,0.000000,0.000000,24.120000,0,60.9,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1737.03

45,11:00-11:15,6.750000,48.230000,192.920000,142.1,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,6.83,62.700000,0.000000,0.000000,24.120000,0,60.9,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1739.84

46,11:15-11:30,6.750000,48.230000,192.920000,142.1,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,6.73,62.700000,0.000000,0.000000,24.120000,8.1,60.9,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1747.84

47,11:30-11:45,6.750000,48.230000,192.920000,142.1,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,5.32,62.700000,0.000000,0.000000,24.120000,8.1,60.9,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1746.43

48,11:45-12:00,6.750000,48.230000,192.920000,142.1,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,4.22,62.700000,0.000000,0.000000,24.120000,8.1,60.9,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1745.33

49,12:00-12:15,6.750000,48.230000,192.920000,142.1,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,5.51,62.700000,0.000000,0.000000,24.120000,8.1,60.9,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,18.9,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1765.52

50,12:15-12:30,6.750000,48.230000,192.920000,142.1,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,4.54,62.700000,0.000000,0.000000,24.120000,8.1,60.9,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,18.9,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1764.55

51,12:30-12:45,6.750000,48.230000,192.920000,142.1,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,4.11,62.700000,0.000000,0.000000,24.120000,8.7,60.9,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,20.3,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1766.12

52,12:45-13:00,6.750000,48.230000,192.920000,142.1,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,2.71,62.700000,0.000000,0.000000,24.120000,8.7,60.9,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,20.3,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1764.72

53,13:00-13:15,6.750000,48.230000,192.920000,133,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,2.02,62.700000,0.000000,0.000000,24.120000,12.6,57,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,29.4,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1764.03

54,13:15-13:30,6.750000,48.230000,192.920000,126,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,1.79,62.700000,0.000000,0.000000,24.120000,13.5,54,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,31.5,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1756.8

55,13:30-13:45,6.750000,48.230000,192.920000,119,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,2.26,62.700000,0.000000,0.000000,24.120000,16.5,51,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,38.5,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1757.27

56,13:45-14:00,6.750000,48.230000,192.920000,112,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,90.670000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,4.61,62.700000,0.000000,0.000000,24.120000,18,48,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,42,30.000000,0.000000,0.000000,0.000000,7.720000,0.000000,4.820000,0.000000,22.190000,0.000000,1754.62

57,14:00-14:15,6.750000,48.230000,192.920000,108.5,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,4.35,62.700000,0.000000,0.000000,24.120000,18,46.5,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,42,30.000000,0.000000,0.000000,0.000000,7.720000,23.080000,4.820000,0.000000,22.190000,0.000000,1787.88

58,14:15-14:30,6.750000,48.230000,192.920000,108.5,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,3.89,62.700000,0.000000,0.000000,24.120000,16.5,46.5,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,38.5,30.000000,0.000000,0.000000,0.000000,7.720000,23.080000,4.820000,0.000000,22.190000,0.000000,1782.42

59,14:30-14:45,6.750000,48.230000,192.920000,105,0.000000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.000000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,177.970000,6.12,62.700000,0.000000,0.000000,24.120000,13.2,45,0.960000,0.000000,0.000000,0.000000,24.120000,21.220000,0.000000,30.8,30.000000,0.000000,0.000000,0.000000,7.720000,23.080000,4.820000,0.000000,22.190000,0.000000,1768.65

60,14:45-15:00,6.750000,48.230000,192.920000,105,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.8,62.700000,0.000000,0.000000,24.120000,10.5,45,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,24.5,30.000000,0.000000,0.610000,0.000000,7.720000,23.080000,4.820000,0.960000,22.190000,0.000000,1764.31

61,15:00-15:15,6.750000,48.230000,192.920000,100.8,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,5.24,62.700000,0.000000,0.000000,24.120000,9.9,43.2,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,23.1,30.000000,0.000000,0.610000,0.000000,7.720000,23.080000,4.820000,0.960000,22.190000,0.000000,1757.75

62,15:15-15:30,6.750000,48.230000,192.920000,98.7,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.89,62.700000,0.000000,0.000000,24.120000,8.7,42.3,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,20.3,30.000000,0.000000,0.610000,0.000000,7.720000,23.080000,4.820000,0.960000,22.190000,0.000000,1749.4

63,15:30-15:45,6.750000,48.230000,192.920000,95.9,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,5.69,62.700000,0.000000,0.000000,24.120000,8.4,41.1,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,19.6,30.000000,0.000000,0.610000,0.000000,7.720000,23.080000,4.820000,0.960000,22.190000,0.000000,1746.2

64,15:45-16:00,6.750000,48.230000,192.920000,91,1.010000,84.870000,62.940000,42.430000,8.680000,0.960000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,4.51,62.700000,0.000000,0.000000,24.120000,7.5,39,0.960000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,17.5,30.000000,0.000000,0.610000,0.000000,7.720000,23.080000,4.820000,0.960000,22.190000,0.000000,1735.02

65,16:00-16:15,6.750000,48.230000,192.920000,84,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,4.69,62.700000,0.000000,0.000000,24.120000,6,36,0.820000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,14,30.000000,0.000000,0.610000,0.000000,7.720000,23.080000,4.820000,0.960000,22.190000,0.000000,1722.96

66,16:15-16:30,6.750000,48.230000,192.920000,78.4,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,4.99,62.700000,0.000000,0.000000,24.120000,6,33.6,0.820000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,14,30.000000,0.000000,0.610000,0.000000,7.720000,23.080000,4.820000,0.960000,22.190000,0.000000,1715.26

67,16:30-16:45,6.750000,48.230000,192.920000,73.5,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,3.35,62.700000,0.000000,0.000000,24.120000,3,31.5,0.820000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,7,30.000000,0.000000,0.610000,0.000000,7.720000,23.080000,4.820000,0.960000,22.190000,0.000000,1696.62

68,16:45-17:00,6.750000,48.230000,192.920000,64.4,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,106.110000,24.120000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,2.94,62.700000,0.000000,0.000000,24.120000,3.9,27.6,0.820000,0.520000,0.610000,0.000000,24.120000,21.220000,0.000000,9.1,30.000000,0.000000,0.610000,0.000000,7.720000,23.080000,4.820000,0.960000,22.190000,0.000000,1686.21

69,17:00-17:15,6.750000,48.230000,192.920000,61.6,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,2.99,62.700000,0.000000,0.000000,24.120000,2.4,26.4,0.820000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,5.6,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1610.76

70,17:15-17:30,6.750000,48.230000,192.920000,50.4,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,1.19,62.700000,0.000000,0.000000,24.120000,0.9,21.6,0.820000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,2.1,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1587.96

71,17:30-17:45,6.750000,48.230000,192.920000,35,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,1.05,62.700000,0.000000,0.000000,24.120000,3,15,0.820000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,7,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1572.82

72,17:45-18:00,6.750000,48.230000,192.920000,31.5,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.750000,0.970000,77.170000,257.550000,0.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,0.000000,0.950000,177.970000,0.96,62.700000,0.000000,0.000000,24.120000,0,13.5,0.820000,0.520000,0.610000,0.000000,24.120000,21.220000,38.580000,0,30.000000,0.000000,0.610000,0.000000,7.720000,0.000000,4.820000,0.960000,22.190000,0.000000,1557.73

73,18:00-18:15,6.750000,48.230000,192.920000,31.5,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.770000,0.970000,77.170000,257.550000,50.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,36.390000,0.950000,177.970000,0.92,62.700000,0.000000,0.000000,0.000000,0,13.5,0.870000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1654.42

74,18:15-18:30,6.750000,48.230000,192.920000,24.5,1.010000,84.870000,62.940000,42.430000,8.680000,3.860000,192.920000,15.770000,0.970000,77.170000,257.550000,50.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,36.390000,0.950000,177.970000,0.7,62.700000,0.000000,0.000000,0.000000,0,10.5,0.870000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1644.2

75,18:30-18:45,6.750000,48.230000,192.920000,21,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,15.770000,0.970000,77.170000,257.550000,50.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,36.390000,0.950000,177.970000,0.4,62.700000,0.000000,0.000000,0.000000,0,9,0.870000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1625.35

76,18:45-19:00,6.750000,48.230000,192.920000,14,1.010000,84.870000,62.940000,28.880000,8.680000,3.860000,192.920000,15.770000,0.970000,77.170000,257.550000,50.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,36.390000,0.950000,177.970000,0.1,62.700000,0.000000,0.000000,0.000000,0,6,0.870000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1615.05

77,19:00-19:15,6.750000,48.230000,192.920000,7,1.010000,84.870000,62.940000,28.880000,0.000000,3.860000,192.920000,15.770000,0.970000,77.170000,257.550000,50.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,3,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1596.32

78,19:15-19:30,6.750000,48.230000,192.920000,4.2,1.010000,84.870000,62.940000,28.880000,0.000000,3.860000,192.920000,15.770000,0.970000,77.170000,257.550000,50.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,1.8,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1592.32

79,19:30-19:45,6.750000,48.230000,192.920000,1.4,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.770000,0.970000,77.170000,257.550000,50.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0.6,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1585.66

80,19:45-20:00,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.770000,0.970000,77.170000,257.550000,50.00,48.230000,48.230000,0.000000,0.000000,0.970000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1583.66

81,20:00-20:15,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.770000,0.870000,77.170000,257.550000,0.00,48.230000,48.230000,0.000000,0.000000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1503.52

82,20:15-20:30,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.770000,0.870000,77.170000,257.550000,0.00,48.230000,48.230000,0.000000,0.000000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1503.52

83,20:30-20:45,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.770000,0.870000,77.170000,257.550000,0.00,48.230000,48.230000,0.000000,0.000000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1503.52

84,20:45-21:00,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.770000,0.870000,77.170000,257.550000,0.00,48.230000,48.230000,0.000000,0.000000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1503.52

85,21:00-21:15,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.770000,0.870000,77.170000,257.550000,0.00,48.230000,91.640000,0.000000,0.000000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1546.93

86,21:15-21:30,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.770000,0.870000,77.170000,257.550000,0.00,48.230000,91.640000,0.000000,0.000000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1546.93

87,21:30-21:45,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.770000,0.870000,77.170000,257.550000,0.00,48.230000,91.640000,0.000000,0.000000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1546.93

88,21:45-22:00,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,15.810000,0.870000,77.170000,257.550000,0.00,48.230000,91.640000,0.000000,0.000000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,0.000000,0.000000,0,0,0.920000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.000000,14.230000,0.000000,4.820000,0.960000,22.190000,0.000000,1546.97

89,22:00-22:15,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,50.00,48.230000,91.640000,0.000000,27.780000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,64.820000,0.000000,0,0,0.490000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.420000,82.960000,23.080000,4.820000,0.960000,22.190000,0.000000,1997.17

90,22:15-22:30,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,50.00,48.230000,91.640000,0.000000,27.780000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,64.820000,0.000000,0,0,0.490000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.420000,82.960000,23.080000,4.820000,0.960000,22.190000,0.000000,1997.17

91,22:30-22:45,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,50.00,48.230000,91.640000,0.000000,27.780000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,64.820000,0.000000,0,0,0.490000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.420000,82.960000,23.080000,4.820000,0.960000,22.190000,0.000000,1997.17

92,22:45-23:00,6.750000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,50.00,48.230000,91.640000,0.000000,27.780000,0.930000,0.000000,0.380000,36.390000,0.950000,177.970000,0,62.700000,0.000000,64.820000,0.000000,0,0,0.490000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.000000,0.610000,0.420000,82.960000,23.080000,4.820000,0.960000,22.190000,0.000000,1997.17

93,23:00-23:15,6.530000,48.230000,192.920000,0,1.010000,84.870000,62.940000,26.220000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,50.00,48.230000,91.640000,0.000000,27.780000,0.930000,2.040000,0.380000,36.390000,0.950000,177.970000,0,60.660000,0.000000,64.820000,0.000000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,0.000000,0.220000,0.610000,0.870000,82.960000,23.080000,4.820000,0.960000,22.190000,0.000000,1997.13

