Time,Block,NR/2024/20082/A/19528,NR/2024/20309/C,NR/2024/20333/C,NR/2024/20052/A/19015,NR/2024/20144/A/19272,NR/2024/20335/C,NR/2024/20311/C,NR/2024/20050/A/19583,NR/2024/19637/A/19255,NR/2024/19779/A/19171,NR/2024/19683/A/19134,NR/2024/20090/A/19106,NR/2024/20141/A/19278,NR/2024/20109/A/19647,NR/2024/19432/A/19595,NR/2024/19699/A/19593,NR/2024/20034/A/19588,NR/2024/20319/C,NR/2024/20033/A/19591,NR/2024/20334/C,NR/2024/19966/A/19271,NR/2024/19760/A/19178,NR/2024/20336/C,NR/2024/20337/C,NR/2024/20040/A/19526,NR/2024/20048/A/19584,NR/2024/20328/C,NR/2024/19475/A/19479,NR/2024/20142/A/19273,NR/2024/19588/A/19291,NR/2024/20130/A/19251,NR/2024/19918/A/19529,NR/2024/20031/A/19590,NR/2024/20310/C,NR/2024/20041/A/19582,NR/2024/20037/A/19176,NR/2024/19355/A/19648,NR/2024/20330/C,Total
58,14:15-14:30,11.590000,6.43,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1421.85

59,14:30-14:45,11.590000,6.91,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1422.33

60,14:45-15:00,11.590000,7.53,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1422.95

61,15:00-15:15,11.590000,6.07,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1421.49

62,15:15-15:30,11.590000,3.95,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1419.37

63,15:30-15:45,11.590000,5.58,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1421

64,15:45-16:00,11.590000,4.46,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,24.140000,0.970000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,38.630000,48.290000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,48.290000,72.440000,96.580000,48.290000,1419.88

65,16:00-16:15,11.590000,2.62,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1258.54

66,16:15-16:30,11.590000,1.78,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1257.7

67,16:30-16:45,11.590000,1.43,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1257.35

68,16:45-17:00,11.590000,1.28,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1257.2

69,17:00-17:15,11.590000,0.96,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1256.88

70,17:15-17:30,11.590000,0.72,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1256.64

71,17:30-17:45,11.590000,0.54,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1256.46

72,17:45-18:00,11.590000,0.36,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1256.28

73,18:00-18:15,11.590000,0.16,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1256.08

74,18:15-18:30,11.590000,0,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1255.92

75,18:30-18:45,11.590000,0,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1255.92

76,18:45-19:00,11.590000,0,0.000000,13.520000,0.880000,0.000000,26.080000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,183.500000,24.140000,48.290000,43.900000,96.580000,14.630000,0.000000,0.000000,0.000000,0.000000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1255.92

77,19:00-19:15,11.590000,0,0.000000,13.520000,0.880000,0.000000,0.000000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1425.9

78,19:15-19:30,11.590000,0,0.000000,13.520000,0.880000,0.000000,0.000000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1425.9

79,19:30-19:45,11.590000,0,0.000000,13.520000,0.880000,0.000000,0.000000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1425.9

80,19:45-20:00,11.590000,0,0.000000,13.520000,0.880000,0.000000,0.000000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1425.9

81,20:00-20:15,11.590000,0,0.000000,8.690000,0.880000,0.000000,0.000000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1421.07

82,20:15-20:30,11.590000,0,0.000000,8.690000,0.880000,0.000000,0.000000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1421.07

83,20:30-20:45,11.590000,0,0.000000,8.690000,0.880000,0.000000,0.000000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1421.07

84,20:45-21:00,11.590000,0,0.000000,8.690000,0.880000,0.000000,0.000000,0.000000,0.000000,0.820000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1421.07

85,21:00-21:15,11.590000,0,0.000000,8.690000,0.880000,67.610000,0.000000,0.000000,0.000000,0.770000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1488.63

86,21:15-21:30,11.590000,0,0.000000,8.690000,0.880000,67.610000,0.000000,0.000000,0.000000,0.770000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1488.63

87,21:30-21:45,11.590000,0,0.000000,8.690000,0.880000,67.610000,0.000000,0.000000,0.000000,0.770000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1488.63

88,21:45-22:00,11.590000,0,0.000000,8.690000,0.880000,67.610000,0.000000,0.000000,0.000000,0.770000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,0.000000,14.490000,0.000000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1488.63

89,22:00-22:15,11.590000,0,48.290000,8.690000,0.880000,67.610000,0.000000,162.980000,0.000000,0.720000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,96.580000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1850.76

90,22:15-22:30,11.590000,0,48.290000,8.690000,0.880000,67.610000,0.000000,162.980000,0.000000,0.720000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,96.580000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1850.76

91,22:30-22:45,11.590000,0,48.290000,8.690000,0.880000,67.610000,0.000000,162.980000,0.000000,0.720000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,96.580000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1850.76

92,22:45-23:00,11.590000,0,48.290000,8.690000,0.880000,67.610000,0.000000,162.980000,0.000000,0.720000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,96.580000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1850.76

93,23:00-23:15,11.590000,0,48.290000,8.690000,0.880000,67.610000,0.000000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1947.25

94,23:15-23:30,11.590000,0,48.290000,8.690000,0.880000,67.610000,0.000000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1947.25

95,23:30-23:45,11.590000,0,48.290000,8.690000,0.880000,67.610000,0.000000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1947.25

96,23:45-24:00,11.590000,0,48.290000,8.690000,0.880000,67.610000,0.000000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,56.020000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1947.25

