Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/07/1198,GNA/WR/2025/01/01/8625,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17
77,19:00-19:15,0,0,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,7.8,0,114.72,1.39,1.08,31.54,1.23,99.93,86.52,0,271.21,259.56,28.26,0,0,4.22,31.54,0,16,37,0,0,48,13,0,16,0,37,0,0,0,0

78,19:15-19:30,0,0,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,7.6,0,114.72,1.39,1.08,31.54,1.23,99.93,86.52,0,271.21,259.56,28.26,0,0,4.22,31.54,0,16.33,35.66,0,0,49.01,13,0,16.33,0,35.67,0,0,0,0

79,19:30-19:45,0,0,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,7.4,0,114.72,1.39,1.08,31.54,1.23,99.93,86.52,0,271.21,259.56,28.26,0,0,4.22,31.54,0,16.67,34.66,0,0,49.99,12.67,0,16.67,0,34.67,0,0,0,0

80,19:45-20:00,0,0,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,7,0,114.72,1.39,1.08,31.54,1.23,99.93,86.52,0,271.21,259.56,28.26,0,0,4.22,31.54,0,17.33,33.34,0,0,52.01,12.33,0,17.33,0,33.33,0,0,0,0

81,20:00-20:15,0,0,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,6.6,0,114.72,1.39,1.08,31.54,1.15,99.93,86.52,0,271.21,259.56,28.26,0,0,4.32,31.54,0,17.5,27.66,0,0,52.5,12.33,0,17.5,0,27.67,0,0,0,0

82,20:15-20:30,0,0,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,6.4,0,114.72,1.39,1.08,31.54,1.15,99.93,86.52,0,271.21,259.56,28.26,0,0,4.32,31.54,0,17.67,28.34,0,0,52.99,12.33,0,17.67,0,28.33,0,0,0,0

83,20:30-20:45,0,0,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,8.8,0,114.72,1.39,1.08,31.54,1.15,99.93,86.52,0,271.21,259.56,28.26,0,0,4.32,31.54,0,12.17,28.66,0,0,36.49,12.33,0,12.17,0,28.67,0,0,0,0

84,20:45-21:00,0,0,0,36.45,100,50,12.47,36.45,22.06,0,5.76,0,0,28.78,71.94,100,8.6,0,114.72,1.39,1.08,31.54,1.15,99.93,86.52,0,271.21,259.56,27.76,0,0,4.32,31.54,0,11.83,29,0,0,35.51,12.33,0,11.83,0,29,0,0,0,0

85,21:00-21:15,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,0,0,17.27,0,100,8.4,0,114.72,1.35,1.08,32,1.15,99.93,86.52,0,271.21,259.56,27.76,0,0,4.5,32,0,11.67,29,0,0,34.99,12,0,11.67,0,29,0,0,0,0

86,21:15-21:30,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,0,0,17.27,0,100,8.2,0,114.72,1.35,1.08,32,1.15,99.93,86.52,0,271.21,259.56,27.76,0,0,4.5,32,0,11.33,27.34,0,0,34.01,11.67,0,11.33,0,27.33,0,0,0,0

87,21:30-21:45,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,0,0,17.27,0,100,8,0,114.72,1.35,1.08,32,1.15,99.93,86.52,0,271.21,259.56,27.25,0,0,4.5,32,0,11.17,31.66,0,0,33.49,11.67,0,11.17,0,31.67,0,0,0,0

88,21:45-22:00,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,0,0,17.27,0,100,7.8,0,114.72,1.35,1.08,32,1.15,99.93,86.52,0,271.21,259.56,27.25,0,0,4.5,32,0,11.17,31.66,0,0,33.49,11.33,0,11.17,0,31.67,0,0,0,0

89,22:00-22:15,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,100,7.8,0,114.72,1.35,1.08,32,1.07,99.93,86.52,0,271.21,259.56,27.25,0,0,4.59,32,0,11.17,31,0,0,33.49,11.33,0,11.17,0,31,0,0,0,0

90,22:15-22:30,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,100,7.4,0,114.72,1.35,1.08,32,1.07,99.93,86.52,0,271.21,259.56,27.25,0,0,4.59,32,0,11,29.66,0,0,33,11.33,0,11,0,29.67,0,0,0,0

91,22:30-22:45,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,100,7,0,106.25,1.35,1.08,26.99,1.07,99.93,86.52,0,271.21,259.56,27.25,0,0,4.59,26.99,0,11,38.34,0,0,33,11,0,11,0,38.33,0,0,0,0

92,22:45-23:00,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,100,6.4,0,97.79,1.35,1.08,26.99,1.07,99.93,86.52,0,271.21,259.56,27.25,0,0,4.59,26.99,0,10.83,37.66,0,0,32.51,10.67,0,10.83,0,37.67,0,0,0,0

93,23:00-23:15,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,0,6.2,0,89.33,1.3,1.08,26.99,1.07,99.93,86.52,0,271.21,259.56,27.25,0,0,4.59,26.99,0,10.67,39,0,0,31.99,10.33,0,10.67,0,39,0,0,0,0

94,23:15-23:30,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,0,6,0,80.87,1.3,1.08,26.99,1.07,99.93,86.52,0,271.21,259.56,26.74,0,0,4.59,26.99,0,10.5,38,0,0,31.5,10.33,0,10.5,0,38,0,0,0,0

95,23:30-23:45,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,0,6,0,72.4,1.3,1.08,26.99,1.07,99.93,86.52,0,271.21,259.56,26.74,0,0,4.59,26.99,0,10.17,36.66,0,0,30.49,10.33,0,10.17,0,36.67,0,0,0,0

96,23:45-24:00,0,0,0,23.02,100,50,8.63,23.02,22.06,0,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.3,1.08,26.99,1.07,99.93,86.52,0,271.21,259.56,26.74,0,0,4.59,26.99,0,10,36,0,0,30,10.33,0,10,0,36,0,0,0,0

