Time,Block,NR/2023/11476/A,NR/2023/10487/A,NR/2023/11941/F,NR/2023/12197/D,NR/2023/12217/C,NR/2023/12215/C,NR/2023/11963/F,NR/2023/10613/A,NR/2023/12214/C,NR/2023/11958/F,NR/2023/12211/C,NR/2023/12201/D,NR/2023/10344/A,NR/2023/12205/C,NR/2023/12195/D,NR/2023/11960/F,NR/2023/11957/F,NR/2023/10236/A,NR/2023/11956/F,NR/2023/11862/F,NR/2023/11952/F,NR/2023/11961/F,NR/2023/10229/A,NR/2023/11947/F,NR/2023/11342/A,NR/2023/11962/F,NR/2023/11959/F,NR/2023/11955/F,NR/2023/12191/D,Total
80,19:45-20:00,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.660000,0.710000,214.830000,0.350000,2.900000,36.470000,0.690000,42.970000,6.770000,115.980000,0.420000,0.660000,0.360000,193.300000,826.58

81,20:00-20:15,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,193.300000,826.58

82,20:15-20:30,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,193.300000,826.58

83,20:30-20:45,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,193.300000,826.58

84,20:45-21:00,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,193.300000,826.58

85,21:00-21:15,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,134.150000,767.43

86,21:15-21:30,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,134.150000,767.43

87,21:30-21:45,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,700.36

88,21:45-22:00,48.320000,41.560000,62.820000,0,0.000000,14.020000,0.420000,0.000000,0.000000,0.560000,0.000000,0,12.250000,29.560000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,700.36

89,22:00-22:15,48.320000,41.560000,62.820000,0,0.000000,14.120000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,27.520000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,711.08

90,22:15-22:30,48.320000,41.560000,62.820000,0,0.000000,14.120000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,27.520000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,711.08

91,22:30-22:45,48.320000,41.560000,62.820000,0,0.000000,14.120000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,27.520000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,711.08

92,22:45-23:00,48.320000,41.560000,62.820000,0,0.000000,14.120000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,27.520000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,711.08

93,23:00-23:15,48.320000,41.560000,62.820000,0,0.000000,14.120000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,27.520000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,711.08

94,23:15-23:30,48.320000,41.560000,62.820000,0,0.000000,14.120000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,27.520000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,711.08

95,23:30-23:45,48.320000,41.560000,62.820000,0,0.000000,14.120000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,27.520000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,711.08

96,23:45-24:00,48.320000,41.560000,62.820000,0,0.000000,14.120000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,27.520000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,711.08

