Column1,Block,NR/2024/23218/C,NR/2024/23038/A/38040,NR/2024/23209/C,NR/2024/23194/C,NR/2024/23210/C,NR/2024/23118/A/38303,NR/2024/22874/A/38312,NR/2024/23202/C,NR/2024/22754/A/38292,NR/2024/22820/A/38044,NR/2024/22803/A/38314,NR/2024/23119/A/38304,NR/2024/23017/A/38093,NR/2024/23121/A/38305,NR/2024/21658/A/38054,NR/2024/23122/A/38307,NR/2024/22848/A/38302,NR/2024/22835/A/38348,NR/2024/23116/A/38085,NR/2024/23115/A/38086,GNARE/SR/2024/09/21/2911,NR/2024/23208/C,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/21/4323,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/21/8479,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,Total
85,21:00-21:15,22.35,3.88,163.36,38.77,30.05,8.81,48.46,89.17,0,4.85,48.46,26.43,11.63,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30.5,10.91,82.38,20.6,1085.7899999999995

86,21:15-21:30,22.56,3.88,163.36,38.77,30.05,8.81,48.46,89.17,0,4.85,48.46,26.43,11.63,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,0,17.52,0,18.51,42.06,2.13,0,30.5,10.91,82.38,20.6,1085.9999999999995

87,21:30-21:45,22.35,3.88,163.36,38.77,30.05,8.81,48.46,89.17,0,4.85,48.46,26.43,11.63,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,0,30.5,10.91,82.38,20.6,1116.2899999999995

88,21:45-22:00,21.56,3.88,163.36,38.77,30.05,8.81,48.46,89.17,0,4.85,48.46,26.43,11.63,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,0,30.5,10.91,82.38,20.6,1115.4999999999995

89,22:00-22:15,20.34,3.88,163.36,38.77,30.05,8.81,48.46,89.17,48.46,4.85,48.46,26.43,10.66,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,145.38,30.5,10.73,82.38,20.6,1306.9699999999998

90,22:15-22:30,21.37,3.88,163.36,38.77,30.05,8.81,48.46,89.17,48.46,4.85,48.46,26.43,10.66,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,145.38,30.5,10.73,82.38,20.6,1307.9999999999995

91,22:30-22:45,22.81,3.88,163.36,38.77,30.05,8.81,48.46,89.17,48.46,4.85,48.46,26.43,9.69,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,145.38,30.5,10.73,82.38,20.6,1308.4699999999998

92,22:45-23:00,25.18,3.88,163.36,38.77,30.05,8.81,48.46,89.17,48.46,4.85,48.46,26.43,9.69,26.43,0.78,26.43,84.49,91.1,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,145.38,30.5,10.73,82.38,20.6,1310.8399999999997

93,23:00-23:15,26.03,3.88,163.36,38.77,30.05,8.81,48.46,89.17,48.46,4.85,48.46,26.43,9.69,26.43,0.78,26.43,84.49,94.4,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,145.38,30.5,10.54,82.38,20.6,1314.7999999999997

94,23:15-23:30,26.11,3.88,163.36,38.77,30.05,8.81,48.46,89.17,48.46,4.85,48.46,26.43,9.69,26.43,0.78,26.43,84.49,94.4,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,145.38,30.5,10.54,82.38,20.6,1314.8799999999997

95,23:30-23:45,26.59,3.88,163.36,38.77,30.05,8.81,48.46,89.17,48.46,4.85,48.46,26.43,9.69,26.43,0.78,26.43,84.49,94.4,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,145.38,30.5,10.54,82.38,20.6,1315.3599999999997

96,23:45-24:00,26.89,3.88,163.36,38.77,30.05,8.81,48.46,89.17,48.46,4.85,48.46,26.43,9.69,26.43,0.78,26.43,84.49,94.4,0,0,30,0,8.81,96.92,30.5,17.52,0,18.51,42.06,2.13,145.38,30.5,10.54,82.38,20.6,1315.6599999999999

