Time,Block,NR/2023/15784/C,NR/2023/12422/A,NR/2023/12052/A,NR/2023/12167/A,NR/2023/12591/A,NR/2023/15057/F,NR/2023/12347/A,NR/2023/15309/F,NR/2023/13635/A,NR/2023/14895/A,NR/2023/14737/A,NR/2023/12168/A,NR/2023/15303/F,NR/2023/12592/A,NR/2023/15412/F,NR/2023/12431/A,NR/2023/15776/C,NR/2023/15304/F,NR/2023/15767/D,NR/2023/14746/A,NR/2023/15771/C,NR/2023/14898/A,NR/2023/12053/A,NR/2023/15306/F,NR/2023/15798/C,NR/2023/15402/F,NR/2023/15296/F,NR/2023/15774/C,NR/2023/13862/A,NR/2023/15766/D,NR/2023/14745/A,NR/2023/12148/A,ER/2023/9755/C,ER/2023/9748/C,NR/2023/15764/D,NR/2023/15785/C,WR/2023/17898/C,ER/2023/9752/C,Total
59,14:30-14:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,54.210000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,27.700000,0.000000,4.84,17.42,0.000000,0.000000,1108.95

60,14:45-15:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.970000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,53.780000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,27.700000,0.000000,3.78,17.42,0.000000,0.000000,1107.46

61,15:00-15:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.920000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,53.440000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,27.700000,0.000000,3.7,17.42,0.000000,0.000000,1106.99

62,15:15-15:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.920000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,53.880000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,27.700000,0.000000,3.63,17.42,0.000000,0.000000,1107.36

63,15:30-15:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.920000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,54.030000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,27.700000,0.000000,4.47,17.42,0.000000,0.000000,1108.35

64,15:45-16:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.920000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,54.370000,18.990000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,0.000000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,27.700000,0.000000,6.44,17.42,0.000000,0.000000,1110.66

65,16:00-16:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.820000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.060000,12.710000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,38.710000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,0.000000,0.000000,5.1,17.42,0.000000,0.000000,1114.64

66,16:15-16:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.820000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.630000,12.710000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,38.710000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,0.000000,0.000000,3.29,17.42,0.000000,0.000000,1113.4

67,16:30-16:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.820000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,38.710000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,0.000000,0.000000,2.88,17.42,0.000000,0.000000,1113.31

68,16:45-17:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.820000,106.450000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,38.710000,0.000000,29.030000,70.160000,0.000000,0.930000,38.710000,6.770000,0.970000,8.070000,23.160000,12.580000,24.190000,22.260000,0.000000,0.000000,3.26,17.42,0.000000,0.000000,1113.69

69,17:00-17:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.820000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,38.710000,0.000000,0.000000,70.160000,0.000000,0.930000,30.970000,0.000000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,0.000000,0.000000,2.05,0,0.000000,0.000000,970.29

70,17:15-17:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.820000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,38.710000,0.000000,0.000000,70.160000,0.000000,0.930000,24.190000,0.000000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,0.000000,0.000000,1.87,0,0.000000,0.000000,963.33

71,17:30-17:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.820000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,38.710000,0.000000,0.000000,70.160000,0.000000,0.930000,19.350000,0.000000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,0.000000,0.000000,1.54,0,0.000000,0.000000,958.16

72,17:45-18:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.820000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,38.710000,0.000000,0.000000,70.160000,0.000000,0.930000,19.350000,0.000000,0.970000,8.070000,0.000000,12.580000,24.190000,22.260000,0.000000,0.000000,0.61,0,0.000000,0.000000,957.23

73,18:00-18:15,0.000000,0.000000,63.140000,24.190000,42.570000,0.870000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,19.350000,0.000000,0.970000,8.070000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0.17,0,0.000000,0.000000,917.87

74,18:15-18:30,0.000000,0.000000,63.140000,24.190000,42.570000,0.870000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,19.350000,0.000000,0.970000,8.070000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,917.7

75,18:30-18:45,0.000000,0.000000,63.140000,24.190000,42.570000,0.870000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,19.350000,0.000000,0.970000,8.070000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,917.7

76,18:45-19:00,0.000000,0.000000,63.140000,24.190000,42.570000,0.870000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,12.710000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,19.350000,0.000000,0.970000,9.080000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,918.71

77,19:00-19:15,23.220000,0.000000,63.140000,24.190000,42.570000,0.920000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,9.080000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,928.91

78,19:15-19:30,43.550000,0.000000,63.140000,24.190000,42.570000,0.920000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,9.080000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,949.24

79,19:30-19:45,74.510000,0.000000,63.140000,24.190000,42.570000,0.920000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,9.080000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,980.2

80,19:45-20:00,106.450000,0.000000,63.140000,24.190000,42.570000,0.920000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,9.080000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1012.14

81,20:00-20:15,129.670000,0.000000,63.140000,24.190000,42.570000,0.920000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,8.070000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1034.35

82,20:15-20:30,151.930000,0.000000,63.140000,24.190000,42.570000,0.920000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,8.070000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1056.61

83,20:30-20:45,191.600000,0.000000,63.140000,24.190000,42.570000,0.920000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,8.070000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1096.28

84,20:45-21:00,221.600000,0.000000,63.140000,24.190000,42.570000,0.920000,48.380000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,8.070000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1126.28

85,21:00-21:15,246.760000,0.000000,63.140000,24.190000,42.570000,0.920000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,7.060000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1193.98

86,21:15-21:30,277.730000,0.000000,63.140000,24.190000,42.570000,0.920000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,7.060000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1224.95

87,21:30-21:45,312.570000,0.000000,63.140000,24.190000,42.570000,0.920000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,7.060000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1259.79

88,21:45-22:00,329.990000,0.000000,63.140000,24.190000,42.570000,0.920000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,0.000000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,0.000000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1275.19

89,22:00-22:15,284.500000,33.390000,63.140000,24.190000,42.570000,0.920000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1364.15

90,22:15-22:30,311.600000,33.390000,63.140000,24.190000,42.570000,0.920000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1391.25

91,22:30-22:45,329.990000,33.390000,63.140000,24.190000,42.570000,0.920000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1409.64

92,22:45-23:00,329.990000,33.390000,63.140000,24.190000,42.570000,0.920000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1409.64

93,23:00-23:15,329.990000,33.390000,63.140000,24.190000,42.570000,0.870000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1409.59

94,23:15-23:30,329.990000,33.390000,63.140000,24.190000,42.570000,0.870000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1409.59

95,23:30-23:45,329.990000,33.390000,63.140000,24.190000,42.570000,0.870000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1409.59

96,23:45-24:00,312.570000,33.390000,63.140000,24.190000,42.570000,0.870000,91.930000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,55.950000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,0.000000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1392.17

