Time,Block,NR/2023/14847/C,NR/2023/13983/F,NR/2023/14856/C,NR/2023/11469/A,NR/2023/11325/A,NR/2023/14855/C,NR/2023/13284/A,NR/2023/12646/A,NR/2023/14874/C,NR/2023/14841/D,NR/2023/11470/A,NR/2023/14688/F,NR/2023/13858/A,NR/2023/11203/A,NR/2023/14886/C,NR/2023/14187/F,NR/2023/11458/A,NR/2023/13283/A,NR/2023/11954/A,NR/2023/14837/D,NR/2023/13983/F/II,NR/2023/11315/A,NR/2023/11739/A,NR/2023/14848/C,NR/2023/11654/A,NR/2023/14839/D,NR/2023/13573/A,NR/2023/14688/F/II,NR/2023/11328/A,NR/2023/11697/A,WR/2023/17245/C,NR/2023/14878/C,NR/2023/14834/D,NR/2023/13859/A,NR/2023/14833/D,NR/2023/14835/D,Total
64,15:45-16:00,0.000000,0.970000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,0.970000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,2.88,181.010000,106.4,45.6,1398.64

65,16:00-16:15,0.000000,0.820000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,2.41,181.010000,99.4,42.6,1390.91

66,16:15-16:30,0.000000,0.820000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.78,181.010000,91,39,1377.28

67,16:30-16:45,0.000000,0.820000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.34,181.010000,84,36,1366.84

68,16:45-17:00,0.000000,0.820000,14.580000,84.940000,24.140000,6.760000,0.000000,23.100000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,106.190000,24.140000,0.000000,24.140000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.25,181.010000,73.5,31.5,1351.75

69,17:00-17:15,0.000000,0.820000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.15,181.010000,63,27,1231.49

70,17:15-17:30,0.000000,0.820000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.14,181.010000,49,21,1211.48

71,17:30-17:45,0.000000,0.820000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.35,181.010000,42,18,1201.69

72,17:45-18:00,0.000000,0.820000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,24.140000,0.000000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.32,181.010000,35,15,1191.66

73,18:00-18:15,0.000000,0.870000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,0.000000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.14,181.010000,31.5,13.5,1198.81

74,18:15-18:30,0.000000,0.870000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,8.690000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0.1,181.010000,24.5,10.5,1192.39

75,18:30-18:45,0.000000,0.870000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0,181.010000,21,9,1178.6

76,18:45-19:00,0.000000,0.870000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0,181.010000,14,6,1168.6

77,19:00-19:15,0.000000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0,181.010000,7,3,1187.61

78,19:15-19:30,0.000000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0,181.010000,4.2,1.8,1183.61

79,19:30-19:45,0.000000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0,181.010000,1.4,0.6,1179.61

80,19:45-20:00,0.000000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,0,0,181.010000,0,0,1177.61

81,20:00-20:15,42.480000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,29.35,0,181.010000,0,0,1249.44

82,20:15-20:30,40.550000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,29.35,0,181.010000,0,0,1247.51

83,20:30-20:45,60.820000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,29.35,0,181.010000,0,0,1267.78

84,20:45-21:00,96.540000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,24.140000,84.470000,62.990000,0.000000,3.860000,48.270000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,0.000000,48.270000,0.000000,30.000000,29.35,0,181.010000,0,0,1303.5

85,21:00-21:15,89.780000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,20.260000,84.470000,62.990000,0.000000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.870000,48.270000,0.000000,30.000000,29.35,0,181.010000,0,0,1340.17

86,21:15-21:30,131.290000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,20.260000,84.470000,62.990000,0.000000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.870000,48.270000,0.000000,30.000000,29.35,0,181.010000,0,0,1381.68

87,21:30-21:45,173.770000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,20.260000,84.470000,62.990000,0.000000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.870000,48.270000,0.000000,30.000000,29.35,0,181.010000,0,0,1424.16

88,21:45-22:00,173.770000,0.920000,14.580000,84.940000,24.140000,6.760000,0.000000,0.000000,3.620000,193.080000,21.230000,20.260000,84.470000,62.990000,0.000000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.870000,48.270000,0.000000,30.000000,29.35,0,181.010000,0,0,1424.16

89,22:00-22:15,101.370000,0.920000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,3.620000,193.080000,21.230000,20.270000,84.470000,62.990000,0.000000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,29.35,0,181.010000,0,0,1497.46

90,22:15-22:30,148.670000,0.920000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,3.620000,193.080000,21.230000,20.270000,84.470000,62.990000,0.000000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,29.35,0,181.010000,0,0,1544.76

91,22:30-22:45,173.770000,0.920000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,3.620000,193.080000,21.230000,20.270000,84.470000,62.990000,0.000000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,29.35,0,181.010000,0,0,1569.86

92,22:45-23:00,173.770000,0.920000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,3.620000,193.080000,21.230000,20.270000,84.470000,62.990000,0.000000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,29.35,0,181.010000,0,0,1569.86

93,23:00-23:15,173.770000,0.870000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,3.620000,193.080000,21.230000,20.270000,84.470000,62.990000,52.130000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,29.35,0,181.010000,0,0,1621.94

94,23:15-23:30,179.560000,0.870000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,3.620000,193.080000,21.230000,20.270000,84.470000,62.990000,52.130000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,29.35,0,181.010000,0,0,1627.73

95,23:30-23:45,187.290000,0.870000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,3.620000,193.080000,21.230000,20.270000,84.470000,62.990000,52.130000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,29.35,0,181.010000,0,0,1635.46

96,23:45-24:00,195.010000,0.870000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,3.620000,193.080000,21.230000,20.270000,84.470000,62.990000,52.130000,3.860000,91.710000,0.000000,36.420000,0.000000,0.000000,22.200000,42.470000,28.960000,152.530000,0.000000,62.750000,3.860000,48.270000,36.780000,30.000000,29.35,0,181.010000,0,0,1643.18

