Time,Block,NR/2023/17165/A,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17791/C,NR/2023/17496/F,NR/2023/17404/F,WR/2023/17681/A,WR/2023/17681/A/II,NR/2023/17793/C,NR/2023/17344/F,NR/2023/17263/F,WR/2023/19090/A,Total
,,NVVNL,MANIKARAN,APPCPL,TPDDL,IEXL,MANIKARAN,MANIKARAN,MANIKARAN,NVVNL,ITCLH,APPCPL,TPTCL,Total

,,NA,DELHI,DELHI,HIMACHAL PRADESH,KARNATAKA,DELHI,DELHI,DELHI,NA,ANDHRA PRADESH,DELHI,DELHI,
,,SKS Raigarh,BRPL,BYPL,CHANJUII,NSLSUGAR,BRPL,BYPL,BYPL,SOLAPUR_SOLAR,ITCWIND,BRPL,BYPL,
,,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,DELHI,DELHI,HIMACHAL PRADESH,MAHARASHTRA,
,,NDMC,HP,HP,TPDDL,MES (Delhi),HP,AEML,AEML,MES (Delhi),ITCLH,HP,TPC MSEB,
,,West-North,North-North,North-North,North-North,South-East-North,North-North,North-West,North-East-West,West-North,South-West-North,North-North,North-West,
81,20:00-20:15,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

82,20:15-20:30,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

83,20:30-20:45,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

84,20:45-21:00,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

85,21:00-21:15,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

86,21:15-21:30,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

87,21:30-21:45,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

88,21:45-22:00,62.820000,0.000000,0.000000,6.190000,6.770000,20.400000,100.000000,0.000000,0,0.720000,0.000000,100.000000,296.9

89,22:00-22:15,62.820000,0.000000,42.710000,6.090000,6.770000,20.400000,100.000000,0.000000,0,0.680000,99.420000,100.000000,438.89

90,22:15-22:30,62.820000,0.000000,42.710000,6.090000,6.770000,20.400000,100.000000,0.000000,0,0.680000,99.420000,100.000000,438.89

91,22:30-22:45,62.820000,0.000000,42.710000,6.090000,6.770000,20.400000,100.000000,0.000000,0,0.680000,99.420000,100.000000,438.89

92,22:45-23:00,62.820000,0.000000,42.710000,6.090000,6.770000,20.400000,100.000000,0.000000,0,0.680000,99.420000,100.000000,438.89

93,23:00-23:15,62.820000,0.000000,42.710000,6.000000,6.770000,20.400000,100.000000,0.000000,0,0.630000,99.420000,100.000000,438.75

94,23:15-23:30,62.820000,0.000000,42.710000,6.000000,6.770000,20.400000,100.000000,0.000000,0,0.630000,99.420000,100.000000,438.75

95,23:30-23:45,62.820000,0.000000,42.710000,6.000000,6.770000,20.400000,100.000000,0.000000,0,0.630000,99.420000,100.000000,438.75

96,23:45-24:00,62.820000,0.000000,42.710000,6.000000,6.770000,20.400000,100.000000,0.000000,0,0.630000,99.420000,100.000000,438.75

