Column1,Block,GNA/NR/2025/05/01/9252,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26879/A/76507,NR/2025/25967/A/76720,NR/2025/27756/C,NR/2025/27732/C,NR/2025/26827/A/76796,NR/2025/27759/C,NR/2025/26828/A/76794,NR/2025/27657/C,NR/2025/27774/C,NR/2025/26289/A/76766,NR/2025/27658/C,NR/2025/27663/C,NR/2025/27775/C,NR/2025/27692/C,NR/2025/27660/C,NR/2025/27720/C,NR/2025/27758/C,NR/2025/27661/C,NR/2025/27662/C,NR/2025/27773/C,NR/2025/27659/C,NR/2025/26825/A/76797,NR/2025/26829/A/76789,NR/2025/27746/C,NR/2025/26191/A/76452,NR/2025/26232/A/76769,NR/2025/26785/A/76484,NR/2025/26085/A/76341,NR/2025/26233/A/76768,NR/2025/26379/A/76719,NR/2025/27149/A/76490,NR/2025/27750/C,NR/2025/26265/A/76767,NR/2025/26959/A/76489,NR/2025/26336/A/76508,NR/2025/27751/C,NR/2025/27755/C,NR/2025/27757/C,NR/2025/25861/A/76755,NR/2025/26004/A/76456,NR/2025/25860/A/76756,NR/2025/25859/A/76757,NR/2025/26101/A/76546,NR/2025/26153/A/76458,NR/2025/26202/A/76852,NR/2025/26291/A/76765,GNA/NR/2025/05/01/4138,NR/2025/26082/A/76853,NR/2025/26822/A/76798,NR/2025/26005/A/76457,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9395,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/6160,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8068,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/76431,NR/2025/26335/A/76509,Total
40,09:45-10:00,13.53,12.2,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,62.8,0,6.76,0,108.55,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,83.74,10.63,168,1736.3500000000004

41,10:00-10:15,13.53,12.11,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,3.86,29.95,0,6.76,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,88.76,12.56,179,1776.6100000000006

42,10:15-10:30,13.53,12.11,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,3.86,29.95,0,6.76,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,93.42,12.56,186,1788.2700000000007

43,10:30-10:45,13.53,12.11,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,3.86,29.95,0,6.76,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,97.58,12.56,189,1795.4300000000005

44,10:45-11:00,13.53,12.11,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,3.86,29.95,0,6.76,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,100,12.56,193,1801.8500000000006

45,11:00-11:15,13.53,12.02,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,100,13.53,196,1806.7000000000003

46,11:15-11:30,13.53,12.02,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,100,13.53,196,1806.7000000000003

47,11:30-11:45,13.53,12.02,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,100,13.53,196,1806.7000000000003

48,11:45-12:00,13.53,12.02,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.94,14.49,26.94,10.63,100,13.53,196,1806.7000000000003

49,12:00-12:15,13.53,11.93,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,13.53,196,1806.6300000000006

50,12:15-12:30,13.53,11.93,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,13.53,196,1806.6300000000006

51,12:30-12:45,13.53,11.93,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,13.53,196,1806.6300000000006

52,12:45-13:00,13.53,11.93,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,13.53,196,1806.6300000000006

53,13:00-13:15,13.53,11.83,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,13.53,196,1806.5300000000007

54,13:15-13:30,13.53,11.83,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,13.53,196,1806.5300000000007

55,13:30-13:45,13.53,11.83,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,13.53,196,1806.5300000000007

56,13:45-14:00,13.53,11.83,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,52.85,0,24.15,0,0,67.63,0,0,0,0.97,0,0,2.9,29.95,0,8.69,0,162.84,12.44,37.32,0,48.3,0,67.63,0,9.95,0,0,0,47.34,0,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,13.53,196,1806.5300000000007

57,14:00-14:15,13.53,11.83,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,62.8,0,24.15,0,0,67.63,0,0,0,0,0,0,2.9,29.95,0,9.66,0,162.84,12.44,37.32,77.29,48.3,0,67.63,24.15,0,0,0,0,0,0,39.61,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,11.59,186,1840.0000000000005

58,14:15-14:30,13.53,11.83,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,62.8,0,24.15,0,0,67.63,0,0,0,0,0,0,2.9,29.95,0,9.66,0,162.84,12.44,37.32,77.29,48.3,0,67.63,24.15,0,0,0,0,0,0,39.61,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,100,11.59,179,1833.0000000000005

59,14:30-14:45,13.53,11.83,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,62.8,0,24.15,0,0,67.63,0,0,0,0,0,0,2.9,29.95,0,9.66,0,162.84,12.44,37.32,77.29,48.3,0,67.63,24.15,0,0,0,0,0,0,39.61,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,88.36,11.59,168,1810.3600000000004

60,14:45-15:00,13.53,11.83,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,62.8,0,24.15,0,0,67.63,0,0,0,0,0,0,2.9,29.95,0,9.66,0,162.84,12.44,37.32,77.29,48.3,0,67.63,24.15,0,0,0,0,0,0,39.61,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,84.87,11.59,158,1796.8700000000006

61,15:00-15:15,13.53,12.11,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,62.8,0,24.15,0,0,67.63,0,0,0,0,0,0,1.93,29.95,0,11.59,0,162.84,12.44,37.32,77.29,48.3,0,67.63,24.15,0,0,0,0,0,0,39.61,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,84.22,8.69,151,1787.5600000000004

62,15:15-15:30,13.53,12.11,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,62.8,0,24.15,0,0,67.63,0,0,0,0,0,0,1.93,29.95,0,11.59,0,162.84,12.44,37.32,77.29,48.3,0,67.63,24.15,0,0,0,0,0,0,39.61,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,79.5,8.69,137,1768.8400000000004

63,15:30-15:45,13.53,12.11,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,62.8,0,24.15,0,0,67.63,0,0,0,0,0,0,1.93,29.95,0,11.59,111.1,162.84,12.44,37.32,77.29,48.3,0,67.63,24.15,0,0,0,0,0,0,39.61,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,74.66,8.69,130,1868.1000000000004

64,15:45-16:00,13.53,12.11,0,164.24,25.3,0,0,25.3,0,96.61,0,0,48.3,53.14,0,48.3,4.83,77.29,12.44,4.83,62.8,0,24.15,0,0,67.63,0,0,0,0,0,0,1.93,29.95,0,11.59,111.1,162.84,12.44,37.32,77.29,48.3,0,67.63,24.15,0,0,0,0,0,0,39.61,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,69.34,8.69,119,1851.7800000000002

65,16:00-16:15,13.53,12.39,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,53.14,0.82,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,63.45,5.8,98,1879.13

66,16:15-16:30,13.53,12.39,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,53.14,0.82,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,57.1,5.8,88,1862.78

67,16:30-16:45,13.53,12.39,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,53.14,0.82,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,50.53,5.8,77,1845.21

68,16:45-17:00,13.53,12.39,0,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,53.14,0.82,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,43.88,5.8,63,1824.5600000000002

69,17:00-17:15,13.53,12.76,33.81,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,32.4,0,49,1774.1800000000003

70,17:15-17:30,13.53,12.76,33.81,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,25.97,0,35,1753.7500000000002

71,17:30-17:45,13.53,12.76,33.81,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,19.57,0,28,1740.3500000000001

72,17:45-18:00,13.53,12.76,33.81,164.24,0,0,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,0,0,0,0,0,0,0,164.24,17.56,0,26.95,14.49,26.95,10.63,13.77,0,18,1724.5500000000002

73,18:00-18:15,13.53,13.23,33.81,164.24,0,82.12,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,26.7,14.49,26.7,10.63,9.14,0,7,1933.0300000000004

74,18:15-18:30,13.53,13.23,33.81,164.24,0,82.12,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,26.7,14.49,26.7,10.63,5.24,0,5,1927.1300000000003

75,18:30-18:45,13.53,13.23,33.81,164.24,0,82.12,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,26.7,14.49,26.7,10.63,0,0,1,1917.8900000000003

76,18:45-19:00,13.53,13.23,33.81,164.24,0,82.12,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.68,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,26.7,14.49,26.7,10.63,0,0,0,1916.8900000000003

77,19:00-19:15,13.53,13.23,33.81,164.24,0,82.12,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.72,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29,14.49,25.55,10.63,0,0,0,1918.0800000000002

78,19:15-19:30,13.53,13.23,33.81,164.24,0,82.12,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.72,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29,14.49,25.55,10.63,0,0,0,1918.0800000000002

79,19:30-19:45,13.53,13.03,33.81,164.24,0,82.12,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.72,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29,14.49,25.55,10.63,0,0,0,1917.8799999999999

80,19:45-20:00,13.53,13.03,33.81,164.24,0,82.12,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.72,4.83,77.29,1.93,29.95,96.61,11.59,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29,14.49,25.55,10.63,0,0,0,1917.8799999999999

81,20:00-20:15,13.53,13.03,33.81,164.24,0,62.8,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,29.95,96.61,9.66,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,1896.23

82,20:15-20:30,13.53,13.03,33.81,164.24,0,62.8,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,29.95,96.61,9.66,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,1896.23

83,20:30-20:45,13.53,13.03,33.81,164.24,0,62.8,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,29.95,96.61,9.66,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,1896.23

84,20:45-21:00,13.53,13.03,33.81,164.24,0,62.8,37.32,0,12.44,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,29.95,96.61,9.66,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,1896.23

85,21:00-21:15,13.53,12.85,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,0,96.61,9.66,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,2059.7999999999997

86,21:15-21:30,13.53,12.85,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,0,96.61,9.66,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,2059.7999999999997

87,21:30-21:45,13.53,12.85,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,0,96.61,9.66,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,2059.7999999999997

88,21:45-22:00,13.53,12.85,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,1.93,0,96.61,9.66,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,2059.7999999999997

89,22:00-22:15,13.53,12.76,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,2.9,0,96.61,7.73,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,2058.7499999999995

90,22:15-22:30,13.53,12.76,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,2.9,0,96.61,7.73,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,29.5,14.49,24.6,10.63,0,0,0,2058.7499999999995

91,22:30-22:45,13.53,12.76,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,2.9,0,96.61,7.73,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,27,14.49,27,10.63,0,0,0,2058.6499999999996

92,22:45-23:00,13.53,12.76,33.81,164.24,0,62.8,37.32,0,12.44,0,86.95,48.3,0,0,18.14,0,0,0,0,0,0,88.61,0,25.3,25.3,0,48.3,4.83,0,0.77,4.83,77.29,2.9,0,96.61,7.73,111.1,162.84,0,0,77.29,48.3,0,67.63,24.15,62.8,67.63,24.15,0,47.34,12.44,48.3,0,28.98,67.63,5.8,28.98,14.49,19.32,0,0,164.24,17.56,5.8,27,14.49,27,10.63,0,0,0,2058.6499999999996

