Time,Block,NR/2023/14953/C,NR/2023/11470/A,NR/2023/14945/C,NR/2023/12646/A,NR/2023/11954/A,NR/2023/14957/C,NR/2023/14688/F,NR/2023/14688/F/II,NR/2023/14942/C,NR/2023/13573/A,NR/2023/11697/A,NR/2023/13283/A,NR/2023/14958/C,NR/2023/14934/D,NR/2023/14976/C,NR/2023/13859/A,NR/2023/11654/A,NR/2023/11739/A,NR/2023/11203/A,NR/2023/11458/A,NR/2023/13983/F,NR/2023/11325/A,NR/2023/11328/A,NR/2023/13983/F/II,NR/2023/14955/C,NR/2023/14949/C,NR/2023/14959/C,NR/2023/11469/A,NR/2023/14954/C,NR/2023/13284/A,NR/2023/14187/F,NR/2023/13858/A,NR/2023/11315/A,NR/2023/14935/D,NR/2023/14936/D,NR/2023/14938/D,Total
64,15:45-16:00,0.000000,21.230000,8.690000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.970000,24.140000,48.270000,0.000000,14.530000,0.000000,0,84.940000,6.760000,0.000000,0.970000,84.470000,22.200000,38.7,0.97,90.3,1280.93

65,16:00-16:15,0.000000,21.230000,5.790000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.820000,24.140000,48.270000,0.000000,14.530000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,36,0.77,84,1271.57

66,16:15-16:30,0.000000,21.230000,5.790000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.820000,24.140000,48.270000,0.000000,14.530000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,35.4,0.68,82.6,1269.48

67,16:30-16:45,0.000000,21.230000,4.830000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.820000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,32.4,0.48,75.6,1243.79

68,16:45-17:00,0.000000,21.230000,4.830000,23.100000,0.000000,0.000000,24.140000,0.000000,24.140000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,106.190000,0.820000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,30.9,0.29,72.1,1238.6

69,17:00-17:15,0.000000,21.230000,4.830000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.820000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,24,0.19,56,1110.34

70,17:15-17:30,0.000000,21.230000,4.830000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.820000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,20.1,0.1,46.9,1097.25

71,17:30-17:45,0.000000,21.230000,4.830000,0.000000,0.000000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.820000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,18,0,42,1090.15

72,17:45-18:00,0.000000,21.230000,4.830000,0.000000,0.000000,22.200000,24.140000,0.000000,0.000000,0.000000,0.000000,24.140000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.820000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,15,0,35,1102.35

73,18:00-18:15,0.000000,21.230000,4.830000,0.000000,36.420000,43.440000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.870000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,13.5,0,31.5,1130.92

74,18:15-18:30,0.000000,21.230000,3.860000,0.000000,36.420000,39.580000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.870000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,10.5,0,24.5,1116.09

75,18:30-18:45,0.000000,21.230000,3.860000,0.000000,36.420000,43.440000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.870000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,9,0,21,1114.95

76,18:45-19:00,0.000000,21.230000,3.860000,0.000000,36.420000,56.960000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.870000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,6,0,14,1118.47

77,19:00-19:15,0.000000,21.230000,3.860000,0.000000,36.420000,100.400000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.920000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,3,0,7,1151.96

78,19:15-19:30,0.000000,21.230000,3.860000,0.000000,36.420000,123.570000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.920000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,1.8,0,4.2,1171.13

79,19:30-19:45,0.000000,21.230000,3.860000,0.000000,36.420000,160.260000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.920000,24.140000,48.270000,0.000000,0.000000,0.000000,0,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0.6,0,1.4,1203.82

80,19:45-20:00,0.000000,21.230000,3.860000,0.000000,36.420000,164.120000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,0.000000,181.010000,152.530000,42.470000,62.990000,48.270000,0.920000,24.140000,48.270000,0.000000,0.000000,0.000000,42.06,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0,0,0,1247.74

81,20:00-20:15,96.540000,21.230000,3.860000,0.000000,36.420000,91.710000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,48.270000,0.920000,24.140000,48.270000,0.000000,0.000000,0.000000,65.54,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0,0,0,1454.64

82,20:15-20:30,96.540000,21.230000,3.860000,0.000000,36.420000,91.710000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,48.270000,0.920000,24.140000,48.270000,0.000000,0.000000,0.000000,64.56,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0,0,0,1453.66

83,20:30-20:45,144.810000,21.230000,3.860000,0.000000,36.420000,91.710000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,48.270000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,65.54,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0,0,0,1570.49

84,20:45-21:00,144.810000,21.230000,3.860000,0.000000,36.420000,91.710000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,48.270000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,64.56,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0,0,0,1569.51

85,21:00-21:15,193.080000,21.230000,3.860000,0.000000,36.420000,91.710000,20.260000,3.870000,0.000000,0.000000,0.000000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,65.54,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0,0,0,1662.19

86,21:15-21:30,193.080000,21.230000,3.860000,0.000000,36.420000,91.710000,20.260000,3.870000,0.000000,0.000000,0.000000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,64.56,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0,0,0,1661.21

87,21:30-21:45,193.080000,21.230000,3.860000,0.000000,36.420000,91.710000,20.260000,3.870000,0.000000,0.000000,0.000000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,65.54,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0,0,0,1662.19

88,21:45-22:00,193.080000,21.230000,3.860000,0.000000,36.420000,91.710000,20.260000,3.870000,0.000000,0.000000,0.000000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,64.56,84.940000,6.760000,0.000000,3.860000,84.470000,22.200000,0,0,0,1661.21

89,22:00-22:15,193.080000,21.230000,3.860000,23.100000,36.420000,91.710000,20.270000,3.860000,0.000000,0.000000,36.780000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,65.54,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1807.89

90,22:15-22:30,193.080000,21.230000,1.930000,23.100000,36.420000,91.710000,20.270000,3.860000,0.000000,0.000000,36.780000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,64.56,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1804.98

91,22:30-22:45,193.080000,21.230000,1.930000,23.100000,36.420000,91.710000,20.270000,3.860000,0.000000,0.000000,36.780000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,65.54,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1805.96

92,22:45-23:00,193.080000,21.230000,1.930000,23.100000,36.420000,91.710000,20.270000,3.860000,0.000000,0.000000,36.780000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.920000,24.140000,48.270000,0.000000,0.000000,67.580000,64.56,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1804.98

93,23:00-23:15,193.080000,21.230000,1.930000,23.100000,36.420000,91.710000,20.270000,3.860000,0.000000,0.000000,36.780000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.870000,24.140000,48.270000,0.000000,0.000000,67.580000,65.54,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1805.91

94,23:15-23:30,193.080000,21.230000,1.930000,23.100000,36.420000,91.710000,20.270000,3.860000,0.000000,0.000000,36.780000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.870000,24.140000,48.270000,0.000000,0.000000,67.580000,64.56,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1804.93

95,23:30-23:45,193.080000,21.230000,1.930000,23.100000,36.420000,91.710000,20.270000,3.860000,0.000000,0.000000,36.780000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.870000,24.140000,48.270000,0.000000,0.000000,67.580000,65.54,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1805.91

96,23:45-24:00,193.080000,21.230000,1.930000,23.100000,36.420000,91.710000,20.270000,3.860000,0.000000,0.000000,36.780000,0.000000,62.750000,193.080000,96.540000,181.010000,152.530000,42.470000,62.990000,91.710000,0.870000,24.140000,48.270000,0.000000,0.000000,67.580000,64.56,84.940000,6.760000,85.820000,3.860000,84.470000,22.200000,0,0,0,1804.93

