Column1,Block,NR/2025/31420/A/91679,NR/2025/31136/A/91898,NR/2025/31138/A/91905,GNARE/NR/2024/12/20/3668,NR/2025/31138/A/91906,NR/2025/29985/A/91555,NR/2025/31137/A/91903,NR/2025/31136/A/91897,NR/2025/31347/A/91457,NR/2025/31419/A/91680,NR/2025/31137/A/91904,NR/2025/32314/C,NR/2025/32307/C,NR/2025/30101/A/91982,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/26/3975,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/2025/29439/A/91535,NR/2025/29628/A/91861,NR/2025/32213/C,NR/2025/30191/A/91458,NR/2025/32311/C,NR/2025/32214/C,NR/2025/29353/A/91949,NR/2025/32312/C,NR/2025/28728/A/91892,NR/2025/30105/A/91853,NR/2025/32304/C,NR/2025/32259/C,NR/2025/32279/C,NR/2025/27978/A/91986,NR/2025/27975/A/91911,NR/2025/32304/C/Alternate/1,NR/2025/27973/A/91910,NR/2025/32261/C,NR/2025/30084/A/91855,NR/2025/32306/C,NR/2025/32264/C,NR/2025/30082/A/91940,NR/2025/29910/A/91859,NR/2025/29992/A/91828,NR/2025/31780/A/91554,NR/2025/32322/C,NR/2025/30217/A/91852,NR/2025/32323/C,NR/2025/32324/C,NR/2025/30067/A/91926,NR/2025/32326/C,NR/2025/32269/C,NR/2025/29352/A/91951,NR/2025/30083/A/91856,NR/2025/32270/C,NR/2025/30086/A/91854,NR/2025/29915/A/91440,NR/2025/31870/A/91553,NR/2025/27965/A/91907,NR/2025/30121/A/91461,NR/2025/29440/A/91477,NR/2025/27966/A/91908,NR/2025/29167/A/91441,NR/2025/32327/C,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,Total
40,09:45-10:00,1.63,0.67,0.19,67.77,0.48,140,0.19,0.38,9.61,0,0.58,7.82,32.12,0,0,0,81.69,19.22,20.73,26.61,17.57,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1632.1500000000003

41,10:00-10:15,1.21,0.57,0.07,71.92,0.36,158,0.14,0.29,7.13,1.07,0.43,7.82,32.12,0,0,0,81.69,19.22,20.73,26.61,17.57,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1651.8400000000004

42,10:15-10:30,1.19,0.56,0.07,75.67,0.36,165,0.14,0.28,7.02,1.06,0.42,7.82,32.12,0,0,0,81.69,19.22,20.73,26.61,17.57,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1662.4200000000003

43,10:30-10:45,1.63,0.77,0.1,79.17,0.48,172,0.19,0.38,9.61,1.44,0.58,11.52,32.12,0,0,0,81.69,19.22,20.73,26.61,17.57,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1680.7000000000005

44,10:45-11:00,1.63,0.77,0.19,82.31,0.48,179,0.29,0.38,9.61,1.44,0.67,12.8,32.12,0,0,0,81.69,19.22,20.73,26.61,17.57,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1692.4000000000003

45,11:00-11:15,1.63,0.77,0.1,83.88,0.48,186,0.29,0.38,9.61,1.44,0.67,14.07,32.12,0,0,0,81.69,19.22,20.73,26.61,17.47,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1702.0500000000004

46,11:15-11:30,1.63,0.96,0.1,85.14,0.48,193,0.29,0.38,9.61,1.44,0.67,15.51,32.12,0,0,0,81.69,19.22,20.73,26.61,17.47,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1711.9400000000003

47,11:30-11:45,1.63,0.96,0.1,90.75,0.48,179,0.29,0.38,9.61,1.44,0.67,16.89,32.12,0,0,0,81.69,19.22,20.73,26.61,17.47,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1704.9300000000005

48,11:45-12:00,1.63,0.96,0.1,91.77,0.48,179,0.29,0.38,9.61,1.44,0.67,18.16,32.12,0,0,0,81.69,19.22,20.73,26.61,17.47,26.61,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1707.2200000000005

49,12:00-12:15,1.63,0.96,0.1,91.15,0.48,179,0.29,0.38,9.61,1.44,0.67,19.35,0,0,0,0,81.69,19.22,20.73,26.7,17.47,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1675.8500000000006

50,12:15-12:30,1.63,0.96,0.1,90.96,0.48,179,0.29,0.38,9.61,1.44,0.67,19.64,0,0,0,0,81.69,19.22,20.73,26.7,17.47,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1675.9500000000005

51,12:30-12:45,1.63,0.96,0.1,93.33,0.48,161,0.29,0.38,9.61,1.44,0.67,19.9,0,0,0,0,81.69,19.22,20.73,26.7,17.47,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1660.5800000000006

52,12:45-13:00,1.63,0.96,0.1,93.33,0.48,161,0.29,0.38,9.61,1.44,0.67,20.18,0,0,0,0,81.69,19.22,20.73,26.7,17.47,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1660.8600000000004

53,13:00-13:15,1.63,0.96,0.1,92.33,0.48,161,0.29,0.38,9.61,1.44,0.67,8.8,0,0,0,0,81.69,19.22,20.73,26.7,17.47,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1648.4800000000002

54,13:15-13:30,1.63,0.96,0.1,91,0.48,161,0.29,0.38,9.61,1.44,0.67,8.8,0,0,0,0,81.69,19.22,20.73,26.7,17.47,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,43.68,1647.1500000000003

55,13:30-13:45,1.63,0.96,0.1,91.67,0.48,161,0.29,0.38,9.61,1.44,0.67,8.8,0,0,0,0,81.69,19.22,20.73,26.7,17.47,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1630.3500000000004

56,13:45-14:00,1.63,0.96,0.1,91,0.48,161,0.19,0.38,9.61,1.44,0.58,8.8,0,0,0,0,81.69,19.22,20.73,26.7,17.47,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,0,28.59,0,0,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1629.4900000000002

57,14:00-14:15,1.63,0.96,0.1,91.54,0.48,161,0.19,0.38,9.61,1.44,0.48,8.8,0,0,0,0,81.69,19.22,20.73,26.7,17.67,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,96.11,28.59,0,96.11,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1822.3500000000004

58,14:15-14:30,1.63,0.77,0.1,88.23,0.48,161,0.19,0.38,9.61,1.44,0.48,8.8,0,0,0,0,81.69,19.22,20.73,26.7,17.67,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,96.11,28.59,0,96.11,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1818.8500000000004

59,14:30-14:45,1.63,0.59,0.09,78.33,0.29,109,0.17,0.34,9.61,1.44,0.37,8.8,0,0,0,0,81.69,19.22,20.73,26.7,17.67,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,96.11,28.59,0,96.11,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1756.4

60,14:45-15:00,1.63,0.62,0.03,76.67,0.23,105,0.05,0.11,9.61,1.44,0.31,8.8,0,0,0,0,81.69,19.22,20.73,26.7,17.67,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,96.11,28.59,0,96.11,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1750.2400000000002

61,15:00-15:15,1.63,0,0,75,0,77,0,0,9.61,1.44,0,10.75,0,0,0,0,81.69,19.22,20.73,26.7,18.03,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,96.11,28.59,0,96.11,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1721.5300000000002

62,15:15-15:30,1.63,0,0,72.51,0,70,0,0,9.61,1.44,0,10.75,0,0,0,0,81.69,19.22,20.73,26.7,18.03,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,96.11,28.59,0,96.11,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1712.04

63,15:30-15:45,1.63,0,0,57.15,0,56,0,0,9.61,1.44,0,10.75,0,0,0,0,81.69,19.22,20.73,26.7,18.03,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,96.11,28.59,0,96.11,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1682.6799999999998

64,15:45-16:00,1.63,0,0,53.52,0,53,0,0,9.61,1.44,0,10.75,0,0,0,0,81.69,19.22,20.73,26.7,18.03,26.7,0,0,6.73,0,76.52,48.06,81.69,16.57,0,0,192.22,48.06,0.96,0,0,0,0,44.21,0,96.11,81.69,0,0,0,0,8.74,0,26.21,17.47,0,26.21,96.11,28.59,0,96.11,0,0,13.46,0,0,0,0,0,7.69,134.79,15.23,0,163.39,26.21,1676.0500000000002

65,16:00-16:15,0,0,0,48.81,0,49,0,0,9.61,0,0,10.75,0,0,0,0,81.69,19.22,20.73,26.7,18.21,26.7,25.07,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,96.11,0,0,0,26.21,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.96,96.11,0,0,134.79,15.23,0,163.39,26.21,1824.0700000000002

66,16:15-16:30,0,0.12,0,44.44,0.05,46,0,0,9.61,0,0.06,10.75,0,0,0,0,81.69,19.22,20.73,26.7,18.21,26.7,25.07,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,96.11,0,0,0,26.21,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.96,96.11,0,0,134.79,15.23,0,163.39,26.21,1816.9299999999998

67,16:30-16:45,0,0,0,23.33,0,42,0,0,9.61,0,0,10.75,0,0,0,0,81.69,19.22,20.73,26.7,18.21,26.7,25.07,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,96.11,0,0,0,26.21,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.96,96.11,0,0,134.79,15.23,0,163.39,26.21,1791.5900000000001

68,16:45-17:00,0,0,0,21.67,0,42,0,0,9.61,0,0,8.8,0,0,0,0,81.69,19.22,20.73,26.7,18.21,26.7,25.07,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,96.11,0,0,0,26.21,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.96,96.11,0,0,134.79,15.23,0,163.39,26.21,1787.98

69,17:00-17:15,0,0,0,20,0,42,0,0,0,0,0,8.15,0,32.12,0,0,81.69,19.22,20.73,26.7,18.67,26.7,25.07,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,96.11,0,0,0,26.21,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.86,96.11,0,0,134.79,15.23,0,163.39,26.21,1808.5299999999997

70,17:15-17:30,0,0,0,18.33,0,42,0,0,0,0,0,7.87,0,32.12,0,0,81.69,19.22,20.73,26.7,18.67,26.7,25.07,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,96.11,0,0,0,26.21,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.86,96.11,0,0,134.79,15.23,0,163.39,26.21,1806.58

71,17:30-17:45,0,0,0,16.67,0,25,0,0,0,0,0,7.69,0,32.12,0,0,81.69,19.22,20.73,26.7,18.67,26.7,25.07,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,96.11,0,0,0,26.21,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.86,96.11,0,0,134.79,15.23,0,163.39,26.21,1787.7399999999998

72,17:45-18:00,0,0,0,15.13,0,25,0,0,0,0,0,7.69,0,32.12,0,0,81.69,19.22,20.73,26.7,18.67,26.7,25.07,76.52,0,48.06,0,0,81.69,0,81.69,17.47,192.22,0,0,96.11,96.11,0,0,0,26.21,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,8.74,0,26.21,0,13.46,0,6.73,0.86,96.11,0,0,134.79,15.23,0,163.39,26.21,1786.1999999999998

73,18:00-18:15,0,0,0.06,12.28,0,25,0.11,0.21,0,0,0,7.69,0,32.12,0,0,81.69,0,20.73,24.6,18.95,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.86,96.11,0,0,134.79,0,0,163.39,26.21,1796.1299999999997

74,18:15-18:30,0,0,0.09,9.44,0,21,0.18,0.37,0,0,0,4.07,0,32.12,0,0,81.69,0,20.73,24.6,18.95,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,16.57,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.86,96.11,0,0,134.79,0,0,163.39,26.21,1785.9299999999998

75,18:30-18:45,0,0,0.09,6.59,0,15,0.17,0.26,0,0,0,4.07,0,32.12,0,0,81.69,0,20.73,24.6,18.95,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.86,96.11,0,0,134.79,0,0,163.39,26.21,1779.6099999999997

76,18:45-19:00,0,0,0.02,2.67,0,10,0.02,0.07,0,0,0,2.6,0,32.12,0,0,81.69,0,20.73,24.6,18.95,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.86,96.11,0,0,134.79,0,0,163.39,26.21,1768.81

77,19:00-19:15,0,0,0,0.33,0,5,0,0,0,0,0,0,0,32.12,0,0,81.69,0,20.73,29.5,18.95,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,0,0,134.79,0,0,163.39,43.68,1781.18

78,19:15-19:30,0,0,0,0,0,1,0,0,0,0,0,0,0,32.12,0,0,81.69,0,20.73,29.5,18.95,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,0,0,134.79,0,0,163.39,43.68,1776.8500000000001

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,0,20.73,12.33,18.95,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,0,0,134.79,0,0,163.39,43.68,1758.68

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,81.69,0,20.73,12.33,18.95,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,0,0,134.79,0,0,163.39,43.68,1758.68

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.67,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1964.18

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.67,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1964.18

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.67,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1964.18

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.67,29.5,25.07,76.52,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1964.18

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.49,12.33,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1976.03

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.49,12.33,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1976.03

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.49,12.33,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1976.03

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.49,12.33,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1976.03

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.21,4.5,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1967.9199999999998

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.21,4.5,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,192.22,0,0,96.11,96.11,0,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,13.46,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1967.9199999999998

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.21,4.5,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,137.73,0,0,96.11,96.11,54.49,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,12.49,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1966.95

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,29.5,18.21,4.5,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,140.13,0,0,96.11,96.11,52.09,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,12.49,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1966.95

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,17,18.21,17,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,140.5,0,0,96.11,96.11,51.72,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,12.49,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1966.95

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,134.55,81.69,0,20.73,17,18.21,17,25.07,105.72,0,48.06,0,0,81.69,0,81.69,29.12,140.5,0,0,96.11,96.11,51.72,0,0,43.68,0,0,48.06,19.22,44.21,134.55,0,7.69,0,0,0,0,0,28.59,14.56,0,37.14,0,12.49,0,6.73,0.91,96.11,54.06,0,134.79,0,0,163.39,43.68,1966.95

