Column1,Block,NR/2025/32534/A/97571,NR/2025/32535/A/97581,NR/2025/33632/A/97527,NR/2025/32535/A/97582,NR/2025/33633/A/97525,NR/2025/33778/C,NR/2025/32599/A/97263,NR/2025/33637/A/97523,NR/2025/32532/A/97561,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/97569,NR/2025/32532/A/97563,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,NR/2025/33773/C,NR/2025/33656/A/97580,NR/2025/33469/A/97219,NR/2025/32559/A/97625,NR/2025/33670/A/97609,NR/2025/29440/A/97111,NR/2025/31043/A/97573,NR/2025/32262/A/97154,NR/2025/32004/A/97629,NR/2025/31049/A/97576,NR/2025/32556/A/97626,NR/2025/31421/A/97660,NR/2025/33752/C,NR/2025/31048/A/97575,NR/2025/32375/A/97656,NR/2025/33755/C,NR/2025/32610/A/97624,NR/2025/31045/A/97574,NR/2025/29992/A/97254,NR/2025/33759/C,NR/2025/33750/C,NR/2025/32397/A/97146,NR/2025/32455/A/97737,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
60,14:45-15:00,0.39,0.1,1.16,0.29,1.45,8.83,161,1.64,0.29,64.62,0.19,0.67,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,16.18,19.65,1294.75

61,15:00-15:15,0.39,0.1,1.16,0.11,1.45,10.78,151,1.64,0.29,52.64,0.19,0.67,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,16.18,19.65,1274.5400000000002

62,15:15-15:30,0.19,0.1,1.16,0.19,1.45,10.78,140,1.64,0.29,50.13,0.19,0.67,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,16.18,19.65,1260.9100000000003

63,15:30-15:45,0.25,0.1,1.16,0.2,1.45,10.78,137,1.64,0.29,56.46,0.19,0.67,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,16.18,19.65,1264.3100000000002

64,15:45-16:00,0.15,0.1,1.16,0.12,1.45,10.78,126,1.64,0.29,52.99,0.19,0.67,26.95,26.95,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,0,81.9,0.96,0,0,0,0,0,0,24.09,0,0,24.09,0,0,44.32,24.09,76.71,0,0,81.9,16.18,19.65,1249.6600000000003

65,16:00-16:15,0.16,0.1,0,0.13,0,10.78,98,0,0.29,49.67,0.19,0.67,0,0,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,16.18,19.65,1160.1200000000003

66,16:15-16:30,0.25,0.1,0,0.19,0,10.78,91,0,0.29,45.22,0.19,0.67,0,0,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,16.18,19.65,1148.8200000000004

67,16:30-16:45,0.21,0.1,0,0.15,0,10.78,88,0,0.29,34.48,0.19,0.67,0,0,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,16.18,19.65,1135.0000000000005

68,16:45-17:00,0.21,0.1,0,0.15,0,8.83,77,0,0.29,30.6,0.19,0.67,0,0,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,0,0,81.9,16.18,19.65,1118.1700000000003

69,17:00-17:15,0.12,0.1,0,0.12,0,8.17,56,0,0.16,20.02,0.11,0.67,0,0,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,16.18,19.65,1094.2700000000002

70,17:15-17:30,0.02,0.08,0,0.02,0,7.89,46,0,0.22,17.07,0.14,0.67,0,0,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,16.18,19.65,1080.9100000000003

71,17:30-17:45,0,0,0,0,0,7.71,39,0,0,13.99,0,0,0,0,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,16.18,19.65,1069.5000000000002

72,17:45-18:00,0,0,0,0,0,7.78,32,0,0,10.76,0,0,0,0,20.47,14.6,14.6,19.27,81.9,20.79,20.47,15.27,28.97,192.7,163.8,13.49,24.09,81.9,0.87,0,0,76.71,0,24.09,0,0,0,0,0,24.09,0,44.32,0,0,8.67,0,81.9,16.18,19.65,1059.3400000000001

73,18:00-18:15,0,0.01,0,0,0,8.59,25,0,0.04,8.13,0.01,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.87,0,0,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,16.18,19.65,1055.46

74,18:15-18:30,0,0.01,0,0,0,6.24,18,0,0.04,5.6,0.01,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.87,0,0,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,16.18,19.65,1043.5800000000002

75,18:30-18:45,0,0,0,0,0,4.08,11,0,0,3.45,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.87,0,0,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,16.18,19.65,1032.21

76,18:45-19:00,0,0,0,0,0,2.61,5,0,0,0.72,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.87,0,0,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,16.18,19.65,1022.01

77,19:00-19:15,0,0,0,0,0,0,1,0,0,0.4,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,0,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,19.65,1016.4200000000001

78,19:15-19:30,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,0,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,19.65,1015.2

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,0,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,19.65,1015.0699999999999

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,0,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,19.65,1015.02

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1064.1699999999998

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1064.1699999999998

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1064.1699999999998

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,76.71,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1064.1699999999998

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1093.44

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1093.44

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1093.44

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1093.44

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1093.44

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,13.49,37.23,81.9,0.92,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1093.44

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,12.53,37.23,81.9,0.92,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1092.48

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,12.53,37.23,81.9,0.92,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1092.48

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,12.53,37.23,81.9,0.87,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1092.43

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,12.53,37.23,81.9,0.87,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1092.43

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,12.53,37.23,81.9,0.87,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1092.43

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,14.6,14.6,0,81.9,20.79,20.47,0,28.97,192.7,163.8,12.53,37.23,81.9,0.87,0,54.2,105.98,0,37.23,0,0,0,0,0,37.23,0,44.32,0,0,8.67,48.18,33.72,17.47,14.6,1092.43

