Time,Block,NR/2023/13222/C,NR/2023/12923/F,NR/2023/10959/A,NR/2023/10956/A,NR/2023/12924/F,NR/2023/13230/C,NR/2023/12922/F,NR/2023/11709/A,NR/2023/13234/C,NR/2023/12813/F,NR/2023/10436/A,NR/2023/10947/A,NR/2023/10786/A,NR/2023/12917/F,NR/2023/11507/A,NR/2023/10720/A,NR/2023/11447/A,NR/2023/11496/A,NR/2023/13224/C,NR/2023/12916/F,NR/2023/12872/F,NR/2023/12661/A,NR/2023/12956/F,NR/2023/10651/A,NR/2023/12814/F,NR/2023/10561/A,NR/2023/12706/A,NR/2023/12915/F,NR/2023/13213/D,NR/2023/11266/A,NR/2023/12919/F,NR/2023/13223/C,NR/2023/12921/F,NR/2023/12920/F,NR/2023/11712/A,NR/2023/13202/D,NR/2023/10460/A,NR/2023/12169/A,ER/2023/8109/C,WR/2023/15950/C,NR/2023/11953/A,SR/2023/5940/C,NR/2023/13218/D,ER/2023/8092/C,ER/2023/8111/C,NR/2023/13214/D,ER/2023/8104/C,NR/2023/13217/D,Total
45,11:00-11:15,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,6.09,10.550000,100.000000,30.9,80.000000,72.1,1390.71

46,11:15-11:30,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,6.58,10.550000,100.000000,31.5,80.000000,73.5,1393.2

47,11:30-11:45,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,6.77,10.550000,100.000000,31.5,80.000000,73.5,1393.39

48,11:45-12:00,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,6.87,10.550000,100.000000,31.5,80.000000,73.5,1436.49

49,12:00-12:15,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,7.06,10.550000,100.000000,31.5,80.000000,73.5,1436.68

50,12:15-12:30,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,7.25,10.550000,100.000000,31.5,80.000000,73.5,1436.87

51,12:30-12:45,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,7.64,10.550000,100.000000,31.5,80.000000,73.5,1437.26

52,12:45-13:00,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,8.22,10.550000,100.000000,31.5,80.000000,73.5,1437.84

53,13:00-13:15,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,8.7,10.550000,100.000000,31.5,80.000000,73.5,1438.32

54,13:15-13:30,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,8.8,10.550000,100.000000,31.5,80.000000,73.5,1438.42

55,13:30-13:45,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,8.9,10.550000,100.000000,31.5,80.000000,73.5,1438.52

56,13:45-14:00,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,90.920000,0.920000,255.260000,23.700000,12.710000,20.310000,27.510000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,0.000000,0.970000,24.180000,0.980000,0.980000,64.320000,50.850000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,8.8,10.550000,100.000000,31.8,80.000000,74.2,1439.42

57,14:00-14:15,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,17.200000,0.970000,24.180000,0.980000,0.980000,64.320000,33.650000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,8.8,10.550000,0.000000,31.8,80.000000,74.2,1380.08

58,14:15-14:30,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,17.200000,0.970000,24.180000,0.980000,0.980000,64.320000,33.650000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,8.51,10.550000,0.000000,31.8,80.000000,74.2,1379.79

59,14:30-14:45,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,17.200000,0.970000,24.180000,0.980000,0.980000,64.320000,33.650000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,8.22,10.550000,0.000000,30.4,80.000000,70.93,1374.83

60,14:45-15:00,30.000000,0.610000,21.270000,85.080000,0.610000,13.200000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,17.200000,0.970000,24.180000,0.980000,0.980000,64.320000,33.650000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,7.74,10.550000,0.000000,29.13,80.000000,67.98,1370.13

61,15:00-15:15,0.000000,0.610000,21.270000,85.080000,0.610000,14.770000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,24.180000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,7.54,10.550000,0.000000,28.37,80.000000,66.21,1338.97

62,15:15-15:30,0.000000,0.610000,21.270000,85.080000,0.610000,14.770000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,24.180000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,7.45,10.550000,0.000000,26.96,80.000000,62.9,1334.16

63,15:30-15:45,0.000000,0.610000,21.270000,85.080000,0.610000,14.770000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,24.180000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,7.35,10.550000,0.000000,24.14,80.000000,56.33,1324.67

64,15:45-16:00,0.000000,0.610000,21.270000,85.080000,0.610000,14.770000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,24.180000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,7.25,10.550000,0.000000,22.13,80.000000,51.63,1317.86

65,16:00-16:15,0.000000,0.610000,21.270000,85.080000,0.610000,14.870000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,31.580000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,24.180000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,7.06,10.550000,0.000000,20.72,80.000000,48.35,1315.11

66,16:15-16:30,0.000000,0.610000,21.270000,85.080000,0.610000,14.870000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,31.580000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,24.180000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,6.87,10.550000,0.000000,18.91,80.000000,44.13,1308.89

67,16:30-16:45,0.000000,0.610000,21.270000,85.080000,0.610000,14.870000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,31.580000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,24.180000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,43.000000,28.000000,0.000000,0.00,6.09,10.550000,0.000000,17.1,80.000000,39.9,1302.07

68,16:45-17:00,0.000000,0.610000,21.270000,85.080000,0.610000,14.870000,1.020000,23.150000,10.000000,62.870000,24.180000,0.000000,106.390000,0.920000,255.260000,23.700000,12.710000,20.310000,31.580000,0.520000,0.970000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,24.180000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,5.61,10.550000,0.000000,14.08,80.000000,32.86,1248.53

69,17:00-17:15,0.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,31.580000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,0.000000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,5.42,0.000000,0.000000,11.67,0.000000,27.22,1044.18

70,17:15-17:30,0.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,31.580000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,0.000000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,4.35,0.000000,0.000000,7.04,0.000000,16.43,1027.69

71,17:30-17:45,0.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,31.580000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.970000,0.000000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,3.39,0.000000,0.000000,5.83,0.000000,13.62,1022.71

72,17:45-18:00,0.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,10.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,31.580000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,68.870000,36.700000,0.970000,0.000000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,0.000000,0.00,2.42,0.000000,0.000000,3.22,0.000000,7.51,1058.09

73,18:00-18:15,0.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,113.950000,36.700000,0.970000,0.000000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,36.490000,0.00,1.26,0.000000,0.000000,2.62,0.000000,6.1,1125.47

74,18:15-18:30,0.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,113.950000,36.700000,0.970000,0.000000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,36.490000,0.00,0,0.000000,0.000000,1.81,0.000000,4.23,1121.53

75,18:30-18:45,0.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,146.060000,36.700000,0.970000,0.000000,0.980000,0.980000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,36.490000,0.00,0,0.000000,0.000000,1.2,0.000000,2.8,1151.6

76,18:45-19:00,0.000000,0.610000,21.270000,85.080000,0.610000,14.960000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.680000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,146.060000,50.850000,0.970000,0.000000,0.980000,0.980000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,0.00,0,0.000000,0.000000,0.3,0.000000,0.7,1148.6

77,19:00-19:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.730000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,146.060000,50.850000,0.970000,0.000000,0.980000,0.980000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1227.74

78,19:15-19:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.730000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,146.060000,50.850000,0.970000,0.000000,0.980000,0.980000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1227.74

79,19:30-19:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.730000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,146.060000,50.850000,0.970000,0.000000,0.980000,0.980000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1227.74

80,19:45-20:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.730000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,146.060000,50.850000,0.970000,0.000000,0.980000,0.980000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1227.74

81,20:00-20:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.770000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,146.060000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1227.63

82,20:15-20:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.770000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,146.060000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1227.63

83,20:30-20:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.770000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,127.470000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1209.04

84,20:45-21:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.050000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,48.360000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.770000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,113.950000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1195.52

85,21:00-21:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.150000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.770000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,68.870000,36.700000,0.920000,0.000000,0.930000,0.930000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1194.06

86,21:15-21:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.150000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.770000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,68.870000,36.700000,0.920000,0.000000,0.930000,0.930000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1194.06

87,21:30-21:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.150000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.770000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.920000,0.000000,0.930000,0.930000,64.320000,14.150000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1148.99

88,21:45-22:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.150000,1.020000,0.000000,0.000000,62.870000,24.180000,0.000000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,30.560000,0.520000,0.770000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,0.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1148.99

89,22:00-22:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.230000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.730000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,65.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1264.03

90,22:15-22:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.230000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.730000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,65.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1264.03

91,22:30-22:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.230000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.730000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,65.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1264.03

92,22:45-23:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.230000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.730000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,65.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1264.03

93,23:00-23:15,0.000000,0.610000,21.270000,85.080000,0.610000,15.330000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.630000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,50.850000,0.920000,0.000000,0.930000,0.930000,64.320000,0.000000,23.210000,65.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1264.03

94,23:15-23:30,0.000000,0.610000,21.270000,85.080000,0.610000,15.330000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.630000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.920000,0.000000,0.930000,0.930000,64.320000,14.150000,23.210000,65.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1264.03

95,23:30-23:45,0.000000,0.610000,21.270000,85.080000,0.610000,15.330000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.630000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.920000,0.000000,0.930000,0.930000,64.320000,14.150000,23.210000,65.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1264.03

96,23:45-24:00,0.000000,0.610000,21.270000,85.080000,0.610000,15.330000,1.020000,23.150000,0.000000,62.870000,24.180000,27.860000,91.880000,0.920000,255.260000,23.700000,12.710000,20.310000,29.550000,0.520000,0.630000,0.000000,4.840000,63.110000,78.340000,38.690000,6.770000,0.370000,23.800000,36.700000,0.920000,0.000000,0.930000,0.930000,64.320000,14.150000,23.210000,65.000000,0.000000,28.000000,36.490000,80.00,0,0.000000,0.000000,0,0.000000,0,1264.03

