Time,Block,NR/2023/16127/C,NR/2023/16123/C,NR/2023/12053/A,NR/2023/16129/C,NR/2023/16114/C,NR/2023/16120/C,NR/2023/14746/A,NR/2023/15937/F,NR/2023/16106/D,NR/2023/16118/C,NR/2023/16117/C,NR/2023/15309/F,NR/2023/14745/A,NR/2023/13635/A,NR/2023/14898/A,NR/2023/12591/A,NR/2023/12168/A,NR/2023/14737/A,NR/2023/12052/A,NR/2023/12347/A,ER/2023/10044/C,NR/2023/12592/A,NR/2023/16119/C,NR/2023/12148/A,NR/2023/16126/C,NR/2023/16121/C,NR/2023/12422/A,NR/2023/14895/A,NR/2023/12167/A,NR/2023/16108/C,NR/2023/12431/A,NR/2023/13862/A,NR/2023/15057/F,NR/2023/15402/F,NR/2023/16101/D,NR/2023/16122/C,Total
62,15:15-15:30,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,23.090000,0.920000,6.760000,2.56,17.37,1222.02

63,15:30-15:45,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,23.090000,0.920000,6.760000,1.86,17.37,1221.32

64,15:45-16:00,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,38.600000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,23.090000,0.920000,6.760000,1.93,17.37,1221.39

65,16:00-16:15,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,0.000000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,23.090000,0.820000,6.760000,0.9,17.37,1181.66

66,16:15-16:30,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,0.000000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,23.090000,0.820000,6.760000,0.6,17.37,1181.36

67,16:30-16:45,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,0.000000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,23.090000,0.820000,6.760000,0.62,17.37,1181.38

68,16:45-17:00,0.000000,0.000000,0.000000,0.000000,16.910000,11.580000,0.000000,193.020000,0.000000,0.000000,17.370000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,106.160000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,23.090000,0.820000,6.760000,0.54,17.37,1181.3

69,17:00-17:15,0.000000,0.000000,0.000000,0.000000,17.000000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,0.000000,0.820000,0.000000,0.49,0,1047.27

70,17:15-17:30,0.000000,0.000000,0.000000,0.000000,17.000000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,5.050000,124.830000,0.000000,0.820000,0.000000,0.4,0,1047.18

71,17:30-17:45,0.000000,0.000000,0.000000,0.000000,17.000000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.820000,0.000000,0.34,0,1049.13

72,17:45-18:00,0.000000,0.000000,0.000000,0.000000,17.000000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,24.130000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,0.000000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.820000,0.000000,0.26,0,1049.05

73,18:00-18:15,68.520000,38.600000,36.410000,0.000000,17.090000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.870000,0.000000,0.19,0,1256.34

74,18:15-18:30,68.520000,38.600000,36.410000,0.000000,17.090000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.870000,0.000000,0.1,0,1256.25

75,18:30-18:45,68.520000,38.600000,36.410000,0.000000,17.090000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.870000,0.000000,0,0,1256.15

76,18:45-19:00,68.520000,38.600000,36.410000,0.000000,17.090000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.870000,0.000000,0,0,1256.15

77,19:00-19:15,68.520000,38.600000,36.410000,0.000000,17.280000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1256.39

78,19:15-19:30,68.520000,38.600000,36.410000,0.000000,17.280000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1256.39

79,19:30-19:45,68.520000,38.600000,36.410000,0.000000,17.280000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1256.39

80,19:45-20:00,68.520000,38.600000,36.410000,0.000000,17.280000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1256.39

81,20:00-20:15,68.520000,38.600000,36.410000,20.000000,17.460000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1276.57

82,20:15-20:30,68.520000,38.600000,36.410000,20.000000,17.460000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1276.57

83,20:30-20:45,68.520000,38.600000,36.410000,20.000000,17.460000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1276.57

84,20:45-21:00,68.520000,38.600000,36.410000,20.000000,17.460000,0.000000,0.000000,193.020000,0.000000,0.000000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,48.260000,0.000000,99.890000,0.000000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1276.57

85,21:00-21:15,68.520000,38.600000,36.410000,40.000000,17.560000,0.000000,0.000000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1533.11

86,21:15-21:30,68.520000,38.600000,36.410000,40.000000,17.560000,0.000000,0.000000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1533.11

87,21:30-21:45,68.520000,38.600000,36.410000,40.000000,17.560000,0.000000,0.000000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1533.11

88,21:45-22:00,68.520000,38.600000,36.410000,40.000000,17.560000,0.000000,0.000000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,0.000000,95.540000,24.130000,7.060000,124.830000,0.000000,0.920000,0.000000,0,0,1533.11

89,22:00-22:15,68.520000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,36.770000,95.540000,24.130000,7.060000,124.830000,23.090000,0.920000,0.000000,0,0,1638.85

90,22:15-22:30,68.520000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,36.770000,95.540000,24.130000,7.060000,124.830000,23.090000,0.920000,0.000000,0,0,1638.85

91,22:30-22:45,68.520000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,36.770000,95.540000,24.130000,7.060000,124.830000,23.090000,0.920000,0.000000,0,0,1638.85

92,22:45-23:00,68.520000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.920000,0.000000,0,0,1637.84

93,23:00-23:15,68.520000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.870000,0.000000,0,0,1637.79

94,23:15-23:30,68.520000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.870000,0.000000,0,0,1637.79

95,23:30-23:45,68.520000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.870000,0.000000,0,0,1637.79

96,23:45-24:00,68.520000,38.600000,36.410000,0.000000,17.640000,0.000000,85.800000,193.020000,0.000000,147.660000,0.000000,4.830000,0.000000,24.980000,77.210000,49.940000,46.520000,28.950000,62.970000,91.680000,0.000000,99.890000,45.360000,22.200000,87.820000,96.510000,36.770000,95.540000,24.130000,6.050000,124.830000,23.090000,0.870000,0.000000,0,0,1637.79

