Time,Block,NR/2023/17125/C,NR/2023/13148/A,NR/2023/16865/F,NR/2023/13385/A,NR/2023/16291/F,NR/2023/16191/A,NR/2023/17122/C,NR/2023/17120/C,NR/2023/13242/A,NR/2023/17127/C,NR/2023/16073/A,NR/2023/13254/A,NR/2023/17130/C,NR/2023/13253/A,NR/2023/13150/A,ER/2023/10920/C,NR/2023/13387/A,NR/2023/16185/A,ER/2023/10921/C,NR/2023/16993/F,NR/2023/15770/A,NR/2023/16077/A,NR/2023/17118/D,NR/2023/13383/A,NR/2023/13165/A,Total
92,22:45-23:00,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,9.080000,6.050000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1122.68

93,23:00-23:15,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,8.890000,5.050000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1121.49

94,23:15-23:30,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,8.890000,5.050000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1121.49

95,23:30-23:45,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,8.890000,5.050000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1121.49

96,23:45-24:00,97.020000,36.610000,0.000000,50.210000,0.780000,78.590000,8.890000,5.050000,29.690000,145.530000,0.000000,19.690000,0,48.510000,63.260000,0.000000,100.420000,38.810000,18.000000,159.220000,29.110000,118.850000,0,50.940000,22.310000,1121.49

