Column1,Block,NR/2024/22279/A/34063,NR/2024/21956/A/34385,NR/2024/21814/A/34389,NR/2024/22498/A/34454,NR/2024/21938/A/34353,NR/2024/21943/A/34380,NR/2024/22010/A/34451,NR/2024/21918/A/34444,NR/2024/21961/A/34355,NR/2024/22042/A/34068,NR/2024/21954/A/34381,NR/2024/22623/A/34121,NR/2024/21940/A/34382,NR/2024/22014/A/34070,NR/2024/22611/A/34125,NR/2024/22793/C,NR/2024/22610/A/34123,NR/01102023/02012046/L_NR_2021_17,NR/2024/21658/A/34039,NR/2024/21983/A/34100,NR/2024/21970/A/34386,NR/2024/22787/C,NR/2024/21911/A/34331,NR/2024/21974/A/34388,NR/2024/21860/A/34327,NR/2024/21971/A/34387,NR/2024/21966/A/34115,NR/2024/21933/A/34101,NR/2024/21968/A/34384,NR/2024/22791/C,NR/2024/22792/C,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/jitpl,NR/30092023/31122025/SH-07,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/14082046/L_NR_2021_16,Total
63,15:30-15:45,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,6.98,1.99,35.85,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1395.6208

64,15:45-16:00,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,6.78,1.46,31.1,0,0.97,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1390.1407999999997

65,16:00-16:15,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,6.78,1.85,0,0,0.82,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1359.2807999999998

66,16:15-16:30,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,6.98,1.2,0,0,0.82,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1358.8307999999997

67,16:30-16:45,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,7.07,0.88,0,0,0.82,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1358.6007999999997

68,16:45-17:00,4.84,24.22,48.44,21.32,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,7.07,0.54,0,0,0.82,48.44,12.48,242.22,96.89,37.43,48.44,37.43,96.89,24.22,37.43,164.96,28.1,0,16.46,0,12.48,0,26.8708,0,0,0,24.77,26.87,0,0,1358.2607999999998

69,17:00-17:15,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,0,0.57,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1351.1807999999999

70,17:15-17:30,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,0,0.32,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1350.9307999999999

71,17:30-17:45,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,0,0.17,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1350.7807999999998

72,17:45-18:00,4.84,24.22,48.44,0,0,38.76,11.76,91.08,0,3.88,24.14,12.6,84.47,1.94,0,0.06,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1350.6707999999999

73,18:00-18:15,4.84,24.22,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0.01,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1337.8907999999997

74,18:15-18:30,4.84,24.22,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1337.8807999999997

75,18:30-18:45,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

76,18:45-19:00,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

77,19:00-19:15,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

78,19:15-19:30,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

79,19:30-19:45,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

80,19:45-20:00,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

81,20:00-20:15,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

82,20:15-20:30,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

83,20:30-20:45,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

84,20:45-21:00,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

85,21:00-21:15,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

86,21:15-21:30,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

87,21:30-21:45,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

88,21:45-22:00,4.84,43.6,48.44,0,0,38.76,0,91.08,0,3.88,24.14,11.63,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1357.2607999999998

89,22:00-22:15,4.84,43.6,48.44,0,32.7,38.76,0,91.08,98.1,3.88,24.14,10.66,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1487.0907999999997

90,22:15-22:30,4.84,43.6,48.44,0,32.7,38.76,0,91.08,98.1,3.88,24.14,10.66,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1487.0907999999997

91,22:30-22:45,4.84,67.82,48.44,0,32.7,38.76,0,91.08,98.1,3.88,24.14,9.69,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1510.3407999999997

92,22:45-23:00,4.84,67.82,48.44,0,32.7,38.76,0,91.08,98.1,3.88,24.14,9.69,84.47,1.94,0,0,0,0,0.78,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1510.3407999999997

93,23:00-23:15,4.84,67.82,48.44,0,32.7,38.76,0,91.08,98.1,3.88,24.14,9.69,84.47,1.94,0,0,0,0,0.73,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1510.2907999999998

94,23:15-23:30,4.84,67.82,48.44,0,32.7,38.76,0,91.08,98.1,3.88,24.14,9.69,84.47,1.94,0,0,0,0,0.73,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1510.2907999999998

95,23:30-23:45,4.84,67.82,48.44,0,32.7,38.76,0,91.08,98.1,3.88,24.14,9.69,84.47,1.94,0,0,0,0,0.73,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1510.2907999999998

96,23:45-24:00,4.84,67.82,48.44,0,32.7,38.76,0,91.08,98.1,3.88,24.14,9.69,84.47,1.94,0,0,0,0,0.73,0,12.48,242.22,0,37.43,48.44,37.43,0,0,37.43,164.96,28.1,96.89,16.46,48.44,12.48,0,26.8708,96.89,24.22,0,24.77,26.87,21.32,0,1510.2907999999998

