Time,Block,NR/2023/12168/A,NR/2023/14737/A,NR/2023/13635/A,NR/2023/16269/C,NR/2023/16268/C,NR/2023/15309/F,NR/2023/16260/C,NR/2023/12347/A,NR/2023/12592/A,NR/2023/12052/A,NR/2023/14746/A,NR/2023/14745/A,NR/2023/12148/A,NR/2023/12591/A,NR/2023/12053/A,NR/2023/15057/F,NR/2023/16253/C,NR/2023/14898/A,NR/2023/12167/A,ER/2023/10160/C,NR/2023/16274/C,NR/2023/15402/F,NR/2023/14895/A,NR/2023/12422/A,NR/2023/12431/A,NR/2023/15937/F,NR/2023/13862/A,ER/2023/10163/C,ER/2023/10143/C,NR/2023/16257/C,NR/2023/16236/D,WR/2023/18287/C,Total
71,17:30-17:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,48.360000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.820000,11.090000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,0.000000,0,1.45,0.000000,990.52

72,17:45-18:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,48.360000,100.120000,63.120000,0.000000,24.180000,22.250000,50.060000,0.000000,0.820000,11.090000,77.380000,24.180000,0.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,0.000000,0,0.92,0.000000,989.99

73,18:00-18:15,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.870000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,0.000000,0,0.86,50.000000,1152.3

74,18:15-18:30,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.870000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,0.000000,0,0.42,50.000000,1151.86

75,18:30-18:45,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.870000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,0.000000,0,0.2,50.000000,1151.64

76,18:45-19:00,46.620000,62.870000,18.650000,96.730000,0.000000,4.840000,12.320000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.870000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,85.630000,144.090000,0.000000,0.000000,0.000000,0,0,50.000000,1151.44

77,19:00-19:15,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.680000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,0.000000,0.000000,0,0,50.000000,1224.6

78,19:15-19:30,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.680000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,0.000000,0.000000,0,0,50.000000,1224.6

79,19:30-19:45,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.680000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,0.000000,0.000000,0,0,50.000000,1224.6

80,19:45-20:00,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.680000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,0.000000,0.000000,0,0,50.000000,1224.6

81,20:00-20:15,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.870000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,0.000000,0.000000,0,0,50.000000,1224.79

82,20:15-20:30,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.870000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,0.000000,0.000000,0,0,50.000000,1224.79

83,20:30-20:45,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.870000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,0.000000,0.000000,0,0,50.000000,1224.79

84,20:45-21:00,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.870000,48.360000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,0.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,0.000000,0.000000,0,0,50.000000,1224.79

85,21:00-21:15,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.960000,91.890000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,100.000000,0.000000,0,0,50.000000,1516.41

86,21:15-21:30,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.960000,91.890000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,100.000000,0.000000,0,0,50.000000,1516.41

87,21:30-21:45,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.960000,91.890000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,100.000000,0.000000,0,0,50.000000,1516.41

88,21:45-22:00,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.960000,91.890000,100.120000,63.120000,0.000000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,0.000000,75.380000,193.460000,0.000000,100.000000,0.000000,0,0,50.000000,1516.41

89,22:00-22:15,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.870000,91.890000,100.120000,63.120000,88.700000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,100.000000,0.000000,0,0,50.000000,1666.18

90,22:15-22:30,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.870000,91.890000,100.120000,63.120000,88.700000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,100.000000,0.000000,0,0,50.000000,1666.18

91,22:30-22:45,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.870000,91.890000,100.120000,63.120000,88.700000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,100.000000,0.000000,0,0,50.000000,1666.18

92,22:45-23:00,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.870000,91.890000,100.120000,63.120000,88.700000,0.000000,22.250000,50.060000,36.500000,0.920000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,100.000000,0.000000,0,0,50.000000,1666.18

93,23:00-23:15,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.780000,91.890000,100.120000,63.120000,88.700000,0.000000,22.250000,50.060000,36.500000,0.870000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,50.000000,1566.04

94,23:15-23:30,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.780000,91.890000,100.120000,63.120000,88.700000,0.000000,22.250000,50.060000,36.500000,0.870000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,50.000000,1566.04

95,23:30-23:45,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.780000,91.890000,100.120000,63.120000,88.700000,0.000000,22.250000,50.060000,36.500000,0.870000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,50.000000,1566.04

96,23:45-24:00,46.620000,62.870000,25.030000,96.730000,22.250000,4.840000,17.780000,91.890000,100.120000,63.120000,88.700000,0.000000,22.250000,50.060000,36.500000,0.870000,11.090000,77.380000,24.180000,100.000000,148.000000,0.000000,95.760000,38.010000,75.380000,193.460000,23.150000,0.000000,0.000000,0,0,50.000000,1566.04

