Time,Block,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/R2,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21158/A/25536,NR/2024/21186/A/25759,NR/2024/20966/A/25446,NR/2024/21096/A/25770,NR/2024/21152/A/25445,NR/2024/21238/A/25793,NR/2024/21375/C,NR/2024/21339/A/25558,NR/2024/21210/A/25453,NR/2024/21243/A/25497,NR/2024/19779/A/25477,NR/2024/21023/A/25516,NR/2024/21321/A/25359,NR/2024/20573/A/25754,NR/2024/21108/A/25763,NR/2024/21087/A/25709,NR/2024/21148/A/25528,NR/2024/21386/C,NR/2024/21103/A/25766,NR/01102023/14082046/L_NR_2021_16,NR/2024/20688/A/25554,NR/2024/21075/A/25792,NR/2024/21144/A/25539,NR/2024/21153/A/25521,NR/2024/20574/A/25752,NR/2024/21159/A/25537,NR/2024/20877/A/25760,NR/2024/21173/A/25708,NR/01102023/02012046/L_NR_2021_17,NR/2024/21227/A/25765,NR/2024/21062/A/25601,NR/2024/21150/A/25523,NR/30092023/31122025/SH-07,NR/2024/21142/A/25454,NR/2024/21199/A/25515,NR/2024/21387/C,NR/2024/21146/A/25534,NR/2024/21104/A/25764,NR/2024/21076/A/25789,NR/2024/21183/A/25790,NR/2024/21089/A/25741,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21156/A/25522,NR/2024/20711/A/25807,NR/2024/20930/A/25698,NR/2024/21113/A/25735,NR/2024/21072/A/25743,NR/2024/21385/C,NR/2024/21160/A/25535,NR/2024/21099/A/25456,SR/2024/13458/C,NR/2024/21141/A/25455,Total
29,07:00-07:15,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.770000,0.000000,7.710000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,0.87,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1964.96

30,07:15-07:30,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.770000,0.000000,7.710000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,1.09,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1965.18

31,07:30-07:45,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.770000,0.000000,7.710000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,1.4,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1965.49

32,07:45:08:00,81.930000,0.000000,81.930000,12.420000,0.000000,14.340000,20.480000,163.860000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,0.000000,40.970000,134.950000,0.770000,0.000000,7.710000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,0.000000,0.880000,26.870000,40.970000,0.000000,1.65,0.360000,64.660000,90.610000,18.020000,37.240000,61.450000,0.610000,96.390000,0.000000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1965.74

33,08:00-08:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,8.680000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,1.78,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1967.03

34,08:15-08:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,72.290000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,8.680000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,1.98,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,1967.23

35,08:30-08:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,8.680000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,2.24,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2015.69

36,08:45:09:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,8.680000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,2.39,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2015.84

37,09:00:09:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,9.640000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,2.73,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2017.14

38,09:15-09:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,9.640000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,3.08,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2017.49

39,09:30-09:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,9.640000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,3.31,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2017.72

40,09:45-10:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,9.640000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,3.52,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2017.93

41,10:00-10:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,3.81,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2020.15

42,10:15-10:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,4.09,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2020.43

43,10:30-10:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,4.39,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2020.73

44,10:45-11:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,4.58,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2020.92

45,11:00-11:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,4.77,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2021.11

46,11:15-11:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,4.87,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2021.21

47,11:30-11:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,5.25,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2021.59

48,11:45-12:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.870000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,26.870000,40.970000,61.450000,5.54,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2021.88

49,12:00-12:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,6.17,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2026.74

50,12:15-12:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,6.6,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2027.17

51,12:30-12:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,6.99,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2027.56

52,12:45-13:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,7.47,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2028.04

53,13:00-13:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,12.530000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,7.93,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2029.46

54,13:15-13:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,12.530000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,7.42,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2028.95

55,13:30-13:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,12.530000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,6.79,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2028.32

56,13:45-14:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,12.530000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,6.05,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2027.58

57,14:00-14:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,5.91,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2026.48

58,14:15-14:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,5.59,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2026.16

59,14:30-14:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,5.25,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2025.82

60,14:45-15:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,25.970000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,5.06,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2025.63

61,15:00-15:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,4.72,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2025.65

62,15:15-15:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,4.58,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2025.51

63,15:30-15:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,4.05,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2024.98

64,15:45-16:00,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.960000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,3.84,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2024.77

65,16:00-16:15,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.820000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,3.61,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2024.4

66,16:15-16:30,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.820000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,3.08,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2023.87

67,16:30-16:45,0.000000,0.000000,0.000000,12.420000,0.000000,14.340000,0.000000,0.000000,0.000000,26.330000,0.000000,0.000000,0.670000,0.000000,4.820000,120.490000,1.930000,2.890000,240.980000,81.930000,40.970000,134.950000,0.820000,81.930000,11.570000,0.000000,24.020000,20.720000,0.520000,168.440000,84.030000,0,66.690000,11.710000,0.480000,1.590000,0.000000,0.880000,96.390000,20.720000,0,0.000000,20.480000,0.880000,32.000000,40.970000,61.450000,2.8,0.360000,64.660000,90.610000,18.020000,37.240000,0.000000,0.610000,96.390000,163.860000,37.240000,37.240000,24.100000,0.970000,20.480000,0.00,0.000000,2023.59

