Time,Block,NR/2024/21087/A/25104,NR/2024/21183/A/25319,NR/2024/21243/A/25052,NR/2024/21329/C,NR/2024/21328/C,NR/2024/21152/A/25037,NR/2024/21108/A/25285,NR/2024/21144/A/25198,NR/2024/20877/A/25282,NR/2024/21159/A/25055,NR/2024/21150/A/25054,NR/2024/21227/A/25287,NR/2024/21103/A/25288,NR/2024/20930/A/25227,NR/01102023/02012046/L_NR_2021_17,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21148/A/25058,NR/2024/21158/A/25069,NR/2024/21199/A/25085,NR/2024/21186/A/25281,NR/2024/21141/A/25001,NR/30092023/26122029/SH-06,NR/2024/21279/A/25080,NR/2024/20688/A/25105,NR/2024/20711/A/25264,NR/2024/21156/A/25068,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20573/A/25251,NR/2024/20574/A/25250,NR/2024/21153/A/25067,NR/2024/21160/A/25064,NR/2024/21072/A/25272,NR/2024/21104/A/25286,NR/2024/21210/A/24994,NR/2024/21326/C,NR/01102023/23072042/L_NR_2012_04,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),NR/2024/21113/A/25270,NR/2024/21324/C,NR/2024/21173/A/25102,NR/01072024/31072024/R2,NR/2024/21323/C,NR/2024/21076/A/25310,NR/2024/19779/A/24971,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21023/A/25086,NR/2024/20966/A/25038,NR/2024/21089/A/25271,NR/2024/21099/A/25008,NR/30092023/31122025/SH-07,NR/2024/21075/A/25320,NR/2024/21142/A/24997,NR/01102023/14082046/L_NR_2021_16,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21340/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21096/A/25289,NR/2024/21062/A/25246,NR/2024/21146/A/25062,NR/2024/21336/C,NR/2024/21238/A/25321,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,Total
29,07:00-07:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.300000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,0.87,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.770000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2117.26

30,07:15-07:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.300000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,1.09,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.770000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2117.48

31,07:30-07:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.300000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,1.4,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.770000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2117.79

32,07:45:08:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,0.000000,0,17.300000,0.520000,0.670000,0.000000,48.200000,0.000000,26.910000,0.000000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,1.65,0.000000,96.390000,37.240000,240.980000,24.100000,0.000000,7.710000,90.610000,0.770000,0.000000,0.000000,0.000000,0.000000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,192.780000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,2.890000,72.290000,2118.04

33,08:00-08:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,17.120000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,2.08,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,8.680000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,72.290000,0.000000,0.360000,0.000000,2.890000,0.000000,2119.45

34,08:15-08:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,17.120000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,2.15,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,8.680000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,72.290000,0.000000,0.360000,0.000000,2.890000,0.000000,2119.52

35,08:30-08:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,17.120000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,2.53,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,8.680000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2168.1

36,08:45:09:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,17.120000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,2.63,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,8.680000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2168.2

37,09:00:09:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.940000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,2.84,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,9.640000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2169.19

38,09:15-09:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.940000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,3.39,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,9.640000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2169.74

39,09:30-09:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.940000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,3.31,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,9.640000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2169.66

40,09:45-10:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.940000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,3.75,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,9.640000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2170.1

41,10:00-10:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.740000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,3.94,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2172.02

42,10:15-10:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.740000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,3.59,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2171.67

43,10:30-10:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.740000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.91,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2172.99

44,10:45-11:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.740000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.04,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2172.12

45,11:00-11:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.740000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.77,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2172.85

46,11:15-11:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.740000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.62,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2172.7

47,11:30-11:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.740000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.51,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2172.59

48,11:45-12:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.740000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,2.57,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2170.65

49,12:00-12:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,6.56,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2171.06

50,12:15-12:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,7.93,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2172.43

51,12:30-12:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,7.43,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2171.93

52,12:45-13:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,6.51,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2171.01

53,13:00-13:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,7.93,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,12.530000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2173.39

54,13:15-13:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,7.42,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,12.530000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2172.88

55,13:30-13:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,6.79,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,12.530000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2172.25

56,13:45-14:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,5.84,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,12.530000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,0.000000,0.360000,0.000000,2.890000,0.000000,2171.3

57,14:00-14:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,5.91,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2194.51

58,14:15-14:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.48,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2193.08

59,14:30-14:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.44,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2193.04

60,14:45-15:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,13.160000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.5,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2193.1

61,15:00-15:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.660000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.69,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2196.79

62,15:15-15:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.660000,0.520000,0.670000,72.290000,48.200000,0.000000,26.910000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,5.79,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,26.910000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2197.89

63,15:30-15:45,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.660000,0.520000,0.670000,72.290000,48.200000,0.000000,24.370000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.71,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,24.370000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2191.73

64,15:45-16:00,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,16.660000,0.520000,0.670000,72.290000,48.200000,0.000000,24.370000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,3.72,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.960000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,24.370000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2190.74

65,16:00-16:15,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,17.020000,0.520000,0.670000,72.290000,48.200000,0.000000,24.370000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,3.84,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.870000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,24.370000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2191.13

66,16:15-16:30,24.100000,21.210000,134.950000,24.100000,168.440000,1.930000,24.020000,0.480000,96.390000,0.880000,0.880000,0.000000,84.030000,192.780000,0,17.020000,0.520000,0.670000,72.290000,48.200000,0.000000,24.370000,96.390000,66.690000,96.390000,0.610000,24.830000,12.420000,0.000000,0.000000,1.590000,0.970000,37.240000,64.660000,48.200000,4.12,0.000000,0.000000,37.240000,240.980000,24.100000,0.000000,11.570000,90.610000,0.870000,0.000000,0.000000,0.000000,96.390000,4.820000,37.240000,24.100000,24.370000,11.710000,48.200000,0,0.000000,0.000000,0.000000,120.490000,24.100000,0.360000,0.000000,2.890000,0.000000,2191.41

