Column1,Block,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/28774/A/81181,NR/2025/27356/A/81332,GNARE/NR/2024/12/20/3668,NR/2025/27499/A/81706,NR/2025/27088/A/81804,NR/2025/27167/A/81698,NR/2025/26562/A/81727,NR/2025/27782/A/81671,NR/2025/27726/A/81674,NR/2025/27725/A/81675,NR/2025/27168/A/81699,NR/2025/28851/A/81331,NR/2025/26952/A/81216,NR/2025/26777/A/81287,NR/2025/26785/A/81197,NR/2025/26860/A/81636,NR/2025/27727/A/81672,NR/2025/26975/A/81681,NR/2025/27242/A/81404,NR/2025/27506/A/81191,NR/2025/27500/A/81195,NR/2025/28719/A/81280,NR/2025/26565/A/81726,NR/2025/29162/A/81670,NR/2025/27100/A/81293,NR/2025/26566/A/81725,NR/2025/27162/A/81680,NR/2025/26889/A/81707,NR/2025/27281/A/81802,NR/2025/26445/A/81820,NR/2025/26861/A/81722,NR/2025/28849/A/81330,NR/2025/27187/A/81678,NR/2025/26572/A/81723,NR/2025/27157/A/81302,NR/2025/26571/A/81724,NR/2025/26085/A/81148,NR/2025/27185/A/81679,NR/2025/29338/C,NR/2025/29339/C,SR/2025/17633/C,NR/2025/29347/C,NR/2025/29215/C,NR/2025/27728/A/81673,NR/2025/29348/C,NR/2025/29185/C,NR/2025/29349/C,NR/2025/29350/C,NR/2025/29351/C,NR/2025/29198/C,NR/2025/29300/C,NR/2025/29336/C,NR/2025/29324/C,NR/2025/29317/C,NR/2025/29267/C,GNA/NR/2025/06/16/6051,NR/2025/29315/C,GNA/NR/2025/06/01/9719,NR/2025/29311/C,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/4973,NR/30092023/26122029/SH-06,Total
37,09:00-09:15,17.41,15.09,26.95,7.66,130,65.43,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,10.64,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,96.74,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,1810.9

38,09:15-09:30,17.41,15.09,26.95,8.32,140,71.28,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,0.97,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,1924.1599999999999

39,09:30-09:45,17.41,15.09,26.95,8.71,147,76.62,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,1937.85

40,09:45-10:00,17.41,15.09,26.95,8.71,154,81.7,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,1949.9299999999998

41,10:00-10:15,17.41,14.91,26.95,9.92,161,86.42,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,1962.6799999999998

42,10:15-10:30,17.41,14.91,26.95,10.12,172,90.68,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,1978.1399999999999

43,10:30-10:45,17.41,14.91,26.95,8.6,179,94.42,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,1987.36

44,10:45-11:00,17.41,14.91,26.95,8.6,186,97.13,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,1997.0699999999997

45,11:00-11:15,17.41,14.81,26.95,8.6,196,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,2009.8399999999997

46,11:15-11:30,17.41,14.81,26.95,8.6,203,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,2016.8399999999997

47,11:30-11:45,17.41,14.81,26.95,8.6,207,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,2020.8399999999997

48,11:45-12:00,17.41,14.81,26.95,8.6,207,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,0,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.95,2020.8399999999997

49,12:00-12:15,17.41,14.72,26.97,8.6,207,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2156.2299999999996

50,12:15-12:30,17.41,14.72,26.97,8.6,207,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2156.2299999999996

51,12:30-12:45,17.41,14.72,26.97,8.6,207,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2156.2299999999996

52,12:45-13:00,17.41,14.72,26.97,8.6,207,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2156.2299999999996

53,13:00-13:15,17.41,14.63,26.97,8.6,207,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,11.61,0,1.93,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2156.14

54,13:15-13:30,17.41,14.63,26.97,8.6,207,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,12.58,0,0.97,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2156.1499999999996

55,13:30-13:45,17.41,14.63,26.97,8.6,207,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,12.58,0,0.97,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2156.1499999999996

56,13:45-14:00,17.41,14.63,26.97,8.6,203,100,0,0,20.56,0,0,0,0,20.56,0,0,0,0,0,0,0,41.11,1.93,0,12.58,0,0.97,0,0,0,0,0,66.56,0,0,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2152.1499999999996

57,14:00-14:15,17.41,14.63,26.97,8.6,200,100,0,0,20.56,0,0,0,0,20.56,38.7,0,0,0,0,0,0,41.11,1.93,0,12.58,0,0.97,0,0,0,0,0,66.56,0,193.48,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2381.3299999999995

58,14:15-14:30,17.41,14.63,26.97,8.6,189,100,0,0,20.56,0,0,0,0,20.56,38.7,0,0,0,0,0,0,41.11,1.93,0,12.58,0,0.97,0,0,0,0,0,66.56,0,193.48,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2370.3299999999995

59,14:30-14:45,17.41,14.63,26.97,9.66,175,95.14,0,0,20.56,0,0,0,0,20.56,38.7,0,0,0,0,0,0,41.11,1.93,0,12.58,0,0.97,0,0,0,0,0,66.56,0,193.48,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,193.48,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2352.5299999999993

60,14:45-15:00,17.41,14.63,26.97,9.58,165,92.04,0,0,20.56,0,0,0,0,20.56,38.7,0,0,0,0,0,0,41.11,1.93,0,12.58,0,0.97,0,0,0,0,0,66.56,0,193.48,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,154.78,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2300.649999999999

61,15:00-15:15,17.41,14.99,26.97,8.71,154,88.5,0,0,20.56,0,0,0,0,20.56,38.7,0,0,0,0,0,0,41.11,1.93,0,13.54,0,0,0,0,0,0,0,66.56,0,193.48,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,154.78,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2285.5899999999992

62,15:15-15:30,17.41,14.99,26.97,8.71,147,84.04,0,0,20.56,0,0,0,0,20.56,38.7,0,0,0,0,0,0,41.11,1.93,0,13.54,0,0,0,0,0,0,0,66.56,0,193.48,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,154.78,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2274.129999999999

63,15:30-15:45,17.41,14.99,26.97,8.28,140,79.33,0,0,20.56,0,0,0,0,20.56,38.7,0,0,0,0,0,0,41.11,1.93,0,13.54,0,0,0,0,0,0,0,66.56,0,193.48,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,154.78,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2261.9899999999993

64,15:45-16:00,17.41,14.99,26.97,7.67,133,74.53,0,0,20.56,0,0,0,0,20.56,38.7,0,0,0,0,0,0,41.11,1.93,0,13.54,0,0,0,0,0,0,0,66.56,0,193.48,0,0,0,0,0.97,0,28.05,54.35,0,8.71,135.44,0,34.83,24.91,34.83,8.71,34.83,53.21,154.78,164.46,19.35,56.05,106.41,19.35,5.8,20.56,164.46,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2249.5799999999995

65,16:00-16:15,17.41,15.56,26.97,5.8,119,69.39,0,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,135.44,164.46,53.21,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,0,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,28.05,54.35,0,0,0,37.38,0,0,0,0,0,0,154.78,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2512.3999999999996

66,16:15-16:30,17.41,15.56,26.97,5.8,105,63.26,0,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,135.44,164.46,53.21,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,0,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,28.05,54.35,0,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2337.4899999999993

67,16:30-16:45,17.41,15.56,26.97,5.8,95,50.16,0,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,135.44,164.46,53.21,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,0,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,28.05,54.35,0,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2314.389999999999

68,16:45-17:00,17.41,15.56,26.97,5.8,84,44.16,0,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,135.44,164.46,53.21,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,0,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,28.05,54.35,0,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2297.3899999999994

69,17:00-17:15,17.41,16.02,26.97,0,70,38.37,0,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,135.44,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,0,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,28.05,109.8,0,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2274.499999999999

70,17:15-17:30,17.41,16.02,26.97,0,56,32.19,0,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,135.44,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,0,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,28.05,164.7,0,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2309.2199999999993

71,17:30-17:45,17.41,16.02,26.97,0,42,25.96,0,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,135.44,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,0,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,28.05,164.7,0,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2288.9899999999993

72,17:45-18:00,17.41,16.02,26.97,0,28,20.33,0,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,135.44,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,0,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,28.05,164.7,0,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,19.35,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,15.33,41.11,26.97,2269.359999999999

73,18:00-18:15,17.41,16.48,26.56,0,21,15.09,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,14.51,164.7,0,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,0,41.11,29,2090.0499999999997

74,18:15-18:30,17.41,16.48,26.56,0,18,10.82,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,0,193.48,0,0,217.66,0,0.87,19.35,14.51,164.7,0,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,0,41.11,29,2082.7799999999997

75,18:30-18:45,17.41,16.48,26.56,0,14,5.41,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,0,193.48,19.35,0,217.66,0,0.87,19.35,14.51,164.7,145.11,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,0,41.11,29,2237.8299999999995

76,18:45-19:00,17.41,16.48,26.56,0,10,5.11,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,0,193.48,19.35,0,217.66,0,0.87,19.35,14.51,164.7,145.11,0,0,37.38,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,0,41.11,29,2233.5299999999993

77,19:00-19:15,29.2,16.94,26.56,0,5,2.2,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,0,193.48,19.35,0,217.66,0,0.87,19.35,14.51,164.7,145.11,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,0,41.11,29,2481.6499999999996

78,19:15-19:30,29.2,16.94,26.56,0,1,1.52,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,0,193.48,19.35,0,217.66,0,0.87,19.35,14.51,164.7,232.18,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,0,41.11,29,2564.04

79,19:30-19:45,29.2,16.94,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,0,193.48,19.35,0,217.66,0,0.87,19.35,14.51,164.7,232.18,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,0,41.11,29,2561.52

80,19:45-20:00,29.2,16.94,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,5.8,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,0,193.48,19.35,0,217.66,0,0.87,19.35,14.51,164.7,232.18,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,164.46,53.45,41.11,11.93,0,41.11,29,2561.52

81,20:00-20:15,29.2,16.94,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.92,19.35,14.51,164.7,232.18,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2524.82

82,20:15-20:30,29.2,16.94,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.92,19.35,14.51,164.7,232.18,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2524.82

83,20:30-20:45,29.2,16.94,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.92,19.35,14.51,164.7,232.18,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2524.82

84,20:45-21:00,29.2,16.94,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,13.54,0,0,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.92,19.35,14.51,164.7,232.18,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2524.82

85,21:00-21:15,29.2,14.16,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,12.58,0,0.97,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.92,19.35,28.05,164.7,241.85,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2545.26

86,21:15-21:30,29.2,14.16,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,12.58,0,0.97,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.92,19.35,28.05,164.7,241.85,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2545.26

87,21:30-21:45,29.2,14.16,26.56,0,0,0,8.71,164.46,20.56,0,14.66,43.97,14.66,20.56,38.7,0,164.46,0,106.41,43.97,27.09,41.11,1.93,7.74,12.58,0,0.97,25.23,0,56.05,5.8,24.91,66.56,164.46,135.44,19.35,0,217.66,0,0.92,19.35,28.05,164.7,241.85,0,0,37.38,0,0,0,0,0,0,243.78,0,0,0,0,0,0,20.56,0,11.92,20.56,41.11,20.56,0,53.45,41.11,11.93,0,41.11,29,2545.26

