Column1,Block,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,NR/30092023/31122025/SH-07,NR/2024/22832/A/35220,NR/2024/22833/A/35219,NR/2024/22888/A/35238,NR/2024/22874/A/35222,NR/2024/22734/A/35210,NR/2024/22872/A/35081,NR/2024/22837/A/35218,NR/2024/22835/A/35278,NR/2024/21658/A/35080,NR/2024/22820/A/34946,NR/2024/22816/A/35184,NR/2024/22860/A/35246,NR/2024/22802/A/35221,NR/2024/22928/C,NR/2024/22848/A/35248,NR/2024/22935/C,NR/2024/22933/C,NR/2024/22839/A/35217,NR/2024/22753/A/35208,NR/2024/22754/A/35207,NR/2024/22934/C,NR/2024/22898/A/35159,NR/2024/22899/A/35161,Total
78,19:15-19:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,18.9768,41.18,18.9768,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1236.7256000000002

79,19:30-19:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.7720000000002

80,19:45-20:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.82,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.7720000000002

81,20:00-20:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.732

82,20:15-20:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.732

83,20:30-20:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.732

84,20:45-21:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.732

85,21:00-21:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.732

86,21:15-21:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.732

87,21:30-21:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.732

88,21:45-22:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,11.63,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,0,0,0,0,0,1230.732

89,22:00-22:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,10.66,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1469.5819999999999

90,22:15-22:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,43.6,0,96.89,10.66,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1469.5819999999999

91,22:30-22:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,67.82,0,96.89,9.69,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1492.8319999999999

92,22:45-23:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,67.82,0,96.89,9.69,26.42,91.08,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1492.8319999999999

93,23:00-23:15,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,67.82,0,96.89,9.69,26.42,94.37,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1496.1219999999998

94,23:15-23:30,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,67.82,0,96.89,9.69,26.42,94.37,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1496.1219999999998

95,23:30-23:45,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,67.82,0,96.89,9.69,26.42,94.37,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1496.1219999999998

96,23:45-24:00,82.36,20.59,18.54,82.36,41.18,2.06,0,8.81,13.97,17.482,32,41.18,0,26.42,26.42,67.82,0,96.89,9.69,26.42,94.37,0.78,4.84,0,13.56,0,242.22,84.47,28.1,164.96,8.81,179.86,59.96,0,0,0,1496.1219999999998

