Time,Block,NR/2024/20130/A/21747,NR/2024/19779/A/21691,NR/2024/20701/C,NR/2024/19757/A/22102,NR/2024/20598/A/21758,NR/2024/20212/A/21741,NR/2024/19760/A/21934,NR/2024/19475/A/21988,NR/2024/19432/A/22106,NR/2024/20516/A/21745,NR/2024/19355/A/22155,NR/2024/20572/A/22095,NR/2024/19966/A/21732,NR/2024/20048/A/22041,NR/2024/20109/A/22153,NR/2024/19988/A/21933,NR/2024/20515/A/21746,NR/2024/20211/A/21740,NR/2024/20553/A/21597,NR/2024/20552/A/21598,NR/2024/20597/A/22032,NR/2024/20513/A/21748,NR/2024/19791/A/22037,NR/2024/20672/C,NR/2024/20537/A/22147,NR/2024/20142/A/21743,NR/2024/20560/A/22096,NR/2024/20037/A/21767,NR/2024/20141/A/21744,NR/2024/20694/C,NR/2024/19637/A/21726,NR/2024/19918/A/22035,NR/2024/20557/A/22098,NR/2024/20524/A/21996,NR/2024/20090/A/21602,NR/2024/20599/A/21756,NR/2024/20041/A/22042,NR/2024/20540/A/21527,NR/2024/19919/A/22033,NR/2024/19699/A/22104,NR/2024/20554/A/21583,NR/2024/20684/C,NR/2024/20144/A/21742,NR/2024/19588/A/21708,NR/2024/20050/A/22040,NR/2024/20671/C,NR/2024/19683/A/21632,NR/2024/20558/A/22097,Total
44,10:45-11:00,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,7.21,1.930000,32.930000,2122.62

45,11:00-11:15,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,8.29,1.930000,32.930000,2123.7

46,11:15-11:30,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,5.38,1.930000,32.930000,2120.79

47,11:30-11:45,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,5.74,1.930000,32.930000,2121.15

48,11:45-12:00,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,0.000000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,5.7,1.930000,32.930000,2121.11

49,12:00-12:15,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,4.27,1.930000,32.930000,2133.2

50,12:15-12:30,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,5.84,1.930000,32.930000,2134.77

51,12:30-12:45,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,7.75,1.930000,32.930000,2136.68

52,12:45-13:00,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,5.54,1.930000,32.930000,2134.47

53,13:00-13:15,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,6.78,1.930000,32.930000,2135.71

54,13:15-13:30,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,8.26,1.930000,32.930000,2137.19

55,13:30-13:45,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,5.29,1.930000,32.930000,2134.22

56,13:45-14:00,0.480000,0.970000,144.900000,243.200000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,11.590000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,7.96,1.930000,32.930000,2136.89

57,14:00-14:15,0.480000,0.970000,144.900000,48.670000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,13.520000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,3.2,1.930000,32.930000,1939.53

58,14:15-14:30,0.480000,0.970000,144.900000,48.670000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,13.520000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,3.31,1.930000,32.930000,1939.64

59,14:30-14:45,0.480000,0.970000,144.900000,48.670000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,13.520000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,7.9,1.930000,32.930000,1944.23

60,14:45-15:00,0.480000,0.970000,144.900000,48.670000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,13.520000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,7.37,1.930000,32.930000,1943.7

61,15:00-15:15,0.480000,0.970000,144.900000,48.670000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,13.520000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,7.27,1.930000,32.930000,1943.6

62,15:15-15:30,0.480000,0.970000,144.900000,48.670000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,13.520000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,2.55,1.930000,32.930000,1938.88

63,15:30-15:45,0.480000,0.970000,144.900000,48.670000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,13.520000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,2.65,1.930000,32.930000,1938.98

64,15:45-16:00,0.480000,0.970000,144.900000,48.670000,24.150000,0.610000,48.300000,193.200000,24.150000,0.980000,96.600000,32.930000,38.640000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,24.150000,13.520000,10.970000,0.000000,1.930000,24.150000,48.300000,13.520000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,1.3,1.930000,32.930000,1937.63

65,16:00-16:15,0.480000,0.820000,144.900000,48.670000,24.150000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,2.57,1.930000,32.930000,1778.4

66,16:15-16:30,0.480000,0.820000,144.900000,48.670000,24.150000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,2.83,1.930000,32.930000,1778.66

67,16:30-16:45,0.480000,0.820000,144.900000,48.670000,24.150000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,1.97,1.930000,32.930000,1777.8

68,16:45-17:00,0.480000,0.820000,144.900000,48.670000,24.150000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,24.150000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,3.4,1.930000,32.930000,1779.23

69,17:00-17:15,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,2.86,1.930000,32.930000,1730.34

70,17:15-17:30,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,2.24,1.930000,32.930000,1729.72

71,17:30-17:45,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,1.67,1.930000,32.930000,1729.15

72,17:45-18:00,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,1.15,1.930000,32.930000,1728.63

73,18:00-18:15,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0.73,1.930000,32.930000,1728.21

74,18:15-18:30,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,121.710000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0.45,1.930000,32.930000,1727.93

75,18:30-18:45,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0.25,1.930000,32.930000,1654.32

76,18:45-19:00,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,183.540000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,57.960000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1654.07

77,19:00-19:15,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1654.07

78,19:15-19:30,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1654.07

79,19:30-19:45,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1654.07

80,19:45-20:00,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,0.000000,0.000000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,0.000000,1.930000,24.150000,0.000000,12.560000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1654.07

81,20:00-20:15,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,11.590000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1725.55

82,20:15-20:30,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,11.590000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1725.55

83,20:30-20:45,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,11.590000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1725.55

84,20:45-21:00,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,11.590000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1725.55

85,21:00-21:15,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,11.590000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1725.55

86,21:15-21:30,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,11.590000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1725.55

87,21:30-21:45,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,11.590000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1725.55

88,21:45-22:00,0.480000,0.770000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,0.000000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,11.590000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,0.000000,0,1.930000,32.930000,1725.55

89,22:00-22:15,0.480000,0.720000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,8.690000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,1915.8

90,22:15-22:30,0.480000,0.720000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,8.690000,48.300000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,1915.8

91,22:30-22:45,0.480000,0.720000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,8.690000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2176.62

92,22:45-23:00,0.480000,0.720000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,8.690000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2176.62

93,23:00-23:15,0.480000,0.630000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,8.690000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2176.53

94,23:15-23:30,0.480000,0.630000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,8.690000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2176.53

95,23:30-23:45,0.480000,0.630000,144.900000,48.670000,0.000000,0.610000,0.000000,193.200000,24.150000,0.980000,96.600000,32.930000,0.000000,48.300000,241.500000,96.600000,0.880000,1.590000,48.300000,28.980000,0.000000,0.680000,64.800000,167.120000,0.000000,0.520000,32.930000,72.450000,0.350000,72.450000,0.000000,13.520000,10.970000,19.320000,1.930000,0.000000,0.000000,8.690000,309.120000,48.300000,0.000000,96.600000,0.880000,66.840000,144.900000,0,1.930000,32.930000,2176.53

