Time,Block,NR/2023/15635/C,NR/2023/12053/A,NR/2023/14745/A,NR/2023/15309/F,NR/2023/15402/F,NR/2023/15627/C,NR/2023/15057/F,NR/2023/12052/A,NR/2023/12592/A,NR/2023/12347/A,NR/2023/14737/A,NR/2023/12167/A,NR/2023/13862/A,NR/2023/15306/F,NR/2023/14895/A,NR/2023/12591/A,NR/2023/12431/A,NR/2023/12148/A,NR/2023/14746/A,NR/2023/15303/F,NR/2023/14898/A,NR/2023/12422/A,NR/2023/15637/C,NR/2023/13635/A,NR/2023/15623/D,ER/2023/9633/C,NR/2023/15640/C,NR/2023/15296/F,NR/2023/15304/F,NR/2023/15624/D,NR/2023/12168/A,NR/2023/15412/F,NR/2023/15619/D,Total
67,16:30-16:45,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.820000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,1.74,1046.14

68,16:45-17:00,29.000000,0.000000,24.160000,4.830000,6.770000,6.050000,0.820000,63.060000,85.030000,106.320000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,1.55,1045.95

69,17:00-17:15,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.820000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,1.45,928.95

70,17:15-17:30,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.820000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,1.08,928.58

71,17:30-17:45,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.820000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,0.48,927.98

72,17:45-18:00,0.000000,0.000000,24.160000,4.830000,0.000000,6.050000,0.820000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,0.19,927.69

73,18:00-18:15,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.870000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,0,941.88

74,18:15-18:30,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.870000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,0,941.88

75,18:30-18:45,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.870000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,0,941.88

76,18:45-19:00,0.000000,36.470000,0.000000,4.830000,0.000000,9.080000,0.870000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,18.360000,0.000000,12.690000,0.970000,0.580000,0.000000,46.590000,193.300000,0,942.89

77,19:00-19:15,0.000000,36.470000,0.000000,4.830000,0.000000,9.080000,0.920000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,930.3

78,19:15-19:30,0.000000,36.470000,0.000000,4.830000,0.000000,9.080000,0.920000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,930.3

79,19:30-19:45,0.000000,36.470000,0.000000,4.830000,0.000000,9.080000,0.920000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,930.3

80,19:45-20:00,0.000000,36.470000,0.000000,4.830000,0.000000,9.080000,0.920000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,0.000000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,930.3

81,20:00-20:15,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.920000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,29.000000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,958.29

82,20:15-20:30,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.920000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,29.000000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,958.29

83,20:30-20:45,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.920000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,28.030000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,957.32

84,20:45-21:00,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.920000,63.060000,85.030000,48.320000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,68.620000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,997.91

85,21:00-21:15,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.920000,63.060000,85.030000,91.820000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,63.790000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1036.58

86,21:15-21:30,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.920000,63.060000,85.030000,91.820000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,112.110000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1084.9

87,21:30-21:45,0.000000,36.470000,0.000000,4.830000,0.000000,8.070000,0.920000,63.060000,85.030000,91.820000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,171.070000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1143.86

88,21:45-22:00,0.000000,36.470000,0.000000,4.830000,0.000000,6.050000,0.920000,63.060000,85.030000,91.820000,29.000000,24.160000,0.000000,0.930000,95.680000,42.520000,108.730000,22.230000,0.000000,0.910000,77.320000,0.000000,228.090000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1198.86

89,22:00-22:15,0.000000,36.470000,0.000000,4.830000,0.000000,6.050000,0.920000,63.060000,85.030000,91.820000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,146.910000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1263.55

90,22:15-22:30,0.000000,36.470000,0.000000,4.830000,0.000000,6.050000,0.920000,63.060000,85.030000,91.820000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,202.000000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1318.64

91,22:30-22:45,0.000000,36.470000,0.000000,4.830000,0.000000,6.050000,0.920000,63.060000,85.030000,91.820000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,266.750000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1383.39

92,22:45-23:00,0.000000,36.470000,0.000000,4.830000,0.000000,6.050000,0.920000,63.060000,85.030000,91.820000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,304.450000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1421.09

93,23:00-23:15,0.000000,36.470000,0.000000,4.830000,0.000000,5.050000,0.870000,63.060000,85.030000,91.820000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,333.440000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1449.03

94,23:15-23:30,0.000000,36.470000,0.000000,4.830000,0.000000,5.050000,0.870000,63.060000,85.030000,91.820000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,316.050000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1431.64

95,23:30-23:45,0.000000,36.470000,0.000000,4.830000,0.000000,5.050000,0.870000,63.060000,85.030000,91.820000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,299.620000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1415.21

96,23:45-24:00,0.000000,36.470000,0.000000,4.830000,0.000000,5.050000,0.870000,63.060000,85.030000,91.820000,29.000000,24.160000,23.130000,0.930000,95.680000,42.520000,108.730000,22.230000,85.920000,0.910000,77.320000,36.820000,275.450000,21.260000,0.000000,0.000000,18.410000,0.970000,0.580000,0.000000,46.590000,193.300000,0,1391.04

