Column1,Block,NR/2025/26335/A/70035,NR/2025/26236/A/69881,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,NR/2025/26289/A/70377,NR/2025/26588/C,NR/2025/26336/A/70034,NR/2025/26589/C,NR/2025/26085/A/69868,NR/2025/26265/A/70378,NR/2025/26590/C,NR/2025/26232/A/70380,NR/2025/26591/C,NR/2025/26629/C,NR/2025/26200/A/70534,NR/2025/26592/C,NR/2025/26631/C,NR/2025/26593/C,NR/2025/25858/A/70338,NR/2025/26291/A/70376,NR/2025/26620/C,NR/2025/26202/A/70417,NR/2025/26312/A/69880,NR/2025/25855/A/70337,NR/2025/26191/A/69926,NR/2025/26101/A/70052,NR/2025/26625/C,NR/2025/26286/A/70032,NR/2025/26197/A/70538,NR/2025/26233/A/70379,NR/2025/26199/A/70535,NR/2025/26153/A/69882,NR/2025/26002/A/70342,NR/2025/26198/A/70536,NR/2025/26201/A/70532,GNARE/NR/2024/12/20/3668,Total
56,13:45-14:00,196,13.51,26.95,8.87,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,4.83,0,51.13,14.62,0,28.96,53.09,0,0,88.81,96.53,0,0,48.26,0,0,5.79,14.62,4.83,43.87,62.74,0,43.87,37.3,100,1821.4699999999993

57,14:00-14:15,196,11.58,26.95,8.77,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,0,4.83,51.13,14.62,4.83,28.96,53.09,111.01,0,59.85,66.72,0,0,48.26,33.79,29.81,5.79,14.62,0,43.87,62.74,0,43.87,37.3,91.67,1926.9499999999994

58,14:15-14:30,182,11.58,26.95,8.77,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,0,4.83,51.13,14.62,4.83,28.96,53.09,111.01,0,59.85,66.72,0,0,48.26,33.79,29.81,6.76,14.62,0,43.87,62.74,0,43.87,37.3,91.67,1913.9199999999994

59,14:30-14:45,175,11.58,26.95,8.77,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,0,4.83,51.13,14.62,4.83,28.96,53.09,111.01,0,59.85,66.72,0,0,48.26,33.79,29.81,6.76,14.62,0,43.87,62.74,0,43.87,37.3,84.21,1899.4599999999994

60,14:45-15:00,168,11.58,26.95,8.77,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,0,4.83,51.13,14.62,4.83,28.96,53.09,111.01,0,59.85,66.72,0,0,48.26,33.79,29.81,6.76,14.62,0,43.87,62.74,0,43.87,37.3,81.5,1889.7499999999993

61,15:00-15:15,154,8.69,26.95,8.77,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,0,4.83,51.13,14.62,4.83,28.96,53.09,111.01,0,11.58,66.72,0,0,48.26,33.79,29.81,7.72,14.62,0,43.87,62.74,0,43.87,37.3,70.41,1814.4599999999996

62,15:15-15:30,147,8.69,26.95,8.77,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,0,4.83,51.13,14.62,4.83,28.96,53.09,111.01,0,11.58,66.72,0,0,48.26,33.79,29.81,7.72,14.62,0,43.87,62.74,0,43.87,37.3,67.04,1804.0899999999995

63,15:30-15:45,137,8.69,26.95,8.77,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,0,4.83,51.13,14.62,4.83,28.96,53.09,111.01,0,0,66.72,0,0,48.26,33.79,29.81,7.72,14.62,0,43.87,62.74,0,43.87,37.3,63.12,1778.5899999999995

64,15:45-16:00,126,8.69,26.95,8.77,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,0,96.53,135.14,48.26,0.97,0,24.13,0,4.83,51.13,14.62,4.83,28.96,53.09,111.01,0,0,66.72,0,0,48.26,33.79,29.81,7.72,14.62,0,43.87,62.74,0,43.87,37.3,58.87,1763.3399999999992

65,16:00-16:15,116,5.79,26.95,9.05,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.82,96.53,0,4.83,0,51.13,14.62,0,28.96,0,111.01,24.13,0,96.53,53.09,0,48.26,33.79,0,7.72,14.62,4.83,43.87,62.74,0,43.87,37.3,53.95,1745.6499999999996

66,16:15-16:30,102,5.79,26.95,9.05,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.82,96.53,0,4.83,0,51.13,14.62,0,28.96,0,111.01,24.13,0,96.53,53.09,0,48.26,33.79,0,7.72,14.62,4.83,43.87,62.74,0,43.87,37.3,48.7,1726.3999999999996

67,16:30-16:45,88,5.79,26.95,9.05,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.82,96.53,0,4.83,0,51.13,14.62,0,28.96,0,111.01,24.13,0,96.53,53.09,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,0,43.87,37.3,34.94,1699.6099999999997

68,16:45-17:00,77,5.79,26.95,9.05,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,26.06,28.96,48.26,0,135.14,0,0.82,96.53,0,4.83,0,51.13,14.62,0,28.96,0,111.01,24.13,0,96.53,53.09,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,0,43.87,37.3,30.45,1684.1199999999997

69,17:00-17:15,63,0,26.95,9.33,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,29.01,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,87.65,14.62,0,0,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,0,43.87,37.3,25.85,1617.2899999999995

70,17:15-17:30,49,0,26.95,9.33,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,29.01,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,108.46,14.62,0,0,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,0,43.87,37.3,21.5,1619.7499999999995

71,17:30-17:45,35,0,26.95,9.33,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,29.01,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,102.25,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,0,43.87,37.3,17.55,1629.3799999999994

72,17:45-18:00,21,0,26.95,9.33,26.95,0,10.62,0,123.08,0,13.51,0,0,14.48,0,0,164.1,0,164.1,29.01,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,102.25,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,0,43.87,37.3,13.7,1611.5299999999995

73,18:00-18:15,11,0,26.61,9.6,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,164.1,43.87,37.3,10.07,1799.8399999999992

74,18:15-18:30,6,0,26.61,9.6,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,164.1,43.87,37.3,6.72,1791.4899999999993

75,18:30-18:45,1,0,26.61,9.6,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,164.1,43.87,37.3,4.09,1783.8599999999992

76,18:45-19:00,0,0,26.61,9.6,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.68,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,164.1,43.87,37.3,1.89,1780.6599999999994

77,19:00-19:15,0,0,26.61,9.88,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.72,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0.58,1779.6699999999994

78,19:15-19:30,0,0,26.61,9.88,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.72,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1779.0899999999995

79,19:30-19:45,0,0,26.61,9.88,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.72,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,8.69,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1779.0899999999995

80,19:45-20:00,0,0,26.61,9.88,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.72,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,7.72,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1778.1199999999994

81,20:00-20:15,0,0,26.61,10.07,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,7.72,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1778.3599999999994

82,20:15-20:30,0,0,26.61,10.07,26.61,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,7.72,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1778.3599999999994

83,20:30-20:45,0,0,20.92,10.07,20.92,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,33.79,96.53,0,0,48.26,33.79,0,7.72,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1766.9799999999993

84,20:45-21:00,0,0,23.47,10.07,23.47,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,6.76,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1737.3299999999992

85,21:00-21:15,0,0,25.39,11.36,25.39,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,6.76,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1742.4599999999994

86,21:15-21:30,0,0,25.39,11.36,25.39,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,6.76,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1742.4599999999994

87,21:30-21:45,0,0,25.39,11.36,25.39,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,162.7,14.62,0,0,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,6.76,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1742.4599999999994

88,21:45-22:00,0,0,25.39,11.36,25.39,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,155.39,14.62,0,0,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,6.76,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1735.1499999999992

89,22:00-22:15,0,0,25.39,11.36,25.39,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,107.74,14.62,0,0,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,5.79,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1686.5299999999995

90,22:15-22:30,0,0,25.39,11.36,25.39,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,87.65,14.62,0,0,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,5.79,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1666.4399999999994

91,22:30-22:45,0,0,20.92,11.36,20.92,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,14.48,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,5.79,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1635.4599999999996

92,22:45-23:00,0,0,20.92,11.36,20.92,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,14.48,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,5.79,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1635.4599999999996

93,23:00-23:15,0,0,20.92,11.36,20.92,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,14.48,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,5.79,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1635.4599999999996

94,23:15-23:30,0,0,20.92,11.36,20.92,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,14.48,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,4.83,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1634.4999999999995

95,23:30-23:45,0,0,20.92,11.36,20.92,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,14.48,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,4.83,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1634.4999999999995

96,23:45-24:00,0,0,20.92,11.36,20.92,67.57,10.62,0,123.08,5.79,13.51,28.96,5.79,14.48,14.48,0,164.1,19.31,0,29.01,28.96,48.26,0,135.14,0,0.77,96.53,0,4.83,0,51.13,14.62,0,14.48,0,111.01,24.13,0,96.53,0,0,48.26,33.79,0,4.83,14.62,4.83,43.87,62.74,164.1,43.87,37.3,0,1634.4999999999995

