Column1,Block,NR/2025/27356/A/82215,NR/2025/26571/A/82547,NR/2025/27782/A/82591,GNA/NR/2025/06/16/8791,NR/2025/27167/A/82203,NR/2025/26565/A/82544,NR/2025/26562/A/82543,NR/2025/27725/A/82621,NR/2025/26952/A/82148,GNA/NR/2025/06/01/7786,NR/2025/26889/A/82570,NR/2025/27100/A/82195,GNA/NR/2025/06/01/7663,NR/2025/27168/A/82204,NR/2025/26566/A/82546,NR/2025/26085/A/82106,NR/2025/26975/A/82632,NR/2025/27088/A/82682,NR/2025/27281/A/82660,NR/2025/26445/A/82691,NR/2025/27157/A/82186,NR/2025/27185/A/82630,NR/2025/26777/A/82183,NR/2025/27176/A/82631,NR/2025/26860/A/82487,NR/2025/27500/A/82069,NR/2025/27727/A/82598,NR/2025/26785/A/82070,NR/2025/27242/A/82273,GNA/NR/2025/06/01/2569,NR/2025/27499/A/82569,NR/2025/28719/A/82173,NR/2025/29162/A/82174,NR/2025/26861/A/82551,NR/2025/27506/A/82068,NR/2025/27187/A/82629,NR/2025/26572/A/82548,GNA/NR/2025/06/01/4973,NR/2025/29567/C,NR/2025/29557/C,NR/2025/29594/C,NR/2025/29558/C,NR/2025/29596/C,NR/2025/29562/C,NR/2025/29597/C,NR/2025/27726/A/82618,NR/2025/29542/C,NR/2025/29595/C,NR/2025/28774/A/82064,NR/2025/29603/C,NR/2025/29486/C,GNARE/NR/2024/12/20/3668,NR/2025/29600/C,NR/2025/29484/C,NR/2025/29597/C/Alternate/1,NR/2025/29509/C,NR/2025/29593/C,NR/2025/29598/C,NR/2025/29556/C,NR/2025/29599/C,NR/2025/27728/A/82614,NR/2025/29566/C,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,Total
36,08:45-09:00,98,0,8.06,15.33,16.93,0,145.11,8.06,0,33.86,0,0,33.86,16.93,0,0.97,5.8,135.44,24.91,48.37,0,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,8.71,0.97,0,1.93,0,0,33.86,0,0,0,0,0,0,164.7,18.56,0,0,5.8,0,0,55.14,0,0,0,0,0,28.05,0,0,18.56,0,26.93,26.93,14.99,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1680.5700000000004

37,09:00-09:15,109,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,6.65,135.44,53.21,60.84,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.81,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1744.4099999999999

38,09:15-09:30,119,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,7.09,135.44,53.21,66.24,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.81,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1760.25

39,09:30-09:45,130,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,7.44,135.44,53.21,71.4,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.81,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1776.7600000000002

40,09:45-10:00,137,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,7.71,135.44,53.21,76.26,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.81,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1788.89

41,10:00-10:15,144,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,7.92,135.44,53.21,73.33,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.72,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1793.08

42,10:15-10:30,151,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.11,135.44,53.21,76.67,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.72,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1803.6100000000001

43,10:30-10:45,158,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.26,135.44,53.21,80,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.72,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1814.0900000000001

44,10:45-11:00,165,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.39,135.44,53.21,83.53,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.72,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1824.75

45,11:00-11:15,196,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.49,135.44,53.21,90,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1862.2300000000002

46,11:15-11:30,196,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.55,135.44,53.21,90,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1862.2900000000002

47,11:30-11:45,182,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.58,135.44,53.21,100,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1858.3200000000002

48,11:45-12:00,182,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.59,135.44,53.21,100,18.56,24.91,0,0,135.44,28.05,0,8.06,0,19.35,26.95,26.95,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1858.3300000000002

49,12:00-12:15,182,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.58,135.44,53.21,100,18.56,24.91,0,135.44,135.44,28.05,0,8.06,0,19.35,26.97,26.97,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1993.8000000000002

50,12:15-12:30,182,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.55,135.44,53.21,100,18.56,24.91,0,135.44,135.44,28.05,0,8.06,0,19.35,26.97,26.97,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1993.7700000000002

51,12:30-12:45,175,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.51,135.44,53.21,100,18.56,24.91,0,135.44,135.44,28.05,0,8.06,0,19.35,26.97,26.97,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1986.7300000000002

52,12:45-13:00,175,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.46,135.44,53.21,100,18.56,24.91,0,135.44,135.44,28.05,0,8.06,0,19.35,26.97,26.97,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1986.6800000000003

53,13:00-13:15,175,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.39,135.44,53.21,100,18.56,24.91,0,135.44,135.44,28.05,0,8.06,0,19.35,26.97,26.97,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1986.6100000000001

54,13:15-13:30,175,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.32,135.44,53.21,100,18.56,24.91,0,135.44,135.44,28.05,0,8.06,0,19.35,26.97,26.97,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1986.5400000000002

55,13:30-13:45,175,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.24,135.44,53.21,100,18.56,24.91,0,135.44,135.44,28.05,0,8.06,0,19.35,26.97,26.97,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1986.4600000000003

56,13:45-14:00,175,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,8.71,1.93,0,1.93,0,0,33.86,77.02,0,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.15,135.44,53.21,100,18.56,24.91,0,135.44,135.44,28.05,0,8.06,0,19.35,26.97,26.97,14.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,1986.3700000000001

57,14:00-14:15,172,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,11.61,0,0,1.93,0,0,33.86,77.02,145.11,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,8.06,135.44,53.21,100,18.56,24.91,0,135.44,135.44,28.05,145.11,8.06,0,19.35,26.97,26.97,14.72,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2274.56

58,14:15-14:30,168,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,11.61,0,0,1.93,0,0,33.86,77.02,145.11,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,7.97,135.44,53.21,94.22,18.56,24.91,0,135.44,135.44,28.05,145.11,8.06,0,19.35,26.97,26.97,14.72,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2264.69

59,14:30-14:45,165,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,11.61,0,0,1.93,0,0,33.86,77.02,145.11,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,7.86,135.44,53.21,88,18.56,24.91,0,135.44,135.44,28.05,145.11,8.06,0,19.35,26.97,26.97,14.72,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2255.3599999999997

60,14:45-15:00,161,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,11.61,0,0,1.93,0,0,33.86,77.02,145.11,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,7.71,135.44,53.21,81.96,18.56,24.91,0,135.44,135.44,28.05,145.11,8.06,0,19.35,26.97,26.97,14.72,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2245.17

61,15:00-15:15,151,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,11.61,0,0,1.93,0,0,33.86,77.02,145.11,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,7.53,135.44,53.21,78.28,18.56,24.91,0,135.44,135.44,28.05,145.11,8.06,0,19.35,26.97,26.97,15.09,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2231.68

62,15:15-15:30,140,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,11.61,0,0,1.93,0,0,33.86,77.02,145.11,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,7.27,135.44,53.21,73.73,18.56,24.91,0,135.44,135.44,28.05,145.11,8.06,0,19.35,26.97,26.97,15.09,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2215.87

63,15:30-15:45,126,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,11.61,0,0,1.93,0,0,33.86,77.02,145.11,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,6.97,135.44,53.21,63.03,18.56,24.91,0,135.44,135.44,28.05,145.11,8.06,0,19.35,26.97,26.97,15.09,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2190.8700000000003

64,15:45-16:00,116,0,0,15.33,16.93,0,15.85,0,0,33.86,0,0,33.86,16.93,0,0.97,0,0,0,48.37,0,0,0,0,0,0,0,0,33.86,44.02,0,11.61,0,0,1.93,0,0,33.86,77.02,145.11,8.06,129.26,24.18,5.8,164.7,0,74.49,18.56,6.6,135.44,53.21,58.8,18.56,24.91,0,135.44,135.44,28.05,145.11,8.06,0,19.35,26.97,26.97,15.09,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2176.27

65,16:00-16:15,105,0,8.06,15.33,16.93,0,145.11,8.06,135.44,33.86,0,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,53.21,33.86,44.02,0,11.61,0,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,5.29,0,0,53.38,0,0,0,0,0,28.05,0,0,18.56,0,26.97,26.97,15.74,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2409.7199999999984

66,16:15-16:30,98,0,8.06,15.33,16.93,0,145.11,8.06,135.44,33.86,0,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,53.21,33.86,44.02,0,11.61,0,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,4.94,0,0,47.96,0,0,0,0,0,28.05,0,0,18.56,0,26.97,26.97,15.74,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2396.9499999999985

67,16:30-16:45,88,0,8.06,15.33,16.93,0,145.11,8.06,135.44,33.86,0,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,53.21,33.86,44.02,0,11.61,0.97,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,4.91,0,0,38.85,0,0,0,0,0,28.05,0,0,18.56,0,26.97,26.97,12.5,16.06,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2374.1899999999987

68,16:45-17:00,77,0,8.06,15.33,16.93,0,145.11,8.06,135.44,33.86,0,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,53.21,33.86,44.02,0,11.61,0.97,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,4.76,0,0,34.73,0,0,0,0,0,28.05,0,0,18.56,0,26.97,26.97,12.5,10.68,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2353.5399999999986

69,17:00-17:15,63,0,8.06,15.33,16.93,0,145.11,8.06,135.44,33.86,0,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,11.61,0.97,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,30.78,0,0,0,0,0,28.05,0,0,18.56,0,26.97,26.97,12.5,12.6,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2279.5399999999995

70,17:15-17:30,53,0,8.06,15.33,16.93,0,145.11,8.06,135.44,33.86,0,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,11.61,0.97,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,27.01,0,0,0,0,0,28.05,0,0,18.56,0,26.97,26.97,12.5,12.6,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2265.7699999999995

71,17:30-17:45,42,0,8.06,15.33,16.93,0,145.11,8.06,135.44,33.86,0,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,11.61,1.93,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,22.44,0,0,0,0,0,28.05,0,0,18.56,0,26.97,26.97,12.5,12.6,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2251.1599999999994

72,17:45-18:00,32,0,8.06,15.33,16.93,0,145.11,8.06,135.44,33.86,0,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,0,11.61,1.93,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,17.54,0,0,0,0,0,28.05,0,0,18.56,0,26.97,26.97,12.5,12.6,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44,2236.2599999999998

73,18:00-18:15,21,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,14.49,0,0,0,0,0,28.05,0,0,18.56,0,26.95,26.95,12.5,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,135.44,2066.5600000000004

74,18:15-18:30,11,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,0,1.93,0,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,11.43,0,0,0,0,0,28.05,0,0,18.56,0,26.95,26.95,12.5,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,135.44,2053.5000000000005

75,18:30-18:45,7,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,0,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,8.38,0,0,0,0,0,28.05,0,0,18.56,0,26.95,26.95,12.5,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,135.44,2065.8

76,18:45-19:00,4,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,0,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,5.33,0,0,0,0,0,28.05,0,0,18.56,0,26.95,26.95,12.5,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,135.44,2059.75

77,19:00-19:15,1,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,0,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,4,0,0,0,0,0,28.05,0,0,18.56,0,26.95,26.95,17.87,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,135.44,2060.79

78,19:15-19:30,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,0,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,2.68,0,0,0,0,0,28.05,0,0,18.56,0,26.95,26.95,17.87,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,135.44,2058.4700000000003

79,19:30-19:45,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,0,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,1.36,0,0,0,0,0,28.05,0,0,18.56,0,26.95,26.95,17.87,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,135.44,2057.15

80,19:45-20:00,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.87,5.8,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,0,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,18.56,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,18.56,0,26.95,26.95,17.87,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,135.44,2055.79

81,20:00-20:15,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.92,27.09,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,155.22,18.56,0,0,0,0,0,0,0,0,9.48,0,0,28.05,0,0,18.56,0,26.95,26.95,18.33,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2077.59

82,20:15-20:30,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.92,27.09,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,156.76,18.56,0,0,0,0,0,0,0,0,7.94,0,0,28.05,0,0,18.56,0,26.95,26.95,18.33,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2077.59

83,20:30-20:45,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.92,27.09,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,156.7,18.56,0,0,0,0,0,0,0,0,8,0,0,28.05,0,0,18.56,0,26.95,26.95,18.33,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2077.59

84,20:45-21:00,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.92,27.09,135.44,24.91,48.37,217.66,19.35,135.44,77.02,74.49,7.74,24.18,0,33.86,44.02,8.71,10.64,2.9,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,156.68,18.56,0,0,0,0,0,0,0,0,8.02,0,0,28.05,0,0,18.56,0,26.95,26.95,18.33,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2077.59

85,21:00-21:15,0,0,8.06,0,16.93,0,145.11,8.06,0,33.86,5.8,25.23,33.86,16.93,145.11,0.92,27.09,135.44,24.91,48.37,217.66,19.35,135.44,106.41,74.49,7.74,24.18,0,33.86,44.02,8.71,9.67,3.87,135.44,1.93,19.35,145.11,33.86,0,0,0,0,0,0,164.7,24.18,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,24.18,0,26.95,26.95,18.33,12.6,16.93,20.87,16.93,16.93,11.92,11.93,0,0,2118.22

