Column1,Block,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/31122025/SH-07,NR/2024/22042/A/31047,NR/2024/21940/A/31343,NR/2024/22423/C,NR/2024/22052/A/31088,NR/2024/22279/A/31052,NR/2024/21943/A/31339,NR/2024/22419/C,NR/2024/22424/C,NR/2024/21956/A/31347,NR/2024/21918/A/31307,NR/2024/22425/C,NR/2024/21814/A/31355,NR/2024/21954/A/31342,NR/2024/22440/C,NR/2024/22435/C,NR/2024/21974/A/31354,NR/2024/21968/A/31351,NR/2024/21938/A/31327,NR/2024/21860/A/31452,NR/2024/21970/A/31352,NR/2024/21909/A/31294,NR/2024/22080/A/31086,NR/2024/21983/A/31074,NR/2024/21971/A/31353,NR/2024/21966/A/31085,NR/2024/22010/A/31302,NR/2024/22014/A/31048,NR/2024/21961/A/31323,NR/2024/21658/A/31035,NR/01082024/31082024/jitpl,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/15082024/APL-Raigarh,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,GNA/NR/2024/08/09/3684,GNA/NR/2024/08/09/6800,NR/30092023/26122029/SH-06,NR/2024/22426/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22058/A/31087,Total
64,15:45-16:00,0,26.9071,3.85,83.95,0,30.81,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.96,4.43,12.68,12.4,0,0,0,0,0,33.7,26.9071,0,0,0,0,1386.3542000000007

65,16:00-16:15,0,26.9071,3.85,83.95,0,29.37,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.82,4.43,18.2,12.4,0,0,0,0,0,33.7,26.9071,0,0,0,0,1390.2942000000005

66,16:15-16:30,0,26.9071,3.85,83.95,0,26.38,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.82,5.4,18.2,12.4,0,0,0,0,0,33.7,26.9071,0,0,0,0,1388.2742000000005

67,16:30-16:45,0,26.9071,3.85,83.95,0,21.95,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.82,4.43,18.2,12.4,0,0,0,0,0,33.7,26.9071,0,0,0,0,1382.8742000000004

68,16:45-17:00,0,26.9071,3.85,83.95,0,16.18,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,192.58,12.52,48.14,37.2,48.14,11.69,1.93,0,0.82,4.43,18.2,12.4,0,0,0,0,0,33.7,26.9071,0,0,0,0,1377.1042000000004

69,17:00-17:15,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,12.52,0,37.2,0,11.69,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,0,33.7,26.9071,0,0,0,0,1360.8742000000002

70,17:15-17:30,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,12.52,0,37.2,0,11.69,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,0,33.7,26.9071,0,0,0,0,1360.8742000000002

71,17:30-17:45,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,12.52,0,37.2,0,11.69,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,0,33.7,26.9071,0,0,0,0,1360.8742000000002

72,17:45-18:00,0,26.9071,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,12.52,0,37.2,0,11.69,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,0,33.7,26.9071,0,0,0,0,1360.8742000000002

73,18:00-18:15,0,24.0835,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,0,33.7,24.0835,0,0,0,0,1342.567

74,18:15-18:30,0,24.0835,3.85,83.95,0,0,4.81,38.52,240.72,27.92,24.07,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,0,33.7,24.0835,0,0,0,0,1342.567

75,18:30-18:45,0,24.0835,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,0,33.7,24.0835,0,0,0,0,1361.827

76,18:45-19:00,0,24.0835,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,0,33.7,24.0835,0,0,0,0,1361.827

77,19:00-19:15,0,31.3377,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,0,0,0,0,0,1537.5777

78,19:15-19:30,0,31.3377,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,0,0,0,0,0,1537.5777

79,19:30-19:45,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,32,0,0,0,0,1570.24

80,19:45-20:00,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,0,0,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,32,0,0,0,0,1570.24

81,20:00-20:15,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,43.63,89.93,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,32,0,0,0,0,1703.8000000000006

82,20:15-20:30,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,43.29,89.93,37.2,37.2,0,48.14,12.4,0,11.55,0,37.2,0,0,1.93,0,0.77,4.43,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,32,0,0,0,0,1703.4600000000005

83,20:30-20:45,0,30.5,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,43.56,89.93,37.2,37.2,0,48.14,12.4,0,10.59,0,37.2,0,0,1.93,0,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,30.5,0,0,0,0,1700.5100000000007

84,20:45-21:00,0,30.5,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,42.09,89.93,37.2,37.2,0,48.14,12.4,0,10.59,0,37.2,0,0,1.93,0,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,30.5,0,0,0,0,1699.0400000000006

85,21:00-21:15,0,30.5,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,42.02,89.93,37.2,37.2,0,48.14,12.4,0,10.59,0,37.2,0,0,1.93,0,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,30.5,0,0,0,0,1698.9700000000005

86,21:15-21:30,0,30.5,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,44.05,89.93,37.2,37.2,0,48.14,12.4,0,10.59,0,37.2,0,0,1.93,0,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,30.5,0,0,0,0,1701.0000000000005

87,21:30-21:45,0,30.5,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,42.25,89.93,37.2,37.2,0,48.14,12.4,0,10.59,0,37.2,0,0,1.93,0,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,30.5,0,0,0,0,1699.2000000000005

88,21:45-22:00,0,30.5,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,42.17,89.93,37.2,37.2,0,48.14,12.4,0,10.59,0,37.2,0,0,1.93,0,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,30.5,0,0,0,0,1699.1200000000006

89,22:00-22:15,0,30.5,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,44.23,89.93,37.2,37.2,37.92,48.14,12.4,0,10.59,0,37.2,0,0,1.93,113.75,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,30.5,0,0,0,0,1852.8500000000006

90,22:15-22:30,0,30.5,3.85,83.95,0,0,4.81,38.52,240.72,27.92,43.33,90.51,163.93,48.14,24,44.83,89.93,37.2,37.2,37.92,48.14,12.4,0,10.59,0,37.2,0,0,1.93,113.75,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,30.5,0,0,0,0,1853.4500000000007

91,22:30-22:45,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,44.84,89.93,37.2,37.2,37.92,48.14,12.4,0,10.59,0,37.2,0,0,1.93,113.75,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,32,0,0,0,0,1880.5300000000009

92,22:45-23:00,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,43.1,89.93,37.2,37.2,37.92,48.14,12.4,0,10.59,0,37.2,0,0,1.93,113.75,0.77,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,32,0,0,0,0,1878.7900000000009

93,23:00-23:15,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,42.23,89.93,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,0,1.93,113.75,0.72,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,32,0,0,0,0,1876.910000000001

94,23:15-23:30,0,32,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,40.54,89.93,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,0,1.93,113.75,0.72,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,32,0,0,0,0,1875.220000000001

95,23:30-23:45,0,26.5364,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,40.1,89.93,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,0,1.93,113.75,0.72,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,26.5364,0,0,0,0,1863.852800000001

96,23:45-24:00,0,26.5364,3.85,83.95,0,0,4.81,38.52,240.72,27.92,67.4,90.51,163.93,48.14,24,39.69,89.93,37.2,37.2,37.92,48.14,12.4,0,9.63,0,37.2,0,0,1.93,113.75,0.72,5.17,18.2,12.4,0,48.14,192.58,48.14,192.58,33.7,26.5364,0,0,0,0,1863.442800000001

