Time,Block,NR/2023/12485/D,NR/2023/10613/A,NR/2023/12503/C,NR/2023/11941/F,NR/2023/11958/F,NR/2023/12481/D,NR/2023/11963/F,NR/2023/12504/C,NR/2023/10434/A,NR/2023/11955/F,NR/2023/10611/A,NR/2023/11952/F,NR/2023/11330/A,NR/2023/12497/C,NR/2023/12484/D,NR/2023/11959/F,NR/2023/11642/A,NR/2023/12482/D,NR/2023/11476/A,NR/2023/12506/C,NR/2023/10236/A,NR/2023/10229/A,NR/2023/12499/C,NR/2023/10344/A,NR/2023/11862/F,NR/2023/11957/F,NR/2023/11947/F,NR/2023/11961/F,NR/2023/11342/A,NR/2023/10944/A,NR/2023/11643/A,NR/2023/11962/F,NR/2023/11956/F,NR/2023/11960/F,NR/2023/10487/A,NR/2023/12495/C,Total
63,15:30-15:45,140,0.000000,0.000000,62.610000,0.620000,7.33,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,60,48.160000,30.570000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.590000,971.81

64,15:45-16:00,128.8,0.000000,0.000000,62.610000,0.620000,6.56,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,55.2,48.160000,30.570000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.590000,955.04

65,16:00-16:15,117.6,0.000000,0.000000,62.610000,0.620000,6.17,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,50.4,48.160000,30.570000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.680000,938.74

66,16:15-16:30,102.9,0.000000,0.000000,62.610000,0.620000,5.4,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,44.1,48.160000,30.570000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.680000,916.97

67,16:30-16:45,91,0.000000,0.000000,62.610000,0.620000,4.82,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,39,48.160000,30.570000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.680000,899.39

68,16:45-17:00,77,0.000000,0.000000,62.610000,0.620000,3.95,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,33,48.160000,30.570000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.680000,878.52

69,17:00-17:15,59.5,0.000000,0.000000,62.610000,0.620000,3.09,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,25.5,48.160000,31.590000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.770000,853.77

70,17:15-17:30,46.9,0.000000,0.000000,62.610000,0.620000,2.12,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,66.850000,0.730000,14.450000,20.1,48.160000,31.590000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.770000,834.8

71,17:30-17:45,35,0.000000,0.000000,62.610000,0.620000,1.25,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,133.710000,0.730000,14.450000,15,48.160000,31.590000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.770000,883.79

72,17:45-18:00,28,0.000000,0.000000,62.610000,0.620000,0.6,0.460000,0.000000,24.080000,0.360000,9.920000,0.000000,0.000000,0.000000,133.710000,0.730000,14.450000,12,48.160000,31.590000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.770000,873.14

73,18:00-18:15,21,0.000000,0.000000,62.610000,0.620000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.730000,14.450000,9,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.870000,958.96

74,18:15-18:30,10.5,0.000000,0.000000,62.610000,0.620000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.730000,14.450000,4.5,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.870000,943.96

75,18:30-18:45,7,0.000000,0.000000,62.610000,0.620000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.730000,14.450000,3,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.870000,938.96

76,18:45-19:00,3.5,0.000000,0.000000,62.610000,0.620000,0,0.460000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.730000,14.450000,1.5,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.770000,6.740000,0.770000,115.600000,0.000000,13.000000,0.460000,0.390000,0.730000,41.420000,11.870000,933.96

77,19:00-19:15,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,11.950000,929.64

78,19:15-19:30,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,11.950000,929.64

79,19:30-19:45,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,11.950000,929.64

80,19:45-20:00,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,11.950000,929.64

81,20:00-20:15,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,12.140000,929.83

82,20:15-20:30,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,12.140000,929.83

83,20:30-20:45,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,0.000000,192.660000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,12.140000,929.83

84,20:45-21:00,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,103.070000,133.710000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,12.140000,973.95

85,21:00-21:15,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,136.790000,72.440000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,12.320000,946.58

86,21:15-21:30,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,176.280000,72.150000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,12.320000,985.78

87,21:30-21:45,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,179.170000,66.850000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,12.320000,983.37

88,21:45-22:00,0,0.000000,0.000000,62.610000,0.720000,0,0.510000,0.000000,24.080000,0.360000,9.920000,36.350000,0.000000,231.190000,66.850000,0.810000,14.450000,0,48.160000,32.610000,249.250000,49.850000,0.000000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,0.000000,13.000000,0.510000,0.440000,0.810000,41.420000,12.320000,1035.39

89,22:00-22:15,0,12.620000,0.000000,62.610000,0.720000,0,0.510000,96.330000,24.080000,0.360000,9.920000,36.350000,53.940000,96.330000,66.850000,0.810000,14.450000,0,48.160000,30.570000,249.250000,49.850000,57.800000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,23.120000,13.000000,0.510000,0.440000,0.810000,41.420000,12.500000,1142.48

90,22:15-22:30,0,12.620000,38.530000,62.610000,0.720000,0,0.510000,96.330000,24.080000,0.360000,9.920000,36.350000,53.940000,96.330000,66.850000,0.810000,14.450000,0,48.160000,30.570000,249.250000,49.850000,96.330000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,23.120000,13.000000,0.510000,0.440000,0.810000,41.420000,12.500000,1219.54

91,22:30-22:45,0,12.620000,67.430000,62.610000,0.720000,0,0.510000,96.330000,24.080000,0.360000,9.920000,36.350000,53.940000,96.330000,66.850000,0.810000,14.450000,0,48.160000,30.570000,249.250000,49.850000,129.080000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,23.120000,13.000000,0.510000,0.440000,0.810000,41.420000,12.500000,1281.19

92,22:45-23:00,0,12.620000,96.330000,62.610000,0.720000,0,0.510000,96.330000,24.080000,0.360000,9.920000,36.350000,53.940000,96.330000,66.850000,0.810000,14.450000,0,48.160000,30.570000,249.250000,49.850000,129.080000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,23.120000,13.000000,0.510000,0.440000,0.810000,41.420000,12.500000,1310.09

93,23:00-23:15,0,12.620000,120.410000,62.610000,0.720000,0,0.510000,96.330000,24.080000,0.360000,9.920000,36.350000,53.940000,254.310000,66.850000,0.810000,14.450000,0,48.160000,30.570000,249.250000,49.850000,96.330000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,23.120000,13.000000,0.510000,0.440000,0.810000,41.420000,12.690000,1459.59

94,23:15-23:30,0,12.620000,134.860000,62.610000,0.720000,0,0.510000,96.330000,24.080000,0.360000,9.920000,36.350000,53.940000,260.090000,66.850000,0.810000,14.450000,0,48.160000,30.570000,249.250000,49.850000,120.410000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,23.120000,13.000000,0.510000,0.440000,0.810000,41.420000,12.690000,1503.9

95,23:30-23:45,0,12.620000,149.310000,62.610000,0.720000,0,0.510000,96.330000,24.080000,0.360000,9.920000,36.350000,53.940000,269.720000,66.850000,0.810000,14.450000,0,48.160000,30.570000,249.250000,49.850000,115.600000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,23.120000,13.000000,0.510000,0.440000,0.810000,41.420000,12.690000,1523.17

96,23:45-24:00,0,12.620000,154.130000,62.610000,0.720000,0,0.510000,96.330000,24.080000,0.360000,9.920000,36.350000,53.940000,271.650000,66.850000,0.810000,14.450000,0,48.160000,30.570000,249.250000,49.850000,110.780000,12.210000,2.890000,0.870000,6.740000,0.860000,115.600000,23.120000,13.000000,0.510000,0.440000,0.810000,41.420000,12.690000,1525.1

