Block,Time,CHAMERA3,KGSU1AND2,KHSTPP-II,KOLDAM,NAPP,NLCIIST1,RIHAND3,RSTPSU1TO6,RSTPSU7,SEWA2,TANAKPUR,URI,AURY_CRF,JHAJJAR,KHSTPP-I,KKNP,NJPC,NLCEXP,NLCIIST2,RAPPB,SASAN,ANTA_CRF,AURY_LF,AURY_RF,BRBCL,BSIUL,DULHASTI,MAPS,NTPL,SALAL,SIMHST1,SIMHST2,SINGRAULI_HYDRO,TEHRIPSP,UNCHAHAR3,URI2,DADRI_GF,KKNPPU2,KUDGI,RAPPC,TANDA2,TelanganaSTPP,UNCHAHAR4,AURY_GF,DADRI_LF,DADRI_RF,CHAMERA1,PARBATI3,SINGRAULI,UNCHAHAR2,KOTESHWR,NLCTS2EXP,RAMPUR,RAPPD,RIHAND2,TALST2,ANTA_GF,DADRI_CRF,DADRT2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,RIHAND1,TALA,TEHRI,UNCHAHAR1,ANTA_LF,CHAMERA2,KISHANGANGA,NNTPP,PARBATI2,VALLURNTECL,ANTA_RF
37,09:00-09:15,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,570.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,69.16,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,49.3

38,09:15-09:30,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,42.15,69.16,153.28,45.62,10.44,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,49.3

39,09:30-09:45,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,50.79,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,28.1,70.7,153.28,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,49.3

40,09:45-10:00,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,7.68,50.79,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,28.1,70.7,153.28,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,48.64

41,10:00-10:15,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,10.25,50.79,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,28.1,70.7,153.28,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,48.64

42,10:15-10:30,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,10.25,50.79,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,28.1,70.7,153.28,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,48.64

43,10:30-10:45,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,10.25,50.79,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,28.1,73.77,153.28,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,47.99

44,10:45-11:00,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,10.25,50.79,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,28.1,73.77,153.28,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,47.99

45,11:00-11:15,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,12.04,52.99,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,28.1,73.77,155.54,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,47.32

46,11:15-11:30,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,12.04,52.99,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,28.1,73.77,155.54,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,43.85,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,47.32

47,11:30-11:45,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,10.25,52.99,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,14.05,73.77,155.54,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,32.89,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,47.19

48,11:45-12:00,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,10.25,52.99,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,38.16,0,0,0,68.39,7.07,0,3.98,0,0,74.64,0,73.77,155.54,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,32.89,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,47.06

49,12:00-12:15,35.09,0,148.3,10.65,25.16,0,132.37,0,0,0,5.76,52.99,0,470.85,32.78,0,181.16,0,0,0,418.77,0,0,78.22,24.99,13.04,58.79,0,0,83.08,0,0,1.17,0,27.99,28.96,0,0,0,68.39,7.07,0,3.98,0,0,74.64,0,73.77,155.54,45.62,0,0,7.04,25.94,126.8,0,0,0,690.85,32.89,20.8,0,99.81,20.93,0,21.83,0,48.9,8.71,0,58.05,0,46.93

