Time,Block,NR/2023/13859/A,NR/2023/13704/A,NR/2023/14113/F,NR/2023/14117/F,NR/2023/11325/A,NR/2023/11204/A,NR/2023/14118/F,NR/2023/14481/C,NR/2023/11524/A,NR/2023/14442/D,NR/2023/14443/D,NR/2023/13284/A,NR/2023/12646/A,NR/2023/14119/F,NR/2023/14449/D,NR/2023/11892/A,NR/2023/11328/A,NR/2023/11315/A,NR/2023/14120/F,NR/2023/11469/A,NR/2023/13858/A,NR/2023/14472/C,NR/2023/11203/A,NR/2023/13283/A,NR/2023/11458/A,NR/2023/14187/F,NR/2023/14485/C,NR/2023/14464/C,NR/2023/11470/A,NR/2023/14114/F,NR/2023/11739/A,NR/2023/11697/A,NR/2023/11954/A,NR/2023/14116/F,NR/2023/13573/A,NR/2023/13704/A/II,NR/2023/14482/C,NR/2023/14115/F,NR/2023/11654/A,NR/2023/14448/D,NR/2023/11264/A,NR/2023/11205/A,NR/2023/13983/F,NR/2023/11521/A,NR/2023/13983/F/II,NR/2023/14136/F,NR/2023/13573/A/II,NR/2023/13283/A/II,NR/2023/14121/F,NR/2023/14452/D,NR/2023/14441/D,NR/2023/14451/D,Total
41,10:00-10:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,63.6,6.38,148.4,1748.17

42,10:15-10:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,6.51,149.8,1750.3

43,10:30-10:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,5.6,149.8,1749.39

44,10:45-11:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,4.2,149.8,1747.99

45,11:00-11:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,6.78,149.8,1746.15

46,11:15-11:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,7.48,149.8,1746.85

47,11:30-11:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,5.01,149.8,1744.38

48,11:45-12:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,5.81,149.8,1745.18

49,12:00-12:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,3.53,149.8,1742.9

50,12:15-12:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,6.84,149.8,1746.21

51,12:30-12:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,9.22,149.8,1748.59

52,12:45-13:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,7.59,149.8,1746.96

53,13:00-13:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,6,149.8,1745.37

54,13:15-13:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,5.34,149.8,1744.71

55,13:30-13:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,4.64,149.8,1744.01

56,13:45-14:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,90.750000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,4.87,149.8,1744.24

57,14:00-14:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,106.190000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,5.12,149.8,1783.03

58,14:15-14:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,24.140000,106.190000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,5.9,149.8,1783.81

59,14:30-14:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,8.13,149.8,1788.07

60,14:45-15:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,0.000000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,13.690000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,64.2,4.61,149.8,1784.55

61,15:00-15:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,17.830000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,60,1.4,140,1810.1

62,15:15-15:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,17.830000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,61.5,1.28,143.5,1814.98

63,15:30-15:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,17.830000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,60,4.17,140,1812.87

64,15:45-16:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,17.830000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.970000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,54,6.19,126,1794.89

65,16:00-16:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,18.010000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.820000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,48,4.58,112,1773.31

66,16:15-16:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,18.010000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.820000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,43.5,1.84,101.5,1755.57

67,16:30-16:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,18.010000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.820000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,37.5,0.89,87.5,1734.62

68,16:45-17:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,23.100000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,106.190000,9.650000,0.000000,18.010000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.820000,48.270000,0.000000,24.140000,0.000000,0.000000,0.610000,33.6,1.08,78.4,1721.81

69,17:00-17:15,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,48.270000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.820000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,29.1,1.45,67.9,1602.12

70,17:15-17:30,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,48.270000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.820000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,24,1.08,56,1584.75

71,17:30-17:45,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,48.270000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.820000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,15,0.48,35,1554.15

72,17:45-18:00,141.910000,6.760000,0.380000,0.980000,24.140000,7.720000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,0.000000,48.270000,22.200000,0.610000,84.940000,77.230000,2.030000,62.990000,24.140000,48.270000,9.650000,0.000000,18.110000,21.240000,0.520000,42.470000,0.000000,0.000000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.760000,0.820000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,13.5,0.19,31.5,1548.86

73,18:00-18:15,141.910000,6.760000,0.380000,0.980000,24.140000,14.240000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,0.000000,18.290000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.780000,0.870000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,13.5,0,31.5,1632.21

74,18:15-18:30,141.910000,6.760000,0.380000,0.980000,24.140000,14.240000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,0.000000,18.290000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.780000,0.870000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,10.5,0,24.5,1622.21

75,18:30-18:45,141.910000,6.760000,0.380000,0.980000,24.140000,14.240000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,0.000000,18.290000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.780000,0.870000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,9,0,21,1617.21

76,18:45-19:00,141.910000,6.760000,0.380000,0.980000,24.140000,14.240000,0.980000,0.000000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,38.620000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,0.000000,18.290000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,18.340000,21.530000,15.780000,0.870000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,6,0,14,1607.21

77,19:00-19:15,141.910000,6.760000,0.380000,0.980000,24.140000,14.240000,0.980000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,0.000000,18.480000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,3,0,7,1588.76

78,19:15-19:30,141.910000,6.760000,0.380000,0.980000,24.140000,14.240000,0.980000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,0.000000,18.480000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,1.8,0,4.2,1584.76

79,19:30-19:45,141.910000,6.760000,0.380000,0.980000,24.140000,14.240000,0.980000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,30.890000,18.480000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0.6,0,1.4,1611.65

80,19:45-20:00,141.910000,6.760000,0.380000,0.980000,24.140000,14.240000,0.980000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,60.820000,18.480000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1639.58

81,20:00-20:15,141.910000,6.760000,0.380000,0.930000,24.140000,14.240000,0.870000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,93.640000,18.760000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1672.52

82,20:15-20:30,141.910000,6.760000,0.380000,0.930000,24.140000,14.240000,0.870000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,126.470000,18.760000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1705.35

83,20:30-20:45,141.910000,6.760000,0.380000,0.930000,24.140000,14.240000,0.870000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,173.770000,18.760000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1752.65

84,20:45-21:00,141.910000,6.760000,0.380000,0.930000,24.140000,14.240000,0.870000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,48.270000,9.650000,214.320000,18.760000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1793.2

85,21:00-21:15,141.910000,6.760000,0.380000,0.930000,24.140000,14.240000,0.870000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,232.660000,18.840000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1855.06

86,21:15-21:30,141.910000,6.760000,0.380000,0.930000,24.140000,14.240000,0.870000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,223.010000,18.840000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1845.41

87,21:30-21:45,141.910000,6.760000,0.380000,0.930000,24.140000,14.240000,0.870000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,223.010000,18.840000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.780000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1845.41

88,21:45-22:00,141.910000,6.760000,0.380000,0.930000,24.140000,14.240000,0.870000,48.270000,193.080000,147.460000,45.370000,0.000000,0.000000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,223.010000,18.840000,21.240000,0.520000,42.470000,0.000000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,15.820000,0.920000,48.270000,0.000000,0.000000,0.000000,0.000000,0.610000,0,0,0,1845.45

89,22:00-22:15,141.910000,6.760000,0.380000,0.930000,24.140000,83.020000,0.870000,48.270000,193.080000,147.460000,45.370000,77.710000,23.100000,1.010000,0.000000,66.520000,48.270000,22.200000,0.610000,84.940000,77.230000,0.000000,62.990000,0.000000,91.710000,9.650000,115.850000,19.030000,21.240000,0.520000,42.470000,33.310000,36.420000,0.970000,62.750000,0.000000,4.830000,0.950000,257.760000,0.000000,21.530000,231.800000,0.490000,48.270000,0.420000,0.000000,0.000000,0.000000,0.610000,0,0,0,2157.35

