Block,Time,ANTA_LF,ANTA_RF,TEHRI,UNCHAHAR2,AURY_LF,URI2,NAPP,RAMPUR,KOLDAM,DADRI_GF,RIHAND2,DADRI_RF,RAPPB,SINGRAULI_HYDRO,SALAL,TANAKPUR,PARBATI3,DHAULIGNGA,SINGRAULI,CHAMERA1,CHAMERA3,DADRT2,KISHANGANGA,RAPPC,CHAMERA2,AURY_GF,RIHAND1,DADRI_CRF,KOTESHWR,SEWA2,BRBCL,KHSTPP-I,KHSTPP-II,SASAN,FSTPP I & II,TALA,AURY_RF,UNCHAHAR1,TANDA2,UNCHAHAR3,DULHASTI,ANTA_GF,ANTA_CRF,UNCHAHAR4,JHAJJAR,AURY_CRF,BSIUL,RIHAND3,URI,NJPC,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net

36,08:45:09:00,0.000000,0.000000,0.000000,30.141235,0.000000,36.590874,49.583614,0.907221,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.494825,3.683535,9.118605,144.844329,13.045641,11.200881,369.759384,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,20.038889,6.064169,19.314035,44.807592,143.213310,404.406189,13.820519,0.000000,0.000000,10.927039,5.174307,15.791416,38.097125,0.000000,0.000000,2.345202,244.819436,0.000000,12.594273,60.876730,33.050117,23.674144,0.000000,0,0,0,0,0

37,09:00:09:15,0.000000,0.000000,0.000000,30.141235,0.000000,36.590874,49.583614,0.907221,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.494825,3.683535,9.118605,144.844329,12.206448,11.200881,369.759384,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,8.906173,12.128338,19.314035,44.807592,143.213310,404.406189,13.820519,0.000000,0.000000,10.927039,5.174307,15.791416,38.097125,0.000000,0.000000,2.345202,244.819436,0.000000,12.594273,60.876730,37.314648,23.674144,0.000000,0,0,0,0,0

38,09:15-09:30,0.000000,0.000000,0.000000,30.141235,0.000000,36.590874,49.583614,0.907221,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.494825,3.683535,0.000000,144.844329,0.000000,11.200881,369.759384,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,8.906173,12.128338,19.314035,44.807592,143.213310,404.406189,13.820519,0.000000,0.000000,10.927039,5.174307,15.791416,38.097125,0.000000,0.000000,2.345202,244.819436,0.000000,12.594273,60.876730,37.314648,23.674144,0.000000,0,0,0,0,0

39,09:30-09:45,0.000000,0.000000,0.000000,34.747045,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.494825,0.000000,0.000000,144.844329,0.000000,0.000000,369.759384,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,8.906173,18.155756,19.314035,44.807592,143.213310,404.406189,16.121975,0.000000,0.000000,10.927039,5.174307,18.404117,38.097125,0.000000,0.000000,2.345202,264.133436,0.000000,12.594273,60.876730,33.050117,0.000000,0.000000,0,0,0,0,0

40,09:45-10:00,0.000000,0.000000,0.000000,34.747045,0.000000,36.590874,49.583614,0.000000,0.000000,0.000000,120.113766,0.000000,0.000000,0.752926,50.496453,0.494825,0.000000,0.000000,144.844329,0.000000,0.000000,369.759384,5.305275,32.748337,15.612094,0.000000,93.726924,0.000000,8.906173,18.155756,19.314035,44.807592,143.213310,404.406189,13.820519,0.000000,0.000000,10.927039,5.174307,18.404117,38.097125,0.000000,0.000000,2.345202,264.133436,0.000000,12.594273,60.876730,33.050117,0.000000,0.000000,0,0,0,0,0
