Column1,Block,GNA/NR/2025/08/01/4125,NR/2025/32455/A/100713,NR/2025/32004/A/100646,NR/2025/34263/A/100718,NR/2025/34247/A/100562,NR/2025/34505/C,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/100578,NR/2025/32599/A/100240,NR/2025/32534/A/100581,NR/2025/33633/A/100602,NR/2025/32535/A/100585,NR/2025/32532/A/100577,NR/2025/32534/A/100580,NR/2025/33637/A/100600,NR/2025/32535/A/100584,NR/2025/33632/A/100605,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,NR/2025/31045/A/100568,NR/2025/31043/A/100567,NR/2025/34492/C,NR/2025/29440/A/100177,NR/2025/34495/C,NR/2025/34467/C,NR/2025/34471/C,NR/2025/34468/C,NR/2025/32262/A/100167,NR/2025/34485/C,NR/2025/31421/A/100654,NR/2025/32559/A/100642,NR/2025/32610/A/100641,NR/2025/34487/C,NR/2025/32556/A/100643,NR/2025/29992/A/100137,NR/2025/34501/C,NR/2025/34502/C,NR/2025/34503/C,NR/2025/32375/A/100651,NR/2025/31049/A/100571,NR/2025/32397/A/100120,NR/2025/34078/A/100227,NR/2025/31048/A/100570,Total
56,13:45-14:00,14.58,0,0,81.78,0,8.81,96.67,0.52,182,0.35,1.44,0.35,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,0,163.56,0,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1446.4499999999998

57,14:00-14:15,14.58,0,0,81.78,0,8.81,93.33,0.52,179,0.35,1.44,0.35,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,96.21,163.56,96.21,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1632.53

58,14:15-14:30,14.58,0,0,81.78,0,8.81,90,0.52,175,0.35,1.44,0.35,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,96.21,163.56,96.21,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1625.2

59,14:30-14:45,14.58,0,0,81.78,0,8.81,86.67,0.96,168,0.63,1.44,0.54,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,96.21,163.56,96.21,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1615.78

60,14:45-15:00,14.58,0,0,81.78,0,8.81,83.33,0.96,161,0.61,1.44,0.61,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,96.21,163.56,96.21,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1605.49

61,15:00-15:15,14.58,0,0,81.78,0,10.77,78.33,0.96,151,0.67,1.44,0.67,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,96.21,163.56,96.21,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1592.57

62,15:15-15:30,14.58,0,0,81.78,0,10.77,72.38,0.96,140,0.77,1.44,0.67,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,96.21,163.56,96.21,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1575.7199999999998

63,15:30-15:45,14.58,0,0,81.78,0,10.77,65.45,0.96,119,0.77,1.44,0.67,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,96.21,163.56,96.21,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1547.7899999999997

64,15:45-16:00,14.58,0,0,81.78,0,10.77,60.8,0.96,109,0.77,1.44,0.67,0.48,0.29,1.64,0.19,1.15,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,0,0,43.73,0.96,37.18,96.21,163.56,96.21,0,76.6,0,0,0,43.73,0,44.26,192.42,48.1,48.1,0,0,0,13.47,0,1533.1399999999999

65,16:00-16:15,14.58,0,76.6,81.78,163.56,10.77,55.39,0.96,98,0.77,0,0.54,0.48,0.29,0,0.19,0,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,0,13.47,0,1512.2800000000002

66,16:15-16:30,14.58,0,76.6,81.78,163.56,10.77,49.01,0.96,88,0.77,0,0.43,0.48,0.29,0,0.19,0,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,0,13.47,0,1495.7900000000002

67,16:30-16:45,14.58,0,76.6,81.78,163.56,10.77,43.2,0.96,77,0.77,0,0.32,0.48,0.29,0,0.19,0,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,0,13.47,0,1478.8700000000001

68,16:45-17:00,14.58,0,76.6,81.78,163.56,8.81,37,0.96,67,0.77,0,0.19,0.48,0.29,0,0.19,0,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,0,13.47,0,1460.58

69,17:00-17:15,14.58,0,76.6,81.78,163.56,8.16,40.19,0.96,56,0.77,0,0.1,0.48,0.29,0,0.19,0,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,13.47,0,1460.69

70,17:15-17:30,14.58,0,76.6,81.78,163.56,7.88,35.24,0.96,46,0.77,0,0,0.48,0.29,0,0.19,0,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,13.47,0,1445.3600000000001

71,17:30-17:45,14.58,0,76.6,81.78,163.56,7.7,23.39,0,39,0.77,0,0,0.48,0.29,0,0.19,0,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,13.47,0,1425.3700000000001

72,17:45-18:00,14.58,0,76.6,81.78,163.56,7.76,17.31,0,32,0.77,0,0,0.42,0.26,0,0.17,0,0,20.44,40.89,20.44,0,81.78,28.93,0,19.24,14.58,81.78,15.25,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,13.47,0,1412.2400000000002

73,18:00-18:15,14.58,48.1,76.6,81.78,163.56,8.58,12.32,0,21,0.77,0,0,0.25,0.15,0,0.11,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,13.47,0,1362.23

74,18:15-18:30,14.58,48.1,76.6,81.78,163.56,6.23,8.45,0,14,0.77,0,0,0.12,0.07,0,0.05,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,13.47,0,1348.74

75,18:30-18:45,14.58,48.1,76.6,81.78,163.56,4.07,5.4,0,7,0.77,0,0,0.01,0.01,0,0.01,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,13.47,0,1336.32

76,18:45-19:00,14.58,48.1,76.6,81.78,163.56,2.61,3.01,0,5,0.77,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.87,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,13.47,0,1330.44

77,19:00-19:15,14.58,48.1,76.6,81.78,163.56,0,1.42,0,1,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1308.04

78,19:15-19:30,14.58,48.1,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1305.6200000000001

79,19:30-19:45,14.58,48.1,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1305.6200000000001

80,19:45-20:00,14.58,48.1,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,0,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1305.6200000000001

81,20:00-20:15,14.58,48.1,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1359.74

82,20:15-20:30,14.58,48.1,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1359.74

83,20:30-20:45,14.58,48.1,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1359.74

84,20:45-21:00,14.58,48.1,76.6,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1359.74

85,21:00-21:15,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.97

86,21:15-21:30,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.97

87,21:30-21:45,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.97

88,21:45-22:00,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.97

89,22:00-22:15,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.97

90,22:15-22:30,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.97

91,22:30-22:45,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.97

92,22:45-23:00,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.91,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.97

93,23:00-23:15,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.87,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.93

94,23:15-23:30,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.87,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.93

95,23:30-23:45,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.87,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.93

96,23:45-24:00,14.58,48.1,105.83,81.78,163.56,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,40.89,20.44,0,33.67,28.93,0,0,14.58,81.78,0,20.76,96.21,0,0,0.87,0,0,0,0,54.12,0,48.1,43.73,37.18,0,43.73,44.26,192.42,0,0,48.1,96.21,8.66,0,0,1388.93

