Time,Block,NR/2023/13862/A,NR/2023/12422/A,NR/2023/14737/A,NR/2023/15309/F,NR/2023/12592/A,NR/2023/15514/C,NR/2023/15482/C,NR/2023/15516/C,NR/2023/14898/A,NR/2023/12347/A,NR/2023/15306/F,NR/2023/12168/A,NR/2023/14746/A,NR/2023/12591/A,NR/2023/15472/D,NR/2023/12053/A,NR/2023/12148/A,NR/2023/12052/A,NR/2023/12431/A,NR/2023/14745/A,NR/2023/15510/C,NR/2023/12167/A,NR/2023/13635/A,NR/2023/15484/C,NR/2023/14895/A,NR/2023/15296/F,NR/2023/15485/C,NR/2023/15057/F,NR/2023/15470/D,NR/2023/15303/F,NR/2023/15304/F,NR/2023/15471/D,Total
70,17:15-17:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.820000,18.360000,0.910000,0.580000,1.62,959.48

71,17:30-17:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.820000,18.360000,0.910000,0.580000,0.97,958.83

72,17:45-18:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,0.000000,22.230000,63.060000,108.730000,24.160000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.820000,18.360000,0.910000,0.580000,0.84,958.7

73,18:00-18:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,18.360000,0.910000,0.580000,0.56,970.78

74,18:15-18:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,18.360000,0.910000,0.580000,0.35,970.57

75,18:30-18:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,18.360000,0.910000,0.580000,0.13,970.35

76,18:45-19:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,0.000000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,18.360000,0.910000,0.580000,0,970.22

77,19:00-19:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,82.150000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1034.06

78,19:15-19:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,106.320000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1058.23

79,19:30-19:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,144.980000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1096.89

80,19:45-20:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,9.080000,177.840000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1129.75

81,20:00-20:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,8.070000,210.700000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1161.6

82,20:15-20:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,8.070000,253.220000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1204.12

83,20:30-20:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,8.070000,284.150000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1235.05

84,20:45-21:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,8.070000,324.740000,77.320000,48.320000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1275.64

85,21:00-21:15,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,8.070000,355.670000,77.320000,91.820000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1350.07

86,21:15-21:30,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,8.070000,386.600000,77.320000,91.820000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1381

87,21:30-21:45,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,8.070000,430.090000,77.320000,91.820000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1424.49

88,21:45-22:00,0.000000,0.000000,50.340000,4.830000,85.030000,18.680000,6.050000,468.750000,77.320000,91.820000,0.930000,46.590000,0.000000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1461.13

89,22:00-22:15,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,393.370000,77.320000,91.820000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1531.62

90,22:15-22:30,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,422.360000,77.320000,91.820000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1560.61

91,22:30-22:45,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,441.690000,77.320000,91.820000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1579.94

92,22:45-23:00,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,450.390000,77.320000,91.820000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.920000,0.000000,0.910000,0.580000,0,1588.64

93,23:00-23:15,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,452.320000,77.320000,91.820000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,0.000000,0.910000,0.580000,0,1590.52

94,23:15-23:30,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,434.920000,77.320000,91.820000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,0.000000,0.910000,0.580000,0,1573.12

95,23:30-23:45,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,410.760000,77.320000,91.820000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,0.000000,0.910000,0.580000,0,1548.96

96,23:45-24:00,23.130000,36.820000,50.340000,4.830000,85.030000,18.680000,6.050000,377.900000,77.320000,91.820000,0.930000,46.590000,85.920000,42.520000,193.300000,36.470000,22.230000,63.060000,108.730000,0.000000,0.000000,24.160000,21.260000,0.000000,95.680000,0.970000,0.000000,0.870000,0.000000,0.910000,0.580000,0,1516.1

