Time,Block,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01062024/30062024/IEPL01,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/19760/A/24282,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/30092023/31122025/SH-07,NR/2024/20050/A/24629,NR/01062024/30062024/R2,NR/01102023/23072042/L_NR_2012_04,NR/2024/20558/A/24639,NR/2024/20037/A/24281,NR/2024/20537/A/24551,NR/2024/20144/A/24311,NR/2024/19699/A/24653,NR/2024/20109/A/24553,NR/2024/20090/A/24244,NR/2024/20516/A/24321,NR/2024/20554/A/24159,NR/2024/21232/C,NR/2024/19919/A/24645,NR/2024/19642/A/24667,NR/2024/21257/C,NR/2024/20572/A/24637,NR/2024/19432/A/24655,NR/2024/19978/A/24647,NR/2024/19966/A/24292,NR/2024/19355/A/24554,NR/2024/20141/A/24313,NR/2024/21234/C,NR/2024/19918/A/24646,NR/2024/20048/A/24630,NR/2024/20130/A/24325,NR/2024/20552/A/24241,NR/2024/20041/A/24624,NR/2024/20777/A/24283,NR/2024/20553/A/24240,NR/2024/20142/A/24312,NR/2024/20524/A/24591,NR/2024/19683/A/24261,NR/2024/20597/A/24631,NR/2024/20540/A/24060,NR/2024/20557/A/24641,NR/2024/20560/A/24638,NR/2024/20211/A/24314,NR/2024/19988/A/24287,NR/2024/19640/A/24666,NR/2024/20513/A/24322,NR/2024/19779/A/24272,NR/2024/20599/A/24285,NR/2024/19475/A/24562,NR/2024/21233/C,NR/2024/19637/A/24297,NR/2024/20515/A/24324,NR/2024/20598/A/24284,NR/2024/19791/A/24650,NR/2024/19588/A/24395,NR/2024/20212/A/24320,NR/2024/19757/A/24651,Total
27,06:30-06:45,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0.44,73.320000,11.720000,2.890000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1820.98

28,06:45-07:00,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,0.7,73.320000,11.720000,2.890000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.530000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1821.24

29,07:00-07:15,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,1.09,73.320000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,2.890000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.680000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1821.78

30,07:15-07:30,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,1.6,73.320000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,2.890000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.680000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1822.29

31,07:30-07:45,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,1.83,73.320000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,2.890000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.680000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1822.52

32,07:45:08:00,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,1.93,73.320000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,2.890000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.680000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,48.600000,1822.62

33,08:00-08:15,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.12,73.320000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,3.860000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,242.870000,2018.33

34,08:15-08:30,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.330000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.36,73.320000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,3.860000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,242.870000,2018.57

35,08:30-08:45,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.46,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,3.860000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,242.870000,2067.47

36,08:45:09:00,67.530000,0.000000,38.590000,0.000000,32.000000,0.000000,24.120000,21.750000,24.120000,48.240000,0.000000,48.240000,0.000000,24.120000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.51,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,0.000000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,3.860000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,0.000000,192.940000,168.580000,0.000000,0.880000,0.000000,64.710000,66.750000,0.610000,242.870000,2067.52

37,09:00:09:15,67.530000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,24.120000,0.000000,0.000000,0.000000,48.240000,24.120000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.6,121.540000,11.720000,5.790000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,3.860000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,0.000000,192.940000,168.580000,24.120000,0.880000,0.000000,64.710000,66.750000,0.610000,242.870000,2063.49

38,09:15-09:30,67.530000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,24.120000,0.000000,0.000000,0.000000,48.240000,24.120000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.7,121.540000,11.720000,5.790000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,3.860000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,0.000000,192.940000,168.580000,24.120000,0.880000,0.000000,64.710000,66.750000,0.610000,242.870000,2063.59

39,09:30-09:45,67.530000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,24.120000,0.000000,0.000000,0.000000,48.240000,24.120000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,2.89,121.540000,11.720000,5.790000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,3.860000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,0.000000,192.940000,168.580000,24.120000,0.880000,0.000000,64.710000,66.750000,0.610000,242.870000,2063.78

40,09:45-10:00,67.530000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,24.120000,0.000000,0.000000,0.000000,48.240000,24.120000,26.910000,0.000000,24.120000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,3.09,121.540000,11.720000,5.790000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,0.000000,0.000000,0.520000,0.000000,1.930000,0.000000,3.860000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,0.000000,192.940000,168.580000,24.120000,0.880000,0.000000,64.710000,66.750000,0.610000,242.870000,2063.98

41,10:00-10:15,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,3.47,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2066.28

42,10:15-10:30,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,3.67,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2066.48

43,10:30-10:45,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,3.86,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2066.67

44,10:45-11:00,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,4.05,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2066.86

45,11:00-11:15,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,4.63,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2067.44

46,11:15-11:30,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,5.21,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2068.02

47,11:30-11:45,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,5.6,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2068.41

48,11:45-12:00,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,6.27,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,0.000000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2069.08

49,12:00-12:15,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,6.56,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2082.88

50,12:15-12:30,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,7.24,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2083.56

51,12:30-12:45,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,7.91,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2084.23

52,12:45-13:00,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,8.49,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2084.81

53,13:00-13:15,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,8.88,121.540000,11.720000,7.720000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2086.17

54,13:15-13:30,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,8.34,121.540000,11.720000,7.720000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2085.63

55,13:30-13:45,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,7.52,121.540000,11.720000,7.720000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2084.81

56,13:45-14:00,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,6.95,121.540000,11.720000,7.720000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,242.870000,2084.24

57,14:00-14:15,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,6.46,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1888.51

58,14:15-14:30,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,5.98,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1888.03

59,14:30-14:45,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,5.6,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1887.65

60,14:45-15:00,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,5.02,121.540000,11.720000,6.750000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,4.820000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1887.07

61,15:00-15:15,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,4.34,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1886.39

62,15:15-15:30,0.000000,0.000000,0.000000,0.000000,26.910000,0.000000,0.000000,21.750000,0.000000,0.000000,0.000000,0.000000,48.240000,0.000000,26.910000,0.000000,0.000000,0.000000,32.890000,0.000000,57.880000,0.880000,48.240000,183.290000,1.930000,0.970000,0.000000,4.02,121.540000,11.720000,4.820000,32.890000,4.820000,84.100000,38.590000,96.470000,0.350000,24.120000,13.510000,0.000000,0.480000,0.000000,48.240000,67.530000,0.000000,0.520000,0.000000,1.930000,24.120000,6.750000,10.960000,32.890000,1.590000,96.470000,90.680000,0.680000,0.960000,24.120000,192.940000,168.580000,24.120000,0.880000,24.120000,64.710000,66.750000,0.610000,48.600000,1886.07

