Time,Block,NR/2023/15303/F,NR/2023/14898/A,NR/2023/13635/A,NR/2023/12431/A,NR/2023/15435/D,NR/2023/15442/C,NR/2023/15437/D,NR/2023/15057/F,NR/2023/14746/A,NR/2023/15458/C,NR/2023/12167/A,NR/2023/12347/A,NR/2023/15434/D,NR/2023/12053/A,NR/2023/14745/A,NR/2023/15459/C,NR/2023/15304/F,NR/2023/15456/C,NR/2023/14737/A,NR/2023/15441/C,NR/2023/12591/A,NR/2023/15306/F,NR/2023/12148/A,NR/2023/12052/A,NR/2023/12592/A,NR/2023/15296/F,NR/2023/12422/A,NR/2023/14895/A,NR/2023/15309/F,NR/2023/15445/C,NR/2023/13862/A,NR/2023/12168/A,Total
70,17:15-17:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.94,0.820000,0.000000,0.000000,24.160000,48.320000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,971.28

71,17:30-17:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.8,0.820000,0.000000,0.000000,24.160000,48.320000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,9.080000,0.000000,46.590000,971.14

72,17:45-18:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.62,0.820000,0.000000,0.000000,24.160000,48.320000,18.360000,0.000000,24.160000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,969.95

73,18:00-18:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.4,0.870000,0.000000,0.000000,24.160000,48.320000,0.000000,36.470000,0.000000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,963.73

74,18:15-18:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.2,0.870000,0.000000,0.000000,24.160000,48.320000,0.000000,36.470000,0.000000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,963.53

75,18:30-18:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0.17,0.870000,0.000000,0.000000,24.160000,48.320000,0.000000,36.470000,0.000000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,963.5

76,18:45-19:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.870000,0.000000,0.000000,24.160000,48.320000,0.000000,36.470000,0.000000,0.000000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,963.33

77,19:00-19:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,48.320000,0.000000,36.470000,0.000000,22.230000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1024.27

78,19:15-19:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,48.320000,0.000000,36.470000,0.000000,62.820000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1064.86

79,19:30-19:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,48.320000,0.000000,36.470000,0.000000,158.510000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1160.55

80,19:45-20:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,48.320000,0.000000,36.470000,0.000000,215.530000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1217.57

81,20:00-20:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,48.320000,0.000000,36.470000,0.000000,264.820000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1266.86

82,20:15-20:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,48.320000,0.000000,36.470000,0.000000,308.310000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1310.35

83,20:30-20:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,48.320000,0.000000,36.470000,0.000000,356.640000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1358.68

84,20:45-21:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,48.320000,0.000000,36.470000,0.000000,417.530000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1419.57

85,21:00-21:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,553.800000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1599.34

86,21:15-21:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,590.530000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1636.07

87,21:30-21:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,635.960000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1681.5

88,21:45-22:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,0.000000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,686.220000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,0.000000,95.680000,4.830000,8.070000,0.000000,46.590000,1731.76

89,22:00-22:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,85.920000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,635.960000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,8.070000,23.130000,46.590000,1827.37

90,22:15-22:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,85.920000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,673.650000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,8.070000,23.130000,46.590000,1865.06

91,22:30-22:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,85.920000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,694.910000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1884.3

92,22:45-23:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.920000,85.920000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,704.580000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1893.97

93,23:00-23:15,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.870000,85.920000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,703.610000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1892.95

94,23:15-23:30,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.870000,85.920000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,685.250000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1874.59

95,23:30-23:45,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.870000,85.920000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,659.150000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1848.49

96,23:45-24:00,0.910000,77.320000,21.260000,108.730000,193.300000,0.000000,0,0.870000,85.920000,38.660000,24.160000,91.820000,0.000000,36.470000,0.000000,622.430000,0.580000,18.680000,62.820000,0.000000,42.520000,0.930000,22.230000,63.060000,85.030000,0.970000,36.820000,95.680000,4.830000,6.050000,23.130000,46.590000,1811.77

