Time,Block,NR/2024/20343/C,NR/2024/20349/C,NR/2024/20363/C,NR/2024/19699/A/19819,NR/2024/20345/C,NR/2024/20361/C,NR/2024/20109/A/19836,NR/2024/19355/A/19837,NR/2024/20034/A/19815,NR/2024/19637/A/19464,NR/2024/20037/A/19454,NR/2024/20344/C,NR/2024/19683/A/19377,NR/2024/20212/A/19480,NR/2024/20031/A/19816,NR/2024/20348/C,NR/2024/20041/A/19711,NR/2024/20141/A/19484,NR/2024/20040/A/19743,NR/2024/20052/A/19256,NR/2024/20050/A/19709,NR/2024/19760/A/19455,NR/2024/20142/A/19482,NR/2024/19918/A/19746,NR/2024/20353/C,NR/2024/20354/C,NR/2024/20048/A/19710,NR/2024/19475/A/19695,NR/2024/19588/A/19491,NR/2024/20033/A/19817,NR/2024/19966/A/19471,NR/2024/20090/A/19352,NR/2024/20211/A/19478,NR/2024/20144/A/19481,NR/2024/20082/A/19744,NR/2024/19432/A/19821,NR/2024/20130/A/19462,NR/2024/19779/A/19463,Total
57,14:00-14:15,57.950000,0.000000,0.000000,48.290000,7.39,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1185.79

58,14:15-14:30,57.950000,0.000000,0.000000,48.290000,8.43,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1186.83

59,14:30-14:45,57.950000,0.000000,0.000000,48.290000,8.16,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1186.56

60,14:45-15:00,57.950000,0.000000,0.000000,48.290000,7.9,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1186.3

61,15:00-15:15,57.950000,0.000000,0.000000,48.290000,7.44,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1185.84

62,15:15-15:30,57.950000,0.000000,0.000000,48.290000,6.91,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1185.31

63,15:30-15:45,57.950000,0.000000,0.000000,48.290000,6.28,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1184.68

64,15:45-16:00,57.950000,0.000000,0.000000,48.290000,6.02,0.000000,183.500000,96.580000,43.900000,24.140000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,48.290000,0.350000,14.490000,13.520000,0.000000,48.290000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,38.630000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.970000,1184.42

65,16:00-16:15,57.950000,0.000000,0.000000,48.290000,3.13,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1022.03

66,16:15-16:30,57.950000,0.000000,0.000000,48.290000,0.89,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1019.79

67,16:30-16:45,57.950000,0.000000,0.000000,48.290000,0.71,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1019.61

68,16:45-17:00,57.950000,0.000000,0.000000,48.290000,0.27,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1019.17

69,17:00-17:15,38.630000,0.000000,0.000000,48.290000,0.14,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,111.360000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,999.72

70,17:15-17:30,38.630000,0.000000,0.000000,48.290000,0.15,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,142.550000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1030.92

71,17:30-17:45,26.080000,0.000000,0.000000,48.290000,0.24,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1042.99

72,17:45-18:00,26.080000,0.000000,0.000000,48.290000,0.16,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1042.91

73,18:00-18:15,26.080000,0.000000,0.000000,48.290000,0.16,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1042.91

74,18:15-18:30,26.080000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,43.900000,0.000000,72.440000,167.080000,1.930000,0.610000,43.900000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1042.75

75,18:30-18:45,26.080000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,34.430000,0.000000,72.440000,167.080000,1.930000,0.610000,34.430000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1023.81

76,18:45-19:00,26.080000,0.000000,0.000000,48.290000,0,0.000000,183.500000,96.580000,30.470000,0.000000,72.440000,167.080000,1.930000,0.610000,30.470000,0.000000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1015.89

77,19:00-19:15,0.000000,0.000000,0.000000,48.290000,0,0.000000,241.450000,96.580000,30.470000,0.000000,72.440000,167.080000,1.930000,0.610000,30.470000,126.520000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1174.28

78,19:15-19:30,0.000000,0.000000,0.000000,48.290000,0,0.000000,241.450000,96.580000,30.470000,0.000000,72.440000,167.080000,1.930000,0.610000,30.470000,133.280000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1181.04

79,19:30-19:45,0.000000,0.000000,0.000000,48.290000,0,0.000000,241.450000,96.580000,31.060000,0.000000,72.440000,167.080000,1.930000,0.610000,31.060000,160.320000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1209.26

80,19:45-20:00,0.000000,0.000000,0.000000,48.290000,0,0.000000,241.450000,96.580000,31.060000,0.000000,72.440000,167.080000,1.930000,0.610000,31.060000,169.980000,0.000000,0.350000,14.490000,13.520000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1218.92

81,20:00-20:15,0.000000,1.930000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.060000,0.000000,72.440000,167.080000,1.930000,0.610000,31.060000,169.020000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1298.32

82,20:15-20:30,0.000000,1.930000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.060000,0.000000,72.440000,167.080000,1.930000,0.610000,31.060000,173.840000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1303.14

83,20:30-20:45,0.000000,1.930000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.060000,0.000000,72.440000,167.080000,1.930000,0.610000,31.060000,184.470000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1313.77

84,20:45-21:00,0.000000,1.930000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.060000,0.000000,72.440000,167.080000,1.930000,0.610000,31.060000,188.330000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,13.520000,0.000000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.820000,1317.63

85,21:00-21:15,0.000000,1.930000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,189.300000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,13.520000,144.870000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.770000,1464.48

86,21:15-21:30,0.000000,1.930000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,195.090000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,13.520000,144.870000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.770000,1470.27

87,21:30-21:45,0.000000,1.930000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,199.920000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,13.520000,144.870000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.770000,1475.1

88,21:45-22:00,0.000000,1.930000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,207.650000,0.000000,0.350000,14.490000,8.690000,0.000000,0.000000,0.520000,13.520000,144.870000,0.000000,0.000000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.770000,1482.83

89,22:00-22:15,0.000000,0.000000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,186.400000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,193.160000,0.000000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.720000,1725.2

90,22:15-22:30,0.000000,0.000000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,180.600000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,193.160000,0.000000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.720000,1719.4

91,22:30-22:45,0.000000,0.000000,27.240000,48.290000,0,56.020000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,185.430000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,193.160000,0.000000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.720000,1724.23

92,22:45-23:00,0.000000,0.000000,27.240000,48.290000,0,53.120000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,183.500000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,193.160000,0.000000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.720000,1719.4

93,23:00-23:15,0.000000,0.000000,27.240000,48.290000,0,53.120000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,193.160000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,193.160000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1825.55

94,23:15-23:30,0.000000,0.000000,27.240000,48.290000,0,44.430000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,183.500000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,193.160000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1807.2

95,23:30-23:45,0.000000,0.000000,27.240000,48.290000,0,44.430000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,191.230000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,193.160000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1814.93

96,23:45-24:00,0.000000,0.000000,27.240000,48.290000,0,44.430000,241.450000,96.580000,31.590000,0.000000,72.440000,167.080000,1.930000,0.610000,31.590000,211.510000,0.000000,0.350000,14.490000,8.690000,162.980000,0.000000,0.520000,13.520000,193.160000,96.580000,54.330000,193.160000,66.820000,14.630000,0.000000,1.930000,1.590000,0.880000,11.590000,24.140000,0.480000,0.630000,1835.21

