Time,Block,NR/2023/11880/D,NR/2023/11100/F,NR/2023/10486/A,NR/2023/11102/F,NR/2023/11343/F,NR/2023/11104/F,NR/2023/11886/C,NR/2023/11341/F,NR/2023/10433/A,NR/2023/11166/F,NR/2023/10197/A,NR/2023/11891/C,NR/2023/11099/F,NR/2023/11097/F,NR/2023/11368/F,NR/2023/11221/F,NR/2023/11154/F,NR/2023/11095/F,NR/2023/11895/C,NR/2023/11882/D,NR/2023/10181/A,NR/2023/10182/A,NR/2023/11367/F,NR/2023/11879/D,NR/2023/11369/F,NR/2023/11747/F,NR/2023/11096/F,Total
87,21:30-21:45,0,0.620000,20.590000,0.710000,48.220000,0.530000,29.550000,115.740000,24.110000,14.470000,49.910000,9.030000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,496.04

88,21:45-22:00,0,0.620000,20.590000,0.710000,48.220000,0.530000,29.550000,115.740000,24.110000,14.470000,49.910000,9.030000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,496.04

89,22:00-22:15,0,0.620000,20.590000,0.710000,48.220000,0.530000,27.520000,115.740000,24.110000,14.470000,49.910000,9.300000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,494.28

90,22:15-22:30,0,0.620000,20.590000,0.710000,48.220000,0.530000,27.520000,115.740000,24.110000,14.470000,49.910000,9.300000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,494.28

91,22:30-22:45,0,0.620000,20.590000,0.710000,48.220000,0.530000,27.520000,115.740000,24.110000,14.470000,49.910000,9.300000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,494.28

92,22:45-23:00,0,0.620000,20.590000,0.710000,48.220000,0.530000,27.520000,115.740000,24.110000,14.470000,49.910000,9.300000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,494.28

93,23:00-23:15,0,0.620000,20.590000,0.710000,48.220000,0.530000,27.520000,115.740000,24.110000,14.470000,49.910000,9.480000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,494.46

94,23:15-23:30,0,0.620000,20.590000,0.710000,48.220000,0.530000,27.520000,115.740000,24.110000,14.470000,49.910000,9.480000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,494.46

95,23:30-23:45,0,0.620000,20.590000,0.710000,48.220000,0.530000,27.520000,115.740000,24.110000,14.470000,49.910000,9.480000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,494.46

96,23:45-24:00,0,0.620000,20.590000,0.710000,48.220000,0.530000,27.520000,115.740000,24.110000,14.470000,49.910000,9.480000,0.420000,0.420000,0.410000,17.360000,9.640000,2.890000,0.000000,0,99.830000,49.910000,0.340000,0,0.720000,0.000000,0.620000,494.46

