Column1,Block,NR/2025/32455/A/98943,NR/2025/34022/C,NR/2025/31049/A/98978,NR/2025/34169/C,NR/2025/31048/A/98977,NR/2025/32610/A/98957,NR/2025/29992/A/98609,NR/2025/34024/C,NR/2025/34025/C,NR/2025/32262/A/98555,NR/2025/29440/A/98546,NR/2025/31421/A/98998,NR/2025/32375/A/98994,NR/2025/32559/A/98958,NR/2025/32004/A/98963,NR/2025/32556/A/98959,NR/2025/31045/A/98976,NR/2025/34058/C,NR/2025/33955/A/99015,NR/2025/34059/C,GNA/NR/2025/08/01/3698,NR/2025/33469/A/98582,NR/2025/33670/A/99017,NR/2025/34062/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/33656/A/98970,NR/2025/34063/C,NR/2025/34167/C,NR/2025/34069/C,NR/2025/32397/A/98492,NR/2025/34055/C,GNA/NR/2025/08/01/6209,NR/2025/31043/A/98975,NR/2025/34057/C,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5784,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,GNARE/SR/2025/08/21/8605,NR/2025/32534/A/98914,NR/2025/33637/A/98666,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/98915,NR/2025/32535/A/98916,NR/2025/33632/A/98670,NR/2025/32532/A/98911,NR/2025/32599/A/98637,NR/2025/33633/A/98668,NR/2025/32532/A/98912,NR/2025/32534/A/98913,NR/2025/34068/C,Total
51,12:30-12:45,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,161,1.45,0.58,0.29,19.31,1541.3400000000001

52,12:45-13:00,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,161,1.45,0.58,0.29,20.27,1542.3000000000002

53,13:00-13:15,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,140,1.45,0.58,0.29,8.84,1509.8700000000001

54,13:15-13:30,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.39,1.16,0.48,140,1.45,0.58,0.29,8.84,1509.8700000000001

55,13:30-13:45,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.07,1.16,0.48,158,1.45,0.1,0.29,8.84,1527.07

56,13:45-14:00,0,193.06,0,0,0,0,44.4,0,0,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,92,0.19,0.21,1.16,0.48,158,1.45,0.32,0.29,8.84,1527.43

57,14:00-14:15,0,193.06,0,0,0,0,44.4,96.53,96.53,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,58.33,0.19,0.21,1.16,0.48,168,1.45,0.32,0.29,8.84,1696.82

58,14:15-14:30,0,193.06,0,0,0,0,44.4,96.53,96.53,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,56.67,0.19,0.26,1.16,0.48,165,1.45,0.4,0.29,8.84,1692.2900000000002

59,14:30-14:45,0,193.06,0,0,0,0,44.4,96.53,96.53,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.44,1.64,55,0.19,0.39,1.16,0.47,168,1.45,0.64,0.28,8.84,1694.0200000000002

60,14:45-15:00,0,193.06,0,0,0,0,44.4,96.53,96.53,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.39,1.64,53.33,0.19,0.39,1.16,0.48,161,1.45,0.55,0.29,8.84,1685.23

61,15:00-15:15,0,193.06,0,0,0,0,44.4,96.53,96.53,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.42,1.64,25,0.19,0.42,1.16,0.48,154,1.45,0.6,0.29,10.8,1651.97

62,15:15-15:30,0,193.06,0,0,0,0,44.4,96.53,96.53,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,19.22,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.44,1.64,23.33,0.19,0.39,1.16,0.48,147,1.45,0.55,0.29,10.8,1643.24

63,15:30-15:45,0,193.06,0,0,0,0,44.4,96.53,96.53,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,13.67,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.31,1.64,15,0.19,0.27,1.16,0.48,137,1.45,0.39,0.29,10.8,1618.95

64,15:45-16:00,0,193.06,0,0,0,0,44.4,96.53,96.53,0,0.97,0,0,0,0,0,0,48.26,14.48,43.87,14.62,13.51,82.05,37.3,13.67,0,193.06,0,76.86,0,43.87,96.53,0,48.26,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.35,1.64,15,0.19,0.3,1.16,0.48,126,1.45,0.43,0.29,10.8,1608.06

65,16:00-16:15,0,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.35,0,10,0.19,0.3,0,0.48,116,0,0.43,0.29,10.8,1588.7099999999998

66,16:15-16:30,0,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.35,0,10,0.19,0.31,0,0.48,105,0,0.43,0.29,10.8,1577.7199999999998

67,16:30-16:45,0,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.36,0,10,0.14,0.31,0,0.38,91,0,0.44,0.22,10.8,1563.52

68,16:45-17:00,0,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,0,0,0,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.31,0,10,0.13,0.27,0,0.31,77,0,0.39,0.18,8.84,1547.3

69,17:00-17:15,0,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.19,0,10,0.13,0.17,0,0.3,63,0,0.24,0.18,8.19,1540.9600000000003

70,17:15-17:30,0,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0.07,0,10,0.13,0.06,0,0.31,49,0,0.09,0.18,7.91,1526.31

71,17:30-17:45,0,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,9.33,0.13,0,0,0.33,39,0,0,0.19,7.72,1515.26

72,17:45-18:00,0,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,0,0,8.69,0,96.53,0,0,48.26,29.03,96.53,0,14.62,15.3,20.83,24.13,0,19.31,24.13,0,0,0,8.33,0.09,0,0,0.21,28,0,0,0.13,7.79,1503.11

73,18:00-18:15,48.26,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,0,0,0,7.33,0.07,0,0,0.16,21,0,0,0.1,8.61,1557.7399999999996

74,18:15-18:30,48.26,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,0,0,0,6,0.05,0,0,0.14,14,0,0,0.08,6.26,1546.9999999999998

75,18:30-18:45,48.26,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,0,0,0,4,0.04,0,0,0.09,7,0,0,0.05,4.08,1535.7299999999996

76,18:45-19:00,48.26,28.96,96.53,0,0,37.3,44.4,0,0,0,0.87,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,0,0,0,1.67,0.02,0,0,0.05,5,0,0,0.03,2.62,1529.8599999999997

77,19:00-19:15,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,0,0.92,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,0,0,0,0.33,0,0,0,0,1,0,0,0,0,1618.3799999999999

78,19:15-19:30,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,0,0.92,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,13.67,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1617.05

79,19:30-19:45,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,0,0.92,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1746.6699999999998

80,19:45-20:00,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,0,0.92,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1746.6699999999998

81,20:00-20:15,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1800.9699999999998

82,20:15-20:30,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1800.9699999999998

83,20:30-20:45,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1800.9699999999998

84,20:45-21:00,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,76.86,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1800.9699999999998

85,21:00-21:15,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1830.2899999999997

86,21:15-21:30,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1830.2899999999997

87,21:30-21:45,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1830.2899999999997

88,21:45-22:00,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1830.2899999999997

89,22:00-22:15,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1830.2899999999997

90,22:15-22:30,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,13.51,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1830.2899999999997

91,22:30-22:45,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,12.55,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1829.3299999999997

92,22:45-23:00,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.92,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,12.55,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1829.3299999999997

93,23:00-23:15,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.87,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,12.55,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1829.2799999999997

94,23:15-23:30,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.87,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,12.55,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1829.2799999999997

95,23:30-23:45,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.87,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,12.55,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1829.2799999999997

96,23:45-24:00,48.26,28.96,96.53,96.53,0,37.3,44.4,0,0,54.3,0.87,48.26,48.26,43.87,106.18,43.87,96.53,0,14.48,0,14.62,12.55,82.05,0,18.29,164.1,193.06,96.53,0,8.69,0,48.26,0,0,48.26,29.03,96.53,0,14.62,0,20.83,24.13,0,0,24.13,125,0,0,0,0,0,0,0,0,0,0,0,0,1829.2799999999997

