Column1,Block,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/20/5216,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/3945,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,NR/2025/24838/A/51507,NER/2024/2820/A/51555,NR/2024/24508/A/51549,NR/2024/24614/A/51550,NR/2024/24434/A/51281,NR/2024/24435/A/51280,NR/2025/24839/A/51509,NR/2025/25083/C,NR/2024/24418/A/51261,NR/2025/24837/A/51502,SR/2024/15456/A/51284,NR/2025/25084/C,NR/2024/24566/A/51272,NR/2024/24507/A/51548,NR/2025/25074/C,NR/2025/25075/C,WR/2024/25501/A/51566,NR/2025/25073/C,Total
77,19:00-19:15,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,30,32,5.77,7.69,43.27,50,50,0,38.46,14.42,0,0,16.35,0,0,0.58,0,115.39,0,5.77,28.85,0,0,38.46,0,1047.8200000000002

78,19:15-19:30,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,30,32,5.77,7.69,43.27,50,50,0,38.46,14.42,0,0,16.35,0,0,0.58,0,115.39,0,5.77,28.85,0,0,38.46,0,1047.8200000000002

79,19:30-19:45,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,30,32,5.77,7.69,43.27,50,50,0,38.46,14.42,0,0,16.35,0,0,0.58,0,115.39,0,5.77,28.85,0,0,38.46,0,1047.8200000000002

80,19:45-20:00,36.54,48.08,19.23,14.42,1.29,30.77,20.19,28.85,96.16,48.08,31.73,36.54,26.92,32,90.39,9.62,30,32,5.77,7.69,43.27,50,50,0,38.46,14.42,0,0,16.35,0,0,0.58,0,115.39,0,5.77,28.85,0,0,38.46,0,1047.8200000000002

81,20:00-20:15,34.62,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,32,0,0,30,32,0,0,34.62,50,50,0,38.46,14.42,0,0,16.35,0,0,0.58,0,153.86,0,5.77,28.85,0,0,38.46,0,827.6300000000001

82,20:15-20:30,34.62,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,32,0,0,30,32,0,0,34.62,50,50,0,38.46,14.42,0,0,16.35,0,0,0.58,0,153.86,0,5.77,28.85,0,0,38.46,0,827.6300000000001

83,20:30-20:45,34.62,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,26.42,0,0,30,32,0,0,34.62,50,50,0,38.46,14.42,0,0,16.35,0,0,0.58,0,153.86,0,5.77,28.85,0,0,38.46,0,822.0500000000001

84,20:45-21:00,34.62,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,34.62,26.92,26.42,0,0,30,32,0,0,34.62,50,50,0,38.46,14.42,0,0,16.35,0,0,0.58,0,153.86,0,5.77,28.85,0,0,38.46,0,822.0500000000001

85,21:00-21:15,28.85,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,28.85,26.92,26.99,0,0,30,26.99,0,0,28.85,50,50,0,0,14.42,0,0,16.35,0,0,0.58,0,269.25,0,5.77,28.85,0,0,38.46,0,877.2300000000001

86,21:15-21:30,28.85,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,28.85,26.92,26.99,0,0,30,26.99,0,0,28.85,50,50,0,0,14.42,0,0,16.35,0,0,0.58,0,269.25,0,5.77,28.85,0,0,38.46,0,877.2300000000001

87,21:30-21:45,28.85,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,28.85,26.92,26.99,0,0,30,26.99,0,0,28.85,50,50,0,0,14.42,0,0,16.35,0,0,0.58,0,269.25,0,5.77,28.85,0,0,38.46,0,877.2300000000001

88,21:45-22:00,28.85,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,28.85,26.92,26.99,0,0,30,26.99,0,0,28.85,50,50,0,0,14.42,0,0,16.35,0,0,0.58,0,269.25,0,5.77,28.85,0,0,38.46,0,877.2300000000001

89,22:00-22:15,25.96,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,25.96,26.92,26.99,0,0,30,26.99,0,0,25.96,50,0,0,0,14.42,0,0,16.35,0,0,0.48,0,288.48,0,5.77,28.85,0,0,38.46,0,837.6900000000002

90,22:15-22:30,25.96,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,25.96,26.92,26.99,0,0,30,26.99,0,0,25.96,50,0,0,0,14.42,0,0,16.35,0,0,0.48,0,288.48,0,5.77,28.85,0,0,38.46,0,837.6900000000002

91,22:30-22:45,25.96,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,25.96,26.92,26.99,0,0,30,26.99,0,0,25.96,50,0,0,0,14.42,0,0,16.35,0,0,0.48,0,288.48,0,5.77,28.85,0,0,38.46,0,837.6900000000002

92,22:45-23:00,25.96,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,25.96,26.92,26.99,0,0,30,26.99,0,0,25.96,50,0,0,0,14.42,0,0,16.35,0,0,0.48,0,288.48,0,5.77,28.85,0,0,38.46,0,837.6900000000002

93,23:00-23:15,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,30,26.99,0,0,23.08,50,0,0,0,14.42,0,0,16.35,0,0,0.48,0,288.48,0,5.77,28.85,0,0,38.46,0,829.0500000000001

94,23:15-23:30,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,30,26.99,0,0,23.08,50,0,0,0,14.42,0,0,16.35,0,0,0.48,0,288.48,0,5.77,28.85,0,0,38.46,0,829.0500000000001

95,23:30-23:45,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,30,26.99,0,0,23.08,50,0,0,0,14.42,0,0,16.35,0,0,0.48,0,288.48,0,5.77,28.85,0,0,38.46,0,829.0500000000001

96,23:45-24:00,23.08,48.08,19.23,8.65,1.29,0,20.19,28.85,0,48.08,31.73,23.08,26.92,26.99,0,0,30,26.99,0,0,23.08,50,0,0,0,14.42,0,0,16.35,0,0,0.48,0,288.48,0,5.77,28.85,0,0,38.46,0,829.0500000000001

