Time,Block,ER/2023/9140/C,NR/2023/14900/D,NR/2023/11470/A,NR/2023/13983/F,NR/2023/14923/C,NR/2023/14901/D,NR/2023/13573/A,NR/2023/11325/A,NR/2023/11654/A,NR/2023/13284/A,NR/2023/11328/A,NR/2023/14688/F,NR/2023/11954/A,NR/2023/13283/A,NR/2023/13858/A,NR/2023/14187/F,NR/2023/11697/A,NR/2023/14925/C,NR/2023/13983/F/II,NR/2023/14906/C,NR/2023/11458/A,NR/2023/14932/C,NR/2023/14922/C,NR/2023/14921/C,NR/2023/12646/A,NR/2023/14924/C,NR/2023/11315/A,NR/2023/14915/C,NR/2023/14688/F/II,NR/2023/13859/A,NR/2023/11739/A,NR/2023/11203/A,NR/2023/11469/A,NR/2023/14946/C,NR/2023/14902/D,NR/2023/14903/D,Total
63,15:30-15:45,0.000000,3.36,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,7.720000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,96.6,41.4,1276.82

64,15:45-16:00,0.000000,3.49,21.230000,0.970000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,0.970000,0.000000,0.000000,0.000000,8.690000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,94.5,40.5,1274.92

65,16:00-16:15,0.000000,2.41,21.230000,0.820000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,5.790000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,90.3,38.7,1267.68

66,16:15-16:30,0.000000,1.87,21.230000,0.820000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,5.790000,106.190000,0.000000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,82.6,35.4,1256.14

67,16:30-16:45,0.000000,2.37,21.230000,0.820000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,4.830000,106.190000,19.820000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,75.6,32.4,1265.5

68,16:45-17:00,0.000000,2,21.230000,0.820000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,4.830000,106.190000,19.820000,6.760000,0.000000,23.100000,0.000000,22.200000,24.140000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,72.1,30.9,1260.13

69,17:00-17:15,0.000000,1.71,21.230000,0.820000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,4.830000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,63,27,1141.68

70,17:15-17:30,0.000000,1.26,21.230000,0.820000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,4.830000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,49,21,1121.23

71,17:30-17:45,0.000000,0.72,21.230000,0.820000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,4.830000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,42,18,1110.69

72,17:45-18:00,0.000000,0.71,21.230000,0.820000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,0.000000,24.140000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,35,15,1099.71

73,18:00-18:15,0.000000,0.47,21.230000,0.870000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,31.5,13.5,1106.8

74,18:15-18:30,0.000000,0.21,21.230000,0.870000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,24.5,10.5,1096.54

75,18:30-18:45,0.000000,0.1,21.230000,0.870000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,21,9,1091.43

76,18:45-19:00,0.000000,0,21.230000,0.870000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,14,6,1081.33

77,19:00-19:15,0.000000,0,21.230000,0.920000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,7,3,1071.38

78,19:15-19:30,0.000000,0,21.230000,0.920000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,4.2,1.8,1067.38

79,19:30-19:45,0.000000,0,21.230000,0.920000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,1.4,0.6,1063.38

80,19:45-20:00,0.000000,0,21.230000,0.920000,0.000000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1061.38

81,20:00-20:15,0.000000,0,21.230000,0.920000,46.340000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1204.26

82,20:15-20:30,0.000000,0,21.230000,0.920000,92.680000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1250.6

83,20:30-20:45,0.000000,0,21.230000,0.920000,131.290000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1289.21

84,20:45-21:00,0.000000,0,21.230000,0.920000,168.940000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,24.140000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,48.270000,19.820000,6.760000,0.000000,0.000000,0.000000,22.200000,0.000000,0.000000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1326.86

85,21:00-21:15,0.000000,0,21.230000,0.920000,72.400000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,20.260000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,91.710000,19.820000,6.760000,67.580000,0.000000,48.270000,22.200000,0.000000,3.870000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1389.6

86,21:15-21:30,0.000000,0,21.230000,0.920000,98.470000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,20.260000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,91.710000,19.820000,6.760000,67.580000,0.000000,48.270000,22.200000,0.000000,3.870000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1415.67

87,21:30-21:45,0.000000,0,21.230000,0.920000,97.510000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,20.260000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,91.710000,19.820000,6.760000,67.580000,0.000000,96.540000,22.200000,0.000000,3.870000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1462.98

88,21:45-22:00,0.000000,0,21.230000,0.920000,127.430000,193.080000,0.000000,24.140000,152.530000,0.000000,48.270000,20.260000,36.420000,0.000000,84.470000,3.860000,0.000000,0.000000,0.000000,3.860000,91.710000,19.820000,6.760000,67.580000,0.000000,96.540000,22.200000,0.000000,3.870000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1492.9

89,22:00-22:15,0.000000,0,21.230000,0.920000,60.820000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,36.420000,0.000000,84.470000,3.860000,36.780000,0.000000,0.000000,3.860000,91.710000,19.820000,6.760000,67.580000,23.100000,96.540000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1571.99

90,22:15-22:30,0.000000,0,21.230000,0.920000,83.020000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,36.420000,0.000000,84.470000,3.860000,36.780000,0.000000,0.000000,1.930000,91.710000,19.820000,6.760000,67.580000,23.100000,96.540000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1592.26

91,22:30-22:45,0.000000,0,21.230000,0.920000,106.190000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,36.420000,0.000000,84.470000,3.860000,36.780000,0.000000,0.000000,1.930000,91.710000,19.820000,6.760000,67.580000,23.100000,96.540000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1615.43

92,22:45-23:00,0.000000,0,21.230000,0.920000,109.090000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,36.420000,0.000000,84.470000,3.860000,36.780000,0.000000,0.000000,1.930000,91.710000,19.820000,6.760000,67.580000,23.100000,96.540000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1618.33

93,23:00-23:15,0.000000,0,21.230000,0.870000,102.330000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,36.420000,0.000000,84.470000,3.860000,36.780000,0.000000,0.000000,1.930000,91.710000,19.820000,6.760000,67.580000,23.100000,96.540000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1611.52

94,23:15-23:30,0.000000,0,21.230000,0.870000,86.890000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,36.420000,0.000000,84.470000,3.860000,36.780000,0.000000,0.000000,1.930000,91.710000,19.820000,6.760000,67.580000,23.100000,96.540000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1596.08

95,23:30-23:45,0.000000,0,21.230000,0.870000,59.850000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,36.420000,0.000000,84.470000,3.860000,36.780000,0.000000,0.000000,1.930000,91.710000,19.820000,6.760000,67.580000,23.100000,96.540000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,96.540000,0,0,1569.04

96,23:45-24:00,0.000000,0,21.230000,0.870000,30.890000,193.080000,0.000000,24.140000,152.530000,85.820000,48.270000,20.270000,36.420000,0.000000,84.470000,3.860000,36.780000,0.000000,0.000000,1.930000,91.710000,19.820000,6.760000,67.580000,23.100000,96.540000,22.200000,0.000000,3.860000,181.010000,42.470000,62.990000,84.940000,0.000000,0,0,1443.54

