Column1,Block,NR/2025/26755/A/72671,NR/2025/26335/A/72821,GNARE/NR/2024/12/20/3668,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/2474,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26291/A/73181,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/4138,NR/2025/27001/C,NR/2025/26191/A/72721,NR/2025/27003/C,NR/2025/26336/A/72820,NR/2025/26004/A/72723,NR/2025/26996/C,NR/2025/26085/A/72650,NR/2025/26997/C,NR/2025/26785/A/72715,NR/2025/26999/C,NR/2025/26082/A/73230,NR/2025/25860/A/73158,NR/2025/26822/A/73167,NR/2025/25859/A/73159,NR/2025/26991/C,NR/2025/26825/A/73166,NR/2025/26153/A/72677,NR/2025/26101/A/72864,NR/2025/26993/C,NR/2025/26829/A/73161,NR/2025/26289/A/73183,NR/2025/26689/A/72799,NR/2025/26986/C,NR/2025/26232/A/73189,NR/2025/26994/C,NR/2025/26970/C,NR/2025/26379/A/73151,NR/2025/25967/A/73152,NR/2025/26928/C,NR/2025/26828/A/73163,NR/2025/26924/C,NR/2025/26930/C,NR/2025/26265/A/73185,NR/2025/26233/A/73187,NR/2025/26925/C,NR/2025/26932/C,NR/2025/27004/C,NR/2025/26827/A/73165,NR/2025/25861/A/73157,NR/2025/26879/A/72837,NR/2025/26926/C,NR/2025/26940/C,NR/2025/27006/C,NR/2025/26005/A/72752,NR/2025/26202/A/73229,NR/2025/26927/C,Total
41,10:00-10:15,12.52,189,90.57,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.76,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2136.6600000000003

42,10:15-10:30,12.52,196,95.32,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.76,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2148.4100000000003

43,10:30-10:45,12.52,203,99.57,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.76,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2159.6600000000003

44,10:45-11:00,12.52,207,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.76,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2164.09

45,11:00-11:15,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.68,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.9700000000003

46,11:15-11:30,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.68,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.9700000000003

47,11:30-11:45,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.68,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.9700000000003

48,11:45-12:00,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.94,9.68,0,26.94,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.9700000000003

49,12:00-12:15,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.5,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.8100000000004

50,12:15-12:30,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.5,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.8100000000004

51,12:30-12:45,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.5,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.8100000000004

52,12:45-13:00,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.5,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.8100000000004

53,13:00-13:15,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.4,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.7100000000005

54,13:15-13:30,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.4,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.7100000000005

55,13:30-13:45,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.4,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.7100000000005

56,13:45-14:00,13.48,210,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.4,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0.96,26.26,0,96.3,47.19,0,0,96.3,0,0,9.92,0,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,52.68,0,0,48.15,52.96,8.75,0,0,0,24.08,48.15,26.26,48.15,0,4.82,2167.7100000000005

57,14:00-14:15,11.56,207,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.4,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0,26.26,0,96.3,0,0,0,96.3,0,0,0,33.7,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,62.6,0,0,48.15,52.96,8.75,0,110.74,0,24.08,48.15,26.26,39.48,0,4.82,2250.41

58,14:15-14:30,11.56,203,100,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.4,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0,26.26,0,96.3,0,0,0,96.3,0,0,0,33.7,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,62.6,0,0,48.15,52.96,8.75,0,110.74,0,24.08,48.15,26.26,39.48,0,4.82,2246.41

59,14:30-14:45,11.56,179,98.32,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.4,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0,26.26,0,96.3,0,0,0,96.3,0,0,0,33.7,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,62.6,0,0,48.15,52.96,8.75,0,110.74,0,24.08,48.15,26.26,39.48,0,4.82,2220.73

60,14:45-15:00,11.56,172,94.44,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.4,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0,26.26,0,96.3,0,0,0,96.3,0,0,0,33.7,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,62.6,0,0,48.15,52.96,8.75,0,110.74,0,24.08,48.15,26.26,39.48,0,4.82,2209.85

61,15:00-15:15,8.67,165,90.14,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.58,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0,26.26,0,96.3,0,0,0,96.3,0,0,0,33.7,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,62.6,0,0,48.15,52.96,8.75,0,110.74,0,24.08,48.15,26.26,39.48,0,4.82,2195.84

62,15:15-15:30,8.67,154,85.53,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.58,0,26.95,0,54.1,0,28.89,0,48.15,26.26,0,26.26,0,96.3,0,0,0,96.3,0,0,0,33.7,0,0,0,4.82,134.82,0,8.75,192.6,0,192.6,4.82,0,96.3,62.6,0,0,48.15,52.96,8.75,0,110.74,0,24.08,48.15,26.26,39.48,0,4.82,2180.23

63,15:30-15:45,8.67,144,80.18,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.58,0,26.95,0,54.1,0,28.89,221.49,48.15,26.26,0,26.26,0,96.3,0,0,0,96.3,0,0,0,33.7,0,0,0,4.82,67.41,0,8.75,192.6,0,192.6,4.82,0,96.3,62.6,0,0,48.15,52.96,8.75,0,110.74,0,24.08,48.15,26.26,39.48,0,4.82,2318.96

64,15:45-16:00,8.67,133,74.85,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.58,0,26.95,0,54.1,0,28.89,221.49,48.15,26.26,0,26.26,0,96.3,0,0,0,96.3,0,0,0,33.7,0,0,0,4.82,67.41,0,8.75,192.6,0,192.6,4.82,0,96.3,62.6,0,0,48.15,52.96,8.75,0,110.74,0,24.08,48.15,26.26,39.48,0,4.82,2302.63

65,16:00-16:15,5.78,119,66.53,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.96,24.08,26.95,0,108.2,48.15,28.89,221.49,48.15,0,0.82,0,52.96,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,5.78,67.41,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,0,0,0,0,48.15,96.3,0,2389.5400000000004

66,16:15-16:30,5.78,105,58.8,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.96,24.08,26.95,0,108.2,48.15,28.89,221.49,48.15,0,0.82,0,52.96,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,5.78,67.41,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,0,0,0,0,48.15,96.3,0,2367.8100000000004

67,16:30-16:45,5.78,91,52.06,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.96,24.08,26.95,0,108.2,48.15,28.89,221.49,48.15,0,0.82,0,52.96,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,5.78,0,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,0,0,0,0,48.15,96.3,0,2279.66

68,16:45-17:00,5.78,77,45.17,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,9.96,24.08,26.95,0,108.2,48.15,28.89,221.49,48.15,0,0.82,0,52.96,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,5.78,0,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,0,0,0,0,48.15,96.3,0,2258.77

69,17:00-17:15,0,63,38.4,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,10.41,24.08,26.95,0,108.2,48.15,28.89,221.49,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,5.78,0,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2213.26

70,17:15-17:30,0,49,30.94,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,10.41,24.08,26.95,0,108.2,48.15,28.89,221.49,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,5.78,0,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2191.7999999999997

71,17:30-17:45,0,35,24.34,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,10.41,24.08,26.95,0,108.2,48.15,28.89,221.49,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,5.78,0,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2171.2

72,17:45-18:00,0,21,18.05,0,28.89,0,10.59,0,0,192.6,0,0,14.44,0,24.08,13.48,96.3,17.51,26.95,10.41,24.08,26.95,0,108.2,48.15,28.89,221.49,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,5.78,0,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2150.91

73,18:00-18:15,0,14,13.01,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,26.95,10.87,24.08,26.95,0,162.31,48.15,28.89,221.49,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,0,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2322.48

74,18:15-18:30,0,4,8.98,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,26.95,10.87,24.08,26.95,0,162.31,48.15,28.89,221.49,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,0,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2308.45

75,18:30-18:45,0,1,0.76,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,26.95,10.87,24.08,26.95,0,162.31,48.15,28.89,221.49,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,223.42,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2520.6500000000005

76,18:45-19:00,0,0,0.29,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,26.95,10.87,24.08,26.95,0,162.31,48.15,28.89,221.49,48.15,0,0.67,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,223.42,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2519.1800000000007

77,19:00-19:15,0,0,0.19,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,26,11.33,24.08,29,0,162.31,48.15,28.89,221.49,48.15,0,0.72,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,223.42,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2520.6900000000005

78,19:15-19:30,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,26,11.33,24.08,29,0,162.31,48.15,28.89,221.49,48.15,0,0.72,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,223.42,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2520.5000000000005

79,19:30-19:45,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,26,11.33,24.08,29,0,162.31,48.15,28.89,221.49,48.15,0,0.72,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,223.42,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2520.5000000000005

80,19:45-20:00,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,26,11.33,24.08,29,0,162.31,48.15,28.89,221.49,48.15,0,0.72,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,223.42,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2520.5000000000005

81,20:00-20:15,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,11.8,24.08,25.7,0,162.31,48.15,28.89,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,223.42,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2521.2200000000007

82,20:15-20:30,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,11.8,24.08,25.7,0,162.31,48.15,28.89,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,223.42,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2521.2200000000007

83,20:30-20:45,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,11.8,24.08,25.7,0,162.31,48.15,28.89,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2501.9600000000005

84,20:45-21:00,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,11.8,24.08,24.09,0,162.31,48.15,28.89,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,0,26.26,62.6,33.7,0,26.26,48.15,7.7,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2500.3500000000004

85,21:00-21:15,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,11.8,24.08,24.09,0,162.31,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2616.61

86,21:15-21:30,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,11.8,24.08,24.09,0,162.31,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2616.61

87,21:30-21:45,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,11.8,24.08,24.09,0,162.31,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2616.61

88,21:45-22:00,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,11.8,24.08,24.09,0,162.31,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2616.61

89,22:00-22:15,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,13.19,0,24.09,0,162.31,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2593.9200000000005

90,22:15-22:30,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,13.19,0,24.09,0,162.31,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2593.9200000000005

91,22:30-22:45,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,13.19,0,12.33,0,108.2,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2528.05

92,22:45-23:00,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,13.19,0,12.33,0,108.2,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2528.05

93,23:00-23:15,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,13.19,0,12.33,0,108.2,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2528.05

94,23:15-23:30,0,0,0,19.26,28.89,28.89,10.59,5.78,14.44,192.6,5.78,67.41,0,0,24.08,13.48,96.3,17.51,29.5,13.19,0,12.33,0,108.2,48.15,0,221.49,48.15,0,0.77,0,0,0,47.19,0,8.75,96.3,88.33,26.26,62.6,33.7,57.78,26.26,48.15,6.74,204.16,4.82,0,0,192.6,192.6,0,8.75,0,0,96.3,4.82,0,0,0,26.26,110.74,33.7,0,0,0,48.15,96.3,0,2528.05

