Time,Block,NR/2023/13254/A,NR/2023/16077/A,NR/2023/17440/C,NR/2023/13148/A,NR/2023/17441/C,NR/2023/17450/C,NR/2023/17456/C,NR/2023/16291/F,NR/2023/17427/D,NR/2023/13150/A,NR/2023/17457/C,NR/2023/13165/A,NR/2023/13387/A,NR/2023/16191/A,NR/2023/17460/C,NR/2023/16185/A,NR/2023/15770/A,NR/2023/16073/A,NR/2023/17429/D,NR/2023/17444/C,NR/2023/13253/A,NR/2023/13383/A,NR/2023/17442/C,NR/2023/17449/C,NR/2023/17445/C,NR/2023/13385/A,NR/2023/13168/A,NR/2023/17447/C,Total
82,20:15-20:30,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,190.420000,38.660000,62.830000,0.000000,112.610000,7.840000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1147.08

83,20:30-20:45,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,216.520000,38.660000,62.830000,0.000000,112.610000,7.840000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1173.18

84,20:45-21:00,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,278.380000,38.660000,62.830000,0.000000,112.610000,7.840000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1235.04

85,21:00-21:15,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,287.080000,38.660000,62.830000,0.000000,112.610000,7.750000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1243.65

86,21:15-21:30,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,316.080000,38.660000,62.830000,0.000000,112.610000,7.750000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1272.65

87,21:30-21:45,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,314.140000,38.660000,62.830000,0.000000,112.610000,7.750000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1270.71

88,21:45-22:00,19.610000,0.000000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,314.140000,38.660000,62.830000,0.000000,112.610000,7.750000,48.330000,0.000000,8.070000,0.000000,0.000000,50.020000,34.800000,0,1270.71

89,22:00-22:15,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,289.010000,38.660000,62.830000,0.000000,112.610000,7.660000,48.330000,36.830000,7.070000,0.000000,0.000000,50.020000,34.800000,0,1367.25

90,22:15-22:30,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,318.010000,38.660000,62.830000,0.000000,112.610000,7.660000,48.330000,36.830000,7.070000,0.000000,0.000000,50.020000,34.800000,0,1396.25

91,22:30-22:45,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,309.310000,38.660000,62.830000,0.000000,112.610000,7.660000,48.330000,36.830000,7.070000,0.000000,0.000000,50.020000,34.800000,0,1387.55

92,22:45-23:00,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,309.310000,38.660000,62.830000,0.000000,112.610000,7.660000,48.330000,36.830000,7.070000,0.000000,16.430000,50.020000,34.800000,0,1403.98

93,23:00-23:15,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,309.310000,38.660000,62.830000,0.000000,112.610000,7.660000,48.330000,36.830000,6.050000,0.000000,67.660000,50.020000,34.800000,0,1454.19

94,23:15-23:30,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,309.310000,38.660000,62.830000,0.000000,112.610000,7.660000,48.330000,36.830000,6.050000,0.000000,71.530000,50.020000,34.800000,0,1458.06

95,23:30-23:45,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,309.310000,38.660000,62.830000,0.000000,112.610000,7.660000,48.330000,36.830000,6.050000,0.000000,53.160000,50.020000,34.800000,0,1439.69

96,23:45-24:00,19.610000,85.930000,0.000000,36.470000,0.000000,0.000000,193.320000,0.770000,0,63.020000,115.990000,22.230000,100.040000,42.050000,309.310000,38.660000,62.830000,0.000000,112.610000,7.660000,48.330000,36.830000,6.050000,0.000000,20.300000,50.020000,34.800000,0,1406.83

