Column1,Block,GNA/NR/2025/05/01/4138,NR/30092023/31122025/SH-07,NR/2025/26804/C,NR/2025/26799/C,NR/2025/26849/C,NR/2025/26801/C,NR/2025/26855/C,NR/2025/26800/C,NR/2025/26856/C,NR/30092023/26122029/SH-06,NR/2025/26802/C,NR/2025/26853/C,NR/2025/26803/C,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9154,GNA/ER/2025/05/15/7367,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/2069,NR/2025/26236/A/71862,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71995,NR/2025/26202/A/72378,NR/2025/26153/A/71864,NR/2025/25858/A/72271,NR/2025/26336/A/71994,NR/2025/26291/A/72342,NR/2025/25855/A/72270,NR/2025/26197/A/72328,NR/2025/26191/A/71921,NR/2025/26233/A/72345,NR/2025/26689/A/71968,NR/2025/26198/A/72327,NR/2025/26200/A/72325,NR/2025/26085/A/71884,NR/2025/26201/A/72324,NR/2025/26101/A/72019,NR/2025/26002/A/72272,NR/2025/26199/A/72326,NR/2025/26265/A/72344,NR/2025/26289/A/72343,NR/2025/26312/A/71860,NR/2025/26232/A/72346,Total
55,13:30-13:45,0,26.7,0,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.4,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.3299999999997

56,13:45-14:00,0,26.7,0,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.4,14.44,0,192.6,28.94,10.59,0,13.48,100,210,96.3,62.6,0,0,0,0,14.59,48.15,4.82,6.74,43.77,14.59,0.96,37.21,0,0,43.77,0,0,0,4.82,1844.3299999999997

57,14:00-14:15,0,26.7,4.82,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,29.74,4.82,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.31,14.44,0,192.6,28.94,10.59,0,11.56,100,193,66.56,62.6,110.74,0,0,0,14.59,48.15,0,7.7,43.77,14.59,0.96,37.21,33.7,0,43.77,0,0,0,0,1970.7199999999998

58,14:15-14:30,0,26.7,4.82,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,29.74,4.82,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.31,14.44,0,192.6,28.94,10.59,0,11.56,100,189,66.56,62.6,110.74,0,0,0,14.59,48.15,0,7.7,43.77,14.59,0.96,37.21,33.7,0,43.77,0,0,0,0,1966.7199999999998

59,14:30-14:45,0,26.7,4.82,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,29.74,4.82,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.31,14.44,0,192.6,28.94,10.59,0,11.56,98.32,179,66.56,62.6,110.74,0,0,0,14.59,48.15,0,7.7,43.77,14.59,0.96,37.21,33.7,0,43.77,0,0,0,0,1955.0399999999997

60,14:45-15:00,0,26.7,4.82,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,29.74,4.82,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.31,14.44,0,192.6,28.94,10.59,0,11.56,94.44,172,66.56,62.6,110.74,0,0,0,14.59,48.15,0,7.7,43.77,14.59,0.96,37.21,33.7,0,43.77,0,0,0,0,1944.1599999999999

61,15:00-15:15,0,26.7,4.82,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,29.74,4.82,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.22,14.44,0,192.6,28.94,10.59,0,8.67,90.14,161,66.56,62.6,110.74,134.82,0,0,14.59,48.15,0,8.67,43.77,14.59,0.96,37.21,33.7,0,43.77,0,0,0,0,2061.67

62,15:15-15:30,0,26.7,4.82,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,29.74,4.82,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.22,14.44,0,192.6,28.94,10.59,0,8.67,85.53,151,66.56,62.6,110.74,134.82,0,0,14.59,48.15,0,8.67,43.77,14.59,0.96,37.21,33.7,0,43.77,0,0,0,0,2047.06

63,15:30-15:45,0,26.7,4.82,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,29.74,4.82,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.22,14.44,0,192.6,28.94,10.59,0,8.67,80.18,133,66.56,62.6,110.74,134.82,0,0,14.59,48.15,0,8.67,43.77,14.59,0.96,37.21,33.7,0,43.77,0,0,0,0,2023.71

64,15:45-16:00,0,26.7,4.82,52.96,163.71,48.15,14.44,96.3,54.1,26.7,24.08,29.74,4.82,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.22,14.44,0,192.6,28.94,10.59,0,8.67,74.85,119,66.56,62.6,110.74,134.82,0,0,14.59,48.15,0,8.67,43.77,14.59,0.96,37.21,33.7,0,43.77,0,0,0,0,2004.3799999999999

65,16:00-16:15,0,26.7,0,0,77.04,0,14.44,0,54.1,26.7,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.22,14.44,0,192.6,28.94,10.59,0,5.78,66.53,105,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.82,37.21,33.7,0,43.77,96.3,48.15,52.96,4.82,1892.36

66,16:15-16:30,0,26.7,0,0,77.04,0,14.44,0,54.1,26.7,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.22,14.44,0,192.6,28.94,10.59,0,5.78,58.8,91,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.82,37.21,33.7,0,43.77,96.3,48.15,52.96,4.82,1870.6299999999999

67,16:30-16:45,0,26.7,0,0,77.04,0,14.44,0,54.1,26.7,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.22,14.44,0,192.6,28.94,10.59,0,5.78,52.06,77,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.82,37.21,33.7,0,43.77,96.3,48.15,52.96,4.82,1849.8899999999999

68,16:45-17:00,0,26.7,0,0,0,0,14.44,0,54.1,26.7,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.22,14.44,0,192.6,28.94,10.59,0,5.78,45.17,67,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.82,37.21,33.7,0,43.77,96.3,48.15,52.96,4.82,1755.9599999999998

69,17:00-17:15,0,26.7,0,0,0,0,0,0,102.01,26.7,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.4,14.44,0,192.6,28.94,10.59,0,0,38.4,63,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.67,37.21,33.7,0,43.77,96.3,48.15,0,4.82,1720.91

70,17:15-17:30,0,26.7,0,0,0,0,0,0,102.01,26.7,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.4,14.44,0,192.6,28.94,10.59,0,0,30.94,49,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.67,37.21,33.7,0,43.77,96.3,48.15,0,4.82,1699.45

71,17:30-17:45,0,26.7,0,0,0,0,0,0,102.01,26.7,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.4,14.44,0,192.6,28.94,10.59,0,0,24.34,35,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.67,37.21,33.7,0,43.77,96.3,48.15,0,4.82,1678.8500000000001

72,17:45-18:00,0,26.7,0,0,0,0,0,0,102.01,26.7,0,0,0,0,0,0,0,192.6,144.45,0,28.89,13.48,0,9.4,14.44,0,192.6,28.94,10.59,0,0,18.05,21,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.67,37.21,33.7,0,43.77,96.3,48.15,0,4.82,1658.56

73,18:00-18:15,0,29.5,0,0,0,0,0,0,162.31,25.7,0,0,0,5.78,19.26,5.78,67.41,0,144.45,0,28.89,13.48,28.89,9.76,14.44,14.44,192.6,28.94,10.59,0,0,13.01,11,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.67,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,1847.54

74,18:15-18:30,0,29.5,0,0,0,0,0,0,162.31,25.7,0,0,0,5.78,19.26,5.78,67.41,0,144.45,0,28.89,13.48,28.89,9.76,14.44,14.44,192.6,28.94,10.59,0,0,8.98,6,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.67,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,1838.51

75,18:30-18:45,0,29.5,0,0,223.42,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,381,28.89,13.48,28.89,9.76,14.44,14.44,192.6,28.94,10.59,0,0,0.76,4,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.67,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2436.51

76,18:45-19:00,0,29.5,0,0,223.42,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,381,28.89,13.48,28.89,9.76,14.44,14.44,192.6,28.94,10.59,0,0,0.29,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.67,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2432.0400000000004

77,19:00-19:15,0,29.5,0,0,223.42,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,381,28.89,13.48,28.89,10.14,14.44,14.44,192.6,28.94,10.59,0,0,0.19,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.72,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2432.3700000000003

78,19:15-19:30,0,29.5,0,0,223.42,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,381,28.89,13.48,28.89,10.14,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.72,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2432.1800000000003

79,19:30-19:45,0,29.5,0,0,223.42,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,381,28.89,13.48,28.89,10.14,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.72,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2432.1800000000003

80,19:45-20:00,0,29.5,0,0,223.42,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,381,28.89,13.48,28.89,10.14,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,9.63,43.77,14.59,0.72,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2432.1800000000003

81,20:00-20:15,0,29.5,0,0,223.42,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,364,28.89,13.48,28.89,11.33,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2415.46

82,20:15-20:30,0,29.5,0,0,223.42,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,347,28.89,13.48,28.89,11.33,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2398.46

83,20:30-20:45,0,29.5,0,0,204.16,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,270,28.89,13.48,28.89,11.33,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2302.2

84,20:45-21:00,0,29.5,0,0,204.16,0,0,0,162.31,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,240,28.89,13.48,28.89,11.33,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2272.2000000000003

85,21:00-21:15,0,29.5,0,0,204.16,0,0,0,108.2,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,224,28.89,13.48,28.89,11.33,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2202.09

86,21:15-21:30,0,29.5,0,0,204.16,0,0,0,108.2,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,238,28.89,13.48,28.89,11.33,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2216.09

87,21:30-21:45,0,29.5,0,0,204.16,0,0,0,108.2,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,207,28.89,13.48,28.89,11.33,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2185.09

88,21:45-22:00,0,29.5,0,0,204.16,0,0,0,108.2,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,157,28.89,13.48,28.89,11.33,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,8.67,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2135.09

89,22:00-22:15,0,29.5,0,0,204.16,0,0,0,108.2,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,36,28.89,13.48,28.89,11.8,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,7.7,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,2013.5899999999997

90,22:15-22:30,0,29.5,0,0,204.16,0,0,0,108.2,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,0,28.89,13.48,28.89,11.8,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,7.7,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,1977.5899999999997

91,22:30-22:45,0,29.5,0,0,204.16,0,0,0,102.01,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,0,11.24,13.48,28.89,11.8,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,7.7,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,1953.7499999999998

92,22:45-23:00,0,29.5,0,0,204.16,0,0,0,102.01,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,0,11.24,13.48,28.89,11.8,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,7.7,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,1953.7499999999998

93,23:00-23:15,0,29.5,0,0,204.16,0,0,0,102.01,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,0,11.24,13.48,28.89,11.8,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,1952.7899999999997

94,23:15-23:30,0,29.5,0,0,204.16,0,0,0,102.01,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,0,11.24,13.48,28.89,11.8,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,1952.7899999999997

95,23:30-23:45,0,29.5,0,0,204.16,0,0,0,102.01,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,0,11.24,13.48,28.89,11.8,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,1952.7899999999997

96,23:45-24:00,0,29.5,0,0,204.16,0,0,0,102.01,29.5,0,0,0,5.78,19.26,5.78,67.41,0,144.45,0,11.24,13.48,28.89,11.8,14.44,14.44,192.6,28.94,10.59,0,0,0,0,96.3,62.6,110.74,134.82,24.08,0,14.59,48.15,4.82,6.74,43.77,14.59,0.77,37.21,33.7,192.6,43.77,96.3,48.15,0,4.82,1952.7899999999997

