Column1,Block,NR/2025/24837/A/50589,NR/2025/24839/A/50595,NR/2025/24981/C,NR/2025/24838/A/50592,NR/2024/24434/A/50351,NR/2025/24980/C,NER/2024/2820/A/50620,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/5531,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/2470,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/5216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,SR/2024/15456/A/50313,NR/2024/24418/A/50354,GNA/NR/2025/01/01/3945,NR/30092023/31122025/SH-07,WR/2024/25501/A/50623,NR/2024/24508/A/50656,NR/2025/24972/C,NR/2024/24507/A/50883,NR/2024/24614/A/50657,NR/2025/24973/C,NR/2025/24974/C,NR/2024/24566/A/50328,NR/2024/24435/A/50350,GNA/NR/2025/01/01/7459,NR/2024/24507/A/50655,GNA/NR/2025/01/01/6528,Total
76,18:45-19:00,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,30,0,96.07,50,20.17,9.61,1.37,19.21,90.31,48.04,36.51,134.5,0.48,43.23,0,38.43,14.41,0,6.29,0,0,0,5.76,16.33,36.51,14.28,14.41,1010.3399999999999

77,19:00-19:15,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,30,0,96.07,50,20.17,9.61,1.29,19.21,90.31,48.04,36.51,115.28,0.58,43.23,0,38.43,14.41,0,7.05,0,0,0,5.76,16.33,36.51,14.28,14.41,991.8999999999999

78,19:15-19:30,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,30,0,96.07,50,20.17,9.61,1.29,19.21,90.31,48.04,36.51,115.28,0.58,43.23,0,38.43,14.41,0,7.81,0,0,0,5.76,16.33,36.51,14.28,14.41,992.6599999999999

79,19:30-19:45,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,30,0,96.07,50,20.17,9.61,1.29,19.21,90.31,48.04,36.51,115.28,0.58,43.23,0,38.43,14.41,0,7.81,0,0,0,5.76,16.33,36.51,14.28,14.41,992.6599999999999

80,19:45-20:00,0,0,0,0,0,0,38.43,48.04,30.74,5.76,48.04,26.9,50,7.69,28.82,30,0,96.07,50,20.17,9.61,1.29,19.21,90.31,48.04,36.51,115.28,0.58,43.23,0,38.43,14.41,0,7.81,0,0,0,5.76,16.33,36.51,14.28,14.41,992.6599999999999

81,20:00-20:15,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,50,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,36.51,153.71,0.58,36.51,0,38.43,14.41,0,8.57,0,0,0,5.76,16.33,36.51,14.28,14.41,785.03

82,20:15-20:30,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,50,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,36.51,153.71,0.58,36.51,0,38.43,14.41,0,9.59,0,0,0,5.76,16.33,36.51,14.28,14.41,786.05

83,20:30-20:45,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,50,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,36.51,153.71,0.58,36.51,0,38.43,14.41,0,10.35,0,0,0,5.76,16.33,36.51,14.28,14.41,786.81

84,20:45-21:00,0,0,0,0,0,0,38.43,48.04,0,0,48.04,26.9,50,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,36.51,153.71,0.58,36.51,0,38.43,14.41,0,10.35,0,0,0,5.76,16.33,36.51,14.28,14.41,786.81

85,21:00-21:15,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,50,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,31.7,269,0.58,36.51,0,38.43,14.41,0,11.12,0,0,0,5.76,16.33,31.7,14.28,8.65,849.06

86,21:15-21:30,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,50,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,31.7,269,0.58,36.51,0,38.43,14.41,0,11.61,0,0,0,5.76,16.33,31.7,14.28,8.65,849.55

87,21:30-21:45,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,50,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,31.7,269,0.58,36.51,0,38.43,14.41,0,11.61,0,0,0,5.76,16.33,31.7,14.28,8.65,849.55

88,21:45-22:00,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,50,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,31.7,269,0.58,36.51,0,38.43,14.41,0,12.38,0,0,0,5.76,16.33,31.7,14.28,8.65,850.3199999999999

89,22:00-22:15,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,27.86,288.21,0.48,36.51,0,38.43,14.41,0,13.14,0,0,0,5.76,16.33,27.86,14.28,8.65,812.5099999999999

90,22:15-22:30,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,27.86,288.21,0.48,36.51,0,38.43,14.41,0,13.9,0,0,0,5.76,16.33,27.86,14.28,8.65,813.2699999999999

91,22:30-22:45,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,27.86,288.21,0.48,36.51,0,38.43,14.41,0,14.41,0,0,0,5.76,16.33,27.86,14.28,8.65,813.7799999999999

92,22:45-23:00,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,27.86,288.21,0.48,36.51,0,38.43,14.41,0,14.54,0,0,0,5.76,16.33,27.86,14.28,8.65,813.9099999999999

93,23:00-23:15,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,24.02,288.21,0.48,24.02,0,38.43,14.41,0,14.54,0,0,0,5.76,16.33,24.02,14.28,8.65,793.7399999999998

94,23:15-23:30,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,24.02,288.21,0.48,24.02,0,38.43,14.41,0,14.54,0,0,0,5.76,16.33,24.02,14.28,8.65,793.7399999999998

95,23:30-23:45,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,24.02,288.21,0.48,24.02,0,38.43,14.41,0,14.54,0,0,0,5.76,16.33,24.02,14.28,8.65,793.7399999999998

96,23:45-24:00,0,0,0,0,0,0,0,48.04,0,0,48.04,26.9,0,0,28.82,30,0,0,50,20.17,0,1.37,19.21,0,48.04,24.02,288.21,0.48,24.02,0,38.43,14.41,0,14.54,0,0,0,5.76,16.33,24.02,14.28,8.65,793.7399999999998

