Time,Block,NR/2023/11204/A,NR/2023/14687/C,NR/2023/13983/F,NR/2023/11315/A,NR/2023/14114/F,NR/2023/13983/F/II,NR/2023/11469/A,NR/2023/13573/A,NR/2023/14668/C,NR/2023/14117/F,NR/2023/11892/A,NR/2023/13859/A,NR/2023/11524/A,NR/2023/14657/D,NR/2023/11203/A,NR/2023/13858/A,NR/2023/14113/F,NR/2023/11205/A,NR/2023/11521/A,NR/2023/13573/A/II,NR/2023/11458/A,NR/2023/13284/A,NR/2023/14136/F,NR/2023/11697/A,NR/2023/11470/A,NR/2023/14120/F,NR/2023/13283/A,NR/2023/14121/F,NR/2023/14119/F,NR/2023/14655/D,NR/2023/14115/F,NR/2023/13283/A/II,NR/2023/14118/F,NR/2023/11328/A,NR/2023/14187/F,NR/2023/11654/A,NR/2023/14661/D,NR/2023/12646/A,NR/2023/11739/A,NR/2023/11325/A,NR/2023/14658/D,NR/2023/11954/A,NR/2023/14659/D,NR/2023/11264/A,NR/2023/14116/F,ER/2023/8939/C,NR/2023/14669/C,NR/2023/14653/D,Total
45,11:00-11:15,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,28.880000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,6.75,1832.08

46,11:15-11:30,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,28.880000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,4.46,1829.79

47,11:30-11:45,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,28.880000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,4.36,1829.69

48,11:45-12:00,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,28.880000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,2.02,1827.35

49,12:00-12:15,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,42.430000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,4.41,1843.29

50,12:15-12:30,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,42.430000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,8.58,1847.46

51,12:30-12:45,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,42.430000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,8.27,1847.15

52,12:45-13:00,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,42.430000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,6.29,1845.17

53,13:00-13:15,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,42.430000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,4.15,1843.03

54,13:15-13:30,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,178.5,0.000000,42.430000,24.120000,18.330000,0.000000,76.5,0.000000,0.000000,50.000000,30.000000,5.89,1844.77

55,13:30-13:45,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,175,0.000000,42.430000,24.120000,18.330000,0.000000,75,0.000000,0.000000,50.000000,30.000000,7.37,1841.25

56,13:45-14:00,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,90.670000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,175,0.000000,42.430000,24.120000,18.330000,0.000000,75,0.000000,0.000000,50.000000,30.000000,4.23,1838.11

57,14:00-14:15,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,175,23.080000,42.430000,24.120000,18.330000,0.000000,75,0.000000,0.000000,50.000000,30.000000,3.09,1875.49

58,14:15-14:30,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,175,23.080000,42.430000,24.120000,18.330000,0.000000,75,0.000000,0.000000,50.000000,30.000000,4.41,1876.81

59,14:30-14:45,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,171.5,23.080000,42.430000,24.120000,18.330000,0.000000,73.5,0.000000,0.000000,50.000000,30.000000,2.59,1869.99

60,14:45-15:00,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,168,23.080000,42.430000,24.120000,18.330000,0.000000,72,0.000000,0.000000,50.000000,30.000000,2.42,1864.82

61,15:00-15:15,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,154,23.080000,28.880000,24.120000,18.330000,0.000000,66,0.000000,0.000000,0.000000,30.000000,2.74,1781.59

62,15:15-15:30,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,140,23.080000,28.880000,24.120000,18.330000,0.000000,60,0.000000,0.000000,0.000000,30.000000,3,1761.85

63,15:30-15:45,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,131.6,23.080000,28.880000,24.120000,18.330000,0.000000,56.4,0.000000,0.000000,0.000000,30.000000,2.96,1749.81

64,15:45-16:00,7.720000,0.000000,0.960000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,0.960000,257.550000,121.1,23.080000,28.880000,24.120000,18.330000,0.000000,51.9,0.000000,0.000000,0.000000,30.000000,4.65,1736.5

65,16:00-16:15,7.720000,0.000000,0.820000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,112,23.080000,28.880000,24.120000,18.330000,0.000000,48,0.000000,0.000000,0.000000,30.000000,3.43,1725.04

66,16:15-16:30,7.720000,0.000000,0.820000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,101.5,23.080000,28.880000,24.120000,18.330000,0.000000,43.5,0.000000,0.000000,0.000000,30.000000,1.84,1708.45

67,16:30-16:45,7.720000,0.000000,0.820000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,91,23.080000,28.880000,24.120000,18.330000,0.000000,39,0.000000,0.000000,0.000000,30.000000,2.09,1693.7

68,16:45-17:00,7.720000,0.000000,0.820000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,106.110000,0.000000,24.120000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,80.5,23.080000,28.880000,24.120000,18.330000,0.000000,34.5,0.000000,0.000000,0.000000,30.000000,0.74,1677.35

69,17:00-17:15,7.720000,0.000000,0.820000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,66.5,0.000000,28.880000,24.120000,18.330000,0.000000,28.5,0.000000,0.000000,0.000000,30.000000,1.66,1591.77

70,17:15-17:30,7.720000,0.000000,0.820000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,52.5,0.000000,28.880000,24.120000,18.330000,0.000000,22.5,0.000000,0.000000,0.000000,30.000000,1.58,1571.69

71,17:30-17:45,7.720000,0.000000,0.820000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,42,0.000000,28.880000,24.120000,18.330000,0.000000,18,0.000000,0.000000,0.000000,0.000000,1.64,1526.75

72,17:45-18:00,7.720000,0.000000,0.820000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,0.000000,177.970000,192.920000,38.580000,62.940000,77.170000,0.000000,15.750000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,24.120000,0.000000,48.230000,3.860000,257.550000,35,0.000000,28.880000,24.120000,18.330000,0.000000,15,0.000000,0.000000,0.000000,0.000000,0.77,1515.88

73,18:00-18:15,14.230000,0.000000,0.870000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,31.5,0.000000,28.880000,24.120000,18.330000,36.390000,13.5,0.000000,0.000000,0.000000,0.000000,0.56,1557.4

74,18:15-18:30,14.230000,0.000000,0.870000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,24.5,0.000000,28.880000,24.120000,18.330000,36.390000,10.5,0.000000,0.000000,0.000000,0.000000,0.38,1547.22

75,18:30-18:45,14.230000,0.000000,0.870000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,21,0.000000,28.880000,24.120000,18.330000,36.390000,9,0.000000,0.000000,0.000000,0.000000,0.1,1541.94

76,18:45-19:00,14.230000,5.020000,0.870000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,14,0.000000,28.880000,24.120000,18.330000,36.390000,6,0.000000,0.000000,0.000000,0.000000,0,1536.86

77,19:00-19:15,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,7,0.000000,28.880000,24.120000,0.000000,36.390000,3,0.000000,0.000000,0.000000,0.000000,0,1508.58

78,19:15-19:30,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,4.2,0.000000,28.880000,24.120000,0.000000,36.390000,1.8,0.000000,0.000000,0.000000,0.000000,0,1504.58

79,19:30-19:45,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,1.4,0.000000,28.880000,24.120000,0.000000,36.390000,0.6,0.000000,0.000000,0.000000,0.000000,0,1500.58

80,19:45-20:00,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1498.58

81,20:00-20:15,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1498.58

82,20:15-20:30,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,0.000000,28.880000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1498.58

83,20:30-20:45,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,0.000000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1512.13

84,20:45-21:00,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,48.230000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,0.000000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1512.13

85,21:00-21:15,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,91.640000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,0.000000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1555.54

86,21:15-21:30,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,91.640000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,0.000000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1555.54

87,21:30-21:45,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.770000,48.230000,62.700000,91.640000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,0.000000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1555.54

88,21:45-22:00,14.230000,5.020000,0.920000,22.190000,0.000000,0.000000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,15.810000,48.230000,62.700000,91.640000,0.000000,0.000000,0.000000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,0.000000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1555.58

89,22:00-22:15,82.960000,5.020000,0.530000,22.190000,0.000000,0.390000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,91.640000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,23.080000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1955.79

90,22:15-22:30,82.960000,5.020000,0.530000,22.190000,0.000000,0.390000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,91.640000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,23.080000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1955.79

91,22:30-22:45,82.960000,5.020000,0.530000,22.190000,0.000000,0.390000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,91.640000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,23.080000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1955.79

92,22:45-23:00,82.960000,5.020000,0.530000,22.190000,0.000000,0.390000,84.870000,0.000000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,62.700000,91.640000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,23.080000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1955.79

93,23:00-23:15,82.960000,5.020000,0.000000,22.190000,0.000000,0.870000,84.870000,1.820000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,60.880000,91.640000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,23.080000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1955.74

94,23:15-23:30,82.960000,5.020000,0.000000,22.190000,0.000000,0.870000,84.870000,1.820000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,60.880000,91.640000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,23.080000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1955.74

95,23:30-23:45,82.960000,5.020000,0.000000,22.190000,0.000000,0.870000,84.870000,1.820000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,60.880000,91.640000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,23.080000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1955.74

96,23:45-24:00,82.960000,5.020000,0.000000,22.190000,0.000000,0.870000,84.870000,1.820000,5.790000,0.000000,66.460000,177.970000,192.920000,0.000000,62.940000,77.170000,0.000000,231.610000,48.230000,60.880000,91.640000,64.820000,0.000000,27.780000,21.220000,0.000000,0.000000,0.000000,0.000000,192.920000,0.000000,0.000000,0.000000,48.230000,3.860000,257.550000,0,23.080000,42.430000,24.120000,0.000000,36.390000,0,0.000000,0.000000,0.000000,0.000000,0,1955.74

