Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21152/A/26940,NR/2024/21500/A/27108,NR/2024/20711/A/27281,NR/2024/20966/A/26941,NR/2024/20573/A/27188,NR/2024/21072/A/27227,NR/2024/21160/A/27005,NR/2024/21062/A/27183,NR/2024/21023/A/26977,NR/2024/21183/A/27253,NR/2024/19779/A/27093,NR/2024/21531/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/26976,NR/2024/21144/A/26975,NR/2024/21173/A/27016,NR/2024/21540/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/15072024/15072024/IEX_240714_01531_1,NR/2024/21550/C,NR/2024/21113/A/27225,NR/2024/21096/A/27218,NR/2024/21089/A/27226,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20574/A/27187,NR/2024/21227/A/27214,NR/2024/21210/A/26961,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20877/A/27237,NR/2024/21158/A/27009,NR/2024/21150/A/27003,NR/2024/21141/A/26959,NR/30092023/31122025/SH-07,NR/2024/21243/A/26972,NR/2024/21186/A/27236,NR/2024/21108/A/27212,NR/01072024/15072024/NR/01072024/15072024/717759,NR/30092023/26122029/SH-06,NR/2024/21104/A/27213,NR/2024/21103/A/27215,NR/2024/21156/A/27007,NR/2024/21530/C,NR/2024/21099/A/26958,NR/2024/21529/C,NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/20930/A/27163,NR/2024/21153/A/27008,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21087/A/27019,NR/2024/21148/A/27002,NR/2024/21159/A/27006,NR/2024/21146/A/27004,NR/2024/21142/A/26960,NR/2024/21238/A/27258,NR/2024/20688/A/27021,NR/2024/21075/A/27256,NR/2024/21076/A/27252,NR/2024/21528/C,NR/15072024/15072024/IEX_240714_01529,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21485/A/27280,NR/2024/21339/A/26963,NR/01102023/23072042/L_NR_2012_04,Total
27,06:30-06:45,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,0.000000,0.000000,21.130000,0.670000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0,0.000000,0.000000,240.100000,0.000000,0.000000,2069.02

28,06:45-07:00,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,0.000000,0.000000,21.130000,0.670000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0.42,0.000000,0.000000,240.100000,0.000000,0.000000,2069.44

29,07:00-07:15,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,0.000000,0.000000,21.130000,0.770000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0.55,0.000000,0.000000,240.100000,0.000000,0.000000,2069.67

30,07:15-07:30,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,0.000000,0.000000,21.130000,0.770000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,0.79,0.000000,0.000000,240.100000,0.000000,0.000000,2069.91

31,07:30-07:45,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,0.000000,0.000000,21.130000,0.770000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,1.13,0.000000,0.000000,240.100000,0.000000,0.000000,2070.25

32,07:45:08:00,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,0.000000,0.000000,21.130000,0.770000,6.130000,72.030000,0.000000,0.480000,24.010000,0.000000,96.040000,0.000000,0.000000,37.100000,24.010000,37.100000,96.040000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,192.080000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,24.010000,14.880000,0.000000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,1.52,0.000000,0.000000,240.100000,0.000000,0.000000,2070.64

33,08:00-08:15,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,2.05,0.000000,0.000000,240.100000,96.040000,0.000000,2071.36

34,08:15-08:30,0,0,1.920000,5.760000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,2.84,0.000000,0.000000,240.100000,96.040000,0.000000,2072.15

35,08:30-08:45,0,0,1.920000,6.720000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,3.07,0.000000,0.000000,240.100000,96.040000,0.000000,2073.34

36,08:45:09:00,0,0,1.920000,6.720000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,3.46,0.000000,0.000000,240.100000,96.040000,0.000000,2073.73

37,09:00:09:15,0,0,1.920000,6.720000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,3.6,0.000000,0.000000,240.100000,96.040000,0.000000,2073.87

38,09:15-09:30,0,0,1.920000,6.720000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,3.79,0.000000,0.000000,240.100000,96.040000,0.000000,2074.06

39,09:30-09:45,0,0,1.920000,6.720000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,4.08,0.000000,0.000000,240.100000,96.040000,0.000000,2074.35

40,09:45-10:00,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,4.47,0.000000,0.000000,240.100000,96.040000,0.000000,2078.58

41,10:00-10:15,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,4.66,0.000000,0.000000,240.100000,96.040000,0.000000,2078.77

42,10:15-10:30,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,4.85,0.000000,0.000000,240.100000,96.040000,0.000000,2078.96

43,10:30-10:45,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,5.14,0.000000,0.000000,240.100000,96.040000,0.000000,2079.25

44,10:45-11:00,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,5.38,0.000000,0.000000,240.100000,96.040000,0.000000,2079.49

45,11:00-11:15,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,5.62,0.000000,0.000000,240.100000,96.040000,0.000000,2079.73

46,11:15-11:30,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,5.78,0.000000,0.000000,240.100000,96.040000,0.000000,2079.89

47,11:30-11:45,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,6,0.000000,0.000000,240.100000,96.040000,0.000000,2080.11

48,11:45-12:00,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,6.15,0.000000,0.000000,240.100000,96.040000,0.000000,2080.26

49,12:00-12:15,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,6.3,0.000000,0.000000,240.100000,96.040000,0.000000,2080.41

50,12:15-12:30,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,6.58,0.000000,0.000000,240.100000,96.040000,0.000000,2080.69

51,12:30-12:45,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,7.3,0.000000,0.000000,240.100000,96.040000,0.000000,2081.41

52,12:45-13:00,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,7.92,0.000000,0.000000,240.100000,96.040000,0.000000,2082.03

53,13:00-13:15,0,0,1.920000,9.600000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,8.5,0.000000,0.000000,240.100000,96.040000,0.000000,2081.65

54,13:15-13:30,0,0,1.920000,9.600000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,8.31,0.000000,0.000000,240.100000,96.040000,0.000000,2081.46

55,13:30-13:45,0,0,1.920000,9.600000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,7.92,0.000000,0.000000,240.100000,96.040000,0.000000,2081.07

56,13:45-14:00,0,0,1.920000,9.600000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,7.3,0.000000,0.000000,240.100000,96.040000,0.000000,2080.45

57,14:00-14:15,0,0,1.920000,9.600000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,6.77,0.000000,0.000000,240.100000,96.040000,0.000000,2079.92

58,14:15-14:30,0,0,1.920000,9.600000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,6.19,0.000000,0.000000,240.100000,96.040000,0.000000,2079.34

59,14:30-14:45,0,0,1.920000,9.600000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,5.76,0.000000,0.000000,240.100000,96.040000,0.000000,2078.91

60,14:45-15:00,0,0,1.920000,9.600000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,5.34,0.000000,0.000000,240.100000,96.040000,0.000000,2078.49

61,15:00-15:15,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,4.61,0.000000,0.000000,240.100000,96.040000,0.000000,2078.72

62,15:15-15:30,0,0,1.920000,10.560000,96.040000,4.800000,0.000000,37.100000,0.970000,24.010000,96.040000,21.130000,0.960000,6.130000,0.000000,72.030000,0.480000,24.010000,0.000000,0.000000,0.000000,0.000000,37.100000,24.010000,37.100000,0.000000,0.000000,0.000000,48.020000,0.000000,8.160000,96.040000,0.670000,0.870000,0.000000,26.910000,134.460000,48.020000,23.930000,0.000000,26.910000,64.540000,83.730000,0.610000,27.850000,24.010000,163.510000,0.000000,14.880000,192.080000,1.580000,0.000000,11.740000,24.010000,0.520000,0.870000,0.360000,48.020000,2.880000,66.450000,11.670000,90.280000,4.42,0.000000,0.000000,240.100000,96.040000,0.000000,2078.53

