Column1,Block,GNA/NR/2024/09/23/7704,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/23/4543,NR/2024/23248/C,GNARE/SR/2024/09/23/7579,NR/2024/23118/A/38598,NR/2024/21658/A/38351,NR/2024/22754/A/38558,NR/2024/22803/A/38604,NR/2024/22820/A/38332,NR/2024/23254/C,NR/2024/23119/A/38600,NR/2024/23121/A/38601,NR/2024/23217/A/38545,NR/2024/23122/A/38599,NR/2024/23271/C,NR/2024/23257/C,NR/2024/23258/C,NR/2024/22874/A/38603,NR/2024/22848/A/38575,NR/2024/23038/A/38328,NR/2024/22835/A/38630,GNA/NR/2024/09/01/7908,NR/2024/23213/A/38543,NR/2024/23214/A/38541,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,Total
89,22:00-22:15,42,0,96.77,58.06,195.48,30,8.8,0.77,54.43,96.77,4.84,30,26.39,26.39,8.71,26.39,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,163.3,10.44,32,32,1519.56

90,22:15-22:30,42,0,96.77,58.06,195.48,30,8.8,0.77,54.43,96.77,4.84,30,26.39,26.39,8.71,26.39,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,163.3,10.44,32,32,1519.56

91,22:30-22:45,42,8.8,96.77,58.06,195.48,30,8.8,0.77,54.43,96.77,4.84,30,26.39,26.39,8.71,26.39,0.97,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,163.3,10.44,32,32,1527.39

92,22:45-23:00,42,8.8,96.77,58.06,195.48,30,8.8,0.77,54.43,96.77,4.84,30,26.39,26.39,7.74,26.39,1.94,87.09,193.54,48.38,84.36,3.87,90.96,21.77,0,0,0,24.19,17.5,2.42,163.3,10.44,32,32,1527.39

93,23:00-23:15,42,8.8,96.77,58.06,195.48,30,8.8,0.77,54.43,96.77,4.84,30,26.39,26.39,7.74,26.39,1.94,87.09,193.54,48.38,84.36,3.87,94.25,21.77,0,0,0,24.19,17.5,2.42,163.3,10.34,32,32,1530.58

94,23:15-23:30,42,8.8,96.77,58.06,195.48,30,8.8,0.77,54.43,96.77,4.84,30,26.39,26.39,7.74,26.39,1.94,87.09,193.54,48.38,84.36,3.87,94.25,21.77,0,0,0,24.19,17.5,2.42,163.3,10.34,32,32,1530.58

95,23:30-23:45,42,8.8,96.77,58.06,195.48,30,8.8,0.77,54.43,96.77,4.84,30,26.39,26.39,7.74,26.39,1.94,87.09,193.54,48.38,84.36,3.87,94.25,21.77,0,0,0,24.19,17.5,2.42,163.3,10.34,32,32,1530.58

96,23:45-24:00,42,8.8,96.77,58.06,195.48,30,8.8,0.77,54.43,96.77,4.84,30,26.39,26.39,7.74,26.39,1.94,87.09,193.54,48.38,84.36,3.87,94.25,21.77,0,0,0,24.19,17.5,2.42,163.3,10.34,32,32,1530.58

