Time,Block,NR/01102023/02012046/L_NR_2021_17,NR/2024/21441/C,NR/01102023/14082046/L_NR_2021_16,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/30092023/26122029/SH-06,NR/2024/21023/A/26306,NR/2024/20688/A/26391,NR/2024/21159/A/26182,NR/2024/21312/A/25994,NR/2024/21199/A/26304,NR/2024/21144/A/26302,NR/2024/21148/A/26183,NR/2024/21062/A/26210,NR/2024/21339/A/26123,NR/2024/21238/A/26438,NR/2024/21076/A/26432,NR/2024/21160/A/26190,NR/01102023/23072042/L_NR_2012_04,NR/2024/21376/A/26462,NR/2024/21186/A/26407,NR/10072024/10072024/IEX_240709_01453,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20877/A/26408,NR/2024/20574/A/26366,NR/2024/21087/A/26389,NR/2024/21440/C,NR/2024/19779/A/26088,NR/2024/21141/A/26130,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/20711/A/26464,NR/2024/21183/A/26434,NR/2024/21096/A/26420,NR/2024/21150/A/26184,NR/2024/20966/A/26080,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21158/A/26193,NR/2024/21103/A/26417,NR/2024/21104/A/26415,NR/2024/21173/A/26387,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21152/A/26079,NR/2024/21439/C,NR/2024/21108/A/26414,NR/2024/21210/A/26128,NR/30092023/31122025/SH-07,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/26187,NR/2024/21099/A/26131,NR/2024/21146/A/26185,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/R2,NR/2024/21243/A/26148,NR/2024/21113/A/26396,NR/2024/21469/C,NR/2024/20573/A/26367,NR/2024/21089/A/26397,NR/2024/21072/A/26398,NR/2024/21156/A/26186,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/26129,NR/2024/21227/A/26416,NR/2024/21075/A/26433,NR/2024/20930/A/26344,Total
29,07:00-07:15,0,1.47,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.770000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2031.78

30,07:15-07:30,0,1.88,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.770000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2032.19

31,07:30-07:45,0,2.5,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.770000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2032.81

32,07:45:08:00,0,3.32,0,14.530000,32.000000,0.000000,66.650000,0.880000,7.710000,0.000000,0.480000,0.520000,0.000000,0.000000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.770000,0.000000,81.880000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,61.410000,0.670000,83.980000,64.620000,20.710000,0.000000,163.760000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,20.470000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,81.880000,40.940000,0.000000,11.700000,0.000000,2033.63

33,08:00-08:15,0,1.96,0,14.530000,32.000000,81.880000,66.650000,0.880000,8.670000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2033.42

34,08:15-08:30,0,4.13,0,14.530000,32.000000,81.880000,66.650000,0.880000,8.670000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,72.250000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2035.59

35,08:30-08:45,0,4.68,0,14.530000,32.000000,81.880000,66.650000,0.880000,8.670000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2084.3

36,08:45:09:00,0,5.12,0,14.530000,32.000000,81.880000,66.650000,0.880000,8.670000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2084.74

37,09:00:09:15,0,4.24,0,11.770000,32.000000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2083.03

38,09:15-09:30,0,5.11,0,11.770000,32.000000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,25.960000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2083.9

39,09:30-09:45,0,4.08,0,11.770000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2078.65

40,09:45-10:00,0,5.67,0,11.770000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2080.24

41,10:00-10:15,0,5.62,0,11.770000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2080.19

42,10:15-10:30,0,5.77,0,11.770000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2080.34

43,10:30-10:45,0,6.64,0,11.770000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2081.21

44,10:45-11:00,0,6.33,0,11.770000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2080.9

45,11:00-11:15,0,6.07,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2084.36

46,11:15-11:30,0,6.75,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2085.04

47,11:30-11:45,0,8.5,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2086.79

48,11:45-12:00,0,6.16,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2084.45

49,12:00-12:15,0,4.2,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2082.49

50,12:15-12:30,0,3.76,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2082.05

51,12:30-12:45,0,3.14,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2081.43

52,12:45-13:00,0,2.8,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2081.09

53,13:00-13:15,0,3.12,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2081.41

54,13:15-13:30,0,4.09,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2082.38

55,13:30-13:45,0,3.94,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2082.23

56,13:45-14:00,0,3.25,0,14.530000,26.870000,81.880000,66.650000,0.880000,11.560000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2081.54

57,14:00-14:15,0,4.26,0,14.530000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2081.59

58,14:15-14:30,0,5.98,0,14.530000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,18.010000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2083.31

59,14:30-14:45,0,6.33,0,14.530000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2065.65

60,14:45-15:00,0,6.99,0,14.530000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2066.31

61,15:00-15:15,0,7.56,0,14.530000,26.870000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,26.870000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2066.88

62,15:15-15:30,0,6.96,0,14.530000,24.080000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,24.080000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2060.7

63,15:30-15:45,0,6.89,0,14.530000,24.080000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,24.080000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2060.63

64,15:45-16:00,0,5.95,0,14.530000,24.080000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.960000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,24.080000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2059.69

65,16:00-16:15,0,4.03,0,14.530000,24.080000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,24.080000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2057.63

66,16:15-16:30,0,1.51,0,14.530000,24.080000,81.880000,66.650000,0.880000,10.600000,61.410000,0.480000,0.520000,20.470000,81.880000,2.890000,90.550000,0.970000,0.000000,240.820000,48.160000,0.000000,12.410000,96.330000,0.000000,20.710000,27.940000,0.820000,0.000000,0.000000,15.320000,96.330000,0.000000,120.410000,0.880000,4.820000,0.000000,0.670000,83.980000,64.620000,20.710000,0.000000,0.000000,1.930000,164.000000,24.010000,40.940000,24.080000,0.000000,1.590000,20.470000,0.360000,0.000000,0.000000,134.860000,37.210000,0.000000,0.000000,37.210000,37.210000,0.610000,0.000000,40.940000,0.000000,11.700000,163.760000,2055.11

