Column1,Block,NR/2025/25020/C,NR/2025/25021/C,NR/2025/24839/A/50881,NR/2025/24837/A/50877,NR/2025/24838/A/50879,NR/2024/24434/A/50816,NR/2024/24508/A/51135,NR/2024/24614/A/51134,NR/2024/24435/A/50815,NR/2024/24566/A/50807,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,NR/2025/25015/C,GNA/NR/2025/01/01/3945,NR/2024/24507/A/51136,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/4698,NR/2025/25016/C,SR/2024/15456/A/50819,GNA/NR/2025/01/01/8058,NR/2025/25017/C,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/5531,WR/2024/25501/A/51113,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/9333,NER/2024/2820/A/51110,NR/2024/24418/A/50849,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,Total
77,19:00-19:15,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,36.54,36.54,0,43.27,28.85,20.19,5.77,96.16,7.69,0,115.39,26.92,0,90.39,28.85,38.46,9.62,30.77,38.46,0.58,50,14.42,0,1.29,48.08,48.08,14.42,0,30,50,966.5100000000001

78,19:15-19:30,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,36.54,36.54,0,43.27,28.85,20.19,5.77,96.16,7.69,0,115.39,26.92,0,90.39,28.85,38.46,9.62,30.77,38.46,0.58,50,14.42,0,1.29,48.08,48.08,14.42,0,30,50,966.5100000000001

79,19:30-19:45,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,36.54,36.54,0,43.27,28.85,20.19,5.77,96.16,7.69,0,115.39,26.92,0,90.39,28.85,38.46,9.62,30.77,38.46,0.58,50,14.42,0,1.29,48.08,48.08,14.42,0,30,50,966.5100000000001

80,19:45-20:00,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,36.54,36.54,0,43.27,28.85,20.19,5.77,96.16,7.69,0,115.39,26.92,0,90.39,28.85,38.46,9.62,30.77,38.46,0.58,50,14.42,0,1.29,48.08,48.08,14.42,0,30,50,966.5100000000001

81,20:00-20:15,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,34.62,34.62,0,34.62,28.85,20.19,0,0,0,0,153.86,26.92,0,0,28.85,38.46,0,0,38.46,0.58,50,8.65,0,1.29,48.08,48.08,14.42,0,30,50,746.3199999999999

82,20:15-20:30,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,34.62,34.62,0,34.62,28.85,20.19,0,0,0,0,153.86,26.92,0,0,28.85,38.46,0,0,38.46,0.58,50,8.65,0,1.29,48.08,48.08,14.42,0,30,50,746.3199999999999

83,20:30-20:45,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,34.62,34.62,0,34.62,28.85,20.19,0,0,0,0,153.86,26.92,0,0,28.85,38.46,0,0,38.46,0.58,50,8.65,0,1.29,48.08,48.08,14.42,0,30,50,746.3199999999999

84,20:45-21:00,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,34.62,34.62,0,34.62,28.85,20.19,0,0,0,0,153.86,26.92,0,0,28.85,38.46,0,0,38.46,0.58,50,8.65,0,1.29,48.08,48.08,14.42,0,30,50,746.3199999999999

85,21:00-21:15,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,28.85,28.85,0,28.85,28.85,20.19,0,0,0,0,269.25,26.92,0,0,28.85,38.46,0,0,0,0.58,50,8.65,0,1.29,48.08,48.08,30.77,0,30,50,822.2900000000001

86,21:15-21:30,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,28.85,28.85,0,28.85,28.85,20.19,0,0,0,0,269.25,26.92,0,0,28.85,38.46,0,0,0,0.58,50,8.65,0,1.29,48.08,48.08,30.77,0,30,50,822.2900000000001

87,21:30-21:45,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,28.85,28.85,0,28.85,28.85,20.19,0,0,0,0,269.25,26.92,0,0,28.85,38.46,0,0,0,0.58,50,8.65,0,1.29,48.08,48.08,30.77,0,30,50,822.2900000000001

88,21:45-22:00,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,28.85,28.85,0,28.85,28.85,20.19,0,0,0,0,269.25,26.92,0,0,28.85,38.46,0,0,0,0.58,50,8.65,0,1.29,48.08,48.08,30.77,0,30,50,822.2900000000001

89,22:00-22:15,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,25.96,25.96,0,25.96,28.85,20.19,0,0,0,0,288.48,26.92,0,0,28.85,38.46,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,30,50,782.7500000000001

90,22:15-22:30,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,25.96,25.96,0,25.96,28.85,20.19,0,0,0,0,288.48,26.92,0,0,28.85,38.46,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,30,50,782.7500000000001

91,22:30-22:45,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,25.96,25.96,0,25.96,28.85,20.19,0,0,0,0,288.48,26.92,0,0,28.85,38.46,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,30,50,782.7500000000001

92,22:45-23:00,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,25.96,25.96,0,25.96,28.85,20.19,0,0,0,0,288.48,26.92,0,0,28.85,38.46,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,30,50,782.7500000000001

93,23:00-23:15,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,288.48,26.92,0,0,28.85,38.46,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,30,50,774.1100000000001

94,23:15-23:30,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,288.48,26.92,0,0,28.85,38.46,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,30,50,774.1100000000001

95,23:30-23:45,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,288.48,26.92,0,0,28.85,38.46,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,30,50,774.1100000000001

96,23:45-24:00,0,0,0,0,0,0,14.42,0,16.35,5.77,19.23,23.08,23.08,0,23.08,28.85,20.19,0,0,0,0,288.48,26.92,0,0,28.85,38.46,0,0,0,0.48,0,8.65,0,1.29,48.08,48.08,30.77,0,30,50,774.1100000000001

